interval,ips,create,start,destroy,apparentips,ram,disk,hostalloc,active
1,[476.0919837416496],[0],[1],[-1],[640.1184615181913],"[(25.1658, 0.004533333333333333, 0.00013333333333333334)]","[(3, 0.0, 0.001077777777777778)]",[0],[True]
2,"[640.1184615181913, 352.61113105048065]","[0, 1]","[1, 2]","[-1, -1]","[640.1184615181913, 431.445012565758]","[(67.1088, 0.004533333333333333, 6.666666666666668e-05), (33.20446666666667, 6.666666666666668e-05, 0.0002)]","[(3, 0.0, 0.001027777777777778), (1, 0.00065, 0.00018333333333333334)]","[0, 0]","[True, True]"
3,"[0, 0, 264.8407372849268]","[0, 1, 2]","[1, 2, 3]","[-1, -1, -1]","[640.1184615181913, 431.445012565758, 576.2507065680937]","[(50.3316, 0.004533333333333333, 6.666666666666668e-05), (75.49719999999999, 0.0002, 6.666666666666668e-05), (8.2132, 0.0, 0.0)]","[(3, 0.0, 0.0015055555555555556), (1, 0.0, 0.00016666666666666666), (2, 0.0, 0.00019999999999999998)]","[0, 0, 0]","[True, True, True]"
4,"[0, 0, 469.0610949838432, 454.65570876498435, 0, 439.38745374493504]","[0, 1, 2, 3, 3, 3]","[1, 2, 3, 4, 4, 4]","[3, 3, -1, -1, -1, -1]","[0, 0, 576.2507065680937, 857.7142691933675, 1252.3591672387126, 589.1686918820019]","[0, 0, (6.815266666666666, 0.0, 0.0), (34.25326666666667, 0.0028, 0.0036), (100.6632, 0.0022, 0.004733333333333333), (41.943, 0.004666666666666667, 0.00013333333333333334)]","[0, 0, (2, 0.0, 1.6666666666666667e-05), (2, 0.0, 0.0031666666666666666), (3, 0.0, 0.0011055555555555556), (2, 0.0, 0.0010944444444444443)]","[-1, -1, 0, 1, 1, 0]","[False, False, True, True, True, True]"
5,"[0, 0, 0, 522.8352352017342, 0, 355.1216702418026, 2001.543193618997, 452.02184410195173]","[0, 1, 2, 3, 3, 3, 4, 4]","[1, 2, 3, 4, 4, 4, 5, 5]","[3, 3, -1, -1, 4, -1, -1, -1]","[0, 0, 576.2507065680937, 857.7142691933675, 0, 589.1686918820019, 2001.543193618997, 645.2798230237914]","[0, 0, (6.116066666666667, 0.0, 0.0), (30.05886666666666, 0.0028666666666666667, 0.003733333333333333), 0, (30.758200000000002, 0.004733333333333333, 0.0), (41.243666666666655, 6.666666666666668e-05, 6.666666666666668e-05), (261.44446666666676, 0.5536, 0.16226666666666667)]","[0, 0, (2, 0.0, 3.3333333333333335e-05), (2, 0.0, 0.003022222222222222), 0, (2, 0.0, 0.0010166666666666666), (3, 0.00065, 0.00020555555555555556), (1, 0.0, 0.003850000000000001)]","[-1, -1, 0, 1, -1, 0, 2, 0]","[False, False, True, True, False, True, True, True]"
6,"[0, 0, 0, 0, 0, 547.6366922587565, 0, 426.29443601757237, 1416.0236468211137, 463.4866838317982]","[0, 1, 2, 3, 3, 3, 4, 4, 5, 5]","[1, 2, 3, 4, 4, 4, 5, 5, 6, 6]","[3, 3, 5, -1, 4, -1, -1, -1, -1, -1]","[0, 0, 0, 857.7142691933675, 0, 589.1686918820019, 2001.543193618997, 645.2798230237914, 1525.7075630243467, 468.9441103870208]","[0, 0, 0, (29.3598, 0.0032, 0.0036666666666666666), 0, (83.886, 0.004666666666666667, 0.0), (50.3308, 0.0, 0.0), (436.207, 0.019333333333333327, 0.026666666666666672), (130.0228666666667, 8.2766, 0.1462), (3.495, 0.0, 0.0)]","[0, 0, 0, (2, 0.0, 0.0030055555555555547), 0, (2, 0.0, 0.0015166666666666666), (3, 0.0, 7.777777777777777e-05), (1, 0.0, 0.003427777777777778), (1, 8.906633333333335, 3.6877999999999997), (2, 0.0, 0.0)]","[-1, -1, -1, 1, -1, 0, 2, 0, 1, 0]","[False, False, False, True, False, True, True, True, True, True]"
7,"[0, 0, 0, 0, 0, 0, 0, 0, 1525.7075630243467, 441.2037997946837, 2060.4280407364645, 267.6050494897803]","[0, 1, 2, 3, 3, 3, 4, 4, 5, 5, 6, 6]","[1, 2, 3, 4, 4, 4, 5, 5, 6, 6, 7, 7]","[3, 3, 5, 6, 4, -1, 6, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 589.1686918820019, 0, 645.2798230237914, 1525.7075630243467, 468.9441103870208, 2060.4280407364645, 471.00836329859106]","[0, 0, 0, 0, 0, (16.7772, 0.0048, 0.0), 0, (307.58166666666676, 0.0061333333333333335, 0.017533333333333335), (195.0344, 0.0856, 0.6087333333333332), (0.0, 0.0, 0.0), (39.146666666666654, 0.29753333333333337, 0.0019333333333333331), (5.635666666666668, 0.0, 0.0)]","[0, 0, 0, 0, 0, (2, 0.0, 0.00105), 0, (1, 0.0, 0.0036333333333333335), (1, 0.0, 0.00017777777777777779), (2, 0.0, 1.6666666666666667e-05), (1, 0.003, 0.06097777777777777), (1, 0.0, 9.444444444444444e-05)]","[-1, -1, -1, -1, -1, 0, -1, 0, 1, 0, 2, 0]","[False, False, False, False, False, True, False, True, True, True, True, True]"
8,"[0, 0, 0, 0, 0, 0, 0, 0, 1426.741099033347, 0, 1039.8789760935626, 0, 1225.132191172346, 805.5600047224181, 501.5636322632847]","[0, 1, 2, 3, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 7]","[1, 2, 3, 4, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 8]","[3, 3, 5, 6, 4, 7, 6, 7, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 1525.7075630243467, 468.9441103870208, 2060.4280407364645, 471.00836329859106, 1363.0685776325743, 1412.5893007681223, 521.7258411200543]","[0, 0, 0, 0, 0, 0, 0, 0, (106.95439999999999, 0.1056, 1.2295999999999998), (0.0, 0.0, 0.0), (65.71033333333331, 0.2166, 0.004533333333333333), (3.800666666666666, 0.0, 0.0), (545.259, 0.6861333333333334, 1.4692), (1230.3286666666668, 6.666666666666668e-05, 0.0009333333333333332), (3.1454, 0.00013333333333333334, 0.00013333333333333334)]","[0, 0, 0, 0, 0, 0, 0, 0, (1, 1.666666666666667e-05, 0.00022222222222222226), (2, 0.0, 1.6666666666666667e-05), (1, 0.0002833333333333333, 0.09404444444444444), (1, 0.0, 8.88888888888889e-05), (1, 0.07585, 0.04698333333333333), (2, 0.0, 4.9999999999999996e-05), (2, 0.0, 1.1111111111111112e-05)]","[-1, -1, -1, -1, -1, -1, -1, -1, 1, 0, 2, 0, 1, 1, 0]","[False, False, False, False, False, False, False, False, True, True, True, True, True, True, True]"
9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1277.9500456799758, 0, 281.5817342772684, 1307.036107641666, 879.886654267754, 594.1340891818422]","[0, 1, 2, 3, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 7, 8, 8, 8]","[1, 2, 3, 4, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 8, 9, 9, 9]","[3, 3, 5, 6, 4, 7, 6, 7, -1, 8, -1, 8, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 927.4254384821209, 0, 2060.4280407364645, 0, 1363.0685776325743, 927.4254384821209, 521.7258411200543, 1492.3284750611547, 879.886654267754, 594.1340891818422]","[0, 0, 0, 0, 0, 0, 0, 0, (169.86860000000001, 0.08973333333333332, 0.9770666666666667), 0, (40.54486666666667, 0.21746666666666667, 0.0017333333333333335), 0, (738.1968, 0.7232666666666667, 1.2136), (872.4144, 0.0002, 0.0008), (2.7958000000000003, 0.0, 0.0), (39.146800000000006, 0.004733333333333333, 6.666666666666668e-05), (25.68966666666667, 0.0158, 0.015933333333333334), (52.4282, 0.0002, 0.00013333333333333334)]","[0, 0, 0, 0, 0, 0, 0, 0, (1, 0.0, 0.00025), 0, (1, 0.0, 0.05373333333333333), 0, (1, 0.0017166666666666665, 0.0023777777777777777), (2, 0.0, 6.666666666666667e-05), (2, 0.0, 2.7777777777777776e-05), (2, 0.0, 0.0016055555555555554), (3, 0.0, 0.008994444444444446), (3, 0.0, 0.0007944444444444444)]","[-1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 2, -1, 1, 1, 0, 1, 1, 0]","[False, False, False, False, False, False, False, False, True, False, True, False, True, True, True, True, True, True]"
10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1363.0685776325743, 0, 0, 877.505143074861, 712.8675123780805, 358.9476726212114, 1750.6742626488133, 1470.918755855893, 0]","[0, 1, 2, 3, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9]","[1, 2, 3, 4, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10]","[3, 3, 5, 6, 4, 7, 6, 7, 9, 8, 9, 8, -1, 9, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1363.0685776325743, 0, 521.7258411200543, 1492.3284750611547, 879.886654267754, 594.1340891818422, 2031.6206895189841, 1679.4439962534511, 669.3868747015152]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (564.8324, 0.6947333333333332, 1.3258666666666665), 0, (3.494666666666666, 0.0, 0.0), (39.146800000000006, 0.004666666666666667, 6.666666666666668e-05), (24.291466666666672, 0.0, 0.0), (40.5444, 0.0, 0.0), (12.582600000000001, 6.666666666666668e-05, 6.666666666666668e-05), (41.943, 0.004666666666666667, 0.0002), (11.0094, 0.004200000000000001, 0.004266666666666667)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (1, 0.00225, 0.06516111111111111), 0, (2, 0.0, 0.0), (2, 0.0, 0.0010722222222222222), (3, 0.0, 0.005672222222222222), (3, 0.0, 0.00039444444444444444), (1, 0.0, 0.0004111111111111111), (1, 0.0, 0.0015166666666666672), (2, 0.0, 8.333333333333333e-05)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 0, 1, 1, 0, 2, 2, 0]","[False, False, False, False, False, False, False, False, False, False, False, False, True, False, True, True, True, True, True, True, True]"
