interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable,numfailures
1,"[13.154628940183668, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[262.61535995470337, 0, 0, 0, 0, 0]","[3766.3846400452967, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[530, 0, 0, 0, 0, 0]","[(16.776799999999998, 0.00013333333333333334, 0.00013333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4278.2232, 1859.9998666666668, 999.9998666666667), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.0, 4.4444444444444447e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.109955555555555), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
2,"[27.798461156614547, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[940.220134557145, 0, 0, 0, 0, 0]","[3088.779865442855, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1120, 0, 0, 0, 0, 0]","[(17.17, 6.666666666666668e-05, 6.666666666666668e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4277.83, 1859.9999333333333, 999.9999333333334), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 7.777777777777777e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.109922222222222), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
3,"[38.39662447257383, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, 0, 0, 0, 0, 0]","[847.7850857348287, 0, 0, 0, 0, 0]","[3181.2149142651715, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1547, 0, 0, 0, 0, 0]","[(24.072599999999998, 0.003999999999999999, 0.0020666666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4270.9274, 1859.996, 999.9979333333333), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(9, 0.0, 0.00023888888888888888), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4017, 67.1, 10.10976111111111), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
4,"[38.024323653512035, 12.268575660330782, 0.0, 0.0, 0.0, 0.0]","[3, 1, 0, 0, 0, 0]","[767.9360366974425, 589.4940993031305, 0, 0, 0, 0]","[3261.0639633025576, 7512.5059006968695, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1532, 994, 0, 0, 0, 0]","[(25.339333333333332, 0.004, 0.002), (188.7434, 0.052533333333333335, 0.026266666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4269.660666666667, 1859.996, 999.998), (16991.2566, 1799.9474666666667, 1524.9737333333333), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.00021111111111111108), (2, 0.0, 0.004538888888888889), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.109788888888888), (16103, 51.900000000000006, 6.185461111111111), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
5,"[36.98188136013899, 24.84571710688719, 0.0, 0.0, 0.0, 0.0]","[3, 2, 0, 0, 0, 0]","[1035.1174735693135, 1861.9644007336856, 0, 0, 0, 0]","[2993.8825264306865, 6240.035599266314, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1490, 2013, 0, 0, 0, 0]","[(408.59319999999997, 1.3988666666666665, 0.0076), (130.0223333333333, 0.052066666666666664, 0.029533333333333335), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3886.4068, 1858.6011333333333, 999.9924), (17049.977666666666, 1799.9479333333334, 1524.9704666666667), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.00988888888888889), (5, 0.0, 0.0009011904761904762), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.10011111111111), (16100, 51.900000000000006, 6.189098809523809), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
6,"[44.13005708612559, 34.84324858059738, 0.0, 0.0, 0.0, 0.0]","[3, 3, 0, 0, 0, 0]","[473.5674962598803, 2584.2773305472706, 0, 0, 0, 0]","[3555.4325037401195, 5517.722669452729, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1778, 2823, 0, 0, 0, 0]","[(385.29122380952384, 0.6480666666666667, 0.003466666666666667), (142.0804, 0.052199999999999996, 0.025933333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3909.7087761904763, 1859.3519333333334, 999.9965333333333), (17037.9196, 1799.9478, 1524.9740666666667), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.0, 0.0002841269841269841), (6, 0.0, 0.0013333333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.109715873015872), (16099, 51.900000000000006, 6.188666666666666), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
7,"[29.213204269049392, 60.614663046161446, 0.0, 0.0, 0.0, 0.0]","[2, 5, 0, 0, 0, 0]","[1076.1860509396693, 2591.1768899369126, 0, 0, 0, 0]","[2952.8139490603307, 5510.823110063087, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1177, 4911, 0, 0, 0, 0]","[(515.1995333333333, 0.6616666666666666, 0.021333333333333333), (1043.6796666666667, 0.052199999999999996, 0.02693333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3779.8004666666666, 1859.3383333333334, 999.9786666666666), (16136.320333333333, 1799.9478, 1524.9730666666667), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0001, 0.013022222222222221), (11, 0.0, 0.00107991452991453), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.09989999999999, 10.096977777777777), (16094, 51.900000000000006, 6.188920085470085), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
8,"[40.60560933234053, 35.76894593927425, 28.477437775432936, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[458.24219408979775, 710.2431664739623, 1630.8020564194846, 0, 0, 0]","[3570.7578059102025, 7391.756833526038, 14480.197943580515, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1636, 2898, 4588, 0, 0, 0]","[(484.96473333333336, 0.6530666666666667, 0.020000000000000004), (1269.8238, 0.0002666666666666667, 0.0011333333333333332), (1422.9169333333334, 0.0003333333333333334, 0.0009333333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3810.0352666666668, 1859.3469333333333, 999.98), (15910.1762, 1799.9997333333333, 1524.9988666666666), (32937.083066666666, 1882.6996666666666, 1333.7490666666667), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.008455555555555556), (6, 0.0, 0.00010555555555555555), (5, 0.05556666666666666, 0.026738888888888885), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.101544444444444), (16099, 51.900000000000006, 6.189894444444444), (32207, 58.14443333333334, 11.61326111111111), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
9,"[24.075452965996526, 38.01530486299679, 33.72850847247222, 0.0, 0.0, 0.0]","[2, 3, 3, 0, 0, 0]","[783.31278828213, 2758.401891778531, 3678.8363522582063, 0, 0, 0]","[3245.68721171787, 5343.598108221469, 12432.163647741794, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[970, 3080, 5434, 0, 0, 0]","[(11.5334, 0.0, 0.0), (1409.2852666666665, 0.003, 0.027800000000000002), (1343.5748000000003, 0.2993333333333334, 0.005133333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4283.4666, 1860.0, 1000.0), (15770.714733333334, 1799.997, 1524.9722), (33016.4252, 1882.4006666666667, 1333.7448666666667), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.0006388888888888888), (9, 0.09914999999999999, 0.02837777777777778), (5, 0.003, 0.061961111111111106), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.109361111111111), (16096, 51.800850000000004, 6.1616222222222214), (32207, 58.197, 11.578038888888887), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
10,"[51.52643335815339, 51.11083683041224, 43.81478492955124, 0.0, 0.0, 0.0]","[3, 3, 3, 0, 0, 0]","[1032.970509002275, 1894.326912493901, 2553.94365245695, 0, 0, 0]","[2996.0294909977247, 6207.673087506098, 13557.05634754305, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2076, 4141, 7059, 0, 0, 0]","[(398.28279999999995, 1.3948666666666665, 0.0056), (1255.4939333333332, 0.0027333333333333333, 0.0162), (1186.9868, 0.218, 0.007333333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3896.7172, 1858.6051333333332, 999.9944), (15924.506066666667, 1799.9972666666667, 1524.9838), (33173.0132, 1882.482, 1333.7426666666668), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.010522222222222223), (9, 0.06325, 0.013611111111111109), (5, 0.0002833333333333333, 0.09472222222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.099477777777777), (16096, 51.83675000000001, 6.176388888888888), (32207, 58.19971666666667, 11.545277777777777), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[1, 1, 1, 0, 0, 0]"
