interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable
11,"[36.51030032266071, 75.746729202666, 23.033951958289368, 0.0, 0.0, 0.0]","[2, 5, 2, 0, 0, 0]","[408.1113784619685, 1174.7672091480913, 3019.15176518127, 0, 0, 0]","[3620.8886215380317, 6927.232790851909, 13091.84823481873, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1471, 6137, 3711, 0, 0, 0]","[(67.45746666666666, 0.0002666666666666667, 0.0002), (2375.7217333333333, 0.7183999999999999, 1.398666666666667), (51.72933333333334, 0.004666666666666666, 6.666666666666668e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4227.542533333333, 1859.9997333333333, 999.9998), (14804.278266666666, 1799.2816, 1523.6013333333333), (34308.27066666666, 1882.6953333333333, 1333.7499333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.0004444444444444444), (9, 1.0474333333333337, 0.5196777777777778), (2, 0.0, 0.0010555555555555555), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.109555555555556), (16096, 50.852566666666675, 5.670322222222222), (32210, 58.2, 11.638944444444443), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
12,"[50.310250682551505, 48.98790422117996, 60.5486934392651, 0.0, 0.0, 0.0]","[2, 3, 5, 0, 0, 0]","[918.7374103778766, 1837.0428941812534, 5950.488676745845, 0, 0, 0]","[3110.2625896221234, 6264.957105818747, 10160.511323254155, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2027, 3969, 9755, 0, 0, 0]","[(14.984666666666667, 0.0, 0.0), (930.435, 0.0002, 0.0018666666666666666), (1282.1446, 0.004733333333333333, 0.0010666666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4280.015333333334, 1860.0, 1000.0), (16249.565, 1799.9998, 1524.9981333333333), (33077.8554, 1882.6952666666666, 1333.7489333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 5.555555555555557e-06), (4, 0.0039, 0.0027222222222222227), (8, 0.04596666666666667, 0.017861111111111112), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.109994444444444), (16101, 51.896100000000004, 6.187277777777777), (32204, 58.15403333333334, 11.622138888888887), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
13,"[65.15264333581534, 31.547765983707727, 60.72869468065297, 0.0, 0.0, 0.0]","[3, 2, 5, 0, 0, 0]","[319.3147248848671, 0, 6976.222928923619, 0, 0, 0]","[3709.6852751151328, 8102, 9134.77707107638, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2625, 2556, 9784, 0, 0, 0]","[(40.23813333333333, 0.0005333333333333334, 0.003933333333333333), (41.243666666666655, 0.0, 0.0010666666666666667), (1115.9457333333332, 0.3022, 0.0028666666666666662), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4254.761866666667, 1859.9994666666666, 999.9960666666667), (17138.756333333335, 1800.0, 1524.9989333333333), (33244.054266666666, 1882.3978, 1333.7471333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 5.555555555555557e-06), (2, 0.0035833333333333338, 0.0026388888888888885), (8, 0.003, 0.062277777777777765), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.109994444444444), (16103, 51.896416666666674, 6.187361111111111), (32204, 58.197, 11.57772222222222), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
14,"[69.7939935467858, 22.772155023451, 74.40258208677302, 0.0, 0.0, 0.0]","[2, 2, 6, 0, 0, 0]","[720.8074055426795, 1221.5590492350111, 6935.832908546483, 0, 0, 0]","[3308.1925944573204, 6880.440950764989, 9175.167091453517, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2812, 1845, 11987, 0, 0, 0]","[(6.9022, 0.0005333333333333334, 0.003933333333333333), (103.45913333333333, 0.0003333333333333333, 0.0002666666666666667), (1431.5665333333334, 0.22199999999999998, 0.006133333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4288.0978, 1859.9994666666666, 999.9960666666667), (17076.540866666666, 1799.9996666666666, 1524.9997333333333), (32928.43346666667, 1882.478, 1333.7438666666667), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(2, 0.0, 0.0), (3, 0.0, 0.002488888888888889), (10, 0.0002833333333333333, 0.09712777777777779), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4024, 67.1, 10.11), (16102, 51.900000000000006, 6.18751111111111), (32202, 58.19971666666667, 11.54287222222222), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
15,"[83.27128319682303, 22.772155023451, 55.415554590031654, 0.0, 0.0, 0.0]","[3, 2, 4, 0, 0, 0]","[944.7169513264021, 928.9311828566526, 3561.358170249361, 0, 0, 0]","[3084.283048673598, 7173.068817143348, 12549.641829750639, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[3355, 1845, 8928, 0, 0, 0]","[(80.30206666666666, 0.00046666666666666666, 0.0004), (95.07053333333333, 0.0, 6.666666666666668e-05), (1816.1328666666666, 0.5731333333333334, 0.017666666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4214.697933333333, 1859.9995333333334, 999.9996), (17084.92946666667, 1800.0, 1524.9999333333333), (32543.867133333333, 1882.1268666666667, 1333.7323333333334), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0006611111111111111), (3, 0.0, 0.0025666666666666667), (6, 0.0007166666666666667, 0.05648333333333332), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.109338888888889), (16102, 51.900000000000006, 6.187433333333333), (32206, 58.199283333333334, 11.583516666666666), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
16,"[95.8054107719037, 24.512466057763515, 42.02097945503073, 0.0, 0.0, 0.0]","[3, 2, 3, 0, 0, 0]","[431.2469903440499, 1905.5519894291087, 4247.888271797301, 0, 0, 0]","[3597.7530096559503, 6196.448010570892, 11863.111728202699, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[3860, 1986, 6770, 0, 0, 0]","[(66.75786666666667, 0.004200000000000001, 0.004266666666666667), (41.9426, 0.0, 0.0004), (815.0922, 0.005733333333333333, 0.0034666666666666665), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4228.242133333333, 1859.9958, 999.9957333333333), (17138.0574, 1800.0, 1524.9996), (33544.9078, 1882.6942666666666, 1333.7465333333334), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.0001833333333333333), (4, 0.0, 0.0007222222222222221), (4, 0.0, 0.003872222222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.109816666666665), (16101, 51.900000000000006, 6.189277777777777), (32208, 58.2, 11.636127777777777), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
17,"[81.68279970215934, 34.867933843495436, 26.41052696915151, 13.47728965003723, 0.0, 0.0]","[2, 3, 2, 1, 0, 0]","[431.82754378726725, 1896.4833277371158, 0, 0, 0, 0]","[3597.172456212733, 6205.516672262884, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[3291, 2825, 4255, 543, 0, 0]","[(21.451066666666662, 0.0022, 0.0073999999999999995), (131.07073333333332, 0.0046, 0.0014), (682.2726, 0.004266666666666667, 0.002333333333333333), (52.4284, 0.0, 0.0), (0, 0, 0), (0, 0, 0)]","[(4273.5489333333335, 1859.9978, 999.9926), (17048.929266666666, 1799.9954, 1524.9986), (33677.7274, 1882.6957333333335, 1333.7476666666666), (4242.5716, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.0, 0.0007055555555555556), (6, 0.0, 0.0033500000000000005), (2, 0.0, 0.002783333333333333), (3, 0.0, 0.0001388888888888889), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.109294444444444), (16099, 51.900000000000006, 6.186649999999999), (32210, 58.2, 11.637216666666665), (4023, 67.1, 10.10986111111111), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
18,"[98.93273765202284, 49.09898790422118, 13.822853950716901, 0.0, 0.0, 0.0]","[2, 4, 1, 0, 0, 0]","[950.9044422407745, 1550.8671969032962, 1264.8212801613754, 0, 0, 0]","[3078.0955577592254, 6551.132803096703, 14846.178719838625, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[3986, 3978, 2227, 0, 0, 0]","[(26.47566666666667, 0.0002666666666666667, 0.0056), (121.6336, 0.009133333333333334, 0.0028000000000000004), (22.3696, 0.004666666666666667, 0.00013333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4268.524333333334, 1859.9997333333333, 999.9944), (17058.3664, 1799.9908666666668, 1524.9972), (34337.6304, 1882.6953333333333, 1333.7498666666668), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.00019999999999999998), (7, 0.0, 0.0037222222222222223), (2, 0.0, 0.0010722222222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.1098), (16098, 51.900000000000006, 6.186277777777777), (32210, 58.2, 11.638927777777777), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
19,"[101.41474311243486, 25.697358676869907, 48.004468996337906, 15.735914619012162, 0.0, 0.0]","[2, 2, 3, 1, 0, 0]","[985.4224955104817, 1591.4745816045433, 2947.2316507594887, 634.3878860277937, 0, 0]","[3043.577504489518, 6510.525418395457, 13163.768349240512, 3394.6121139722063, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[4086, 2082, 7734, 634, 0, 0]","[(28.572999999999993, 0.00046666666666666666, 0.0057333333333333325), (16.7772, 0.004666666666666667, 0.0010666666666666667), (1149.2387333333331, 0.009266666666666666, 0.001), (6.203399999999999, 0.0, 0.0), (0, 0, 0), (0, 0, 0)]","[(4266.427, 1859.9995333333334, 999.9942666666667), (17163.2228, 1799.9953333333333, 1524.9989333333333), (33210.76126666667, 1882.6907333333334, 1333.749), (4288.7966, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.00023333333333333333), (2, 0.0, 0.0011111111111111111), (4, 0.0, 0.0021944444444444446), (3, 0.0, 8.88888888888889e-05), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.109766666666665), (16103, 51.900000000000006, 6.188888888888888), (32208, 58.2, 11.637805555555554), (4023, 67.1, 10.10991111111111), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
20,"[24.57185405807893, 25.697358676869907, 34.18161504562101, 33.95383469843634, 0.0, 0.0]","[2, 2, 2, 2, 0, 0]","[408.1113784619685, 0, 4625.937602327454, 510.71238379368026, 0, 0]","[3620.8886215380317, 8102, 11485.062397672546, 3518.28761620632, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[990, 2082, 5507, 1368, 0, 0]","[(27.6114, 0.0002666666666666667, 0.0056), (88.08006666666668, 0.0046, 0.001), (1216.3475333333333, 0.004933333333333333, 0.0008666666666666667), (16.994533333333333, 0.0, 0.0), (0, 0, 0), (0, 0, 0)]","[(4267.3886, 1859.9997333333333, 999.9944), (17091.919933333334, 1799.9954, 1524.999), (33143.65246666667, 1882.6950666666667, 1333.7491333333332), (4278.0054666666665, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 8.88888888888889e-05), (2, 0.0, 0.0015888888888888888), (2, 0.04506666666666667, 0.01739444444444444), (6, 0.0, 8.88888888888889e-05), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.10991111111111), (16103, 51.900000000000006, 6.188411111111111), (32210, 58.15493333333334, 11.622605555555554), (4020, 67.1, 10.10991111111111), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
