interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ram_s,ram_r,ram_w,ramavailable_s,ramavailable_r,ramavailable_w,disk,diskavailable,cpufailures,ramfailures
1,"[6.0964912280701755, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[134.11002776582825, 0, 0, 0, 0, 0]","[2145.8899722341716, 16678, 40960, 3947, 18526, 40960]","[2280, 16678, 40960, 3947, 18526, 40960]","[139, 0, 0, 0, 0, 0]","[0.6982685641306331, 0.0, 0.0, 0.0, 0.0, 0.0]","[25.514733333333332, 0, 0, 0, 0, 0]","[0.0, 0, 0, 0, 0, 0]","[0.0, 0, 0, 0, 0, 0]","[3628.4852666666666, 40469, 81920, 2918, 38885, 81920]","[372.0, 360.0, 376.54, 372.0, 360.0, 376.54]","[200.0, 305.0, 266.75, 200.0, 305.0, 266.75]","[(2, 0.0, 2.2222222222222223e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(5146, 67.1, 10.109977777777777), (89872, 51.900000000000006, 6.1899999999999995), (163840, 11.64, 1.164), (7161, 67.1, 10.11), (69568, 51.900000000000006, 6.1899999999999995), (163840, 11.64, 1.164)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
2,"[8.114035087719298, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, 0, 0, 0, 0, 0]","[132.83200306259187, 0, 0, 0, 0, 0]","[2147.167996937408, 16678, 40960, 3947, 18526, 40960]","[2280, 16678, 40960, 3947, 18526, 40960]","[185, 0, 0, 0, 0, 0]","[0.7448750228060573, 0.0, 0.0, 0.0, 0.0, 0.0]","[27.217733333333335, 0, 0, 0, 0, 0]","[0.0, 0, 0, 0, 0, 0]","[0.0, 0, 0, 0, 0, 0]","[3626.7822666666666, 40469, 81920, 2918, 38885, 81920]","[372.0, 360.0, 376.54, 372.0, 360.0, 376.54]","[200.0, 305.0, 266.75, 200.0, 305.0, 266.75]","[(3, 0.0, 2.777777777777778e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(5145, 67.1, 10.109972222222222), (89872, 51.900000000000006, 6.1899999999999995), (163840, 11.64, 1.164), (7161, 67.1, 10.11), (69568, 51.900000000000006, 6.1899999999999995), (163840, 11.64, 1.164)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
3,"[12.850877192982457, 0.0, 0.0, 0.0, 0.0, 0.0]","[4, 0, 0, 0, 0, 0]","[174.9756350520253, 0, 0, 0, 0, 0]","[2105.024364947975, 16678, 40960, 3947, 18526, 40960]","[2280, 16678, 40960, 3947, 18526, 40960]","[293, 0, 0, 0, 0, 0]","[1.8963400839262907, 0.0, 0.0, 0.0, 0.0, 0.0]","[69.29226666666666, 0, 0, 0, 0, 0]","[0.009466666666666667, 0, 0, 0, 0, 0]","[0.00013333333333333337, 0, 0, 0, 0, 0]","[3584.707733333333, 40469, 81920, 2918, 38885, 81920]","[371.99053333333336, 360.0, 376.54, 372.0, 360.0, 376.54]","[199.99986666666666, 305.0, 266.75, 200.0, 305.0, 266.75]","[(4, 0.0, 0.00115), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(5144, 67.1, 10.108849999999999), (89872, 51.900000000000006, 6.1899999999999995), (163840, 11.64, 1.164), (7161, 67.1, 10.11), (69568, 51.900000000000006, 6.1899999999999995), (163840, 11.64, 1.164)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
4,"[19.035087719298247, 2.9859695407123157, 0.0, 0.0, 0.0, 0.0]","[6, 1, 0, 0, 0, 0]","[312.32398197064634, 159.86011001101838, 0, 0, 0, 0]","[1967.6760180293536, 16518.139889988983, 40960, 3947, 18526, 40960]","[2280, 16678, 40960, 3947, 18526, 40960]","[434, 498, 0, 0, 0, 0]","[3.7281335522714834, 0.09327633497244804, 0.0, 0.0, 0.0, 0.0]","[136.226, 37.748, 0, 0, 0, 0]","[0.0208, 0.0, 0, 0, 0, 0]","[0.004933333333333333, 0.0, 0, 0, 0, 0]","[3517.774, 40431.252, 81920, 2918, 38885, 81920]","[371.9792, 360.0, 376.54, 372.0, 360.0, 376.54]","[199.99506666666667, 305.0, 266.75, 200.0, 305.0, 266.75]","[(6, 0.0, 0.002644444444444444), (2, 0.0, 0.0008055555555555556), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(5142, 67.1, 10.107355555555555), (89870, 51.900000000000006, 6.1891944444444436), (163840, 11.64, 1.164), (7161, 67.1, 10.11), (69568, 51.900000000000006, 6.1899999999999995), (163840, 11.64, 1.164)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
5,"[34.12280701754386, 2.9859695407123157, 0.0, 0.0, 0.0, 0.0]","[11, 1, 0, 0, 0, 0]","[463.04179456676474, 359.70152692426416, 0, 0, 0, 0]","[1816.9582054332352, 16318.298473075736, 40960, 3947, 18526, 40960]","[2280, 16678, 40960, 3947, 18526, 40960]","[778, 498, 0, 0, 0, 0]","[10.153700054734536, 0.062184388050112435, 0.0, 0.0, 0.0, 0.0]","[371.01619999999997, 25.1654, 0, 0, 0, 0]","[0.02266666666666667, 0.0, 0, 0, 0, 0]","[0.006266666666666667, 0.0, 0, 0, 0, 0]","[3282.9838, 40443.8346, 81920, 2918, 38885, 81920]","[371.9773333333333, 360.0, 376.54, 372.0, 360.0, 376.54]","[199.99373333333332, 305.0, 266.75, 200.0, 305.0, 266.75]","[(11, 0.050633333333333336, 0.039177777777777784), (2, 0.0, 0.0006777777777777777), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(5137, 67.04936666666666, 10.07082222222222), (89870, 51.900000000000006, 6.189322222222222), (163840, 11.64, 1.164), (7161, 67.1, 10.11), (69568, 51.900000000000006, 6.1899999999999995), (163840, 11.64, 1.164)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
6,"[36.228070175438596, 6.601510972538674, 0.0, 0.0, 0.0, 0.0]","[12, 3, 0, 0, 0, 0]","[348.0707913503641, 996.0305045503624, 0, 0, 0, 0]","[1931.929208649636, 15681.969495449637, 40960, 3947, 18526, 40960]","[2280, 16678, 40960, 3947, 18526, 40960]","[826, 1101, 0, 0, 0, 0]","[8.981921182266008, 0.41629494180730925, 0.0, 0.0, 0.0, 0.0]","[328.1993999999999, 168.47039999999998, 0, 0, 0, 0]","[0.04213333333333333, 0.010133333333333334, 0, 0, 0, 0]","[0.03786666666666666, 0.0056, 0, 0, 0, 0]","[3325.8006, 40300.5296, 81920, 2918, 38885, 81920]","[371.9578666666667, 359.98986666666667, 376.54, 372.0, 360.0, 376.54]","[199.96213333333333, 304.9944, 266.75, 200.0, 305.0, 266.75]","[(12, 1.666666666666667e-05, 0.08482222222222224), (6, 0.0004166666666666667, 0.002622222222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(5136, 67.09998333333333, 10.025177777777778), (89866, 51.89958333333334, 6.187377777777777), (163840, 11.64, 1.164), (7161, 67.1, 10.11), (69568, 51.900000000000006, 6.1899999999999995), (163840, 11.64, 1.164)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
7,"[24.82456140350877, 22.328816404844705, 0.0, 0.0, 0.0, 0.0]","[8, 9, 0, 0, 0, 0]","[396.46183403193794, 2284.0705535256134, 0, 0, 0, 0]","[1883.538165968062, 14393.929446474387, 40960, 3947, 18526, 40960]","[2280, 16678, 40960, 3947, 18526, 40960]","[566, 3724, 0, 0, 0, 0]","[6.939693486590038, 0.8567683906199808, 0.0, 0.0, 0.0, 0.0]","[253.57639999999998, 346.7256, 0, 0, 0, 0]","[0.0276, 0.088, 0, 0, 0, 0]","[0.028400000000000005, 0.005866666666666667, 0, 0, 0, 0]","[3400.4236, 40122.2744, 81920, 2918, 38885, 81920]","[371.9724, 359.912, 376.54, 372.0, 360.0, 376.54]","[199.9716, 304.9941333333333, 266.75, 200.0, 305.0, 266.75]","[(8, 1.666666666666667e-05, 0.026916666666666665), (18, 0.0, 0.01152777777777778), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(5140, 67.09998333333333, 10.083083333333333), (89854, 51.900000000000006, 6.178472222222222), (163840, 11.64, 1.164), (7161, 67.1, 10.11), (69568, 51.900000000000006, 6.1899999999999995), (163840, 11.64, 1.164)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
8,"[33.68421052631579, 19.810528840388535, 3.12744140625, 0.0, 0.0, 0.0]","[10, 8, 2, 0, 0, 0]","[481.0188155544452, 2147.3503565193923, 981.3711265024324, 0, 0, 0]","[1798.9811844455548, 14530.649643480607, 39978.62887349757, 3947, 18526, 40960]","[2280, 16678, 40960, 3947, 18526, 40960]","[768, 3304, 1281, 0, 0, 0]","[7.872318919905127, 0.6846796313227408, 0.8635722656250001, 0.0, 0.0, 0.0]","[287.65453333333335, 277.08299999999997, 707.4384, 0, 0, 0]","[0.02693333333333333, 0.07893333333333334, 15.332933333333331, 0, 0, 0]","[0.027066666666666666, 0.010666666666666666, 4.987066666666666, 0, 0, 0]","[3366.3454666666667, 40191.917, 81212.5616, 2918, 38885, 81920]","[371.9730666666667, 359.92106666666666, 361.20706666666666, 372.0, 360.0, 376.54]","[199.97293333333334, 304.9893333333333, 261.7629333333333, 200.0, 305.0, 266.75]","[(10, 1.666666666666667e-05, 0.015644444444444443), (16, 0.0004166666666666667, 0.0022888888888888885), (6, 0.04546666666666667, 0.027483333333333335), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(5138, 67.09998333333333, 10.094355555555556), (89856, 51.89958333333334, 6.187711111111111), (163834, 11.594533333333334, 1.1365166666666666), (7161, 67.1, 10.11), (69568, 51.900000000000006, 6.1899999999999995), (163840, 11.64, 1.164)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
9,"[33.59649122807017, 20.302194507734743, 4.71923828125, 0.0, 0.0, 0.0]","[10, 9, 3, 0, 0, 0]","[288.0202212346657, 1696.2930770758765, 1314.9000091702906, 0, 0, 0]","[1991.9797787653342, 14981.706922924124, 39645.09999082971, 3947, 18526, 40960]","[2280, 16678, 40960, 3947, 18526, 40960]","[766, 3386, 1933, 0, 0, 0]","[10.235010034665207, 2.9134222903127496, 1.0427717285156248, 0.0, 0.0, 0.0]","[373.98726666666664, 1179.0328666666667, 854.2385999999999, 0, 0, 0]","[0.002, 0.21520000000000003, 38.016533333333335, 0, 0, 0]","[0.0034666666666666665, 1.4914666666666667, 4.979066666666667, 0, 0, 0]","[3280.0127333333335, 39289.96713333333, 81065.7614, 2918, 38885, 81920]","[371.998, 359.7848, 338.5234666666667, 372.0, 360.0, 376.54]","[199.99653333333333, 303.50853333333333, 261.77093333333335, 200.0, 305.0, 266.75]","[(10, 6.666666666666667e-05, 0.023000000000000003), (18, 0.0, 0.027772222222222226), (9, 0.0006833333333333333, 0.0087), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(5138, 67.09993333333333, 10.087), (89854, 51.900000000000006, 6.162227777777777), (163831, 11.639316666666668, 1.1553), (7161, 67.1, 10.11), (69568, 51.900000000000006, 6.1899999999999995), (163840, 11.64, 1.164)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
10,"[22.93859649122807, 21.369468761242356, 9.40185546875, 0.0, 0.0, 0.0]","[7, 10, 6, 0, 0, 0]","[341.74459032606387, 2198.218149352358, 2599.2718797358307, 0, 0, 0]","[1938.2554096739361, 14479.781850647641, 38360.72812026417, 3947, 18526, 40960]","[2280, 16678, 40960, 3947, 18526, 40960]","[523, 3564, 3851, 0, 0, 0]","[7.331908410873929, 2.493239599034652, 0.5738113606770834, 0.0, 0.0, 0.0]","[267.90793333333335, 1008.9891333333334, 470.0662666666667, 0, 0, 0]","[0.009466666666666665, 0.19160000000000002, 32.245200000000004, 0, 0, 0]","[0.0005333333333333334, 0.7819999999999998, 5.172399999999999, 0, 0, 0]","[3386.0920666666666, 39460.010866666664, 81449.93373333334, 2918, 38885, 81920]","[371.99053333333336, 359.8084, 344.2948, 372.0, 360.0, 376.54]","[199.99946666666668, 304.218, 261.5776, 200.0, 305.0, 266.75]","[(7, 0.0, 0.006988888888888889), (20, 0.0, 0.02823888888888889), (18, 0.0, 0.004516666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(5141, 67.1, 10.10301111111111), (89852, 51.900000000000006, 6.161761111111111), (163822, 11.64, 1.1594833333333332), (7161, 67.1, 10.11), (69568, 51.900000000000006, 6.1899999999999995), (163840, 11.64, 1.164)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
