interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram_s,ram_r,ram_w,ramavailable_s,ramavailable_r,ramavailable_w,disk,diskavailable,cpufailures,ramfailures
1,"[13.47728965003723, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[543.2242706685897, 0, 0, 0, 0, 0]","[3485.7757293314103, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[543, 0, 0, 0, 0, 0]","[150.994, 0, 0, 0, 0, 0]","[0.0009333333333333333, 0, 0, 0, 0, 0]","[0.0008, 0, 0, 0, 0, 0]","[4144.006, 17180, 34360, 4295, 17180, 34360]","[371.9990666666667, 360.0, 376.54, 372.0, 360.0, 376.54]","[199.9992, 305.0, 266.75, 200.0, 305.0, 266.75]","[(3, 0.0, 0.0006611111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.109338888888889), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
2,"[23.554231819310004, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[417.7783106415222, 0, 0, 0, 0, 0]","[3611.2216893584778, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[949, 0, 0, 0, 0, 0]","[124.42920000000001, 0, 0, 0, 0, 0]","[0.0, 0, 0, 0, 0, 0]","[0.0, 0, 0, 0, 0, 0]","[4170.5708, 17180, 34360, 4295, 17180, 34360]","[372.0, 360.0, 376.54, 372.0, 360.0, 376.54]","[200.0, 305.0, 266.75, 200.0, 305.0, 266.75]","[(4, 0.0, 0.00011666666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.109883333333332), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
3,"[40.82898982377761, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, 0, 0, 0, 0, 0]","[588.3749139370615, 0, 0, 0, 0, 0]","[3440.6250860629384, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1645, 0, 0, 0, 0, 0]","[552.2488, 0, 0, 0, 0, 0]","[0.0, 0, 0, 0, 0, 0]","[0.0044, 0, 0, 0, 0, 0]","[3742.7512, 17180, 34360, 4295, 17180, 34360]","[372.0, 360.0, 376.54, 372.0, 360.0, 376.54]","[199.9956, 305.0, 266.75, 200.0, 305.0, 266.75]","[(6, 0.0, 0.0013666666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.108633333333334), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
4,"[27.674360883593945, 26.117008146136754, 0.0, 0.0, 0.0, 0.0]","[2, 2, 0, 0, 0, 0]","[1025.2052655563698, 1293.8353001562132, 0, 0, 0, 0]","[3003.79473444363, 6808.164699843786, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1115, 2116, 0, 0, 0, 0]","[136.31333333333333, 1983.9032, 0, 0, 0, 0]","[0.0, 0.00013333333333333337, 0, 0, 0, 0]","[0.0041333333333333335, 0.0014666666666666667, 0, 0, 0, 0]","[4158.6866666666665, 15196.0968, 34360, 4295, 17180, 34360]","[372.0, 359.99986666666666, 376.54, 372.0, 360.0, 376.54]","[199.99586666666667, 304.99853333333334, 266.75, 200.0, 305.0, 266.75]","[(5, 0.008016666666666667, 0.0014444444444444444), (5, 0.0, 0.00047222222222222224), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.09198333333333, 10.108555555555554), (16100, 51.900000000000006, 6.189527777777777), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
5,"[43.2861752295855, 26.117008146136754, 0.0, 0.0, 0.0, 0.0]","[3, 2, 0, 0, 0, 0]","[966.2992713610893, 826.583794579006, 0, 0, 0, 0]","[3062.7007286389107, 7275.416205420994, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1744, 2116, 0, 0, 0, 0]","[629.7552, 2042.623466666667, 0, 0, 0, 0]","[0.03319999999999999, 0.0010666666666666667, 0, 0, 0, 0]","[0.038400000000000004, 0.0018666666666666664, 0, 0, 0, 0]","[3665.2448, 15137.376533333332, 34360, 4295, 17180, 34360]","[371.9668, 359.99893333333335, 376.54, 372.0, 360.0, 376.54]","[199.9616, 304.9981333333333, 266.75, 200.0, 305.0, 266.75]","[(8, 0.0001, 0.014005555555555554), (5, 0.0, 6.666666666666667e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.09989999999999, 10.095994444444443), (16100, 51.900000000000006, 6.189933333333332), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
6,"[40.655249441548776, 25.734386571216984, 11.63180435727143, 0.0, 0.0, 0.0]","[3, 2, 1, 0, 0, 0]","[1138.7976552206662, 1134.0075608188852, 1607.05935521879, 0, 0, 0]","[2890.2023447793335, 6967.992439181115, 14503.94064478121, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1638, 2085, 1874, 0, 0, 0]","[366.0386666666667, 2119.5201333333334, 41.942, 0, 0, 0]","[0.04186666666666667, 0.009333333333333334, 0.0088, 0, 0, 0]","[0.02866666666666667, 0.0018666666666666666, 0.0, 0, 0, 0]","[3928.961333333333, 15060.479866666667, 34318.058, 4295, 17180, 34360]","[371.9581333333333, 359.99066666666664, 376.5312, 372.0, 360.0, 376.54]","[199.97133333333332, 304.9981333333333, 266.75, 200.0, 305.0, 266.75]","[(9, 0.0, 0.0072388888888888885), (4, 0.0, 0.001227777777777778), (1, 0.0, 0.0008555555555555556), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4017, 67.1, 10.10276111111111), (16101, 51.900000000000006, 6.188772222222222), (32211, 58.2, 11.639144444444444), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
7,"[43.410275502606105, 23.994075536904468, 23.927751225870523, 0.0, 0.0, 0.0]","[3, 2, 2, 0, 0, 0]","[872.9385439198235, 1512.950311695287, 3855.147098787902, 0, 0, 0]","[3156.0614560801764, 6589.049688304713, 12255.852901212098, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1749, 1944, 3855, 0, 0, 0]","[760.5649333333332, 95.7688, 548.0538666666667, 0, 0, 0]","[0.0392, 0.0096, 0.048, 0, 0, 0]","[0.029733333333333334, 0.0004000000000000001, 0.0032, 0, 0, 0]","[3534.435066666667, 17084.2312, 33811.94613333333, 4295, 17180, 34360]","[371.9608, 359.9904, 376.492, 372.0, 360.0, 376.54]","[199.97026666666667, 304.9996, 266.7468, 200.0, 305.0, 266.75]","[(7, 0.00011666666666666667, 0.007350000000000001), (3, 0.0, 0.0015055555555555556), (4, 0.05115, 0.037738888888888884), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.09988333333332, 10.102649999999999), (16102, 51.900000000000006, 6.188494444444444), (32208, 58.14885, 11.60226111111111), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
8,"[39.71208736659221, 34.78153542335226, 23.927751225870523, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[969.69570942954, 1333.7873127231385, 1250.0262377682147, 0, 0, 0]","[3059.30429057046, 6768.212687276861, 14860.973762231784, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1600, 2818, 3855, 0, 0, 0]","[444.59506666666664, 243.87880000000004, 743.7884, 0, 0, 0]","[0.016666666666666666, 0.009066666666666666, 0.009866666666666668, 0, 0, 0]","[0.0124, 0.00013333333333333337, 0.0012, 0, 0, 0]","[3850.4049333333332, 16936.1212, 33616.2116, 4295, 17180, 34360]","[371.98333333333335, 359.9909333333333, 376.53013333333337, 372.0, 360.0, 376.54]","[199.9876, 304.99986666666666, 266.7488, 200.0, 305.0, 266.75]","[(5, 0.0, 0.0016888888888888889), (6, 0.0, 0.0011055555555555554), (4, 0.06125, 0.02627222222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.10831111111111), (16099, 51.900000000000006, 6.188894444444444), (32208, 58.13875, 11.613727777777777), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
9,"[35.79051873914123, 30.720809676623055, 25.076035007137982, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[433.1775814580644, 2443.7693088778597, 2060.4280407364645, 0, 0, 0]","[3595.822418541936, 5658.23069112214, 14050.571959263536, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1442, 2489, 4040, 0, 0, 0]","[479.3721333333333, 152.21640000000002, 675.2814666666666, 0, 0, 0]","[0.02, 0.009866666666666668, 0.5984, 0, 0, 0]","[0.0156, 0.0006666666666666668, 0.0148, 0, 0, 0]","[3815.6278666666667, 17027.7836, 33684.71853333333, 4295, 17180, 34360]","[371.98, 359.99013333333335, 375.9416, 372.0, 360.0, 376.54]","[199.9844, 304.9993333333333, 266.7352, 200.0, 305.0, 266.75]","[(3, 1.666666666666667e-05, 0.0016444444444444445), (7, 0.0, 0.0011777777777777778), (4, 0.0038666666666666667, 0.07711666666666665), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.09998333333333, 10.108355555555555), (16098, 51.900000000000006, 6.188822222222222), (32208, 58.196133333333336, 11.562883333333332), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
10,"[23.504591710101764, 61.91063934830906, 12.786295077897089, 0.0, 0.0, 0.0]","[2, 5, 1, 0, 0, 0]","[756.3805471935495, 2667.0480987022297, 1039.8789760935626, 0, 0, 0]","[3272.6194528064507, 5434.951901297771, 15071.121023906437, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[947, 5016, 2060, 0, 0, 0]","[62.388000000000005, 169.34093333333334, 131.42066666666662, 0, 0, 0]","[0.0038666666666666663, 0.010133333333333333, 0.4332, 0, 0, 0]","[0.0038666666666666663, 0.0004000000000000001, 0.009066666666666666, 0, 0, 0]","[4232.612, 17010.659066666667, 34228.579333333335, 4295, 17180, 34360]","[371.9961333333333, 359.98986666666667, 376.1068, 372.0, 360.0, 376.54]","[199.99613333333335, 304.9996, 266.7409333333333, 200.0, 305.0, 266.75]","[(2, 0.0, 6.666666666666667e-05), (10, 0.0, 0.0016666666666666663), (1, 0.0002833333333333333, 0.09404444444444444), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4024, 67.1, 10.109933333333332), (16095, 51.900000000000006, 6.188333333333333), (32211, 58.19971666666667, 11.545955555555555), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
