interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram_s,ram_r,ram_w,ramavailable_s,ramavailable_r,ramavailable_w,disk,diskavailable,cpufailures,ramfailures
11,"[35.39339786547531, 41.12564798815107, 34.06989013717336, 0.0, 0.0, 0.0]","[3, 3, 3, 0, 0, 0]","[953.645588769343, 2311.21181565776, 2955.389211694612, 0, 0, 0]","[3075.354411230657, 5790.78818434224, 13155.610788305388, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1426, 3332, 5489, 0, 0, 0]","[129.322, 170.56719999999999, 2797.5993333333336, 0, 0, 0]","[0.0132, 0.010266666666666667, 0.43493333333333334, 0, 0, 0]","[0.0038666666666666667, 0.0022666666666666664, 0.005200000000000001, 0, 0, 0]","[4165.678, 17009.4328, 31562.40066666667, 4295, 17180, 34360]","[371.9868, 359.98973333333333, 376.1050666666667, 372.0, 360.0, 376.54]","[199.99613333333335, 304.9977333333333, 266.7448, 200.0, 305.0, 266.75]","[(3, 0.0, 0.0011444444444444445), (6, 0.0, 0.003827777777777778), (4, 0.0, 0.054072222222222216), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.108855555555555), (16099, 51.900000000000006, 6.186172222222222), (32208, 58.2, 11.585927777777776), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
12,"[40.90344998758997, 41.98963218958282, 32.9153994165477, 0.0, 0.0, 0.0]","[3, 3, 3, 0, 0, 0]","[396.5155755317726, 1824.54661804985, 2920.62557824519, 0, 0, 0]","[3632.484424468227, 6277.45338195015, 13190.37442175481, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1648, 3402, 5303, 0, 0, 0]","[139.10973333333334, 44.64933333333332, 2339.022, 0, 0, 0]","[0.009333333333333334, 0.0006666666666666666, 0.0088, 0, 0, 0]","[0.0, 0.0, 0.002, 0, 0, 0]","[4155.890266666666, 17135.350666666665, 32020.978, 4295, 17180, 34360]","[371.99066666666664, 359.9993333333333, 376.5312, 372.0, 360.0, 376.54]","[200.0, 305.0, 266.748, 200.0, 305.0, 266.75]","[(3, 0.042083333333333334, 0.015972222222222224), (6, 0.0, 0.0006500000000000002), (4, 0.04548333333333333, 0.017088888888888886), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.05791666666666, 10.094027777777777), (16099, 51.900000000000006, 6.189349999999999), (32208, 58.154516666666666, 11.62291111111111), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
13,"[27.773641102010426, 56.83781782275982, 37.40922351188629, 0.0, 0.0, 0.0]","[2, 4, 3, 0, 0, 0]","[1008.8647718320944, 2298.535022429533, 4012.9249337990805, 0, 0, 0]","[3020.1352281679056, 5803.464977570467, 12098.07506620092, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1119, 4605, 6027, 0, 0, 0]","[44.5624, 110.9724, 2649.3998666666666, 0, 0, 0]","[0.0002666666666666667, 0.01, 0.009733333333333333, 0, 0, 0]","[0.0002666666666666667, 0.004533333333333334, 0.002266666666666667, 0, 0, 0]","[4250.4376, 17069.0276, 31710.600133333333, 4295, 17180, 34360]","[371.9997333333333, 359.99, 376.5302666666667, 372.0, 360.0, 376.54]","[199.99973333333332, 304.9954666666667, 266.7477333333333, 200.0, 305.0, 266.75]","[(4, 0.0, 0.00015000000000000001), (8, 0.0, 0.001622222222222222), (4, 0.0, 0.0014777777777777777), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.10985), (16097, 51.900000000000006, 6.188377777777777), (32208, 58.2, 11.638522222222221), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
14,"[40.680069496152896, 28.943470747963467, 53.54726584321271, 0.0, 0.0, 0.0]","[3, 2, 4, 0, 0, 0]","[875.6403997820598, 2153.8425629533012, 6795.281647315561, 0, 0, 0]","[3153.35960021794, 5948.157437046699, 9315.718352684438, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1639, 2345, 8627, 0, 0, 0]","[55.223066666666654, 0.0, 801.1097333333333, 0, 0, 0]","[0.0, 0.0092, 0.019333333333333334, 0, 0, 0]","[0.0, 0.002, 0.002, 0, 0, 0]","[4239.776933333334, 17180.0, 33558.89026666667, 4295, 17180, 34360]","[372.0, 359.9908, 376.52066666666667, 372.0, 360.0, 376.54]","[200.0, 304.998, 266.748, 200.0, 305.0, 266.75]","[(7, 0.0, 0.00010555555555555555), (3, 0.0, 0.001027777777777778), (7, 1.666666666666667e-05, 0.0037777777777777775), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.109894444444445), (16102, 51.900000000000006, 6.188972222222222), (32205, 58.199983333333336, 11.636222222222221), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
15,"[35.0210970464135, 40.65662799308813, 53.54726584321271, 0.0, 0.0, 0.0]","[3, 3, 4, 0, 0, 0]","[810.5402084637642, 575.6752832482554, 3385.2043618905554, 0, 0, 0]","[3218.4597915362356, 7526.324716751745, 12725.795638109445, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1411, 3294, 8627, 0, 0, 0]","[15.5512, 190.1416, 884.9965333333333, 0, 0, 0]","[0.0077333333333333325, 0.018666666666666668, 0.025333333333333333, 0, 0, 0]","[0.004, 0.002266666666666667, 0.0038666666666666663, 0, 0, 0]","[4279.4488, 16989.8584, 33475.00346666667, 4295, 17180, 34360]","[371.9922666666667, 359.98133333333334, 376.5146666666667, 372.0, 360.0, 376.54]","[199.996, 304.9977333333333, 266.7461333333333, 200.0, 305.0, 266.75]","[(9, 0.0, 0.00018888888888888888), (4, 0.0, 0.00215), (7, 0.0, 0.0035388888888888887), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4017, 67.1, 10.10981111111111), (16101, 51.900000000000006, 6.187849999999999), (32205, 58.2, 11.63646111111111), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
16,"[39.066765946885084, 25.709701308318934, 56.59487306809012, 0.0, 0.0, 0.0]","[3, 2, 4, 0, 0, 0]","[844.1950963825909, 1599.1601208963327, 5827.29355316283, 0, 0, 0]","[3184.804903617409, 6502.839879103667, 10283.70644683717, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1574, 2083, 9118, 0, 0, 0]","[379.2328, 872.4143999999999, 3869.9412, 0, 0, 0]","[0.008, 15.335999999999999, 0.5367999999999999, 0, 0, 0]","[0.004, 4.983733333333333, 0.027200000000000002, 0, 0, 0]","[3915.7672000000002, 16307.5856, 30490.0588, 4295, 17180, 34360]","[371.992, 344.664, 376.0032, 372.0, 360.0, 376.54]","[199.996, 300.01626666666664, 266.7228, 200.0, 305.0, 266.75]","[(7, 0.0, 0.0004777777777777778), (3, 0.0, 0.017383333333333334), (7, 0.0, 0.011961111111111112), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.109522222222221), (16102, 51.900000000000006, 6.172616666666666), (32205, 58.2, 11.628038888888888), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
17,"[42.0451724993795, 42.224142187114296, 42.7161566631494, 0.0, 0.0, 0.0]","[3, 3, 3, 0, 0, 0]","[1526.35098754479, 2469.5003619056383, 4141.334336678612, 0, 0, 0]","[2502.64901245521, 5632.499638094361, 11969.665663321388, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1694, 3421, 6882, 0, 0, 0]","[513.7997333333333, 1391.2836, 3528.8052000000002, 0, 0, 0]","[0.017066666666666667, 38.018, 0.034800000000000005, 0, 0, 0]","[0.004266666666666667, 4.972533333333334, 0.004666666666666668, 0, 0, 0]","[3781.2002666666667, 15788.7164, 30831.1948, 4295, 17180, 34360]","[371.98293333333334, 321.98199999999997, 376.5052, 372.0, 360.0, 376.54]","[199.99573333333333, 300.02746666666667, 266.74533333333335, 200.0, 305.0, 266.75]","[(7, 0.0, 0.0015500000000000002), (5, 0.0, 0.006361111111111111), (4, 0.04608333333333333, 0.01778888888888889), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.10845), (16100, 51.900000000000006, 6.183638888888888), (32208, 58.15391666666667, 11.62221111111111), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
18,"[59.84115165053363, 30.523327573438657, 47.042393395816525, 0.0, 0.0, 0.0]","[4, 2, 3, 0, 0, 0]","[1356.2046525966498, 1319.7662014688208, 3692.6880174908756, 0, 0, 0]","[2672.79534740335, 6782.233798531179, 12418.311982509123, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2411, 2473, 7579, 0, 0, 0]","[1195.7227999999998, 747.196, 3721.0445333333337, 0, 0, 0]","[0.02933333333333333, 32.2192, 0.22146666666666662, 0, 0, 0]","[0.03866666666666667, 5.159466666666666, 0.6881333333333334, 0, 0, 0]","[3099.2772000000004, 16432.804, 30638.955466666666, 4295, 17180, 34360]","[371.97066666666666, 327.7808, 376.31853333333333, 372.0, 360.0, 376.54]","[199.96133333333333, 299.8405333333333, 266.0618666666667, 200.0, 305.0, 266.75]","[(8, 1.666666666666667e-05, 0.004838888888888889), (4, 0.0, 0.00225), (4, 0.0008333333333333333, 0.512788888888889), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.09998333333333, 10.10516111111111), (16101, 51.900000000000006, 6.187749999999999), (32208, 58.19916666666667, 11.12721111111111), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
19,"[48.821047406304295, 42.15008639842014, 51.269319098752405, 0.0, 0.0, 0.0]","[3, 3, 3, 0, 0, 0]","[324.07683067997914, 1611.8678830969861, 4319.269723123817, 0, 0, 0]","[3704.923169320021, 6490.132116903014, 11791.730276876184, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1967, 3415, 8260, 0, 0, 0]","[1146.4411999999998, 669.9493333333332, 3326.778533333333, 0, 0, 0]","[0.021333333333333333, 0.0064, 0.18719999999999995, 0, 0, 0]","[0.03493333333333333, 0.010666666666666666, 0.6858666666666667, 0, 0, 0]","[3148.5588000000002, 16510.050666666666, 31033.221466666666, 4295, 17180, 34360]","[371.97866666666664, 359.9936, 376.3528, 372.0, 360.0, 376.54]","[199.96506666666667, 304.9893333333333, 266.06413333333336, 200.0, 305.0, 266.75]","[(5, 0.0, 0.009566666666666668), (8, 0.04546666666666667, 0.01126111111111111), (3, 0.0008333333333333333, 0.5119722222222223), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.100433333333333), (16097, 51.854533333333336, 6.178738888888889), (32209, 58.19916666666667, 11.128027777777776), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
20,"[31.868950111690246, 47.679585287583315, 48.94171683942648, 0.0, 0.0, 0.0]","[2, 4, 3, 0, 0, 0]","[446.2848497873626, 2594.0585786868633, 2286.9362980124442, 0, 0, 0]","[3582.7151502126376, 5507.941421313137, 13824.063701987556, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1284, 3863, 7885, 0, 0, 0]","[445.294, 537.9164000000001, 1081.4292, 0, 0, 0]","[0.006533333333333334, 0.009333333333333332, 0.009733333333333333, 0, 0, 0]","[0.0006666666666666666, 0.008266666666666665, 0.0005333333333333334, 0, 0, 0]","[3849.706, 16642.083599999998, 33278.5708, 4295, 17180, 34360]","[371.9934666666667, 359.99066666666664, 376.5302666666667, 372.0, 360.0, 376.54]","[199.99933333333334, 304.99173333333334, 266.74946666666665, 200.0, 305.0, 266.75]","[(4, 1.666666666666667e-05, 0.04749444444444444), (10, 0.0006833333333333333, 0.0038444444444444433), (5, 0.0032833333333333334, 0.003172222222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.09998333333333, 10.062505555555555), (16095, 51.89931666666667, 6.186155555555555), (32207, 58.19671666666667, 11.636827777777777), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
21,"[32.61355174981385, 58.31893359664281, 31.4071131525045, 0.0, 0.0, 0.0]","[2, 5, 2, 0, 0, 0]","[1150.397525818256, 867.9083392212368, 1275.279954468995, 0, 0, 0]","[2878.6024741817437, 7234.091660778763, 14835.720045531005, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1314, 4725, 5060, 0, 0, 0]","[161.4796, 598.3829333333333, 559.9385333333335, 0, 0, 0]","[0.009066666666666666, 0.0136, 0.017333333333333333, 0, 0, 0]","[0.0002666666666666667, 0.04906666666666666, 0.0018666666666666664, 0, 0, 0]","[4133.5204, 16581.617066666666, 33800.061466666666, 4295, 17180, 34360]","[371.9909333333333, 359.9864, 376.5226666666667, 372.0, 360.0, 376.54]","[199.99973333333332, 304.95093333333335, 266.7481333333333, 200.0, 305.0, 266.75]","[(6, 0.0, 0.0011611111111111112), (11, 0.010133333333333333, 0.0026166666666666664), (4, 0.0, 0.3503166666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.108838888888888), (16094, 51.88986666666667, 6.187383333333333), (32208, 58.2, 11.289683333333333), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
