interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram_s,ram_r,ram_w,ramavailable_s,ramavailable_r,ramavailable_w,disk,diskavailable,cpufailures,ramfailures
1,"[13.799950359890792, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[311.8973950771332, 0, 0, 0, 0, 0]","[3717.1026049228667, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[556, 0, 0, 0, 0, 0]","[21.232666666666667, 0, 0, 0, 0, 0]","[0.0, 0, 0, 0, 0, 0]","[0.0, 0, 0, 0, 0, 0]","[4273.767333333333, 17180, 34360, 4295, 17180, 34360]","[372.0, 360.0, 376.54, 372.0, 360.0, 376.54]","[200.0, 305.0, 266.75, 200.0, 305.0, 266.75]","[(3, 0.0, 8.333333333333333e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.109916666666667), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
2,"[26.73119880863738, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[498.3846518486158, 0, 0, 0, 0, 0]","[3530.6153481513843, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1077, 0, 0, 0, 0, 0]","[110.97266666666667, 0, 0, 0, 0, 0]","[0.009333333333333334, 0, 0, 0, 0, 0]","[0.00013333333333333337, 0, 0, 0, 0, 0]","[4184.027333333333, 17180, 34360, 4295, 17180, 34360]","[371.99066666666664, 360.0, 376.54, 372.0, 360.0, 376.54]","[199.99986666666666, 305.0, 266.75, 200.0, 305.0, 266.75]","[(4, 0.0, 0.0012666666666666668), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.108733333333333), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
3,"[29.982625961777114, 11.972352505554184, 0.0, 0.0, 0.0, 0.0]","[2, 1, 0, 0, 0, 0]","[1117.617090075866, 960.3441183327393, 0, 0, 0, 0]","[2911.382909924134, 7141.6558816672605, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1208, 970, 0, 0, 0, 0]","[118.57546666666667, 29.3588, 0, 0, 0, 0]","[0.009333333333333334, 0.0004, 0, 0, 0, 0]","[0.00013333333333333337, 0.0012, 0, 0, 0, 0]","[4176.424533333333, 17150.6412, 34360, 4295, 17180, 34360]","[371.99066666666664, 359.9996, 376.54, 372.0, 360.0, 376.54]","[199.99986666666666, 304.9988, 266.75, 200.0, 305.0, 266.75]","[(2, 0.0, 0.0010722222222222222), (1, 0.0, 0.000988888888888889), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4024, 67.1, 10.108927777777778), (16104, 51.900000000000006, 6.18901111111111), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
4,"[49.36708860759494, 11.972352505554184, 0.0, 0.0, 0.0, 0.0]","[3, 1, 0, 0, 0, 0]","[1308.4287283251022, 907.7776025314058, 0, 0, 0, 0]","[2720.5712716748976, 7194.222397468594, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1989, 970, 0, 0, 0, 0]","[197.21786666666668, 92.274, 0, 0, 0, 0]","[0.0856, 0.0, 0, 0, 0, 0]","[0.0026666666666666666, 0.0008, 0, 0, 0, 0]","[4097.782133333333, 17087.726, 34360, 4295, 17180, 34360]","[371.9144, 360.0, 376.54, 372.0, 360.0, 376.54]","[199.99733333333333, 304.9992, 266.75, 200.0, 305.0, 266.75]","[(5, 0.0, 0.00873888888888889), (1, 0.0, 0.0006555555555555556), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.10126111111111), (16104, 51.900000000000006, 6.189344444444444), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
5,"[50.235790518739144, 22.772155023451, 0.0, 0.0, 0.0, 0.0]","[3, 2, 0, 0, 0, 0]","[975.3516140918692, 531.1208804818593, 0, 0, 0, 0]","[3053.648385908131, 7570.87911951814, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2024, 1845, 0, 0, 0, 0]","[203.59613333333337, 71.21386666666666, 0, 0, 0, 0]","[0.07626666666666668, 0.0004, 0, 0, 0, 0]","[0.002533333333333333, 0.0014666666666666665, 0, 0, 0, 0]","[4091.4038666666665, 17108.786133333335, 34360, 4295, 17180, 34360]","[371.92373333333336, 359.9996, 376.54, 372.0, 360.0, 376.54]","[199.99746666666667, 304.99853333333334, 266.75, 200.0, 305.0, 266.75]","[(7, 0.0, 0.0006222222222222224), (4, 0.0, 0.0006277777777777777), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.109377777777777), (16101, 51.900000000000006, 6.189372222222222), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
6,"[49.193348225366094, 23.833621328067146, 9.94972379119856, 0.0, 0.0, 0.0]","[3, 2, 1, 0, 0, 0]","[452.02184410195173, 1710.023054012498, 833.3054562028785, 0, 0, 0]","[3576.9781558980485, 6391.976945987502, 15277.69454379712, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1982, 1931, 1603, 0, 0, 0]","[648.7164000000001, 168.29559999999998, 2281.7012, 0, 0, 0]","[1.1837333333333333, 0.0, 0.0010666666666666667, 0, 0, 0]","[0.32693333333333335, 0.0, 0.002133333333333334, 0, 0, 0]","[3646.2835999999998, 17011.7044, 32078.2988, 4295, 17180, 34360]","[370.81626666666665, 360.0, 376.5389333333334, 372.0, 360.0, 376.54]","[199.67306666666667, 305.0, 266.74786666666665, 200.0, 305.0, 266.75]","[(7, 0.0, 0.004383333333333335), (5, 0.0, 0.0002666666666666667), (3, 0.0032, 0.001277777777777778), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.105616666666666), (16100, 51.900000000000006, 6.189733333333333), (32209, 58.1968, 11.63872222222222), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
7,"[28.76644328617523, 45.371513206615646, 9.94972379119856, 0.0, 0.0, 0.0]","[2, 4, 1, 0, 0, 0]","[774.2445795177084, 2245.6785861746603, 1392.7419302419803, 0, 0, 0]","[3254.755420482292, 5856.32141382534, 14718.25806975802, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1159, 3676, 1603, 0, 0, 0]","[912.9578666666666, 3562.1844000000006, 2002.0801333333332, 0, 0, 0]","[0.038666666666666655, 1.6028000000000002, 0.0, 0, 0, 0]","[0.053333333333333344, 0.05160000000000001, 0.0014666666666666665, 0, 0, 0]","[3382.0421333333334, 13617.8156, 32357.919866666667, 4295, 17180, 34360]","[371.96133333333336, 358.3972, 376.54, 372.0, 360.0, 376.54]","[199.94666666666666, 304.9484, 266.74853333333334, 200.0, 305.0, 266.75]","[(2, 0.0, 0.003477777777777778), (11, 0.0, 0.009533333333333335), (3, 0.0, 9.999999999999999e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4024, 67.1, 10.106522222222221), (16094, 51.900000000000006, 6.180466666666666), (32209, 58.2, 11.639899999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
8,"[39.26532638371805, 34.57171068871884, 29.43951337595432, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[1572.7208030558627, 1306.5407145455276, 1895.7980883880082, 0, 0, 0]","[2456.2791969441373, 6795.459285454473, 14215.201911611992, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1582, 2801, 4743, 0, 0, 0]","[664.7936000000002, 3313.1484, 2379.2171999999996, 0, 0, 0]","[0.012533333333333334, 0.18346666666666664, 0.0006666666666666668, 0, 0, 0]","[0.035333333333333335, 0.0036, 0.0017333333333333335, 0, 0, 0]","[3630.2064, 13866.8516, 31980.7828, 4295, 17180, 34360]","[371.98746666666665, 359.8165333333333, 376.53933333333333, 372.0, 360.0, 376.54]","[199.96466666666666, 304.9964, 266.74826666666667, 200.0, 305.0, 266.75]","[(3, 0.0, 0.00375), (8, 0.0, 0.00841111111111111), (4, 0.0, 0.0008944444444444445), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.10625), (16097, 51.900000000000006, 6.181588888888888), (32208, 58.2, 11.639105555555554), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
9,"[51.99801439563168, 21.52554924709948, 40.432002979330896, 0.0, 0.0, 0.0]","[4, 2, 3, 0, 0, 0]","[349.21228526260575, 616.5740950097975, 1746.7766281727716, 0, 0, 0]","[3679.7877147373943, 7485.425904990203, 14364.22337182723, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2095, 1744, 6514, 0, 0, 0]","[598.3836, 2921.3304000000003, 3023.0418666666665, 0, 0, 0]","[0.014266666666666667, 0.0002666666666666667, 0.03293333333333333, 0, 0, 0]","[0.04546666666666666, 0.0018666666666666664, 0.02146666666666667, 0, 0, 0]","[3696.6164, 14258.6696, 31336.958133333334, 4295, 17180, 34360]","[371.9857333333333, 359.9997333333333, 376.5070666666667, 372.0, 360.0, 376.54]","[199.95453333333333, 304.9981333333333, 266.72853333333336, 200.0, 305.0, 266.75]","[(6, 0.0, 0.0036111111111111114), (6, 0.0, 0.0005277777777777779), (7, 0.0, 0.016877777777777776), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.106388888888889), (16099, 51.900000000000006, 6.189472222222221), (32205, 58.2, 11.623122222222221), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
10,"[26.160337552742618, 48.136262651197235, 22.022220842902364, 0.0, 0.0, 0.0]","[2, 4, 2, 0, 0, 0]","[1054.4555849409808, 2053.4353193045467, 3546.2296071394044, 0, 0, 0]","[2974.5444150590192, 6048.564680695454, 12564.770392860595, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1054, 3900, 3548, 0, 0, 0]","[30.5824, 3231.0096, 956.3004, 0, 0, 0]","[0.0077333333333333325, 0.0048000000000000004, 0.032266666666666666, 0, 0, 0]","[0.007866666666666666, 0.011066666666666666, 0.012266666666666665, 0, 0, 0]","[4264.4176, 13948.9904, 33403.6996, 4295, 17180, 34360]","[371.9922666666667, 359.9952, 376.50773333333336, 372.0, 360.0, 376.54]","[199.99213333333333, 304.9889333333333, 266.7377333333333, 200.0, 305.0, 266.75]","[(4, 0.0, 8.88888888888889e-05), (12, 0.0, 0.0028777777777777777), (6, 1.666666666666667e-05, 0.018977777777777777), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.10991111111111), (16093, 51.900000000000006, 6.1871222222222215), (32206, 58.199983333333336, 11.621022222222221), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
