interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram_s,ram_r,ram_w,ramavailable_s,ramavailable_r,ramavailable_w,disk,diskavailable,cpufailures,ramfailures
1,"[12.161826756018863, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[431.20079432063125, 0, 0, 0, 0, 0]","[3597.7992056793687, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[490, 0, 0, 0, 0, 0]","[21.932133333333336, 0, 0, 0, 0, 0]","[0.0, 0, 0, 0, 0, 0]","[0.0, 0, 0, 0, 0, 0]","[4273.067866666666, 17180, 34360, 4295, 17180, 34360]","[372.0, 360.0, 376.54, 372.0, 360.0, 376.54]","[200.0, 305.0, 266.75, 200.0, 305.0, 266.75]","[(1, 0.0, 2.7777777777777776e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4025, 67.1, 10.109972222222222), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
2,"[30.4542069992554, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[742.0110957684107, 0, 0, 0, 0, 0]","[3286.9889042315895, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1227, 0, 0, 0, 0, 0]","[145.92546666666667, 0, 0, 0, 0, 0]","[0.009466666666666667, 0, 0, 0, 0, 0]","[0.00013333333333333337, 0, 0, 0, 0, 0]","[4149.074533333333, 17180, 34360, 4295, 17180, 34360]","[371.99053333333336, 360.0, 376.54, 372.0, 360.0, 376.54]","[199.99986666666666, 305.0, 266.75, 200.0, 305.0, 266.75]","[(2, 0.0, 0.0011222222222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4024, 67.1, 10.108877777777778), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
3,"[47.704144949118884, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, 0, 0, 0, 0, 0]","[1003.9372145304551, 0, 0, 0, 0, 0]","[3025.062785469545, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1922, 0, 0, 0, 0, 0]","[70.6892, 0, 0, 0, 0, 0]","[0.009333333333333334, 0, 0, 0, 0, 0]","[0.00013333333333333337, 0, 0, 0, 0, 0]","[4224.3108, 17180, 34360, 4295, 17180, 34360]","[371.99066666666664, 360.0, 376.54, 372.0, 360.0, 376.54]","[199.99986666666666, 305.0, 266.75, 200.0, 305.0, 266.75]","[(4, 0.0, 0.0011833333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.108816666666666), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
4,"[42.88905435591958, 17.09454455689953, 0.0, 0.0, 0.0, 0.0]","[3, 1, 0, 0, 0, 0]","[1173.832632417465, 1114.1609034516462, 0, 0, 0, 0]","[2855.167367582535, 6987.839096548354, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1728, 1385, 0, 0, 0, 0]","[190.05173333333335, 50.3308, 0, 0, 0, 0]","[0.0009333333333333333, 0.0009333333333333333, 0, 0, 0, 0]","[0.0008, 0.0002666666666666667, 0, 0, 0, 0]","[4104.948266666666, 17129.6692, 34360, 4295, 17180, 34360]","[371.9990666666667, 359.9990666666667, 376.54, 372.0, 360.0, 376.54]","[199.9992, 304.9997333333333, 266.75, 200.0, 305.0, 266.75]","[(6, 0.0, 0.0008222222222222222), (2, 0.0, 0.0005999999999999998), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.109177777777777), (16103, 51.900000000000006, 6.189399999999999), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
5,"[45.54480019856044, 32.707973339916066, 0.0, 0.0, 0.0, 0.0]","[3, 2, 0, 0, 0, 0]","[586.5800781499361, 2169.526200821184, 0, 0, 0, 0]","[3442.419921850064, 5932.473799178816, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1835, 2650, 0, 0, 0, 0]","[129.67146666666667, 1052.7688, 0, 0, 0, 0]","[0.0010666666666666667, 0.0018666666666666666, 0, 0, 0, 0]","[0.007866666666666666, 0.002933333333333333, 0, 0, 0, 0]","[4165.328533333333, 16127.2312, 34360, 4295, 17180, 34360]","[371.99893333333335, 359.9981333333333, 376.54, 372.0, 360.0, 376.54]","[199.99213333333333, 304.9970666666667, 266.75, 200.0, 305.0, 266.75]","[(6, 0.0, 0.00021666666666666666), (4, 0.012733333333333334, 0.00645), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.109783333333333), (16101, 51.88726666666667, 6.183549999999999), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
6,"[39.83618763961281, 46.48235003702789, 0.0, 0.0, 0.0, 0.0]","[3, 3, 0, 0, 0, 0]","[840.31538702525, 2343.3532217233205, 0, 0, 0, 0]","[3188.68461297475, 5758.6467782766795, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1605, 3766, 0, 0, 0, 0]","[114.64080000000001, 959.0956000000002, 0, 0, 0, 0]","[0.0002666666666666667, 0.025733333333333334, 0, 0, 0, 0]","[0.0002666666666666667, 0.38013333333333327, 0, 0, 0, 0]","[4180.3592, 16220.9044, 34360, 4295, 17180, 34360]","[371.9997333333333, 359.97426666666667, 376.54, 372.0, 360.0, 376.54]","[199.99973333333332, 304.61986666666667, 266.75, 200.0, 305.0, 266.75]","[(7, 0.0, 0.0001388888888888889), (7, 0.0002833333333333333, 0.0036222222222222237), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.10986111111111), (16098, 51.89971666666667, 6.1863777777777775), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
7,"[42.76495408289898, 41.853863243643545, 13.605611073179816, 0.0, 0.0, 0.0]","[3, 3, 1, 0, 0, 0]","[838.0977621216089, 1565.0392400161456, 1492.620801770176, 0, 0, 0]","[3190.902237878391, 6536.960759983855, 14618.379198229824, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1723, 3391, 2192, 0, 0, 0]","[22.01693333333333, 1126.8684, 15.552933333333332, 0, 0, 0]","[0.0, 0.02626666666666666, 0.0, 0, 0, 0]","[0.0, 0.38106666666666666, 0.0, 0, 0, 0]","[4272.983066666667, 16053.1316, 34344.44706666667, 4295, 17180, 34360]","[372.0, 359.9737333333333, 376.54, 372.0, 360.0, 376.54]","[200.0, 304.61893333333336, 266.75, 200.0, 305.0, 266.75]","[(5, 0.0, 0.0012000000000000001), (8, 0.00035, 0.00575), (2, 0.0, 7.777777777777777e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.108799999999999), (16097, 51.89965000000001, 6.18425), (32210, 58.2, 11.639922222222221), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
8,"[43.6584760486473, 38.69414959269316, 23.66705977282602, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[1011.2031709174256, 1925.9983107930452, 3203.362773883211, 0, 0, 0]","[3017.7968290825743, 6176.001689206954, 12907.637226116789, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1759, 3135, 3813, 0, 0, 0]","[1860.6941333333336, 248.8613333333333, 336.0668, 0, 0, 0]","[0.0010666666666666667, 0.009466666666666667, 0.0, 0, 0, 0]","[0.0018666666666666664, 0.002266666666666667, 0.0, 0, 0, 0]","[2434.3058666666666, 16931.138666666666, 34023.9332, 4295, 17180, 34360]","[371.99893333333335, 359.99053333333336, 376.54, 372.0, 360.0, 376.54]","[199.99813333333333, 304.9977333333333, 266.75, 200.0, 305.0, 266.75]","[(7, 0.0, 0.001388888888888889), (9, 0.0, 0.0022944444444444444), (5, 0.0, 0.0003611111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.108611111111111), (16096, 51.900000000000006, 6.187705555555555), (32207, 58.2, 11.639638888888888), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
9,"[45.56962025316456, 42.94001481115774, 34.61610080069518, 0.0, 0.0, 0.0]","[3, 3, 3, 0, 0, 0]","[1175.317532497631, 2420.4901687922165, 5088.750899595246, 0, 0, 0]","[2853.682467502369, 5681.5098312077835, 11022.249100404755, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1836, 3479, 5577, 0, 0, 0]","[2027.0696, 251.6572, 2454.888933333333, 0, 0, 0]","[0.007866666666666666, 0.0092, 0.0002666666666666667, 0, 0, 0]","[0.009466666666666667, 0.002, 0.0013333333333333333, 0, 0, 0]","[2267.9304, 16928.3428, 31905.11106666667, 4295, 17180, 34360]","[371.99213333333336, 359.9908, 376.53973333333334, 372.0, 360.0, 376.54]","[199.99053333333333, 304.998, 266.7486666666667, 200.0, 305.0, 266.75]","[(5, 0.0, 0.0015055555555555556), (7, 0.0, 0.0022444444444444443), (6, 0.0, 0.00019444444444444446), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.108494444444444), (16098, 51.900000000000006, 6.1877555555555555), (32206, 58.2, 11.639805555555554), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
10,"[40.53114916852817, 44.01382374722291, 52.467258394885484, 0.0, 0.0, 0.0]","[3, 3, 4, 0, 0, 0]","[755.5389586422042, 1657.4206847906469, 4057.9348434379417, 0, 0, 0]","[3273.4610413577957, 6444.579315209353, 12053.065156562057, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1633, 3566, 8453, 0, 0, 0]","[2346.6236000000004, 180.35426666666666, 2435.4904, 0, 0, 0]","[0.002133333333333334, 0.0088, 0.0092, 0, 0, 0]","[0.0036000000000000003, 0.0021333333333333334, 0.0019999999999999996, 0, 0, 0]","[1948.3763999999996, 16999.645733333335, 31924.5096, 4295, 17180, 34360]","[371.99786666666665, 359.9912, 376.5308, 372.0, 360.0, 376.54]","[199.9964, 304.99786666666665, 266.748, 200.0, 305.0, 266.75]","[(5, 0.0, 0.0011666666666666668), (5, 0.003833333333333334, 0.00401111111111111), (7, 1.666666666666667e-05, 0.0015500000000000002), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.108833333333333), (16100, 51.89616666666667, 6.185988888888889), (32205, 58.199983333333336, 11.638449999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
