interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable,numfailures
1,"[15.016133035492679, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[605.2074355786712, 0, 0, 0, 0, 0]","[3423.7925644213287, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[605, 0, 0, 0, 0, 0]","[(13.630799999999999, 0.002, 0.001), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4281.3692, 1859.998, 999.999), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(1, 0.0, 0.0003833333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4025, 67.1, 10.109616666666666), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
2,"[27.922561429635145, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[421.13663538143993, 0, 0, 0, 0, 0]","[3607.86336461856, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1125, 0, 0, 0, 0, 0]","[(21.32053333333333, 0.002, 0.001), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4273.6794666666665, 1859.998, 999.999), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.0003777777777777778), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.109622222222221), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
3,"[27.20277984611566, 14.095285114786474, 0.0, 0.0, 0.0, 0.0]","[2, 1, 0, 0, 0, 0]","[264.8407372849268, 802.9360123670964, 0, 0, 0, 0]","[3764.159262715073, 7299.063987632903, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1096, 1142, 0, 0, 0, 0]","[(8.2132, 0.0, 0.0), (4.194, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4286.7868, 1860.0, 1000.0), (17175.806, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.00019999999999999998), (1, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.1098), (16104, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
4,"[26.48299826259618, 27.869661811898293, 0.0, 0.0, 0.0, 0.0]","[2, 2, 0, 0, 0, 0]","[900.2618893044744, 2242.903933525782, 0, 0, 0, 0]","[3128.7381106955254, 5859.096066474218, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1067, 2258, 0, 0, 0, 0]","[(17.781333333333336, 0.0, 0.0), (10.4856, 0.0, 0.001), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4277.218666666667, 1860.0, 1000.0), (17169.5144, 1800.0, 1524.999), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.0, 4.4444444444444447e-05), (4, 0.0, 1.1111111111111112e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.109955555555555), (16101, 51.900000000000006, 6.189988888888888), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
5,"[38.66964507321916, 27.869661811898293, 0.0, 0.0, 0.0, 0.0]","[3, 2, 0, 0, 0, 0]","[744.0124260774799, 563.2678341234054, 0, 0, 0, 0]","[3284.98757392252, 7538.732165876595, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1558, 2258, 0, 0, 0, 0]","[(65.0974, 0.0, 0.0), (0.0, 0.0, 0.001), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4229.9026, 1860.0, 1000.0), (17180.0, 1800.0, 1524.999), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0004944444444444445), (4, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.109505555555556), (16101, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
6,"[39.612807148175726, 29.140952851147865, 12.358016262181119, 0.0, 0.0, 0.0]","[3, 2, 1, 0, 0, 0]","[1031.9584056673093, 628.7750658402916, 1076.6868189637923, 0, 0, 0]","[2997.0415943326907, 7473.224934159708, 15034.313181036208, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1596, 2361, 1991, 0, 0, 0]","[(63.65573333333332, 0.0, 0.0), (173.36426666666668, 0.0, 0.0012000000000000001), (81.0898, 0.004666666666666667, 6.666666666666668e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4231.344266666667, 1860.0, 1000.0), (17006.635733333333, 1800.0, 1524.9988), (34278.9102, 1882.6953333333333, 1333.7499333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 4.4444444444444447e-05), (6, 0.0, 0.004322222222222221), (1, 0.0, 0.0011055555555555554), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.109955555555555), (16099, 51.900000000000006, 6.185677777777777), (32211, 58.2, 11.638894444444443), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
7,"[50.45917101017622, 15.366576154036041, 30.718142883744026, 0.0, 0.0, 0.0]","[4, 1, 2, 0, 0, 0]","[751.2909906456914, 591.1169018593175, 990.9370936802097, 0, 0, 0]","[3277.7090093543084, 7510.883098140683, 15120.06290631979, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2033, 1245, 4949, 0, 0, 0]","[(151.99813333333333, 0.004733333333333333, 6.666666666666668e-05), (118.83813333333332, 0.0, 0.0004), (228.9386, 0.0048000000000000004, 0.00013333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4143.0018666666665, 1859.9952666666666, 999.9999333333334), (17061.161866666665, 1800.0, 1524.9996), (34131.0614, 1882.6952, 1333.7498666666668), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.0015166666666666666), (3, 0.0, 0.0038166666666666666), (4, 0.05556666666666666, 0.027688888888888884), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.108483333333332), (16102, 51.900000000000006, 6.186183333333333), (32208, 58.14443333333334, 11.61231111111111), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
8,"[45.56962025316456, 42.28585534435942, 18.353919682204705, 0.0, 0.0, 0.0]","[3, 3, 1, 0, 0, 0]","[1644.8451809609219, 2029.7358210386212, 0, 0, 0, 0]","[2384.154819039078, 6072.264178961379, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1836, 3426, 2957, 0, 0, 0]","[(149.5963333333333, 0.0052, 0.0014), (135.26486666666665, 0.0, 6.666666666666668e-05), (159.38326666666669, 0.00013333333333333334, 6.666666666666668e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4145.403666666667, 1859.9948, 999.9986), (17044.73513333333, 1800.0, 1524.9999333333333), (34200.616733333336, 1882.6998666666668, 1333.7499333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0705, 0.026655555555555554), (8, 0.0, 0.0038888888888888888), (3, 0.01295, 0.007627777777777777), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.0295, 10.083344444444444), (16097, 51.900000000000006, 6.186111111111111), (32209, 58.187050000000006, 11.632372222222221), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
9,"[60.21345246959543, 26.90693655887435, 12.786295077897089, 0.0, 0.0, 0.0]","[4, 2, 1, 0, 0, 0]","[1686.4269082788376, 544.0020058360076, 2060.4280407364645, 0, 0, 0]","[2342.573091721162, 7557.997994163992, 14050.571959263536, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2426, 2180, 2060, 0, 0, 0]","[(174.06246666666664, 0.004533333333333333, 0.001066666666666667), (16.513933333333334, 0.0, 0.0), (39.146666666666654, 0.29753333333333337, 0.0019333333333333331), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4120.937533333334, 1859.9954666666667, 999.9989333333333), (17163.48606666667, 1800.0, 1525.0), (34320.85333333333, 1882.4024666666667, 1333.7480666666668), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 1.666666666666667e-05, 0.001677777777777778), (5, 0.0, 1.1111111111111112e-05), (1, 0.003, 0.06097777777777777), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.09998333333333, 10.108322222222222), (16100, 51.900000000000006, 6.189988888888888), (32211, 58.197, 11.579022222222221), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
10,"[67.01414743112434, 47.54381634164404, 39.73061883185402, 0.0, 0.0, 0.0]","[4, 2, 2, 0, 0, 0]","[1505.1915331735283, 1944.1306675543447, 1039.8789760935626, 0, 0, 0]","[2523.808466826472, 6157.869332445655, 15071.121023906437, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2700, 3852, 6401, 0, 0, 0]","[(155.10039999999998, 0.0064, 0.0031333333333333335), (11.315466666666667, 0.1148, 0.10773333333333332), (163.5773333333333, 0.7477333333333334, 0.4419999999999999), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4139.8996, 1859.9936, 999.9968666666666), (17168.684533333333, 1799.8852, 1524.8922666666667), (34196.422666666665, 1881.9522666666667, 1333.308), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0015777777777777778), (4, 0.0, 0.0029500000000000004), (2, 0.0002833333333333333, 0.09551111111111112), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.108422222222222), (16101, 51.900000000000006, 6.187049999999999), (32210, 58.19971666666667, 11.544488888888887), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[1, 1, 1, 0, 0, 0]"
