interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable,numfailures
449,"[23.430131546289402, 49.92594421130585, 22.816709080752283, 0.0, 0.0, 0.0]","[2, 4, 2, 0, 0, 0]","[841.6222008459717, 3262.9184992701826, 2827.4834137884136, 0, 0, 0]","[3187.3777991540283, 4839.081500729817, 13283.516586211586, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[944, 4045, 3676, 0, 0, 0]","[(130.19726666666668, 12.107733333333337, 12.141999999999998), (204.12213333333332, 0.0046, 0.0010666666666666667), (1263.8833333333334, 0.0002, 0.0018), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4164.802733333333, 1847.8922666666667, 987.858), (16975.877866666666, 1799.9954, 1524.9989333333333), (33096.11666666667, 1882.6998, 1333.7482), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0004166666666666667, 0.0008500000000000001), (5, 1.666666666666667e-05, 0.0014277777777777778), (3, 0.0, 7.222222222222222e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.09958333333333, 10.10915), (16100, 51.89998333333334, 6.188572222222222), (32209, 58.2, 11.639927777777777), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
450,"[46.76098287416232, 49.92594421130585, 22.816709080752283, 0.0, 0.0, 0.0]","[3, 4, 2, 0, 0, 0]","[870.1434225147647, 1708.799051978778, 1492.2814312988123, 0, 0, 0]","[3158.8565774852354, 6393.200948021222, 14618.718568701188, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1884, 4045, 3676, 0, 0, 0]","[(200.4954, 10.277333333333333, 10.300333333333333), (159.38306666666668, 0.021333333333333336, 0.003933333333333333), (1224.7365333333335, 0.0, 0.0019333333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4094.5046, 1849.7226666666666, 989.6996666666666), (17020.616933333335, 1799.9786666666666, 1524.9960666666666), (33135.26346666666, 1882.7, 1333.7480666666668), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0020444444444444442), (5, 0.0014333333333333331, 0.0015277777777777776), (3, 0.0, 6.111111111111111e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.107955555555556), (16100, 51.898566666666675, 6.188472222222222), (32209, 58.2, 11.639938888888887), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[1, 0, 0, 0, 0, 0]"
451,"[49.86348969967734, 39.32362379659343, 39.60648004468996, 0.0, 0.0, 0.0]","[3, 3, 3, 0, 0, 0]","[1118.6318955619413, 805.5600047224181, 2622.631464886267, 0, 0, 0]","[2910.3681044380587, 7296.439995277582, 13488.368535113732, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2009, 3186, 6381, 0, 0, 0]","[(171.61579999999998, 0.0071333333333333335, 0.0038), (1248.5038000000002, 0.004666666666666666, 0.0009333333333333332), (1082.1298666666667, 0.0094, 0.0009333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4123.3842, 1859.9928666666667, 999.9962), (15931.4962, 1799.9953333333333, 1524.9990666666667), (33277.87013333333, 1882.6906000000001, 1333.7490666666667), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.0004166666666666667, 0.00225), (4, 0.0, 0.0018611111111111116), (7, 0.0, 0.0022944444444444444), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.09958333333333, 10.10775), (16101, 51.900000000000006, 6.188138888888888), (32205, 58.2, 11.637705555555554), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[1, 0, 0, 0, 0, 0]"
452,"[57.85554728220402, 31.25154282893113, 62.15008379368133, 0.0, 0.0, 0.0]","[3, 2, 4, 0, 0, 0]","[760.9816372485877, 1120.352497775195, 6562.8673781791285, 0, 0, 0]","[3268.0183627514125, 6981.647502224805, 9548.13262182087, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2331, 2532, 10013, 0, 0, 0]","[(197.48099999999997, 0.006999999999999999, 0.002466666666666667), (891.9878, 0.0048, 0.0009333333333333333), (1115.6840666666667, 0.013999999999999999, 0.0008666666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4097.519, 1859.993, 999.9975333333333), (16288.0122, 1799.9952, 1524.9990666666667), (33244.31593333333, 1882.6860000000001, 1333.7491333333332), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0705, 0.027077777777777774), (3, 0.0, 0.0012055555555555556), (9, 1.666666666666667e-05, 0.003255555555555555), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.0295, 10.082922222222221), (16102, 51.900000000000006, 6.188794444444444), (32203, 58.199983333333336, 11.636744444444444), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[1, 0, 0, 0, 0, 0]"
453,"[45.793000744601635, 36.86744013823747, 64.65768729439515, 0.0, 0.0, 0.0]","[2, 3, 4, 0, 0, 0]","[1261.7152027523462, 2110.8460159618926, 3116.9483906240334, 0, 0, 0]","[2767.284797247654, 5991.153984038107, 12994.051609375967, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1845, 2987, 10417, 0, 0, 0]","[(145.40206666666663, 0.004533333333333333, 0.0012000000000000003), (87.38106666666667, 0.012066666666666667, 0.0037333333333333333), (4890.5576, 0.6254666666666667, 0.04346666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4149.5979333333335, 1859.9954666666667, 999.9988), (17092.618933333335, 1799.9879333333333, 1524.9962666666668), (29469.4424, 1882.0745333333334, 1333.7065333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 1.666666666666667e-05, 0.001688888888888889), (6, 0.0, 0.0053), (10, 3.203133333333333, 0.7025111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.09998333333333, 10.10831111111111), (16099, 51.900000000000006, 6.184699999999999), (32202, 54.99686666666667, 10.937488888888888), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[1, 0, 0, 0, 0, 0]"
454,"[71.25837676842889, 47.80301160207357, 31.183663335609214, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[888.8377630261282, 1530.5742288493532, 2150.9655739893356, 0, 0, 0]","[3140.1622369738716, 6571.425771150647, 13960.034426010665, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2871, 3873, 5024, 0, 0, 0]","[(184.5488, 0.009266666666666666, 0.0016666666666666668), (113.94486666666666, 0.012066666666666667, 0.0037999999999999996), (4643.093933333334, 0.6198666666666666, 0.04813333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4110.4512, 1859.9907333333333, 999.9983333333333), (17066.055133333335, 1799.9879333333333, 1524.9962), (29716.906066666666, 1882.0801333333334, 1333.7018666666668), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(8, 0.0, 0.002688888888888889), (6, 0.0, 0.0050888888888888885), (5, 2.814516666666667, 0.6665499999999999), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.10731111111111), (16099, 51.900000000000006, 6.184911111111111), (32207, 55.38548333333333, 10.97345), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[2, 1, 0, 0, 0, 0]"
455,"[67.51054852320675, 51.40705998518884, 27.658121780150207, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[1193.7271795439594, 805.5600047224181, 1664.9500654494054, 0, 0, 0]","[2835.272820456041, 7296.439995277582, 14446.049934550594, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2720, 4165, 4456, 0, 0, 0]","[(93.58500000000001, 0.0092, 6.666666666666668e-05), (1301.6314666666667, 0.007666666666666667, 0.0046), (3377.1132000000002, 0.6171333333333333, 0.0514), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4201.415, 1859.9908, 999.9999333333334), (15878.368533333334, 1799.9923333333334, 1524.9954), (30982.8868, 1882.0828666666666, 1333.6986), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(9, 0.0, 0.0026166666666666664), (7, 0.0, 0.0040888888888888884), (5, 2.056766666666667, 0.6711166666666668), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4017, 67.1, 10.107383333333333), (16098, 51.900000000000006, 6.1859111111111105), (32207, 56.143233333333335, 10.968883333333332), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[2, 1, 0, 0, 0, 0]"
456,"[57.40878629932986, 17.427795606023206, 35.4167959779033, 0.0, 0.0, 0.0]","[4, 1, 3, 0, 0, 0]","[1008.0873340049768, 0, 2886.272169851378, 0, 0, 0]","[3020.9126659950234, 8102, 13224.727830148622, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2313, 1412, 5706, 0, 0, 0]","[(70.5154, 0.0092, 0.00020000000000000004), (872.4144, 0.0002, 0.0008), (35.65093333333333, 0.04133333333333333, 0.0016), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4224.4846, 1859.9908, 999.9998), (16307.5856, 1799.9998, 1524.9992), (34324.34906666667, 1882.6586666666667, 1333.7484), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(10, 0.0, 0.0023222222222222225), (2, 0.0, 6.666666666666667e-05), (5, 0.0, 0.0007166666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4016, 67.1, 10.107677777777777), (16103, 51.900000000000006, 6.189933333333332), (32207, 58.2, 11.639283333333331), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
457,"[48.44874658724249, 24.389039743273266, 38.09198684128856, 0.0, 0.0, 0.0]","[3, 2, 3, 0, 0, 0]","[1583.5927667943256, 1615.164757197725, 4105.940140239608, 0, 0, 0]","[2445.4072332056744, 6486.835242802275, 12005.059859760393, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1952, 1976, 6137, 0, 0, 0]","[(33.989733333333334, 0.0, 0.0), (1428.4656666666667, 0.14286666666666667, 0.5943999999999999), (244.66653333333335, 0.04186666666666666, 0.0037999999999999996), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4261.010266666666, 1860.0, 1000.0), (15751.534333333333, 1799.8571333333334, 1524.4056), (34115.33346666666, 1882.6581333333334, 1333.7462), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 9.444444444444447e-05), (5, 0.005116666666666666, 0.18698333333333333), (6, 0.44465, 0.004066666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.109905555555555), (16100, 51.89488333333334, 6.0030166666666664), (32206, 57.75535, 11.635933333333332), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
458,"[60.13899230578307, 24.389039743273266, 25.479486065421142, 0.0, 0.0, 0.0]","[4, 2, 2, 0, 0, 0]","[1493.5429341836457, 0, 0, 0, 0, 0]","[2535.4570658163543, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2423, 1976, 4105, 0, 0, 0]","[(43.33906666666667, 0.0, 0.0), (1318.6271333333334, 0.1956, 0.7402000000000001), (222.2972, 0.041933333333333336, 0.0038666666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4251.660933333334, 1860.0, 1000.0), (15861.372866666667, 1799.8044, 1524.2598), (34137.7028, 1882.6580666666666, 1333.7461333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.00018888888888888888), (5, 0.0006, 0.11313333333333334), (5, 0.78925, 0.011550000000000001), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.10981111111111), (16100, 51.89940000000001, 6.076866666666666), (32207, 57.41075, 11.628449999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
