interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable,numfailures
1,"[18.242740134028296, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[735.310726432239, 0, 0, 0, 0, 0]","[3293.689273567761, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[735, 0, 0, 0, 0, 0]","[(50.331199999999995, 0.0030666666666666668, 0.0074666666666666675), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4244.6688, 1859.9969333333333, 999.9925333333333), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(2, 0.0, 0.001961111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4024, 67.1, 10.108038888888888), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
2,"[29.734425415735917, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[781.0541702701189, 0, 0, 0, 0, 0]","[3247.945829729881, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1198, 0, 0, 0, 0, 0]","[(180.3542, 0.0031333333333333335, 0.009666666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4114.6458, 1859.9968666666666, 999.9903333333333), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.0004166666666666667, 0.0019166666666666668), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.09958333333333, 10.108083333333333), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
3,"[45.4951600893522, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, 0, 0, 0, 0, 0]","[793.1944315656016, 0, 0, 0, 0, 0]","[3235.8055684343985, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1833, 0, 0, 0, 0, 0]","[(173.276, 0.002533333333333333, 0.0066), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4121.724, 1859.9974666666667, 999.9934), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.001961111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.108038888888888), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
4,"[38.073963762720275, 11.219451987163662, 0.0, 0.0, 0.0, 0.0]","[3, 1, 0, 0, 0, 0]","[1006.624070475259, 909.7357655056462, 0, 0, 0, 0]","[3022.375929524741, 7192.264234494354, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1534, 909, 0, 0, 0, 0]","[(186.558, 0.0052, 0.0028), (13.281333333333336, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4108.442, 1859.9948, 999.9972), (17166.718666666668, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0004166666666666667, 0.002344444444444444), (2, 0.0, 1.6666666666666667e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.09958333333333, 10.107655555555555), (16103, 51.900000000000006, 6.189983333333333), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
5,"[42.31819310002482, 22.019254505060477, 0.0, 0.0, 0.0, 0.0]","[3, 2, 0, 0, 0, 0]","[791.1546594320182, 531.1208804818593, 0, 0, 0, 0]","[3237.845340567982, 7570.87911951814, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1705, 1784, 0, 0, 0, 0]","[(42.4228, 0.004733333333333333, 0.0), (18.82953333333333, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4252.5772, 1859.9952666666666, 1000.0), (17161.170466666666, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.001227777777777778), (5, 0.0, 1.1111111111111112e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.108772222222221), (16100, 51.900000000000006, 6.189988888888888), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
6,"[37.94986348969967, 22.93260923228832, 12.699397926882256, 0.0, 0.0, 0.0]","[3, 2, 1, 0, 0, 0]","[1315.8052236678902, 1433.6184897967169, 2046.8749041745743, 0, 0, 0]","[2713.1947763321095, 6668.381510203283, 14064.125095825426, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1529, 1858, 2046, 0, 0, 0]","[(106.8666, 0.009266666666666666, 0.00013333333333333334), (78.55539999999999, 0.0092, 0.0114), (79.69153333333334, 6.666666666666668e-05, 6.666666666666668e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4188.1334, 1859.9907333333333, 999.9998666666667), (17101.4446, 1799.9908, 1524.9886), (34280.30846666667, 1882.6999333333333, 1333.7499333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.0022500000000000003), (6, 1.666666666666667e-05, 0.00047222222222222224), (1, 0.0, 0.001694444444444444), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.10775), (16099, 51.89998333333334, 6.189527777777777), (32211, 58.2, 11.638305555555554), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
7,"[49.640109208240254, 22.93260923228832, 12.699397926882256, 0.0, 0.0, 0.0]","[4, 2, 1, 0, 0, 0]","[591.3515199741175, 0, 1791.9824020518593, 0, 0, 0]","[3437.6484800258822, 8102, 14319.017597948141, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2000, 1858, 2046, 0, 0, 0]","[(113.20146666666666, 0.009333333333333334, 0.00013333333333333334), (120.32346666666666, 0.008866666666666667, 0.011066666666666664), (50.331333333333326, 0.00013333333333333334, 6.666666666666668e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4181.798533333334, 1859.9906666666666, 999.9998666666667), (17059.676533333335, 1799.9911333333334, 1524.9889333333333), (34309.668666666665, 1882.6998666666668, 1333.7499333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(8, 0.0, 0.0021444444444444445), (6, 1.666666666666667e-05, 0.00033888888888888884), (1, 0.0, 0.0011611111111111112), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.107855555555554), (16099, 51.89998333333334, 6.189661111111111), (32211, 58.2, 11.638838888888888), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
8,"[34.57433606353934, 28.708960750431995, 47.91757184532307, 0.0, 0.0, 0.0]","[3, 2, 3, 0, 0, 0]","[715.2036439023768, 1682.1494365168248, 2886.6544770449264, 0, 0, 0]","[3313.796356097623, 6419.850563483175, 13224.345522955075, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1393, 2326, 7720, 0, 0, 0]","[(155.10073333333332, 0.004933333333333333, 0.0028666666666666667), (425.02239999999995, 0.011333333333333334, 0.20953333333333332), (67.63213333333334, 6.666666666666668e-05, 6.666666666666668e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4139.899266666666, 1859.9950666666666, 999.9971333333333), (16754.9776, 1799.9886666666666, 1524.7904666666666), (34292.36786666667, 1882.6999333333333, 1333.7499333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0004166666666666667, 0.0019555555555555554), (4, 0.21001666666666666, 0.11981111111111113), (5, 0.0, 0.0021444444444444445), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.09958333333333, 10.108044444444443), (16101, 51.68998333333334, 6.070188888888889), (32207, 58.2, 11.637855555555554), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
9,"[36.63440059568131, 39.286595902246354, 28.427782260567312, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[1289.2068794159684, 1332.1608518398455, 0, 0, 0, 0]","[2739.7931205840314, 6769.839148160155, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1476, 3183, 4580, 0, 0, 0]","[(140.071, 0.0038666666666666663, 0.003933333333333333), (517.9958666666666, 0.018133333333333335, 0.20286666666666664), (71.3022, 0.0002, 0.00013333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4154.929, 1859.9961333333333, 999.9960666666667), (16662.004133333332, 1799.9818666666667, 1524.7971333333332), (34288.6978, 1882.6998, 1333.7498666666668), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.0009111111111111111), (6, 0.058233333333333324, 0.056183333333333335), (4, 0.0, 0.0013944444444444445), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.109088888888888), (16099, 51.84176666666667, 6.133816666666666), (32208, 58.2, 11.638605555555554), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
10,"[48.57284686026309, 29.005183905208593, 13.301471044627894, 0.0, 0.0, 0.0]","[4, 2, 1, 0, 0, 0]","[384.2661505437094, 522.8352352017342, 1510.7508426135992, 0, 0, 0]","[3644.7338494562905, 7579.164764798265, 14600.2491573864, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1957, 2350, 2143, 0, 0, 0]","[(148.67726666666667, 4.130933333333333, 4.1454), (91.57526666666666, 0.007466666666666667, 0.003733333333333333), (444.5958, 0.26313333333333333, 0.009800000000000001), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4146.322733333333, 1855.8690666666666, 995.8546), (17088.424733333333, 1799.9925333333333, 1524.9962666666668), (33915.4042, 1882.4368666666667, 1333.7402), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0004166666666666667, 0.0009499999999999999), (4, 0.0, 0.0041111111111111105), (2, 0.0, 0.009683333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.09958333333333, 10.10905), (16101, 51.900000000000006, 6.185888888888888), (32210, 58.2, 11.630316666666666), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
11,"[27.897741375031025, 45.618365835596144, 25.591210973868783, 0.0, 0.0, 0.0]","[2, 4, 2, 0, 0, 0]","[864.1590794204396, 2097.9150727385068, 3510.404156788491, 0, 0, 0]","[3164.8409205795606, 6004.084927261493, 12600.59584321151, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1124, 3696, 4123, 0, 0, 0]","[(35.12646666666667, 12.107333333333337, 12.139266666666664), (153.78933333333333, 0.008733333333333333, 0.0078), (585.8036000000001, 0.03646666666666667, 0.002666666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4259.873533333333, 1847.8926666666666, 987.8607333333333), (17026.210666666666, 1799.9912666666667, 1524.9922), (33774.1964, 1882.6635333333334, 1333.7473333333332), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 5e-05, 0.3474611111111111), (9, 0.003833333333333334, 0.007522222222222221), (5, 0.05115, 0.037183333333333325), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.09994999999999, 9.762538888888889), (16096, 51.89616666666667, 6.182477777777777), (32207, 58.14885, 11.602816666666666), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
12,"[38.644825018615045, 35.02838805233276, 43.44857550741729, 0.0, 0.0, 0.0]","[3, 3, 3, 0, 0, 0]","[1029.0335203473917, 849.1835975767124, 2388.1185854229097, 0, 0, 0]","[2999.9664796526085, 7252.816402423287, 13722.88141457709, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1557, 2838, 7000, 0, 0, 0]","[(45.21866666666667, 10.274333333333333, 10.301866666666665), (135.17720000000003, 0.005333333333333333, 0.0042), (739.5948000000001, 0.022533333333333332, 0.0018), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4249.781333333333, 1849.7256666666667, 989.6981333333333), (17044.8228, 1799.9946666666667, 1524.9958), (33620.4052, 1882.6774666666668, 1333.7482), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.00013333333333333334), (7, 0.0039, 0.0034777777777777784), (6, 0.06125, 0.026822222222222223), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.109866666666665), (16098, 51.896100000000004, 6.186522222222222), (32206, 58.13875, 11.613177777777777), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
13,"[46.51278232812112, 21.488521352752407, 59.05902799329651, 0.0, 0.0, 0.0]","[3, 2, 4, 0, 0, 0]","[1113.726893485788, 892.6565923133869, 5265.324086066628, 0, 0, 0]","[2915.273106514212, 7209.343407686613, 10845.675913933372, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1874, 1741, 9515, 0, 0, 0]","[(29.66406666666667, 0.002333333333333333, 0.0022666666666666664), (56.62213333333334, 0.0052, 0.003733333333333333), (544.2098666666666, 0.006533333333333334, 0.005600000000000001), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4265.335933333334, 1859.9976666666666, 999.9977333333334), (17123.377866666666, 1799.9948, 1524.9962666666668), (33815.790133333336, 1882.6934666666666, 1333.7444), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.00020000000000000004), (6, 0.0, 0.0011277777777777777), (9, 0.05643333333333333, 0.04429999999999999), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.1098), (16099, 51.900000000000006, 6.188872222222222), (32203, 58.14356666666667, 11.595699999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
