interval,activecontainers,ips,apparentips,ram,disk,creationids,hostalloc,active
1,1,"[439.0876958201859, 0, 0, 0, 0, 0]","[479.1467168674371, 0, 0, 0, 0, 0]","[(36.3506, 0.004666666666666667, 6.666666666666668e-05), 0, 0, 0, 0, 0]","[(1, 0.0, 0.0011111111111111111), 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]","[0, -1, -1, -1, -1, -1]","[True, False, False, False, False, False]"
2,2,"[0, 253.96622867117168, 0, 0, 0, 0]","[479.1467168674371, 558.8373252717306, 0, 0, 0, 0]","[(36.3506, 0.004666666666666667, 0.0), (3.3202, 0.00013333333333333334, 0.0), 0, 0, 0, 0]","[(1, 0.0, 0.0010333333333333334), (3, 0.0, 0.0), 0, 0, 0, 0]","[0, 1, -1, -1, -1, -1]","[0, 0, -1, -1, -1, -1]","[True, True, False, False, False, False]"
3,3,"[329.4707641769164, 0, 611.3363067526898, 0, 0, 0]","[853.2299120300013, 558.8373252717306, 611.3363067526898, 0, 0, 0]","[(11.883466666666667, 0.0, 0.0), (3.8446, 6.666666666666668e-05, 0.0), (4.2812, 0.0009333333333333332, 0.001), 0, 0, 0]","[(3, 0.0, 0.00018888888888888888), (3, 0.0, 0.0), (3, 0.0, 8.333333333333333e-05), 0, 0, 0]","[2, 1, 3, -1, -1, -1]","[1, 0, 0, -1, -1, -1]","[True, True, True, False, False, False]"
4,4,"[0, 538.4606800435287, 300.7763511503716, 431.20079432063125, 0, 0]","[853.2299120300013, 1203.1984198303842, 611.3363067526898, 490.8559483116707, 0, 0]","[(16.77666666666667, 0.0, 0.0), (13.981, 0.0, 0.001), (4.455933333333333, 0.0009333333333333332, 0.001), (10.966066666666668, 0.0, 0.0), 0, 0]","[(3, 0.0, 5.555555555555557e-06), (3, 0.0, 0.0), (3, 0.0, 8.333333333333333e-05), (1, 0.0, 2.7777777777777776e-05), 0, 0]","[2, 4, 3, 5, -1, -1]","[1, 1, 0, 0, -1, -1]","[True, True, True, True, False, False]"
5,5,"[1614.403632382624, 674.9884691143833, 0, 490.8559483116707, 452.02184410195173, 0]","[1620.380595458781, 1203.1984198303842, 611.3363067526898, 490.8559483116707, 645.2798230237914, 0]","[(159.38306666666668, 0.0, 0.0), (41.943, 0.0, 0.001), (4.6308, 0.001, 0.001), (14.242533333333329, 0.0, 0.0), (261.44446666666676, 0.5536, 0.16226666666666667), 0]","[(3, 0.0, 0.00035), (3, 0.04748333333333333, 0.01665), (3, 0.0, 8.333333333333333e-05), (1, 0.0, 3.888888888888889e-05), (1, 0.0, 0.003850000000000001), 0]","[6, 4, 3, 5, 7, -1]","[2, 1, 0, 0, 0, -1]","[True, True, True, True, True, False]"
6,6,"[0, 0, 1023.2367773203464, 0, 426.29443601757237, 267.1482963937084]","[1620.380595458781, 1203.1984198303842, 1064.628201689945, 490.8559483116707, 645.2798230237914, 506.11681433750834]","[(74.09926666666667, 0.0, 0.0), (33.5544, 0.0, 0.001), (58.020866666666684, 0.0044666666666666665, 0.0008), (13.674666666666663, 0.0, 0.0), (436.207, 0.019333333333333327, 0.026666666666666672), (3.8008, 0.002333333333333333, 0.0021333333333333334)]","[(3, 0.0, 0.0), (3, 0.0, 0.0), (3, 0.0, 0.0017666666666666666), (1, 0.0, 2.7777777777777776e-05), (1, 0.0, 0.003427777777777778), (1, 0.0, 0.0)]","[6, 4, 8, 5, 7, 9]","[2, 1, 1, 0, 0, 0]","[True, True, True, True, True, True]"
7,6,"[990.9370936802097, 525.789895885378, 1064.628201689945, 319.13027928132715, 0, 0]","[2957.8401968246035, 1252.3591672387126, 1064.628201689945, 556.4401191941384, 645.2798230237914, 506.11681433750834]","[(181.4032, 0.00013333333333333334, 0.00013333333333333334), (100.6632, 0.0022, 0.004733333333333333), (55.9238, 0.0044, 0.0008), (9.7864, 6.666666666666668e-05, 6.666666666666668e-05), (307.58166666666676, 0.0061333333333333335, 0.017533333333333335), (4.718066666666666, 0.002933333333333333, 0.0027333333333333333)]","[(3, 0.05556666666666666, 0.026677777777777772), (3, 0.0, 0.0011055555555555556), (3, 0.0, 0.0018333333333333333), (3, 0.0, 6.666666666666667e-05), (1, 0.0, 0.0036333333333333335), (1, 0.0, 0.0)]","[10, 11, 8, 12, 7, 9]","[2, 1, 1, 0, 0, 0]","[True, True, True, True, True, True]"
8,6,"[0, 0, 1000.6498143384554, 485.272853004852, 766.2627758313829, 762.5521196399111]","[2957.8401968246035, 1252.3591672387126, 1064.628201689945, 556.4401191941384, 804.6364234793698, 1249.5711266940536]","[(159.38326666666669, 0.00013333333333333334, 6.666666666666668e-05), (114.6442, 0.002, 0.004666666666666667), (46.836, 0.004333333333333333, 0.0012666666666666666), (4.194, 0.0, 0.0), (53.1278, 0.004666666666666667, 0.00013333333333333334), (121.63446666666664, 0.017466666666666665, 0.003533333333333333)]","[(3, 0.01295, 0.007627777777777777), (3, 0.0, 0.0002722222222222222), (3, 0.0, 0.0019222222222222223), (3, 0.0, 0.0), (3, 0.0, 0.00115), (1, 0.0032333333333333337, 0.00037777777777777777)]","[10, 11, 8, 12, 13, 14]","[2, 1, 1, 0, 1, 1]","[True, True, True, True, True, True]"
9,6,"[760.9816372485877, 2138.308283086843, 0, 0, 749.9511828834871, 920.6997522162576]","[785.6232190106965, 2388.666156056188, 1064.628201689945, 556.4401191941384, 804.6364234793698, 1249.5711266940536]","[(128.62506666666664, 0.00046666666666666666, 0.0014), (23.0682, 0.00013333333333333334, 0.00013333333333333334), (67.10846666666666, 0.004333333333333333, 0.0008), (31.456599999999998, 0.0002666666666666667, 0.00013333333333333334), (33.5544, 0.0046, 6.666666666666668e-05), (173.364, 0.0, 6.666666666666668e-05)]","[(2, 0.0705, 0.025599999999999998), (2, 0.0, 0.0005888888888888889), (3, 1.666666666666667e-05, 0.0018777777777777777), (3, 0.0, 2.7777777777777776e-05), (3, 0.0, 0.0010555555555555555), (1, 1.666666666666667e-05, 0.0002833333333333333)]","[15, 16, 8, 12, 13, 14]","[0, 2, 1, 0, 1, 1]","[True, True, True, True, True, True]"
10,6,"[785.6232190106965, 1932.60301540134, 421.4356608994527, 2122.456120514357, 0, 0]","[785.6232190106965, 2388.666156056188, 634.3878860277937, 2127.7849120179944, 804.6364234793698, 1249.5711266940536]","[(120.23626666666664, 0.0, 0.001066666666666667), (25.864466666666672, 0.0, 0.00046666666666666666), (9.699, 0.0, 0.0), (294.999, 0.0006, 0.00046666666666666666), (55.924, 0.0046, 0.0), (128.6248666666667, 0.01686666666666667, 0.002933333333333333)]","[(2, 1.666666666666667e-05, 0.0006111111111111112), (2, 1.666666666666667e-05, 0.0002555555555555556), (3, 0.0, 8.333333333333333e-05), (1, 0.0, 0.0016055555555555554), (3, 0.0, 0.0010444444444444446), (1, 0.0014333333333333331, 0.00036666666666666667)]","[15, 16, 17, 18, 13, 14]","[0, 2, 0, 2, 1, 1]","[True, True, True, True, True, True]"
