interval,ips,create,start,destroy,apparentips,ram,disk,hostalloc,active
12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 4482.968483495435, 0, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[2, 3, 4, 11, 6, 7, 9, 9, 11, -1, 12, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 8900.665420573334, 0, 4450.332126608333]","[0, 0, 0, 0, 0, 0, 0, 0, 0, (355.117, 0.0057333333333333325, 0.017333333333333333), 0, (60.816866666666684, 0.0044666666666666665, 0.0008)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, (1, 0.0, 0.002), 0, (3, 0.0, 0.00195)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, 0]","[False, False, False, False, False, False, False, False, False, True, False, True]"
13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 4477.0347065483875, 0, 0, 1155.2559781834066]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[2, 3, 4, 11, 6, 7, 9, 9, 11, -1, 12, 13, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 8900.665420573334, 0, 0, 5008.335165535]","[0, 0, 0, 0, 0, 0, 0, 0, 0, (390.0696, 0.0058, 0.017333333333333333), 0, 0, (67.10839999999999, 0.00013333333333333334, 0.001)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, (1, 0.0, 0.0017166666666666667), 0, 0, (1, 0.0, 0.0005722222222222222)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, 0]","[False, False, False, False, False, False, False, False, False, True, False, False, True]"
14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 4468.134041127813, 0, 0, 1151.9170880730503, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[2, 3, 4, 11, 6, 7, 9, 9, 11, -1, 12, 13, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 8900.665420573334, 0, 0, 5008.335165535, 4553.07994544]","[0, 0, 0, 0, 0, 0, 0, 0, 0, (322.961, 0.005666666666666668, 0.0174), 0, 0, (72.70093333333332, 6.666666666666668e-05, 0.001), (8.7374, 0.0, 0.0)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, (1, 0.0, 0.0020111111111111107), 0, 0, (1, 0.0, 0.0005666666666666666), (1, 0.0, 0.0012000000000000001)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, 0, 0]","[False, False, False, False, False, False, False, False, False, True, False, False, True, True]"
15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 4438.465156392568, 0, 0, 1158.5948682937635, 0, 1155.2559781834066]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[2, 3, 4, 11, 6, 7, 9, 9, 11, -1, 12, 13, -1, 15, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 8854.359822102655, 0, 0, 5008.335165535, 0, 5008.335165535]","[0, 0, 0, 0, 0, 0, 0, 0, 0, (374.69059999999996, 0.0058, 0.017533333333333335), 0, 0, (75.49719999999999, 0.0004, 0.0014666666666666665), 0, (67.10839999999999, 0.00013333333333333334, 0.001)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, (1, 0.0, 0.0017166666666666667), 0, 0, (1, 0.0, 0.0005499999999999999), 0, (1, 0.0, 0.0005722222222222222)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, 0, -1, 0]","[False, False, False, False, False, False, False, False, False, True, False, False, True, False, True]"
16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 4589.776468542315, 0, 0, 1151.9170880730503, 0, 1151.9170880730503, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[2, 3, 4, 11, 6, 7, 9, 9, 11, -1, 12, 13, -1, 15, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 8900.665420573334, 0, 0, 5008.335165535, 0, 5008.335165535, 4450.331770581667]","[0, 0, 0, 0, 0, 0, 0, 0, 0, (445.99386666666663, 0.006666666666666668, 0.02), 0, 0, (75.49719999999999, 0.0003333333333333333, 0.0014), 0, (72.70093333333332, 6.666666666666668e-05, 0.001), (100.6628, 0.0004, 0.0027333333333333333)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, (1, 0.0, 0.0023222222222222225), 0, 0, (1, 0.0, 0.0005611111111111111), 0, (1, 0.0, 0.0005666666666666666), (1, 0.0004166666666666667, 0.0008333333333333334)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, 3, -1, -1, 0, -1, 0, 0]","[False, False, False, False, False, False, False, False, False, True, False, False, True, False, True, True]"
17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 4468.134041127813, 0, 0, 1168.6115386248337, 0, 1158.5948682937635, 0, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[2, 3, 4, 11, 6, 7, 9, 9, 11, -1, 12, 13, -1, 15, -1, 17, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 8900.665420573334, 0, 0, 5008.335165535, 0, 5008.335165535, 0, 4450.333314505]","[0, 0, 0, 0, 0, 0, 0, 0, 0, (371.89433333333324, 0.0057333333333333325, 0.017333333333333333), 0, 0, (77.5942, 0.00046666666666666666, 0.0014), 0, (75.49719999999999, 0.0004, 0.0014666666666666665), 0, (61.516, 0.0, 0.00046666666666666666)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, (1, 0.0, 0.001722222222222222), 0, 0, (1, 0.0, 0.0016277777777777777), 0, (1, 0.0, 0.0005499999999999999), 0, (3, 0.0, 0.0007944444444444444)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, 3, -1, -1, 0, -1, 0, -1, 0]","[False, False, False, False, False, False, False, False, False, True, False, False, True, False, True, False, True]"
18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 4477.0347065483875, 0, 0, 1165.2726485144767, 0, 1151.9170880730503, 0, 0, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[2, 3, 4, 11, 6, 7, 9, 9, 11, -1, 12, 13, -1, 15, -1, 17, 18, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 8900.665420573334, 0, 0, 5008.335165535, 0, 5008.335165535, 0, 0, 5008.335408591666]","[0, 0, 0, 0, 0, 0, 0, 0, 0, (350.92306666666667, 0.0056, 0.017266666666666666), 0, 0, (69.2056, 0.00046666666666666666, 0.0013333333333333333), 0, (75.49719999999999, 0.0003333333333333333, 0.0014), 0, 0, (106.6046, 0.0002, 0.0003333333333333333)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, (1, 0.0, 0.002022222222222222), 0, 0, (1, 0.0, 0.0005499999999999999), 0, (1, 0.0, 0.0005611111111111111), 0, 0, (3, 0.0, 0.0011055555555555556)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, 3, -1, -1, 0, -1, 0, -1, -1, 0]","[False, False, False, False, False, False, False, False, False, True, False, False, True, False, True, False, False, True]"
19,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 4500.7698143365815, 0, 0, 1178.6282089559033, 0, 1168.6115386248337, 0, 0, 0, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[2, 3, 4, 11, 6, 7, 9, 9, 11, -1, 12, 13, -1, 15, -1, 17, 18, 19, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 8900.665420573334, 0, 0, 5008.335165535, 0, 5008.335165535, 0, 0, 0, 5008.335574623334]","[0, 0, 0, 0, 0, 0, 0, 0, 0, (367.7, 0.0058, 0.017533333333333335), 0, 0, (82.4876, 0.0007333333333333332, 0.002), 0, (77.5942, 0.00046666666666666666, 0.0014), 0, 0, 0, (20.79633333333333, 6.666666666666668e-05, 6.666666666666668e-05)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, (1, 0.0, 0.0017166666666666667), 0, 0, (1, 0.0, 0.0005722222222222222), 0, (1, 0.0, 0.0016277777777777777), 0, 0, 0, (1, 0.0, 0.0006944444444444445)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, 3, -1, -1, 0, -1, 0, -1, -1, -1, 0]","[False, False, False, False, False, False, False, False, False, True, False, False, True, False, True, False, False, False, True]"
20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1165.2726485144767, 0, 0, 0, 0, 0, 0, 53.4039919894]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[2, 3, 4, 11, 6, 7, 9, 9, 11, -1, 12, 13, -1, 15, -1, 17, 18, 19, 20, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 8900.665420573334, 0, 0, 5008.335165535, 0, 5008.335165535, 0, 0, 0, 0, 6313.845111821442]","[0, 0, 0, 0, 0, 0, 0, 0, 0, (342.5344, 0.0058, 0.016666666666666666), 0, 0, (81.08953333333334, 0.0002666666666666667, 0.001), 0, (69.2056, 0.00046666666666666666, 0.0013333333333333333), 0, 0, 0, 0, (79.69153333333334, 6.666666666666668e-05, 6.666666666666668e-05)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, (1, 0.0, 0.0020055555555555556), 0, 0, (1, 0.0, 0.000538888888888889), 0, (1, 0.0, 0.0005499999999999999), 0, 0, 0, 0, (1, 0.0, 0.001694444444444444)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, 3, -1, -1, 0, -1, 0, -1, -1, -1, -1, 0]","[False, False, False, False, False, False, False, False, False, True, False, False, True, False, True, False, False, False, False, True]"
21,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]","[2, 3, 4, 11, 6, 7, 9, 9, 11, 21, 12, 13, -1, 15, 21, 17, 18, 19, 20, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5008.335165535, 0, 0, 0, 0, 0, 0, 6666.666666666667, 4553.07978112]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (78.99233333333332, 0.0004, 0.0014), 0, 0, 0, 0, 0, 0, (50.331333333333326, 0.00013333333333333334, 6.666666666666668e-05), (13.4562, 0.0, 0.0)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (1, 0.0, 0.0005777777777777778), 0, 0, 0, 0, 0, 0, (1, 0.0, 0.0011611111111111112), (3, 0.0, 0.0007)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, 0, 0]","[False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, True, True]"
