cpu_0,ram_0,disk_0,cpu_1,ram_1,disk_1,cpu_2,ram_2,disk_2,cpu_3,ram_3,disk_3,cpu_4,ram_4,disk_4,cpu_5,ram_5,disk_5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.25,13.630799999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.5,79.69160000000001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.5,20.971,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.075,335.544,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.12,433.4106,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.83500000000001,539.6664,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.58,623.5523333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.54,134.8284,6.0,0.0,0.0,0.0,0.0,0.0,0.0,41.075,332.7478,3.0,0.0,0.0,0.0,0.0,0.0,0.0
25.040000000000003,64.31213333333332,3.0,0.0,0.0,0.0,0.0,0.0,0.0,41.075,377.487,3.0,0.0,0.0,0.0,0.0,0.0,0.0
69.545,402.65199999999993,4.0,0.0,0.0,0.0,0.0,0.0,0.0,41.075,321.563,3.0,0.0,0.0,0.0,0.0,0.0,0.0
67.265,355.46599999999995,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.75,415.9338666666667,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.545,457.178,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92.31,404.39933333333335,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94.355,517.2962,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.33500000000001,248.86093333333332,3.0,0.0,0.0,0.0,0.0,0.0,0.0,44.5,445.99386666666663,1.0,0.0,0.0,0.0,0.0,0.0,0.0
72.33500000000001,214.60739999999998,5.0,0.0,0.0,0.0,0.0,0.0,0.0,44.5,371.89433333333324,1.0,0.0,0.0,0.0,0.0,0.0,0.0
75.125,251.3074,5.0,0.0,0.0,0.0,0.0,0.0,0.0,44.5,350.92306666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0
75.125,180.87813333333332,3.0,0.0,0.0,0.0,0.0,0.0,0.0,44.5,367.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0
81.65,229.98666666666668,3.0,0.0,0.0,0.0,0.0,0.0,0.0,44.5,342.5344,1.0,0.0,0.0,0.0,0.0,0.0,0.0
81.14,142.77986666666663,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
