interval,numdestroyed,nummigrations,responsetime,avgresponsetime,migrationtime,avgmigrationtime,slaviolations,slaviolationspercentage,waittime
66,3,3,"[939.3229066212666, 707.0943355290792, 750.0241820859646]",798.8138080787702,"[0.06382874666666666, 1.2884895999999997, 0.8792017066666666]",0.7438400177777776,1,33.333333333333336,"[1, 1, 1]"
67,5,3,"[953.1865669407592, 721.2799752786691, 730.1955871743259, 626.0160918947532, 661.9518665659544]",738.5260175708923,"[0.27179008, 0.0019562666666666667, 0.04697616, 0.055999999999999994, 0.07632019999999999]",0.09060854133333332,1,20.0,"[1, 1, 1, 1, 1]"
68,0,1,[],0.0,[],0.0,1,0.0,[]
69,6,4,"[649.2687135685807, 575.111932954139, 894.2563177256613, 883.7909917629771, 940.9125507402666, 933.0124379931813]",812.725490790801,"[0.15099479999999998, 0.0671088, 0.1006632, 0.08488319999999999, 0.08731744, 0.14010839999999997]",0.10517930666666664,1,16.666666666666668,"[1, 1, 1, 1, 1, 1]"
70,2,3,"[871.5208427227146, 832.0341518441885]",851.7774972834516,"[0.06774351999999999, 0.459924]",0.26383376,1,50.0,"[1, 1]"
71,1,1,[555.9150684631951],555.9150684631951,[0.3070224],0.3070224,1,100.0,[1]
72,2,2,"[736.1531823817335, 549.6102212525486]",642.881701817141,"[0.07501354666666667, 0.11072952]",0.09287153333333334,1,50.0,"[1, 1]"
73,6,7,"[361.95186656595445, 1163.325288859297, 932.690855036865, 739.1847800749955, 612.517087429504, 1315.9145323049574]",854.2640683785954,"[0.07632019999999999, 0.061591999999999994, 0.36100833333333326, 0.058795999999999994, 0.0897766, 0.15618646666666666]",0.1339466,1,16.666666666666668,"[1, 1, 1, 1, 1, 1]"
74,1,2,[413.51034799830114],413.51034799830114,[0.0],0.0,1,100.0,[1]
75,1,3,[449.03427939838764],449.03427939838764,[0.1000392],0.1000392,1,100.0,[1]
76,7,6,"[728.578548932818, 895.8253905963373, 626.131582417952, 980.4680426217285, 636.8391683255247, 871.5384580027146, 882.7206275706807]",803.1574026382508,"[0.3542144266666667, 2.74587008, 0.131496, 0.073, 0.033554133333333326, 0.08535879999999998, 0.09152426666666666]",0.5021453866666666,1,14.285714285714286,"[1, 1, 1, 1, 1, 1, 1]"
77,1,4,[883.4024943947435],883.4024943947435,[3.603205666666666],3.603205666666666,1,100.0,[1]
78,4,4,"[413.6429243955792, 443.2962790321744, 687.3580096690752, 871.2828747513669]",603.8950219620489,"[0.04159266666666666, 0.4418756, 0.13589504, 1.3592529999999998]",0.4946540766666666,1,25.0,"[1, 1, 1, 1]"
79,6,7,"[582.3337797159487, 830.3637425732006, 892.727939428894, 875.9720943885396, 733.827276815077, 541.5621414070022]",742.797829054777,"[0.10968703999999999, 0.2074776, 0.15702935333333334, 0.06151639999999999, 0.14010839999999997, 0.37918366666666675]",0.17583374333333335,1,16.666666666666668,"[1, 1, 1, 1, 1, 1]"
80,1,4,[543.4353507453286],543.4353507453286,[0.16944972000000003],0.16944972000000003,1,100.0,[1]
81,4,4,"[557.2301719638635, 365.92533289257943, 892.6340441155608, 862.7416737439776]",669.6328056789953,"[0.048093493333333334, 1.0570402666666667, 0.06313403999999999, 0.0759696]",0.31105935,1,25.0,"[1, 1, 1, 1]"
82,3,3,"[9.472731841835776, 499.78253499490046, 863.8363298216971]",457.6971988861444,"[0.1565872, 0.09178633333333333, 0.0847962]",0.11105657777777778,1,33.333333333333336,"[1, 1, 1]"
83,3,2,"[1118.234320138797, 1149.1628887133345, 469.4955063381628]",912.297571730098,"[0.12750645333333335, 0.13341905333333332, 0.02516559999999999]",0.09536370222222224,1,33.333333333333336,"[1, 1, 1]"
84,3,3,"[2.889944463171031, 870.4104139207706, 891.2922801448669]",588.1975461762695,"[0.0782936, 0.10241669333333334, 0.15618646666666666]",0.11229892000000001,1,33.333333333333336,"[1, 1, 1]"
85,2,3,"[750.2299825126313, 702.8075376612569]",726.5187600869441,"[1.0850021333333335, 0.07535879999999999]",0.5801804666666668,1,50.0,"[1, 1]"
86,2,3,"[1026.5877153493543, 783.1733646820048]",904.8805400156796,"[0.06181895999999999, 0.37918366666666675]",0.22050131333333337,1,50.0,"[1, 1]"
87,3,3,"[800.2331970721328, 827.9464469906195, 824.166684089689]",817.4487760508138,"[0.04697616, 0.12310848, 0.07789273333333332]",0.08265912444444444,1,33.333333333333336,"[1, 1, 1]"
88,2,3,"[774.5299062072771, 356.2920291725355]",565.4109676899063,"[0.09402832, 0.08173739999999999]",0.08788286,1,50.0,"[1, 1]"
89,4,3,"[850.5151850096291, 1193.687386982072, 899.0614599698982, 995.0828641086044]",984.586724017551,"[0.01509912, 0.19125968000000002, 0.06019375999999999, 0.1065544]",0.09327674,1,25.0,"[1, 1, 1, 1]"
90,3,3,"[785.524763111136, 552.9057840492595, 464.62664397308413]",601.0190637111599,"[0.1484974, 0.04697616, 0.0847962]",0.09342325333333333,1,33.333333333333336,"[1, 1, 1]"
91,4,3,"[488.33551091889683, 927.5800489765435, 478.79892980303174, 1006.1428099582204]",725.2143249141732,"[0.15099479999999998, 1.36902072, 0.1065544, 0.09402832]",0.43014956,1,25.0,"[1, 1, 1, 1]"
92,2,3,"[368.0365719423356, 1125.2635151868674]",746.6500435646014,"[0.0780196, 0.11192362666666666]",0.09497161333333333,1,50.0,"[1, 1]"
93,3,3,"[433.83758430279437, 999.8695792376137, 872.3727952505069]",768.6933195969717,"[0.0, 0.06494741333333333, 0.43851991999999995]",0.1678224444444444,1,33.333333333333336,"[1, 1, 1]"
94,2,4,"[777.9153877562766, 932.690855036865]",855.3031213965708,"[0.08619848, 0.36100833333333326]",0.22360340666666662,1,50.0,"[1, 1]"
95,5,4,"[423.08115443628725, 1036.609334950118, 739.230295245614, 823.647108387129, 645.5329013608464]",733.6201588759989,"[0.03299493333333332, 0.10865126666666666, 0.07605664, 0.0167768, 0.1254282]",0.071981568,1,20.0,"[1, 1, 1, 1, 1]"
96,4,4,"[418.7654869252971, 673.7507254998775, 694.8831911468889, 486.8076829293236]",568.5517716253468,"[0.07605664, 0.019974959999999996, 0.11773919999999999, 0.10297615999999998]",0.07918673999999999,1,25.0,"[1, 1, 1, 1]"
97,3,7,"[519.4628449133481, 542.7350731977908, 699.5239579013205]",587.2406253374864,"[1.7672756, 0.20419826666666663, 0.08849435714285714]",0.6866560746031746,1,33.333333333333336,"[1, 1, 1]"
98,2,4,"[549.6770504325485, 882.7206275706807]",716.1988390016146,"[0.17755869999999999, 0.09152426666666666]",0.13454148333333332,1,50.0,"[1, 1]"
99,2,6,"[871.192848960198, 569.9902296117388]",720.5915392859683,"[0.17366320000000002, 0.07863566666666666]",0.12614943333333334,1,50.0,"[1, 1]"
100,4,5,"[764.9020948843082, 796.7027976798776, 450.398997146976, 821.0687800304252]",708.2681674353967,"[0.32547731999999996, 0.04781471999999999, 0.0789412, 1.3349821199999998]",0.44680383999999995,1,25.0,"[1, 1, 1, 1]"
101,2,3,"[1445.9995353476456, 736.0580519388965]",1091.028793643271,"[0.16840723999999999, 0.27829755999999994]",0.22335239999999995,1,50.0,"[1, 1]"
