interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable,numfailures
1,"[16.406056093323404, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[383.59399772098897, 0, 0, 0, 0, 0]","[3645.406002279011, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[661, 0, 0, 0, 0, 0]","[(8.7374, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4286.2626, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(1, 0.0, 0.0012000000000000001), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4025, 67.1, 10.108799999999999), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
2,"[28.319682303301068, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[474.53904722084934, 0, 0, 0, 0, 0]","[3554.460952779151, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1141, 0, 0, 0, 0, 0]","[(30.582333333333338, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4264.417666666666, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.002022222222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.107977777777776), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
3,"[27.922561429635145, 16.11947667242656, 0.0, 0.0, 0.0, 0.0]","[2, 1, 0, 0, 0, 0]","[925.9079058376968, 1201.4860773609792, 0, 0, 0, 0]","[3103.092094162303, 6900.513922639021, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1125, 1306, 0, 0, 0, 0]","[(279.2698000000001, 0.5536666666666666, 0.16233333333333333), (83.88560000000001, 0.0044666666666666665, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4015.7302, 1859.4463333333333, 999.8376666666667), (17096.1144, 1799.9955333333332, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.0045222222222222235), (2, 0.0, 0.0008722222222222223), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.105477777777777), (16103, 51.900000000000006, 6.189127777777777), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
4,"[41.35021097046413, 16.11947667242656, 0.0, 0.0, 0.0, 0.0]","[3, 1, 0, 0, 0, 0]","[785.5424182059421, 1097.1572057186477, 0, 0, 0, 0]","[3243.4575817940577, 7004.842794281352, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1666, 1306, 0, 0, 0, 0]","[(453.3331333333333, 0.019333333333333327, 0.026666666666666672), (37.748400000000004, 0.0044666666666666665, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3841.6668666666665, 1859.9806666666666, 999.9733333333334), (17142.2516, 1799.9955333333332, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.004122222222222222), (2, 0.0, 0.0007999999999999999), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.105877777777778), (16103, 51.900000000000006, 6.1892), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
5,"[42.14445271779598, 26.90693655887435, 0.0, 0.0, 0.0, 0.0]","[3, 2, 0, 0, 0, 0]","[890.1323548676313, 1837.6053320215365, 0, 0, 0, 0]","[3138.8676451323686, 6264.394667978464, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1698, 2180, 0, 0, 0, 0]","[(315.96966666666674, 0.0061333333333333335, 0.017533333333333335), (28.616533333333336, 0.0044, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3979.030333333333, 1859.9938666666667, 999.9824666666667), (17151.383466666666, 1799.9956, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.00365), (5, 0.0, 0.0008166666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.106349999999999), (16100, 51.900000000000006, 6.189183333333333), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
6,"[41.27575080665177, 38.89163169587756, 0.0, 0.0, 0.0, 0.0]","[3, 3, 0, 0, 0, 0]","[836.487759062098, 1845.4305670348203, 0, 0, 0, 0]","[3192.512240937902, 6256.56943296518, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1663, 3151, 0, 0, 0, 0]","[(179.6554, 0.0002666666666666667, 0.0), (38.7088, 0.004533333333333333, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4115.3446, 1859.9997333333333, 1000.0), (17141.2912, 1799.9954666666667, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.006366666666666667), (6, 0.0, 0.00155), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.103633333333333), (16099, 51.900000000000006, 6.18845), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
7,"[41.6728716803177, 32.707973339916066, 12.103531748494817, 0.0, 0.0, 0.0]","[3, 3, 1, 0, 0, 0]","[311.8973950771332, 1279.3847817053354, 1220.4212174365869, 0, 0, 0]","[3717.1026049228667, 6822.615218294664, 14890.578782563412, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1679, 2650, 1950, 0, 0, 0]","[(188.1748, 0.0002666666666666667, 0.0), (83.9726, 0.0009333333333333332, 0.0018666666666666666), (16.645799999999998, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4106.8252, 1859.9997333333333, 1000.0), (17096.0274, 1799.9990666666667, 1524.9981333333333), (34343.3542, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.047377777777777776), (5, 0.0, 0.0007888888888888889), (2, 0.0, 2.2222222222222223e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.062622222222222), (16100, 51.900000000000006, 6.189211111111111), (32210, 58.2, 11.639977777777776), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
8,"[25.71357656986845, 46.45766477412984, 22.220842902364843, 0.0, 0.0, 0.0]","[2, 4, 2, 0, 0, 0]","[474.53904722084934, 1534.1296096122924, 3020.156879387544, 0, 0, 0]","[3554.460952779151, 6567.870390387708, 13090.843120612455, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1036, 3764, 3580, 0, 0, 0]","[(21.407133333333334, 0.0, 0.0), (360.7094666666667, 0.0038666666666666667, 0.0029333333333333334), (1260.3438666666668, 0.0002, 0.0008), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4273.592866666667, 1860.0, 1000.0), (16819.290533333333, 1799.9961333333333, 1524.9970666666666), (33099.65613333333, 1882.6998, 1333.7492), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.0007888888888888889), (6, 0.04546666666666667, 0.011894444444444444), (4, 0.0, 8.333333333333333e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.10921111111111), (16099, 51.854533333333336, 6.178105555555555), (32208, 58.2, 11.639916666666666), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
9,"[21.891288160833955, 35.48506541594668, 49.767239774067406, 0.0, 0.0, 0.0]","[2, 3, 4, 0, 0, 0]","[871.2171376829508, 815.3310623623827, 5306.545450516713, 0, 0, 0]","[3157.782862317049, 7286.668937637617, 10804.454549483287, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[882, 2875, 8018, 0, 0, 0]","[(305.8336666666666, 0.5273333333333334, 0.15793333333333334), (201.98066666666665, 0.004533333333333333, 0.0030666666666666663), (1463.9423333333334, 0.016133333333333333, 0.02333333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3989.1663333333336, 1859.4726666666666, 999.8420666666667), (16978.019333333334, 1799.9954666666667, 1524.9969333333333), (32896.05766666667, 1882.6838666666667, 1333.7266666666667), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.004694444444444444), (5, 0.0006833333333333333, 0.0035499999999999993), (7, 0.0, 0.005944444444444444), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.105305555555555), (16100, 51.89931666666667, 6.18645), (32205, 58.2, 11.634055555555554), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
10,"[31.893770166294367, 10.947914095285114, 61.67835640245794, 0.0, 0.0, 0.0]","[3, 1, 5, 0, 0, 0]","[609.4387182270607, 716.5008770896474, 4926.959943122951, 0, 0, 0]","[3419.5612817729393, 7385.4991229103525, 11184.04005687705, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1285, 887, 9937, 0, 0, 0]","[(650.4648666666666, 0.5354666666666668, 0.1864), (3.625666666666666, 0.0008, 0.0008666666666666667), (2943.001666666667, 0.013399999999999997, 0.020333333333333335), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3644.5351333333333, 1859.4645333333333, 999.8136), (17176.374333333333, 1799.9992, 1524.9991333333332), (31416.998333333333, 1882.6866, 1333.7296666666666), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.008538888888888888), (1, 0.0, 5.555555555555555e-05), (7, 1.666666666666667e-05, 0.004233333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.10146111111111), (16104, 51.900000000000006, 6.189944444444444), (32205, 58.199983333333336, 11.635766666666665), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
