interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable,numfailures
1,"[17.051377513030527, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[604.1926300925959, 0, 0, 0, 0, 0]","[3424.807369907404, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[687, 0, 0, 0, 0, 0]","[(6.159933333333332, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4288.840066666667, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(1, 0.0, 5.555555555555557e-06), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4025, 67.1, 10.109994444444444), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
2,"[28.98982377761231, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[1071.8042566494769, 0, 0, 0, 0, 0]","[2957.195743350523, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1168, 0, 0, 0, 0, 0]","[(45.04393333333334, 4.1293999999999995, 4.1416), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4249.956066666667, 1855.8706, 995.8584), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 2.777777777777778e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.109972222222222), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
3,"[39.68726731198808, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, 0, 0, 0, 0, 0]","[730.7982030377543, 0, 0, 0, 0, 0]","[3298.2017969622457, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1599, 0, 0, 0, 0, 0]","[(81.35073333333334, 12.107400000000004, 12.139466666666664), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4213.649266666666, 1847.8926, 987.8605333333334), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.00065, 0.0002), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.09935, 10.1098), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
4,"[32.61355174981385, 11.009627252530239, 0.0, 0.0, 0.0, 0.0]","[3, 1, 0, 0, 0, 0]","[1137.2465623970752, 892.6565923133869, 0, 0, 0, 0]","[2891.753437602925, 7209.343407686613, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1314, 892, 0, 0, 0, 0]","[(394.83133333333325, 10.800133333333331, 10.4582), (3.4945333333333335, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3900.168666666667, 1849.1998666666666, 989.5418), (17176.505466666666, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.004233333333333332), (3, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.105766666666666), (16102, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
5,"[43.58401588483495, 11.009627252530239, 0.0, 0.0, 0.0, 0.0]","[4, 1, 0, 0, 0, 0]","[566.873887751943, 0, 0, 0, 0, 0]","[3462.126112248057, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1756, 892, 0, 0, 0, 0]","[(721.8990000000001, 11.560733333333335, 11.207), (3.057733333333333, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3573.1009999999997, 1848.4392666666668, 988.793), (17176.942266666665, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(9, 0.0122, 0.43452222222222225), (3, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4017, 67.08779999999999, 9.675477777777777), (16102, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
6,"[32.315711094564406, 29.708713897803012, 19.483582645397554, 0.0, 0.0, 0.0]","[3, 2, 1, 0, 0, 0]","[899.5249225162888, 1788.089032541855, 0, 0, 0, 0]","[3129.475077483711, 6313.910967458145, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1302, 2407, 3139, 0, 0, 0]","[(596.8131999999999, 0.4280666666666667, 0.15686666666666665), (503.3158, 0.0004, 0.0003333333333333333), (20.79633333333333, 6.666666666666668e-05, 6.666666666666668e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3698.1868, 1859.5719333333334, 999.8431333333333), (16676.6842, 1799.9996, 1524.9996666666666), (34339.20366666667, 1882.6999333333333, 1333.7499333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 1.666666666666667e-05, 0.2319777777777778), (3, 0.012733333333333334, 0.0036666666666666666), (1, 0.0, 0.0006944444444444445), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.09998333333333, 9.878022222222222), (16102, 51.88726666666667, 6.186333333333333), (32211, 58.2, 11.639305555555554), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
7,"[34.251675353685776, 46.235497408047394, 0.0, 0.0, 0.0, 0.0]","[3, 3, 0, 0, 0, 0]","[1173.7628529807512, 3689.0217029438127, 0, 0, 0, 0]","[2855.237147019249, 4412.978297056187, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1380, 3746, 0, 0, 0, 0]","[(290.7160666666667, 4.621533333333333, 4.3011333333333335), (462.1590666666668, 0.012533333333333334, 0.18906666666666663), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4004.283933333333, 1855.3784666666666, 995.6988666666666), (16717.840933333333, 1799.9874666666667, 1524.8109333333334), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 8.333333333333333e-05, 0.2868222222222222), (5, 0.0002833333333333333, 0.0029611111111111123), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.09991666666666, 9.823177777777778), (16100, 51.89971666666667, 6.187038888888888), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
8,"[51.47679324894515, 46.235497408047394, 0.0, 0.0, 0.0, 0.0]","[4, 3, 0, 0, 0, 0]","[1151.533506390839, 1319.7662014688208, 0, 0, 0, 0]","[2877.4664936091613, 6782.233798531179, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2074, 3746, 0, 0, 0, 0]","[(268.7828, 12.707333333333336, 12.334666666666664), (475.6592666666667, 0.013066666666666664, 0.18946666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4026.2172, 1847.2926666666667, 987.6653333333334), (16704.340733333334, 1799.9869333333334, 1524.8105333333333), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(9, 0.00016666666666666666, 0.3743666666666667), (5, 0.00035, 0.0039833333333333335), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4017, 67.09983333333332, 9.735633333333332), (16100, 51.89965000000001, 6.186016666666666), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
9,"[40.13402829486225, 37.79313749691434, 30.370554279684686, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[1069.4310681163126, 1367.172156481306, 1535.423044210032, 0, 0, 0]","[2959.5689318836876, 6734.827843518694, 14575.576955789968, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1617, 3062, 4893, 0, 0, 0]","[(12.493800000000002, 0.00013333333333333334, 0.00013333333333333334), (83.97180000000002, 0.005533333333333332, 0.004066666666666666), (311.4262, 0.018466666666666662, 0.0061333333333333335), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4282.5062, 1859.9998666666668, 999.9998666666667), (17096.0282, 1799.9944666666668, 1524.9959333333334), (34048.5738, 1882.6815333333334, 1333.7438666666667), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.0007666666666666666), (8, 0.0, 0.0015388888888888893), (4, 0.16561666666666666, 0.0774111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.109233333333332), (16097, 51.900000000000006, 6.188461111111111), (32208, 58.03438333333334, 11.562588888888888), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
10,"[45.64408041697692, 32.58454702542582, 24.964310098690337, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[650.9798576177765, 2015.8648512324123, 3744.636544508984, 0, 0, 0]","[3378.0201423822236, 6086.135148767587, 12366.363455491017, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1839, 2640, 4022, 0, 0, 0]","[(3538.243799999999, 0.0012666666666666666, 0.0008), (179.21793333333335, 0.005666666666666666, 0.0044), (96.4688, 0.027400000000000004, 0.008733333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(756.7562000000012, 1859.9987333333333, 999.9992), (17000.782066666667, 1799.9943333333333, 1524.9956), (34263.5312, 1882.6726, 1333.7412666666667), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(8, 0.0, 0.0001611111111111111), (8, 0.0, 0.0032055555555555552), (4, 0.00315, 0.0031777777777777776), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.109838888888888), (16097, 51.900000000000006, 6.186794444444444), (32208, 58.196850000000005, 11.636822222222222), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
