interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable,numfailures
1,"[13.849590469099033, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[253.96622867117168, 0, 0, 0, 0, 0]","[3775.033771328828, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[558, 0, 0, 0, 0, 0]","[(3.3202, 0.00013333333333333334, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4291.6798, 1859.9998666666668, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
2,"[31.099528418962525, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[694.3373387380856, 0, 0, 0, 0, 0]","[3334.6626612619143, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1253, 0, 0, 0, 0, 0]","[(8.737333333333332, 6.666666666666668e-05, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4286.2626666666665, 1859.9999333333333, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0001277777777777778), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.109872222222222), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
3,"[27.64954082898982, 11.700814613675634, 0.0, 0.0, 0.0, 0.0]","[2, 1, 0, 0, 0, 0]","[1027.2383652796648, 575.6752832482554, 0, 0, 0, 0]","[3001.761634720335, 7526.324716751745, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1114, 948, 0, 0, 0, 0]","[(43.034266666666674, 0.0, 0.0), (75.4974, 0.004666666666666667, 6.666666666666668e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4251.965733333333, 1860.0, 1000.0), (17104.5026, 1799.9953333333333, 1524.9999333333333), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 5e-05, 0.00023888888888888888), (1, 0.0, 0.0011111111111111113), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.09994999999999, 10.10976111111111), (16104, 51.900000000000006, 6.188888888888888), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
4,"[42.491933482253664, 11.700814613675634, 0.0, 0.0, 0.0, 0.0]","[3, 1, 0, 0, 0, 0]","[707.5060959948667, 524.2632168285745, 0, 0, 0, 0]","[3321.493904005133, 7577.7367831714255, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1712, 948, 0, 0, 0, 0]","[(24.858866666666664, 0.0005333333333333334, 0.003933333333333333), (47.5354, 0.0046, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4270.1411333333335, 1859.9994666666666, 999.9960666666667), (17132.4646, 1799.9954, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.00030555555555555555), (1, 0.0, 0.0010277777777777776), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.109694444444443), (16104, 51.900000000000006, 6.188972222222222), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
5,"[38.66964507321916, 24.314983954579116, 0.0, 0.0, 0.0, 0.0]","[3, 2, 0, 0, 0, 0]","[1180.9921849859209, 1022.0287790173022, 0, 0, 0, 0]","[2848.007815014079, 7079.971220982698, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1558, 1970, 0, 0, 0, 0]","[(12.319533333333332, 0.020333333333333328, 0.020666666666666667), (39.146800000000006, 0.0044666666666666665, 0.001), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4282.680466666667, 1859.9796666666666, 999.9793333333333), (17140.8532, 1799.9955333333332, 1524.999), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.00011111111111111112), (3, 0.0, 0.0010611111111111112), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.109888888888888), (16102, 51.900000000000006, 6.188938888888888), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
6,"[49.09406800694961, 12.61416934090348, 12.475948109986966, 0.0, 0.0, 0.0]","[4, 1, 1, 0, 0, 0]","[949.031448066994, 619.0897314485429, 1135.5979072025643, 0, 0, 0]","[3079.968551933006, 7482.910268551457, 14975.402092797436, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1978, 1022, 2010, 0, 0, 0]","[(18.348399999999998, 0.0014, 0.0014), (0.0, 0.0, 0.001), (20.971333333333327, 0.04126666666666667, 0.0015333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4276.6516, 1859.9986, 999.9986), (17180.0, 1800.0, 1524.999), (34339.028666666665, 1882.6587333333334, 1333.7484666666667), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(8, 0.0, 9.444444444444447e-05), (2, 0.0, 0.0), (2, 0.0, 0.00016111111111111108), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.109905555555555), (16103, 51.900000000000006, 6.1899999999999995), (32210, 58.2, 11.639838888888887), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
7,"[40.059568131049886, 36.20093803999013, 12.475948109986966, 0.0, 0.0, 0.0]","[3, 3, 1, 0, 0, 0]","[815.9617377559723, 1521.4836239797187, 2010.2595573766505, 0, 0, 0]","[3213.0382622440275, 6580.516376020281, 14100.74044262335, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1614, 2933, 2010, 0, 0, 0]","[(15.684266666666666, 0.0, 0.0), (23.985266666666668, 0.0008, 0.0018), (56.622800000000005, 0.040799999999999996, 0.0014), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4279.315733333333, 1860.0, 1000.0), (17156.014733333333, 1799.9992, 1524.9982), (34303.3772, 1882.6592, 1333.7486), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.042083333333333334, 0.014911111111111113), (8, 0.0, 0.00039444444444444444), (2, 0.0, 0.00011666666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.05791666666666, 10.095088888888888), (16097, 51.900000000000006, 6.189605555555555), (32210, 58.2, 11.639883333333332), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
8,"[39.68726731198808, 34.26314490249321, 28.800198622059465, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[1478.1445179807404, 1560.0932667404095, 1809.1393031047937, 0, 0, 0]","[2550.8554820192594, 6541.9067332595905, 14301.860696895206, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1599, 2776, 4640, 0, 0, 0]","[(503.184, 4.806, 0.02386666666666667), (1677.2393333333337, 0.7858, 0.009466666666666667), (1105.1983333333333, 0.041133333333333334, 0.002466666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3791.816, 1855.194, 999.9761333333333), (15502.760666666667, 1799.2142, 1524.9905333333334), (33254.801666666666, 1882.6588666666667, 1333.7475333333334), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0052499999999999995), (9, 0.0, 0.0006222222222222221), (3, 0.0, 0.0002111111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.10475), (16096, 51.900000000000006, 6.189377777777778), (32209, 58.2, 11.639788888888887), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
9,"[50.11169024571854, 22.772155023451, 26.739494755136246, 0.0, 0.0, 0.0]","[4, 2, 2, 0, 0, 0]","[408.1113784619685, 593.6732021674471, 3017.9916790049997, 0, 0, 0]","[3620.8886215380317, 7508.326797832553, 13093.008320995, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2019, 1845, 4308, 0, 0, 0]","[(425.71979999999996, 1.923, 0.02493333333333333), (1505.0549333333336, 0.09173333333333332, 0.0018), (1191.1817333333333, 0.004933333333333333, 0.0009333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3869.2802, 1858.077, 999.9750666666666), (15674.945066666667, 1799.9082666666666, 1524.9982), (33168.81826666667, 1882.6950666666667, 1333.7490666666667), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(8, 0.0, 0.005111111111111111), (6, 0.0, 0.0004222222222222222), (4, 0.04506666666666667, 0.017027777777777774), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.104888888888889), (16099, 51.900000000000006, 6.189577777777777), (32208, 58.15493333333334, 11.622972222222222), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
10,"[23.554231819310004, 58.08442359911133, 39.02923468437714, 0.0, 0.0, 0.0]","[2, 4, 3, 0, 0, 0]","[682.0615221789031, 3219.193345638194, 4611.169465343948, 0, 0, 0]","[3346.938477821097, 4882.806654361806, 11499.830534656052, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[949, 4706, 6288, 0, 0, 0]","[(19.878266666666665, 0.00013333333333333334, 0.00013333333333333334), (1598.9452000000003, 8.278, 0.14806666666666665), (1508.5504666666668, 0.024266666666666666, 0.0024666666666666665), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4275.121733333333, 1859.9998666666668, 999.9998666666667), (15581.0548, 1791.722, 1524.8519333333334), (32851.44953333333, 1882.6757333333335, 1333.7475333333334), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 5e-05), (9, 8.906633333333335, 3.6885555555555554), (7, 0.051166666666666666, 0.038549999999999994), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.10995), (16096, 42.993366666666674, 2.501444444444444), (32205, 58.148833333333336, 11.601449999999998), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
