interval,ips,create,start,destroy,apparentips,ram,disk,hostalloc,active
1,"[0, 173.49608108384768, 116.02466041391799, 133.28650478250972, 101.29682559076329, 101.29682559076329]","[0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[-1, -1, -1, -1, -1, -1]","[176.03381172762982, 211.78895839820322, 162.06545926208426, 133.4084043042637, 103.00976357054209, 103.00976357054209]","[(7.295733333333333, 0.0006666666666666666, 0.0006666666666666666), (2.4460666666666664, 0.0, 0.0), (49.63186666666667, 0.0, 0.0), (10.485066666666668, 0.0, 0.0), (9.917266666666666, 0.0, 0.0), (9.917266666666666, 0.0, 0.0)]","[(1, 0.0, 8.88888888888889e-05), (2, 0.0, 0.0), (1, 0.0, 0.00039444444444444444), (1, 0.0, 7.777777777777777e-05), (1, 0.0, 1.6666666666666667e-05), (1, 0.0, 1.6666666666666667e-05)]","[0, 0, 0, 0, 0, 0]","[True, True, True, True, True, True]"
2,"[0, 211.78895839820322, 107.04244223038053, 88.52841979608488, 102.21764240092666, 102.21764240092666, 164.3967267563182, 209.1860462790642]","[0, 0, 0, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 2, 2]","[1, -1, -1, -1, -1, -1, -1, -1]","[0, 211.78895839820322, 162.06545926208426, 133.4084043042637, 103.00976357054209, 103.00976357054209, 274.5460193665556, 212.95369804889285]","[0, (2.0092, 0.0, 0.0), (40.544599999999996, 0.0, 0.0), (16.077666666666666, 0.00013333333333333337, 0.00013333333333333337), (8.737733333333331, 0.0, 0.0), (8.737733333333331, 0.0, 0.0), (11.577533333333333, 0.0, 0.0), (81.0896, 0.002933333333333333, 0.014666666666666665)]","[0, (2, 0.0, 0.0), (1, 0.0, 0.0004166666666666667), (1, 0.0, 2.2222222222222223e-05), (1, 0.0, 2.2222222222222223e-05), (1, 0.0, 2.2222222222222223e-05), (3, 0.0, 9.999999999999999e-05), (3, 6.666666666666667e-05, 0.0008722222222222223)]","[-1, 0, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, True]"
3,"[0, 155.3901660274995, 0, 86.77273762254414, 103.00976357054209, 103.00976357054209, 0, 212.7549183718729, 41.36511705712533, 63.62996163918966]","[0, 0, 0, 0, 0, 0, 1, 1, 2, 2]","[1, 1, 1, 1, 1, 1, 2, 2, 3, 3]","[1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 211.78895839820322, 162.06545926208426, 133.4084043042637, 103.00976357054209, 103.00976357054209, 274.5460193665556, 212.95369804889285, 79.3252637779196, 108.8527138534084]","[0, (2.0092, 0.0, 0.0), (48.234, 0.0, 0.0), (28.6606, 0.0, 0.0), (9.6554, 0.0, 0.0), (9.6554, 0.0, 0.0), (8.300666666666666, 0.0, 0.0), (76.54560000000001, 0.0008, 0.0016), (19.22346666666667, 0.0, 0.00013333333333333337), (41.943, 0.009466666666666667, 0.00013333333333333337)]","[0, (2, 0.0, 0.0), (1, 0.0, 0.00040555555555555554), (1, 0.0, 1.1111111111111112e-05), (1, 0.0, 2.2222222222222223e-05), (1, 0.0, 2.2222222222222223e-05), (3, 0.0, 8.333333333333333e-05), (3, 1.666666666666667e-05, 0.0007944444444444444), (3, 0.0, 0.00040555555555555554), (1, 0.0, 0.0011222222222222222)]","[-1, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[False, True, True, True, True, True, True, True, True, True]"
4,"[0, 0, 0, 103.64521850912116, 99.95633448894316, 0, 0, 212.95369804889285, 44.82445051162869, 63.27356208177461, 132.36140092890503, 58.828625558638436, 112.51492714048256, 167.99866411485004, 45.74747732090117]","[0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 3, 3, 3, 3, 3]","[1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 4, 4, 4, 4, 4]","[1, -1, 3, -1, -1, -1, 3, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 162.80856677834058, 0, 133.4084043042637, 103.00976357054209, 103.00976357054209, 0, 212.95369804889285, 79.3252637779196, 108.8527138534084, 307.9648036796067, 103.15890381333142, 112.51492714048256, 180.38225872974027, 46.12105131156661]","[0, (2.4461999999999997, 0.0, 0.0), 0, (10.485, 0.0004, 0.0002666666666666667), (9.524066666666668, 0.0, 0.0), (9.524066666666668, 0.0, 0.0), 0, (71.65213333333331, 0.0009333333333333333, 0.0016), (11.533733333333332, 0.0, 0.0), (27.962, 0.009333333333333334, 0.0), (6.2908, 0.0, 0.0), (3.2328, 0.030133333333333328, 0.029466666666666665), (117.44, 0.00013333333333333337, 0.0014666666666666665), (131.42113333333333, 0.00013333333333333337, 0.00013333333333333337), (11.0094, 0.0, 0.0)]","[0, (2, 0.0, 1.1111111111111112e-05), 0, (1, 0.0, 0.0), (1, 0.0, 1.6666666666666667e-05), (1, 0.0, 1.6666666666666667e-05), 0, (3, 0.0, 0.0007666666666666666), (3, 0.0, 3.888888888888889e-05), (1, 0.0, 0.0010277777777777776), (2, 0.0003333333333333333, 0.0001277777777777778), (2, 0.0, 0.0), (3, 0.0006666666666666666, 0.0008722222222222223), (3, 3.3333333333333335e-05, 0.004461111111111111), (1, 0.0, 0.0)]","[-1, 0, -1, 0, 0, 0, -1, 0, 0, 0, 2, 1, 0, 0, 0]","[False, True, False, True, True, True, False, True, True, True, True, True, True, True, True]"
5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58.76597011848104, 111.40973095950027, 177.22665916946593, 45.94760640295022, 78.534055619128, 206.63880185239503, 10.765501894580943]","[0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4]","[1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5]","[1, 4, 3, -1, -1, 4, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 133.4084043042637, 103.00976357054209, 0, 0, 212.95369804889285, 79.3252637779196, 108.8527138534084, 307.9648036796067, 103.15890381333142, 112.51492714048256, 180.38225872974027, 46.12105131156661, 123.76535565601326, 216.05211915323915, 87.78660398950068]","[0, 0, 0, (3.495, 0.0, 0.0), (8.956333333333333, 0.0, 0.0), 0, 0, (71.3028, 0.0009333333333333333, 0.002), (5.5919333333333325, 0.0, 0.0), (25.1658, 0.0092, 0.0), (2.7083333333333335, 0.0, 0.0), (2.7958000000000003, 0.026266666666666667, 0.02586666666666667), (92.2744, 0.0, 0.0013333333333333333), (134.21720000000002, 0.0002666666666666667, 0.00013333333333333337), (9.698733333333331, 0.0, 0.0), (24.11653333333333, 0.10266666666666668, 0.19666666666666663), (27.962, 0.009066666666666666, 0.0002666666666666667), (17.460214285714287, 0.0, 0.0)]","[0, 0, 0, (1, 0.0, 1.1111111111111112e-05), (1, 0.0, 2.7777777777777776e-05), 0, 0, (3, 1.666666666666667e-05, 0.0008611111111111112), (3, 0.0, 1.6666666666666667e-05), (1, 0.0, 0.0010333333333333334), (2, 0.0, 5.555555555555555e-05), (2, 0.0, 0.0), (3, 0.00055, 0.0005444444444444445), (3, 0.0, 0.005061111111111111), (1, 0.0, 0.0), (2, 0.0048833333333333315, 0.03065555555555555), (3, 0.0, 0.0010722222222222222), (1, 0.0, 1.1904761904761903e-05)]","[-1, -1, -1, 0, 0, -1, -1, 0, 0, 0, 2, 1, 0, 0, 0, 1, 1, 0]","[False, False, False, True, True, False, False, True, True, True, True, True, True, True, True, True, True, True]"
6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112.02675051500064, 163.87229477140647, 45.371437674199534, 82.78859451524835, 140.25356314290968, 0, 96.10898314475384, 64.17040167907226, 78.6318894850145, 78.12034655747262, 40.454889187971915, 78.6318894850145]","[0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5]","[1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 6, 6]","[1, 4, 3, 5, 5, 4, 3, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103.15890381333142, 112.51492714048256, 180.38225872974027, 46.12105131156661, 123.76535565601326, 216.05211915323915, 87.78660398950068, 112.69565494262625, 114.12406541289052, 119.11081205573956, 135.924914360491, 142.07611842757387, 119.11081205573956]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (2.5336, 0.026, 0.025066666666666668), (75.49719999999999, 0.0, 0.0012), (117.44, 0.0, 0.0), (7.7764, 0.0, 0.0), (28.8354, 0.10213333333333334, 0.19533333333333336), (19.573400000000003, 0.008933333333333333, 0.0), (15.587785714285713, 0.0, 0.0), (120.23639999999999, 0.0008, 0.0006666666666666666), (17.0388, 0.0, 0.0), (3.8446, 0.07706666666666666, 0.07533333333333331), (152.39246666666668, 0.0, 0.0), (343.9326, 0.017733333333333334, 0.010533333333333334), (3.8446, 0.07706666666666666, 0.07533333333333331)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (2, 0.0, 0.0), (3, 0.0002833333333333333, 0.0007611111111111111), (3, 0.0, 0.0019111111111111108), (1, 0.0, 0.0), (2, 0.0, 0.027205555555555552), (3, 0.0, 0.0010055555555555553), (1, 0.0, 1.7857142857142855e-05), (1, 0.0, 0.004261111111111111), (2, 0.0, 2.2222222222222223e-05), (1, 0.0, 0.0), (3, 0.4706, 0.013072222222222223), (2, 0.0, 0.0010333333333333334), (1, 0.0, 0.0)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0]","[False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True]"
7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 180.38225872974027, 0, 0, 211.51075803303397, 0, 110.9134728122799, 0, 0, 126.94030270522046, 40.9503472409793, 0, 247.15561996060916, 83.8563441592036, 35.98626970155332, 189.16785325286145, 83.8563441592036]","[0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6]","[1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7]","[1, 4, 3, 5, 5, 4, 3, 5, 5, 5, 5, 6, -1, -1, -1, -1, -1, 6, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112.51492714048256, 180.38225872974027, 46.12105131156661, 123.76535565601326, 216.05211915323915, 0, 112.69565494262625, 114.12406541289052, 119.11081205573956, 135.924914360491, 142.07611842757387, 119.11081205573956, 332.3073704400191, 161.6575483431876, 59.38149840050882, 189.16785325286145, 161.6575483431876]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (83.8858, 0.0, 0.0013333333333333333), (88.08, 0.0005333333333333334, 0.0004), (6.116133333333332, 0.0, 0.0), (26.2138, 0.102, 0.19493333333333338), (41.943, 0.008933333333333333, 0.00013333333333333337), 0, (107.65366666666668, 0.0002666666666666667, 0.0002666666666666667), (16.645799999999998, 0.0, 0.0), (3.9318, 0.0684, 0.06653333333333333), (122.68306666666663, 0.0, 0.0), (218.1036, 0.0176, 0.0104), (3.9318, 0.0684, 0.06653333333333333), (36.3506, 0.009333333333333334, 0.00013333333333333337), (39.146800000000006, 0.0, 0.002), (49.28266666666666, 0.0124, 0.02413333333333333), (11.358866666666668, 0.0, 0.0002666666666666667), (39.146800000000006, 0.0, 0.002)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (3, 0.00043333333333333337, 0.0006333333333333333), (3, 0.0, 0.0021999999999999997), (1, 0.0, 2.7777777777777776e-05), (2, 0.0, 0.027505555555555554), (3, 0.0, 0.0010444444444444446), 0, (1, 0.0, 0.0052944444444444445), (2, 0.0, 1.6666666666666667e-05), (1, 0.0, 0.0), (3, 0.0, 0.0007444444444444445), (2, 0.0, 0.0013611111111111111), (1, 0.0, 0.0), (1, 0.0, 0.0011277777777777777), (2, 0.0, 0.0), (2, 0.003116666666666667, 0.008222222222222225), (1, 0.0, 0.0005576923076923078), (2, 0.0, 0.0)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 1, 1, -1, 1, 1, 1, 1, 1, 0, 2, 1, 0, 0, 0]","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True]"
8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 137.90950471819895, 0, 0, 0, 0, 0, 0, 0, 332.3073704400191, 161.6575483431876, 50.27677273609357, 84.43575067539379, 0, 151.0071910398516, 200.9739090587972, 209.09063029024182, 76.79799753111793, 0, 163.52769027787681, 24.903510481552985]","[0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7]","[1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 8, 8, 8, 8, 8, 8, 8]","[1, 4, 3, 5, 5, 4, 3, 5, 5, 5, 5, 6, 7, -1, 7, 7, -1, 6, -1, 7, 7, -1, -1, 7, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 180.38225872974027, 0, 0, 216.05211915323915, 0, 112.69565494262625, 0, 0, 135.924914360491, 142.07611842757387, 0, 332.3073704400191, 161.6575483431876, 59.38149840050882, 189.16785325286145, 161.6575483431876, 235.2864205464756, 230.18259268989448, 209.09063029024182, 91.94489618215188, 96.43761730014629, 268.0088494496394, 50.01652296771497]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (92.2744, 0.0, 0.0), 0, 0, (33.5544, 0.0092, 0.00013333333333333337), 0, (90.87633333333332, 0.0002666666666666667, 0.0002666666666666667), 0, 0, (127.22666666666669, 0.0, 0.0), (145.4024, 0.017866666666666666, 0.0104), 0, (67.1088, 0.0092, 0.0), (13.981, 0.0, 0.002), (81.7884, 0.010666666666666666, 0.015333333333333336), (23.592599999999997, 0.0, 0.0), (13.981, 0.0, 0.002), (37.39873333333333, 0.02186666666666667, 0.023333333333333327), (72.70066666666669, 0.03946666666666667, 0.0176), (1059.0613333333333, 0.0, 0.0018666666666666664), (150.29533333333336, 0.0017333333333333335, 0.0005333333333333334), (18.174933333333335, 0.023600000000000003, 0.016266666666666665), (58.7202, 0.009466666666666667, 0.0002666666666666667), (5.6792, 0.0, 0.0)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (3, 0.0, 0.0018500000000000005), 0, 0, (3, 0.0, 0.0010055555555555553), 0, (1, 0.0, 0.0017), 0, 0, (3, 0.06446666666666667, 0.02305555555555556), (2, 0.0, 0.0009166666666666666), 0, (1, 0.0, 0.001027777777777778), (2, 0.0, 0.0), (2, 0.001633333333333333, 0.0004222222222222222), (1, 0.0, 0.0), (2, 0.0, 0.0), (1, 0.0, 0.0007333333333333333), (3, 0.026199999999999998, 0.009377777777777777), (3, 0.0, 8.333333333333333e-05), (2, 0.0020666666666666663, 0.017644444444444442), (2, 0.0, 0.0018777777777777777), (2, 0.0, 0.0010944444444444443), (2, 0.0, 8.88888888888889e-05)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, 1, -1, 1, -1, -1, 1, 1, -1, 2, 1, 0, 0, 0, 2, 2, 2, 1, 1, 1, 0]","[False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, True, False, True, False, False, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True]"
9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 163.47300743734763, 0, 165.11973361550952, 118.04485762338273, 185.13866968730366, 82.4994843293976, 0, 189.1410916512985, 22.804141459090346, 256.58899181789894, 217.96408454484342, 293.02646480815076, 145.30825794037207, 145.30825794037207, 64.17039429947582, 41.36511705712533]","[0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 8, 8, 8, 8, 8, 8, 8]","[1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 8, 8, 8, 8, 8, 8, 8, 9, 9, 9, 9, 9, 9, 9]","[1, 4, 3, 5, 5, 4, 3, 5, 5, 5, 5, 6, 7, 8, 7, 7, -1, 6, 8, 7, 7, 8, 8, 7, -1, -1, -1, -1, 8, -1, -1, -1, -1, 8, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 216.05211915323915, 0, 0, 0, 0, 0, 0, 0, 332.3073704400191, 161.6575483431876, 59.38149840050882, 189.16785325286145, 0, 235.2864205464756, 230.18259268989448, 209.09063029024182, 91.94489618215188, 0, 268.0088494496394, 50.01652296771497, 336.9265488385455, 224.07843432165336, 304.8057494372274, 238.14865213319263, 238.14865213319263, 114.12405228862254, 79.3252637779196]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (25.1658, 0.008933333333333333, 0.00013333333333333337), 0, 0, 0, 0, 0, 0, 0, (30.758200000000002, 0.0092, 0.00013333333333333337), (2.7962, 0.0, 0.002), (59.41873333333332, 0.013066666666666664, 0.021466666666666665), (9.960799999999999, 0.0, 0.0), 0, (48.58333333333333, 0.020666666666666667, 0.020399999999999998), (77.94366666666669, 0.0017333333333333335, 0.0005333333333333334), (957.699, 0.0, 0.0014666666666666665), (168.47066666666663, 0.0005333333333333334, 0.0), 0, (50.3316, 0.009333333333333334, 0.0002666666666666667), (3.8444000000000003, 0.0, 0.0), (33.5544, 0.009333333333333334, 0.00013333333333333337), (17.47573333333333, 0.00013333333333333337, 0.006666666666666666), (3.1454, 0.0002666666666666667, 0.0002666666666666667), (44.7392, 0.009333333333333334, 0.00013333333333333337), (44.7392, 0.009333333333333334, 0.00013333333333333337), (61.8654, 0.0005333333333333334, 0.0054666666666666665), (19.22346666666667, 0.0, 0.00013333333333333337)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (3, 0.0, 0.0010222222222222221), 0, 0, 0, 0, 0, 0, 0, (1, 0.0, 0.0011166666666666666), (2, 0.0, 0.0), (2, 0.002466666666666667, 0.008133333333333333), (1, 0.0, 1.6666666666666667e-05), 0, (1, 0.0, 0.00075), (3, 0.0002833333333333333, 0.00047222222222222235), (3, 1.666666666666667e-05, 0.01303888888888889), (2, 1.666666666666667e-05, 0.08042222222222223), 0, (2, 0.0, 0.0010555555555555557), (2, 0.0, 8.333333333333333e-05), (1, 0.0, 0.0011111111111111111), (1, 0.0, 0.0023277777777777776), (2, 0.0, 1.1111111111111112e-05), (3, 0.0, 0.0010944444444444443), (3, 0.0, 0.0010944444444444443), (1, 0.0, 0.0006722222222222222), (3, 0.0, 0.00040555555555555554)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, 2, 1, 0, 0, -1, 2, 2, 2, 1, -1, 1, 0, 2, 2, 2, 2, 1, 1, 0]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, True, True, True, True, False, True, True, True, True, False, True, True, True, True, True, True, True, True, True]"
10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 187.4314261226786, 0, 191.59755780363992, 73.49676430910621, 0, 0, 0, 237.95248182525663, 221.3307340863248, 0, 168.0679430259686, 168.0679430259686, 61.31216026519089, 44.82445051162869, 161.99356734770964, 0, 183.16372102630714, 133.28650478250972, 170.34951043408648]","[0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 8, 8, 8, 8, 8, 8, 8, 9, 9, 9, 9, 9]","[1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 8, 8, 8, 8, 8, 8, 8, 9, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10]","[1, 4, 3, 5, 5, 4, 3, 5, 5, 5, 5, 6, 7, 8, 7, 7, 9, 6, 8, 7, 7, 8, 8, 7, 9, 9, 9, -1, 8, -1, -1, -1, -1, 8, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 189.16785325286145, 0, 235.2864205464756, 230.18259268989448, 209.09063029024182, 91.94489618215188, 0, 268.0088494496394, 50.01652296771497, 336.9265488385455, 224.07843432165336, 304.8057494372274, 238.14865213319263, 238.14865213319263, 114.12405228862254, 79.3252637779196, 267.3080827806813, 325.06645691504343, 243.81311650882608, 133.4084043042637, 174.3284824664941]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (12.232933333333332, 0.0, 0.0), 0, (48.234, 0.020666666666666667, 0.021333333333333333), (60.11773333333332, 0.03746666666666667, 0.017333333333333333), (1163.9189333333334, 0.00013333333333333337, 0.0018666666666666664), (166.37366666666662, 0.0006666666666666666, 0.0004), 0, (47.5354, 0.009066666666666666, 0.0002666666666666667), (10.616066666666667, 0.0, 0.0), (8.3886, 0.009466666666666667, 0.0), (11.883533333333332, 0.0002666666666666667, 0.0002666666666666667), (2.7958000000000003, 0.0, 0.0), (33.5544, 0.009333333333333334, 0.0), (33.5544, 0.009333333333333334, 0.0), (63.9626, 0.0, 0.0014666666666666665), (11.533733333333332, 0.0, 0.0), (260.0466, 0.0026666666666666666, 0.013733333333333332), (10.616333333333333, 0.0, 0.0), (41.942800000000005, 0.0, 0.0), (10.485066666666668, 0.0, 0.0), (5.722933333333333, 0.0022666666666666664, 0.0026666666666666666)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (1, 0.0, 7.222222222222222e-05), 0, (1, 1.666666666666667e-05, 0.0008833333333333333), (3, 0.0, 0.0005), (3, 0.04671666666666667, 0.003522222222222222), (2, 1.666666666666667e-05, 0.016522222222222223), 0, (2, 0.0, 0.0011222222222222222), (2, 0.0, 9.444444444444444e-05), (1, 0.0, 0.001472222222222222), (1, 0.0, 0.0006555555555555556), (2, 0.0, 2.7777777777777776e-05), (3, 0.0, 0.0010277777777777776), (3, 0.0, 0.0010277777777777776), (1, 0.0, 0.0005777777777777778), (3, 0.0, 3.888888888888889e-05), (1, 0.0, 0.0005611111111111111), (3, 0.0, 8.333333333333333e-05), (3, 0.0, 0.0007277777777777777), (1, 0.0, 7.777777777777777e-05), (2, 0.0, 8.333333333333333e-05)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, 2, 2, 2, 1, -1, 1, 0, 2, 2, 2, 2, 1, 1, 0, 2, 2, 1, 0, 0]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
