interval,activecontainers,ips,apparentips,ram,disk,creationids,hostalloc,active
1,6,"[0, 173.49608108384768, 116.02466041391799, 133.28650478250972, 101.29682559076329, 101.29682559076329, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[176.03381172762982, 211.78895839820322, 162.06545926208426, 133.4084043042637, 103.00976357054209, 103.00976357054209, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7.295733333333333, 0.0006666666666666666, 0.0006666666666666666), (2.4460666666666664, 0.0, 0.0), (49.63186666666667, 0.0, 0.0), (10.485066666666668, 0.0, 0.0), (9.917266666666666, 0.0, 0.0), (9.917266666666666, 0.0, 0.0), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(1, 0.0, 8.88888888888889e-05), (2, 0.0, 0.0), (1, 0.0, 0.00039444444444444444), (1, 0.0, 7.777777777777777e-05), (1, 0.0, 1.6666666666666667e-05), (1, 0.0, 1.6666666666666667e-05), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 2, 3, 4, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
2,7,"[164.3967267563182, 211.78895839820322, 107.04244223038053, 88.52841979608488, 102.21764240092666, 102.21764240092666, 209.1860462790642, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[274.5460193665556, 211.78895839820322, 162.06545926208426, 133.4084043042637, 103.00976357054209, 103.00976357054209, 212.95369804889285, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(11.577533333333333, 0.0, 0.0), (2.0092, 0.0, 0.0), (40.544599999999996, 0.0, 0.0), (16.077666666666666, 0.00013333333333333337, 0.00013333333333333337), (8.737733333333331, 0.0, 0.0), (8.737733333333331, 0.0, 0.0), (81.0896, 0.002933333333333333, 0.014666666666666665), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(3, 0.0, 9.999999999999999e-05), (2, 0.0, 0.0), (1, 0.0, 0.0004166666666666667), (1, 0.0, 2.2222222222222223e-05), (1, 0.0, 2.2222222222222223e-05), (1, 0.0, 2.2222222222222223e-05), (3, 6.666666666666667e-05, 0.0008722222222222223), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 1, 2, 3, 4, 5, 7, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 0, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
3,9,"[0, 155.3901660274995, 0, 86.77273762254414, 103.00976357054209, 103.00976357054209, 212.7549183718729, 41.36511705712533, 63.62996163918966, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[274.5460193665556, 211.78895839820322, 162.06545926208426, 133.4084043042637, 103.00976357054209, 103.00976357054209, 212.95369804889285, 79.3252637779196, 108.8527138534084, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(8.300666666666666, 0.0, 0.0), (2.0092, 0.0, 0.0), (48.234, 0.0, 0.0), (28.6606, 0.0, 0.0), (9.6554, 0.0, 0.0), (9.6554, 0.0, 0.0), (76.54560000000001, 0.0008, 0.0016), (19.22346666666667, 0.0, 0.00013333333333333337), (41.943, 0.009466666666666667, 0.00013333333333333337), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(3, 0.0, 8.333333333333333e-05), (2, 0.0, 0.0), (1, 0.0, 0.00040555555555555554), (1, 0.0, 1.1111111111111112e-05), (1, 0.0, 2.2222222222222223e-05), (1, 0.0, 2.2222222222222223e-05), (3, 1.666666666666667e-05, 0.0007944444444444444), (3, 0.0, 0.00040555555555555554), (1, 0.0, 0.0011222222222222222), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 1, 2, 3, 4, 5, 7, 8, 9, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
4,12,"[132.36140092890503, 0, 58.828625558638436, 103.64521850912116, 99.95633448894316, 0, 212.95369804889285, 44.82445051162869, 63.27356208177461, 112.51492714048256, 167.99866411485004, 45.74747732090117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[307.9648036796067, 162.80856677834058, 103.15890381333142, 133.4084043042637, 103.00976357054209, 103.00976357054209, 212.95369804889285, 79.3252637779196, 108.8527138534084, 112.51492714048256, 180.38225872974027, 46.12105131156661, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(6.2908, 0.0, 0.0), (2.4461999999999997, 0.0, 0.0), (3.2328, 0.030133333333333328, 0.029466666666666665), (10.485, 0.0004, 0.0002666666666666667), (9.524066666666668, 0.0, 0.0), (9.524066666666668, 0.0, 0.0), (71.65213333333331, 0.0009333333333333333, 0.0016), (11.533733333333332, 0.0, 0.0), (27.962, 0.009333333333333334, 0.0), (117.44, 0.00013333333333333337, 0.0014666666666666665), (131.42113333333333, 0.00013333333333333337, 0.00013333333333333337), (11.0094, 0.0, 0.0), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(2, 0.0003333333333333333, 0.0001277777777777778), (2, 0.0, 1.1111111111111112e-05), (2, 0.0, 0.0), (1, 0.0, 0.0), (1, 0.0, 1.6666666666666667e-05), (1, 0.0, 1.6666666666666667e-05), (3, 0.0, 0.0007666666666666666), (3, 0.0, 3.888888888888889e-05), (1, 0.0, 0.0010277777777777776), (3, 0.0006666666666666666, 0.0008722222222222223), (3, 3.3333333333333335e-05, 0.004461111111111111), (1, 0.0, 0.0), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 1, 11, 3, 4, 5, 7, 8, 9, 12, 13, 14, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
5,13,"[0, 78.534055619128, 58.76597011848104, 0, 0, 206.63880185239503, 0, 0, 0, 111.40973095950027, 177.22665916946593, 45.94760640295022, 10.765501894580943, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[307.9648036796067, 123.76535565601326, 103.15890381333142, 133.4084043042637, 103.00976357054209, 216.05211915323915, 212.95369804889285, 79.3252637779196, 108.8527138534084, 112.51492714048256, 180.38225872974027, 46.12105131156661, 87.78660398950068, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(2.7083333333333335, 0.0, 0.0), (24.11653333333333, 0.10266666666666668, 0.19666666666666663), (2.7958000000000003, 0.026266666666666667, 0.02586666666666667), (3.495, 0.0, 0.0), (8.956333333333333, 0.0, 0.0), (27.962, 0.009066666666666666, 0.0002666666666666667), (71.3028, 0.0009333333333333333, 0.002), (5.5919333333333325, 0.0, 0.0), (25.1658, 0.0092, 0.0), (92.2744, 0.0, 0.0013333333333333333), (134.21720000000002, 0.0002666666666666667, 0.00013333333333333337), (9.698733333333331, 0.0, 0.0), (17.460214285714287, 0.0, 0.0), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(2, 0.0, 5.555555555555555e-05), (2, 0.0048833333333333315, 0.03065555555555555), (2, 0.0, 0.0), (1, 0.0, 1.1111111111111112e-05), (1, 0.0, 2.7777777777777776e-05), (3, 0.0, 0.0010722222222222222), (3, 1.666666666666667e-05, 0.0008611111111111112), (3, 0.0, 1.6666666666666667e-05), (1, 0.0, 0.0010333333333333334), (3, 0.00055, 0.0005444444444444445), (3, 0.0, 0.005061111111111111), (1, 0.0, 0.0), (1, 0.0, 1.1904761904761903e-05), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 15, 11, 3, 4, 16, 7, 8, 9, 12, 13, 14, 17, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[2, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
6,13,"[96.10898314475384, 82.78859451524835, 0, 64.17040167907226, 78.6318894850145, 140.25356314290968, 78.12034655747262, 40.454889187971915, 78.6318894850145, 112.02675051500064, 163.87229477140647, 45.371437674199534, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[112.69565494262625, 123.76535565601326, 103.15890381333142, 114.12406541289052, 119.11081205573956, 216.05211915323915, 135.924914360491, 142.07611842757387, 119.11081205573956, 112.51492714048256, 180.38225872974027, 46.12105131156661, 87.78660398950068, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(120.23639999999999, 0.0008, 0.0006666666666666666), (28.8354, 0.10213333333333334, 0.19533333333333336), (2.5336, 0.026, 0.025066666666666668), (17.0388, 0.0, 0.0), (3.8446, 0.07706666666666666, 0.07533333333333331), (19.573400000000003, 0.008933333333333333, 0.0), (152.39246666666668, 0.0, 0.0), (343.9326, 0.017733333333333334, 0.010533333333333334), (3.8446, 0.07706666666666666, 0.07533333333333331), (75.49719999999999, 0.0, 0.0012), (117.44, 0.0, 0.0), (7.7764, 0.0, 0.0), (15.587785714285713, 0.0, 0.0), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(1, 0.0, 0.004261111111111111), (2, 0.0, 0.027205555555555552), (2, 0.0, 0.0), (2, 0.0, 2.2222222222222223e-05), (1, 0.0, 0.0), (3, 0.0, 0.0010055555555555553), (3, 0.4706, 0.013072222222222223), (2, 0.0, 0.0010333333333333334), (1, 0.0, 0.0), (3, 0.0002833333333333333, 0.0007611111111111111), (3, 0.0, 0.0019111111111111108), (1, 0.0, 0.0), (1, 0.0, 1.7857142857142855e-05), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[18, 15, 11, 19, 20, 16, 21, 22, 23, 12, 13, 14, 17, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
7,16,"[110.9134728122799, 0, 247.15561996060916, 0, 0, 211.51075803303397, 126.94030270522046, 40.9503472409793, 0, 0, 180.38225872974027, 0, 83.8563441592036, 35.98626970155332, 189.16785325286145, 83.8563441592036, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[112.69565494262625, 123.76535565601326, 332.3073704400191, 114.12406541289052, 119.11081205573956, 216.05211915323915, 135.924914360491, 142.07611842757387, 119.11081205573956, 112.51492714048256, 180.38225872974027, 46.12105131156661, 161.6575483431876, 59.38149840050882, 189.16785325286145, 161.6575483431876, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(107.65366666666668, 0.0002666666666666667, 0.0002666666666666667), (26.2138, 0.102, 0.19493333333333338), (36.3506, 0.009333333333333334, 0.00013333333333333337), (16.645799999999998, 0.0, 0.0), (3.9318, 0.0684, 0.06653333333333333), (41.943, 0.008933333333333333, 0.00013333333333333337), (122.68306666666663, 0.0, 0.0), (218.1036, 0.0176, 0.0104), (3.9318, 0.0684, 0.06653333333333333), (83.8858, 0.0, 0.0013333333333333333), (88.08, 0.0005333333333333334, 0.0004), (6.116133333333332, 0.0, 0.0), (39.146800000000006, 0.0, 0.002), (49.28266666666666, 0.0124, 0.02413333333333333), (11.358866666666668, 0.0, 0.0002666666666666667), (39.146800000000006, 0.0, 0.002), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(1, 0.0, 0.0052944444444444445), (2, 0.0, 0.027505555555555554), (1, 0.0, 0.0011277777777777777), (2, 0.0, 1.6666666666666667e-05), (1, 0.0, 0.0), (3, 0.0, 0.0010444444444444446), (3, 0.0, 0.0007444444444444445), (2, 0.0, 0.0013611111111111111), (1, 0.0, 0.0), (3, 0.00043333333333333337, 0.0006333333333333333), (3, 0.0, 0.0021999999999999997), (1, 0.0, 2.7777777777777776e-05), (2, 0.0, 0.0), (2, 0.003116666666666667, 0.008222222222222225), (1, 0.0, 0.0005576923076923078), (2, 0.0, 0.0), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[18, 15, 24, 19, 20, 16, 21, 22, 23, 12, 13, 14, 25, 26, 27, 28, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 2, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
8,17,"[0, 151.0071910398516, 332.3073704400191, 200.9739090587972, 209.09063029024182, 137.90950471819895, 0, 0, 76.79799753111793, 0, 0, 163.52769027787681, 161.6575483431876, 50.27677273609357, 84.43575067539379, 0, 24.903510481552985, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[112.69565494262625, 235.2864205464756, 332.3073704400191, 230.18259268989448, 209.09063029024182, 216.05211915323915, 135.924914360491, 142.07611842757387, 91.94489618215188, 96.43761730014629, 180.38225872974027, 268.0088494496394, 161.6575483431876, 59.38149840050882, 189.16785325286145, 161.6575483431876, 50.01652296771497, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(90.87633333333332, 0.0002666666666666667, 0.0002666666666666667), (37.39873333333333, 0.02186666666666667, 0.023333333333333327), (67.1088, 0.0092, 0.0), (72.70066666666669, 0.03946666666666667, 0.0176), (1059.0613333333333, 0.0, 0.0018666666666666664), (33.5544, 0.0092, 0.00013333333333333337), (127.22666666666669, 0.0, 0.0), (145.4024, 0.017866666666666666, 0.0104), (150.29533333333336, 0.0017333333333333335, 0.0005333333333333334), (18.174933333333335, 0.023600000000000003, 0.016266666666666665), (92.2744, 0.0, 0.0), (58.7202, 0.009466666666666667, 0.0002666666666666667), (13.981, 0.0, 0.002), (81.7884, 0.010666666666666666, 0.015333333333333336), (23.592599999999997, 0.0, 0.0), (13.981, 0.0, 0.002), (5.6792, 0.0, 0.0), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(1, 0.0, 0.0017), (1, 0.0, 0.0007333333333333333), (1, 0.0, 0.001027777777777778), (3, 0.026199999999999998, 0.009377777777777777), (3, 0.0, 8.333333333333333e-05), (3, 0.0, 0.0010055555555555553), (3, 0.06446666666666667, 0.02305555555555556), (2, 0.0, 0.0009166666666666666), (2, 0.0020666666666666663, 0.017644444444444442), (2, 0.0, 0.0018777777777777777), (3, 0.0, 0.0018500000000000005), (2, 0.0, 0.0010944444444444443), (2, 0.0, 0.0), (2, 0.001633333333333333, 0.0004222222222222222), (1, 0.0, 0.0), (2, 0.0, 0.0), (2, 0.0, 8.88888888888889e-05), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[18, 29, 24, 30, 31, 16, 21, 22, 32, 33, 13, 34, 25, 26, 27, 28, 35, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
