interval,numdestroyed,nummigrations,responsetime,avgresponsetime,migrationtime,avgmigrationtime,slaviolations,slaviolationspercentage,waittime
1,0,6,[],0.0,[],0.0,1,0.0,[]
2,1,2,[0.1167744],0.1167744,[0.1167744],0.1167744,1,100.0,[1]
3,0,2,[],0.0,[],0.0,1,0.0,[]
4,2,5,"[537.8891829460799, 622.630651392534]",580.259917169307,"[0.06526202666666667, 0.37079120000000004]",0.21802661333333334,1,50.0,"[1, 1]"
5,2,3,"[1030.6864768675237, 1183.9442665679248]",1107.3153717177242,"[0.08767639999999999, 0.1325036]",0.11009,1,50.0,"[1, 1]"
6,6,6,"[493.4397871948014, 1227.1379599187462, 1480.697267109237, 1188.5574991589197, 841.3843178664865, 840.1071684688892]",1011.8873332861799,"[0.0125816, 0.13591040000000001, 0.1325036, 0.1540896, 0.11144693333333333, 0.156886]",0.11723635555555555,1,16.666666666666668,"[1, 1, 1, 1, 1, 1]"
7,2,5,"[883.0895858976195, 372.2054154062611]",627.6475006519403,"[0.061172479999999994, 0.09046021428571428]",0.07581634714285714,1,50.0,"[1, 1]"
8,6,7,"[612.9548692522228, 510.7506450994461, 568.5250625233915, 568.5362956233914, 1195.9990242716688, 1190.0873244319644]",774.4755368670141,"[0.08493983999999999, 0.09859699999999999, 0.06561149999999999, 0.0768446, 0.42532000000000003, 0.10602819999999999]",0.14289019,1,16.666666666666668,"[1, 1, 1, 1, 1, 1]"
9,6,7,"[819.4118157406033, 667.0641886442926, 641.6657943856069, 197.14696981725996, 1424.7791973713927, 455.80892840499405]",700.9794823940248,"[0.356591, 0.4369811666666667, 0.9158314999999999, 0.0832624, 0.4672634, 0.1904404]",0.4083949777777778,1,16.666666666666668,"[1, 1, 1, 1, 1, 1]"
10,4,5,"[750.3208650921164, 1266.9515360958565, 742.1342616595023, 826.9894903816361]",896.5990383072777,"[0.0727012, 0.083962, 0.11863488, 0.220848]",0.12403652,1,25.0,"[1, 1, 1, 1]"
11,6,8,"[831.560161207578, 168.18432485706242, 450.326346746976, 694.9095322468888, 1009.2991352017505, 860.2261783671192]",669.0842797712293,"[0.17448160000000004, 0.016986133333333334, 0.0062908, 0.1440803, 0.1070766, 0.07867919999999999]",0.0879324388888889,1,16.666666666666668,"[1, 1, 1, 1, 1, 1]"
