interval,ips,create,start,destroy,apparentips,ram,disk,hostalloc,active
1,[501.5636322632847],[0],[1],[-1],[521.7258411200543],"[(3.1454, 0.00013333333333333334, 0.00013333333333333334)]","[(2, 0.0, 1.1111111111111112e-05)]",[0],[True]
2,"[281.5817342772684, 463.43512885869814]","[0, 1]","[1, 2]","[-1, -1]","[521.7258411200543, 463.43512885869814]","[(2.7958000000000003, 0.0, 0.0), (100.6628, 0.0004, 0.0027333333333333333)]","[(2, 0.0, 2.7777777777777776e-05), (1, 0.0004166666666666667, 0.0008333333333333334)]","[0, 0]","[True, True]"
3,"[0, 0, 478.11857075076193]","[0, 1, 2]","[1, 2, 3]","[-1, -1, -1]","[521.7258411200543, 463.43512885869814, 764.6126534882811]","[(3.494666666666666, 0.0, 0.0), (121.63419999999999, 0.0, 0.0), (19.573400000000003, 0.004733333333333333, 6.666666666666668e-05)]","[(2, 0.0, 0.0), (1, 0.0, 0.0008222222222222222), (1, 0.0, 0.0011166666666666666)]","[0, 0, 0]","[True, True, True]"
4,"[0, 0, 451.82447391069746, 766.2627758313829, 878.7746921899874, 439.1948243283037]","[0, 1, 2, 3, 3, 3]","[1, 2, 3, 4, 4, 4]","[3, 3, -1, -1, -1, -1]","[0, 0, 764.6126534882811, 804.6364234793698, 1178.3370950713042, 576.7059427619771]","[0, 0, (22.3696, 0.004733333333333333, 0.0), (53.1278, 0.004666666666666667, 0.00013333333333333334), (915.7558, 0.0002, 0.001), (33.5544, 0.004666666666666667, 6.666666666666668e-05)]","[0, 0, (1, 0.0, 0.0014944444444444445), (3, 0.0, 0.00115), (3, 0.0, 0.0001388888888888889), (1, 0.0, 0.0011111111111111111)]","[-1, -1, 0, 1, 1, 0]","[False, False, True, True, True, True]"
5,"[0, 0, 0, 749.9511828834871, 710.2431664739623, 407.2953313908976, 474.53904722084934]","[0, 1, 2, 3, 3, 3, 4]","[1, 2, 3, 4, 4, 4, 5]","[3, 3, -1, -1, -1, -1, -1]","[0, 0, 764.6126534882811, 804.6364234793698, 1178.3370950713042, 576.7059427619771, 480.2429426719091]","[0, 0, (36.3506, 0.004666666666666667, 0.0), (33.5544, 0.0046, 6.666666666666668e-05), (1237.319, 0.0, 0.0009333333333333332), (8.3886, 0.004733333333333333, 0.0), (13.4562, 0.0, 0.0)]","[0, 0, (1, 0.0, 0.00105), (3, 0.0, 0.0010555555555555555), (3, 0.0, 7.222222222222222e-05), (1, 0.0, 0.001472222222222222), (3, 0.0, 0.0007)]","[-1, -1, 0, 1, 1, 0, 0]","[False, False, True, True, True, True, True]"
6,"[0, 0, 0, 0, 0, 0, 473.8860617357451, 575.6752832482554, 384.2661505437094]","[0, 1, 2, 3, 3, 3, 4, 5, 5]","[1, 2, 3, 4, 4, 4, 5, 6, 6]","[3, 3, 5, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 804.6364234793698, 1178.3370950713042, 576.7059427619771, 480.2429426719091, 948.5089098059846, 480.8401148524464]","[0, 0, 0, (55.924, 0.0046, 0.0), (1167.4141333333332, 0.0, 0.0009333333333333332), (33.5544, 0.004666666666666667, 0.0), (17.82533333333333, 6.666666666666668e-05, 6.666666666666668e-05), (75.4974, 0.004666666666666667, 6.666666666666668e-05), (29.621666666666673, 4.1293999999999995, 4.1416)]","[0, 0, 0, (3, 0.0, 0.0010444444444444446), (3, 0.0, 4.9999999999999996e-05), (1, 0.0, 0.0010999999999999998), (3, 0.0, 0.0006722222222222222), (1, 0.0, 0.0011111111111111113), (3, 0.0, 1.6666666666666667e-05)]","[-1, -1, -1, 1, 1, 0, 0, 1, 0]","[False, False, False, True, True, True, True, True, True]"
7,"[0, 0, 0, 0, 0, 0, 0, 0, 378.1870719872736, 2086.9171845041096, 1397.7390594094966, 1074.8969040677582, 438.82270636743755]","[0, 1, 2, 3, 3, 3, 4, 5, 5, 6, 6, 6, 6]","[1, 2, 3, 4, 4, 4, 5, 6, 6, 7, 7, 7, 7]","[3, 3, 5, 6, 6, 6, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 480.2429426719091, 948.5089098059846, 480.8401148524464, 2086.9171845041096, 1700.3789519328436, 1134.6052171820327, 464.8590468950376]","[0, 0, 0, 0, 0, 0, (17.126133333333335, 0.0, 0.0), (47.5354, 0.0046, 0.0), (29.53446666666667, 12.107333333333337, 12.139266666666664), (0.0, 0.004733333333333333, 0.00013333333333333334), (0.0, 0.0, 0.0), (388.67179999999996, 7.663399999999999, 2.4918666666666667), (1.31, 0.00013333333333333334, 0.00013333333333333334)]","[0, 0, 0, 0, 0, 0, (3, 0.0, 0.0006777777777777777), (1, 0.0, 0.0010277777777777776), (3, 0.0, 1.6666666666666667e-05), (3, 0.0, 0.0014222222222222223), (2, 0.0, 0.0), (2, 0.0, 0.016355555555555557), (3, 0.0, 0.0)]","[-1, -1, -1, -1, -1, -1, 0, 1, 0, 2, 2, 1, 0]","[False, False, False, False, False, False, True, True, True, True, True, True, True]"
8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2047.4685270814605, 1700.3789519328436, 0, 454.50376440061984, 833.3054562028785, 832.4748286142847, 340.1411929264844]","[0, 1, 2, 3, 3, 3, 4, 5, 5, 6, 6, 6, 6, 7, 7, 7]","[1, 2, 3, 4, 4, 4, 5, 6, 6, 7, 7, 7, 7, 8, 8, 8]","[3, 3, 5, 6, 6, 6, 7, 7, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 480.8401148524464, 2086.9171845041096, 1700.3789519328436, 1134.6052171820327, 464.8590468950376, 1603.4997317354403, 980.9364238482178, 713.9033093872425]","[0, 0, 0, 0, 0, 0, 0, 0, (31.3258, 10.272666666666666, 10.300266666666666), (0.0, 0.004666666666666667, 6.666666666666668e-05), (1.398, 0.0, 0.0), (651.5146, 19.004533333333335, 2.486266666666667), (1.048, 0.0, 0.0), (1140.8506, 0.0005333333333333334, 0.001066666666666667), (3.495, 0.0, 0.0), (15.494357142857144, 0.0, 0.0)]","[0, 0, 0, 0, 0, 0, 0, 0, (3, 0.0, 4.4444444444444447e-05), (3, 0.0, 0.001661111111111111), (2, 0.0, 5.555555555555555e-05), (2, 0.0, 0.0053), (3, 0.0, 0.0), (3, 0.0032, 0.001277777777777778), (3, 0.0, 0.00029444444444444445), (1, 0.0, 1.1904761904761903e-05)]","[-1, -1, -1, -1, -1, -1, -1, -1, 0, 2, 2, 1, 0, 2, 1, 0]","[False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, True]"
9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 443.4000526232956, 1392.7419302419803, 980.9364238482178, 0, 1727.9414031281997, 802.9360123670964, 356.21520181969316]","[0, 1, 2, 3, 3, 3, 4, 5, 5, 6, 6, 6, 6, 7, 7, 7, 8, 8, 8]","[1, 2, 3, 4, 4, 4, 5, 6, 6, 7, 7, 7, 7, 8, 8, 8, 9, 9, 9]","[3, 3, 5, 6, 6, 6, 7, 7, 8, -1, -1, 8, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2086.9171845041096, 1700.3789519328436, 0, 464.8590468950376, 1603.4997317354403, 980.9364238482178, 713.9033093872425, 2178.0351468661884, 1142.2577824644004, 652.6417040819157]","[0, 0, 0, 0, 0, 0, 0, 0, 0, (0.0, 0.004533333333333333, 0.0), (15.37853333333333, 0.0, 0.0), 0, (1.6596, 0.0, 0.0), (1001.0400666666666, 0.0, 0.0007333333333333332), (13.980333333333336, 0.0, 0.0), (15.3535, 0.0, 0.0), (130.0232, 0.015933333333333334, 0.022066666666666665), (4.194, 0.0, 0.0), (3.4945999999999997, 0.0, 0.0)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, (3, 0.0, 0.0012944444444444446), (2, 0.0, 0.0), 0, (3, 0.0, 0.0), (3, 0.0, 9.999999999999999e-05), (3, 0.0, 0.00037777777777777777), (1, 0.0, 2.3809523809523807e-05), (2, 0.0, 2.2222222222222223e-05), (1, 0.0, 0.0), (3, 0.0, 0.0)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, 2, 2, -1, 3, 2, 1, 0, 2, 1, 0]","[False, False, False, False, False, False, False, False, False, True, True, False, True, True, True, True, True, True, True]"
10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1121.049999618947, 0, 0, 1865.571789951444, 1126.8386350113344, 435.8925996621875, 786.1861931095266, 760.9816372485877]","[0, 1, 2, 3, 3, 3, 4, 5, 5, 6, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9]","[1, 2, 3, 4, 4, 4, 5, 6, 6, 7, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10]","[3, 3, 5, 6, 6, 6, 7, 7, 8, 9, 9, 8, -1, -1, -1, 9, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 464.8590468950376, 1603.4997317354403, 980.9364238482178, 0, 2178.0351468661884, 1142.2577824644004, 652.6417040819157, 800.8576688609924, 785.6232190106965]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (3.1454, 0.0, 0.0), (1168.8122666666666, 0.0002666666666666667, 0.0008), (12.5822, 0.0, 0.0), 0, (134.2174, 0.012666666666666665, 0.017533333333333335), (2.097, 0.0, 0.0), (3.1014666666666666, 0.0, 0.0), (5.592, 0.0, 0.0), (128.62506666666664, 0.00046666666666666666, 0.0014)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (3, 0.0, 3.3333333333333335e-05), (3, 0.0, 0.00019999999999999998), (3, 0.0, 0.00036666666666666667), 0, (2, 0.0, 3.3333333333333335e-05), (1, 0.0, 0.0), (3, 0.0, 5.555555555555557e-06), (1, 0.0, 0.00023333333333333336), (2, 0.0705, 0.025599999999999998)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 3, 2, 1, -1, 2, 1, 3, 1, 0]","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, True, True, True, True, True]"
