interval,numdestroyed,nummigrations,responsetime,avgresponsetime,migrationtime,avgmigrationtime,slaviolations,slaviolationspercentage,waittime
1,0,1,[],0.0,[],0.0,1,0.0,[]
2,0,1,[],0.0,[],0.0,1,0.0,[]
3,0,1,[],0.0,[],0.0,1,0.0,[]
4,1,2,[593.0831721471554],593.0831721471554,[0.07963973333333332],0.07963973333333332,1,100.0,[1]
5,1,2,[1170.4862741698694],1170.4862741698694,[0.0894268],0.0894268,1,100.0,[1]
6,1,2,[677.7870098470038],677.7870098470038,[0.08121333333333333],0.08121333333333333,1,100.0,[1]
7,2,3,"[651.4357321415672, 750.3714954921164]",700.9036138168418,"[0.0783696, 0.1233316]",0.1008506,1,50.0,"[1, 1]"
8,3,4,"[831.0141209783848, 344.00546400238915, 824.1715768230224]",666.3970539345988,"[0.5436572799999999, 2.0245258666666666, 0.08278546666666667]",0.8836562044444444,1,33.333333333333336,"[1, 1, 1]"
9,1,1,[597.438499451607],597.438499451607,[0.7079976],0.7079976,1,100.0,[1]
10,3,3,"[495.27833683922154, 828.0135554706194, 1158.6418701517468]",827.3112541538626,"[0.3120552, 0.19021696000000002, 0.19603199999999998]",0.2327680533333333,1,33.333333333333336,"[1, 1, 1]"
11,4,4,"[709.2418181957461, 726.5896550026876, 1112.4114846914113, 725.6925578427939]",818.4838789331598,"[3.435972266666666, 0.06375861333333332, 0.08811559999999999, 0.16317706666666665]",0.9377558866666665,1,25.0,"[1, 1, 1, 1]"
12,1,2,[661.9551867659545],661.9551867659545,[0.0796404],0.0796404,1,100.0,[1]
13,5,4,"[413.66787999557926, 685.0729026010808, 842.5826999376823, 397.82714430289764, 854.4247037449371]",638.7150661164354,"[0.06654826666666666, 3.2480683200000002, 0.16784725333333333, 0.06176639999999999, 0.09659173333333333]",0.7281643946666667,1,20.0,"[1, 1, 1, 1, 1]"
14,2,3,"[642.1098039557094, 887.8495061965597]",764.9796550761346,"[0.20699479999999998, 0.0925724]",0.1497836,1,50.0,"[1, 1]"
15,2,3,"[439.27287348561384, 804.8284070202193]",622.0506402529165,"[0.11863488, 0.13940893333333332]",0.12902190666666666,1,50.0,"[1, 1]"
16,4,3,"[608.1364056400969, 1191.437762531299, 860.3962714283902, 575.1790417541389]",808.7873703384812,"[0.0894784, 0.08284330666666666, 0.14508853333333332, 0.1342176]",0.11290695999999999,1,25.0,"[1, 1, 1, 1]"
17,3,3,"[928.9490696965436, 849.8643802383701, 721.1463615848301]",833.3199371732479,"[2.73804144, 0.08619808, 0.2743256]",1.03285504,1,33.333333333333336,"[1, 1, 1]"
18,4,3,"[577.4975780578615, 566.5038690933748, 897.1067797291253, 873.1460669804471]",728.5635734652021,"[2.97963296, 0.13317461333333333, 0.7079976, 0.12310816]",0.9859783333333334,1,25.0,"[1, 1, 1, 1]"
19,4,4,"[503.65607265115113, 850.5004444071519, 572.500301890507, 1176.688655232958]",775.8363685454419,"[2.48302624, 0.09615506666666666, 0.5660265600000001, 1.0209112]",1.0415297666666667,1,25.0,"[1, 1, 1, 1]"
20,1,2,[721.1463615848301],721.1463615848301,[0.2743256],0.2743256,1,100.0,[1]
21,5,4,"[612.0106080267063, 655.9940362107743, 349.72985940613944, 681.74730525218, 366.92637315924605]",533.2816364110092,"[0.0335544, 0.10737408, 0.12646271999999997, 0.1736624, 2.0580805333333334]",0.49982682666666667,1,20.0,"[1, 1, 1, 1, 1]"
