interval,ips,create,start,destroy,apparentips,ram,disk,hostalloc,active
1,[458.24219408979775],[0],[1],[-1],[458.24219408979775],"[(16.4268, 0.0, 0.0)]","[(1, 0.0, 0.000988888888888889)]",[0],[True]
2,"[434.10050301952424, 544.3301019191064]","[0, 1]","[1, 2]","[-1, -1]","[458.24219408979775, 556.239182294382]","[(10.4848, 0.0, 0.0), (6.639733333333334, 12.109066666666667, 12.058133333333336)]","[(1, 0.0, 0.0006277777777777777), (1, 0.0, 0.0)]","[0, 0]","[True, True]"
3,"[457.19616765275333, 0, 413.8959424085754]","[0, 1, 2]","[1, 2, 3]","[-1, -1, -1]","[458.24219408979775, 556.239182294382, 734.3877176919028]","[(15.7276, 0.0, 0.0), (6.2904, 0.0002666666666666667, 0.0002666666666666667), (8.213333333333335, 0.0, 0.0)]","[(1, 0.0, 0.0008388888888888889), (1, 0.0, 0.0), (3, 0.0, 0.0)]","[0, 0, 0]","[True, True, True]"
4,"[0, 0, 510.71238379368026, 538.4606800435287, 476.0919837416496]","[0, 1, 2, 3, 3]","[1, 2, 3, 4, 4]","[-1, 3, -1, -1, -1]","[458.24219408979775, 0, 734.3877176919028, 1203.1984198303842, 640.1184615181913]","[(8.3876, 0.0, 0.0), 0, (7.688266666666666, 0.0, 0.0), (27.962, 0.0, 0.002), (50.3316, 0.009066666666666666, 0.0002666666666666667)]","[(1, 0.0, 0.0006277777777777777), 0, (3, 0.0, 0.0), (3, 0.0, 0.0), (3, 0.0, 0.001077777777777778)]","[0, -1, 0, 1, 0]","[True, False, True, True, True]"
5,"[0, 0, 0, 674.9884691143833, 640.1184615181913, 1256.0025722833768, 694.3373387380856]","[0, 1, 2, 3, 3, 4, 4]","[1, 2, 3, 4, 4, 5, 5]","[4, 3, -1, -1, -1, -1, -1]","[0, 0, 734.3877176919028, 1203.1984198303842, 640.1184615181913, 1256.0025722833768, 694.3373387380856]","[0, 0, (6.6404, 0.0, 0.0), (83.886, 0.0, 0.002), (134.2176, 0.009066666666666666, 0.00013333333333333337), (609.5716, 0.0, 0.0068), (9.785466666666666, 0.0, 0.0)]","[0, 0, (3, 0.0, 0.0), (3, 0.04748333333333333, 0.01665), (3, 0.0, 0.001027777777777778), (2, 0.0, 0.0001277777777777778), (2, 0.0, 0.0001277777777777778)]","[-1, -1, 0, 1, 0, 1, 0]","[False, False, True, True, True, True, True]"
6,"[0, 0, 0, 0, 0, 633.892881971301, 630.6083617488752, 805.5600047224181, 439.36745822889833]","[0, 1, 2, 3, 3, 4, 4, 5, 5]","[1, 2, 3, 4, 4, 5, 5, 6, 6]","[4, 3, 5, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 1203.1984198303842, 640.1184615181913, 1256.0025722833768, 694.3373387380856, 1412.5893007681223, 474.23400989955957]","[0, 0, 0, (67.1088, 0.0, 0.002), (100.6632, 0.009066666666666666, 0.00013333333333333337), (777.3435999999999, 0.0, 0.007466666666666666), (13.98, 0.0, 0.0), (2460.6573333333336, 0.00013333333333333337, 0.0018666666666666664), (123.032, 0.0, 0.0009333333333333333)]","[0, 0, 0, (3, 0.0, 0.0), (3, 0.0, 0.0015055555555555556), (2, 0.0, 6.666666666666667e-05), (2, 0.0, 0.0001388888888888889), (2, 0.0, 4.9999999999999996e-05), (3, 0.0, 0.0007944444444444444)]","[-1, -1, -1, 1, 0, 1, 0, 1, 0]","[False, False, False, True, True, True, True, True, True]"
7,"[0, 0, 0, 0, 0, 0, 0, 0, 471.02048424802877, 2122.456120514357, 1201.4860773609792, 705.2964897923745]","[0, 1, 2, 3, 3, 4, 4, 5, 5, 6, 6, 6]","[1, 2, 3, 4, 4, 5, 5, 6, 6, 7, 7, 7]","[4, 3, 5, 6, 6, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 1256.0025722833768, 694.3373387380856, 1412.5893007681223, 474.23400989955957, 2127.7849120179944, 1306.4844515396771, 798.1155822728865]","[0, 0, 0, 0, 0, (794.1208, 0.0, 0.0054666666666666665), (13.980266666666665, 0.0, 0.0), (1744.8288, 0.0004, 0.0016), (100.66239999999999, 0.0, 0.0), (589.998, 0.0012, 0.0009333333333333333), (167.77120000000002, 0.008933333333333333, 0.0), (15.1156, 0.0008, 0.0006666666666666666)]","[0, 0, 0, 0, 0, (2, 0.0, 2.7777777777777776e-05), (2, 0.0, 0.00011666666666666667), (2, 0.0, 6.666666666666667e-05), (3, 0.0, 0.000638888888888889), (1, 0.0, 0.0016055555555555554), (2, 0.0, 0.0008722222222222223), (3, 0.0, 9.444444444444444e-05)]","[-1, -1, -1, -1, -1, 1, 0, 1, 0, 2, 1, 0]","[False, False, False, False, False, True, True, True, True, True, True, True]"
8,"[0, 0, 0, 0, 0, 0, 0, 0, 474.23400989955957, 0, 1097.1572057186477, 717.6528313757843, 1809.1393031047937, 1535.423044210032, 815.3310623623827, 446.2848497873626]","[0, 1, 2, 3, 3, 4, 4, 5, 5, 6, 6, 6, 7, 7, 7, 7]","[1, 2, 3, 4, 4, 5, 5, 6, 6, 7, 7, 7, 8, 8, 8, 8]","[4, 3, 5, 6, 6, 7, 7, 7, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 474.23400989955957, 2127.7849120179944, 1306.4844515396771, 798.1155822728865, 2630.6390172682836, 1935.3696540539536, 887.8565896286426, 674.3055420766065]","[0, 0, 0, 0, 0, 0, 0, 0, (121.6344, 0.0, 0.0), (671.088, 0.0076, 0.0038666666666666663), (75.49680000000001, 0.008933333333333333, 0.0), (9.873066666666666, 0.056799999999999996, 0.05693333333333333), (2147.4826666666663, 0.0, 0.0017333333333333335), (260.046, 0.03666666666666666, 0.012), (9.698266666666667, 0.0016, 0.0016), (90.17706666666666, 0.006, 0.0006666666666666666)]","[0, 0, 0, 0, 0, 0, 0, 0, (3, 0.0, 0.0006611111111111111), (1, 0.0, 0.0015333333333333332), (2, 0.0, 0.0007999999999999999), (3, 0.0, 8.88888888888889e-05), (1, 0.0, 5.555555555555555e-05), (1, 0.11005, 0.05073333333333333), (1, 0.0, 4.9999999999999996e-05), (3, 1.666666666666667e-05, 0.00019999999999999998)]","[-1, -1, -1, -1, -1, -1, -1, -1, 0, 2, 1, 0, 2, 2, 1, 0]","[False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, True]"
9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 738.1438078860564, 1749.2896693505322, 0, 716.5008770896474, 674.3055420766065, 319.3147248848671]","[0, 1, 2, 3, 3, 4, 4, 5, 5, 6, 6, 6, 7, 7, 7, 7, 8]","[1, 2, 3, 4, 4, 5, 5, 6, 6, 7, 7, 7, 8, 8, 8, 8, 9]","[4, 3, 5, 6, 6, 7, 7, 7, -1, 8, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 474.23400989955957, 0, 1306.4844515396771, 798.1155822728865, 2630.6390172682836, 1935.3696540539536, 887.8565896286426, 674.3055420766065, 597.5596412478345]","[0, 0, 0, 0, 0, 0, 0, 0, (95.06986666666666, 0.0, 0.0), 0, (44.738800000000005, 0.0088, 0.0), (19.834933333333336, 0.1668, 0.16693333333333335), (2304.0698666666667, 0.0004, 0.0017333333333333335), (192.9376, 0.045333333333333344, 0.0172), (7.251333333333332, 0.0016, 0.0017333333333333335), (111.148, 0.0, 0.0), (6.6404, 0.0010666666666666667, 0.007866666666666666)]","[0, 0, 0, 0, 0, 0, 0, 0, (3, 0.0, 0.0006777777777777777), 0, (2, 0.0, 0.0008166666666666667), (3, 0.0, 9.999999999999999e-05), (1, 0.04506666666666667, 0.01591111111111111), (1, 0.00315, 0.0017555555555555556), (1, 0.0, 5.555555555555555e-05), (3, 0.0, 8.333333333333333e-05), (1, 0.0, 0.0)]","[-1, -1, -1, -1, -1, -1, -1, -1, 0, -1, 1, 0, 2, 2, 1, 0, 0]","[False, False, False, False, False, False, False, False, True, False, True, True, True, True, True, True, True]"
10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 401.4926806578124, 1290.4391462452068, 1064.805751606491, 433.1775814580644]","[0, 1, 2, 3, 3, 4, 4, 5, 5, 6, 6, 6, 7, 7, 7, 7, 8, 9, 9, 9]","[1, 2, 3, 4, 4, 5, 5, 6, 6, 7, 7, 7, 8, 8, 8, 8, 9, 10, 10, 10]","[4, 3, 5, 6, 6, 7, 7, 7, 9, 8, 9, -1, -1, 9, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 798.1155822728865, 2630.6390172682836, 0, 887.8565896286426, 674.3055420766065, 597.5596412478345, 1763.8501590844298, 1079.9587704257024, 433.1775814580644]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (14.766399999999999, 0.16826666666666668, 0.16866666666666666), (2427.1033333333335, 0.0, 0.0013333333333333333), 0, (17.475066666666667, 0.0014666666666666665, 0.0014666666666666665), (148.89693333333332, 0.0, 0.0005333333333333334), (7.164, 0.0, 0.0), (2706.7236000000003, 0.0, 0.0017333333333333335), (139.80906666666667, 0.15826666666666667, 0.13533333333333333), (23.591733333333334, 0.0033333333333333335, 0.0032)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (3, 0.0, 9.444444444444444e-05), (1, 1.666666666666667e-05, 4.9999999999999996e-05), 0, (1, 0.0, 6.111111111111111e-05), (3, 0.05158333333333333, 0.01831111111111111), (1, 0.0, 0.0), (1, 0.0, 6.111111111111111e-05), (3, 0.0018666666666666669, 0.0009333333333333333), (1, 0.0, 1.1111111111111112e-05)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 2, -1, 1, 0, 0, 2, 1, 0]","[False, False, False, False, False, False, False, False, False, False, False, True, True, False, True, True, True, True, True, True]"
