interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram_s,ram_r,ram_w,ramavailable_s,ramavailable_r,ramavailable_w,disk,diskavailable,numfailures
11,"[39.960287912633405, 42.70550481362626, 10.086276457079014, 0.0, 0.0, 0.0]","[3, 3, 1, 0, 0, 0]","[862.0988487526552, 2424.2131378495314, 1184.2313299584257, 0, 0, 0]","[3166.901151247345, 5677.786862150469, 14926.768670041574, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1610, 3460, 1625, 0, 0, 0]","[445.73053333333337, 5147.8063999999995, 27.962, 0, 0, 0]","[0.009733333333333333, 0.38506666666666667, 0.0, 0, 0, 0]","[0.00013333333333333337, 0.9541333333333332, 0.0, 0, 0, 0]","[3849.2694666666666, 12032.1936, 34332.038, 4295, 17180, 34360]","[371.9902666666667, 359.61493333333334, 376.54, 372.0, 360.0, 376.54]","[199.99986666666666, 304.04586666666665, 266.75, 200.0, 305.0, 266.75]","[(3, 0.0, 0.04842777777777778), (8, 1.666666666666667e-05, 0.1404166666666667), (2, 0.0, 9.999999999999999e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.061572222222221), (16097, 51.89998333333334, 6.049583333333333), (32210, 58.2, 11.639899999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
12,"[43.037974683544306, 40.780054307578375, 21.109800757246603, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[835.5873796589165, 2169.0604357138054, 1774.594981083238, 0, 0, 0]","[3193.4126203410833, 5932.939564286195, 14336.405018916761, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1734, 3304, 3401, 0, 0, 0]","[141.99293333333335, 2383.4106666666667, 134.2176, 0, 0, 0]","[0.009333333333333334, 0.042133333333333335, 0.009333333333333334, 0, 0, 0]","[0.0, 0.04106666666666667, 0.00013333333333333337, 0, 0, 0]","[4153.007066666667, 14796.589333333333, 34225.7824, 4295, 17180, 34360]","[371.99066666666664, 359.9578666666667, 376.53066666666666, 372.0, 360.0, 376.54]","[200.0, 304.95893333333333, 266.74986666666666, 200.0, 305.0, 266.75]","[(5, 0.0, 0.00105), (8, 0.0, 0.010183333333333334), (5, 0.0, 0.0012166666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.10895), (16097, 51.900000000000006, 6.1798166666666665), (32207, 58.2, 11.638783333333333), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
13,"[44.527177959791516, 45.062947420390024, 23.387747501706908, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[1057.5654929305697, 2975.626561428273, 2134.8898806957186, 0, 0, 0]","[2971.4345070694303, 5126.373438571727, 13976.110119304281, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1794, 3651, 3768, 0, 0, 0]","[423.6217333333333, 2251.2891999999997, 257.2504, 0, 0, 0]","[0.03293333333333333, 0.0018666666666666664, 0.018533333333333332, 0, 0, 0]","[0.03306666666666667, 0.0016, 0.00013333333333333337, 0, 0, 0]","[3871.3782666666666, 14928.7108, 34102.7496, 4295, 17180, 34360]","[371.96706666666665, 359.9981333333333, 376.5214666666667, 372.0, 360.0, 376.54]","[199.96693333333334, 304.9984, 266.74986666666666, 200.0, 305.0, 266.75]","[(7, 0.0001, 0.012822222222222221), (7, 0.0, 0.011383333333333332), (4, 0.0, 0.002133333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.09989999999999, 10.097177777777777), (16098, 51.900000000000006, 6.178616666666666), (32208, 58.2, 11.637866666666666), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
14,"[47.77860511293125, 57.084670451740315, 23.387747501706908, 0.0, 0.0, 0.0]","[3, 4, 2, 0, 0, 0]","[612.5806651544972, 2620.446778370473, 0, 0, 0, 0]","[3416.419334845503, 5481.553221629527, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1925, 4625, 3768, 0, 0, 0]","[396.1841333333333, 4366.266266666667, 150.9948, 0, 0, 0]","[0.04186666666666667, 0.0022666666666666664, 0.0184, 0, 0, 0]","[0.02866666666666667, 0.0034666666666666665, 0.0, 0, 0, 0]","[3898.815866666667, 12813.733733333333, 34209.0052, 4295, 17180, 34360]","[371.9581333333333, 359.9977333333333, 376.52160000000003, 372.0, 360.0, 376.54]","[199.97133333333332, 304.99653333333333, 266.75, 200.0, 305.0, 266.75]","[(9, 0.0, 0.0072388888888888885), (10, 0.0, 0.001316666666666667), (4, 0.0, 0.0020555555555555553), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4017, 67.1, 10.10276111111111), (16095, 51.900000000000006, 6.188683333333333), (32208, 58.2, 11.637944444444443), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
15,"[30.8265078183172, 66.1441619353246, 10.446278939854757, 0.0, 0.0, 0.0]","[2, 5, 1, 0, 0, 0]","[896.161653254883, 2298.97693538602, 1159.8783019726538, 0, 0, 0]","[3132.8383467451167, 5803.02306461398, 14951.121698027346, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1242, 5359, 1683, 0, 0, 0]","[355.8139999999999, 2652.194933333333, 0.0, 0, 0, 0]","[0.031733333333333336, 0.0108, 0.008933333333333333, 0, 0, 0]","[0.0172, 0.005466666666666666, 0.0002666666666666667, 0, 0, 0]","[3939.186, 14527.805066666668, 34360.0, 4295, 17180, 34360]","[371.9682666666667, 359.9892, 376.5310666666667, 372.0, 360.0, 376.54]","[199.9828, 304.9945333333333, 266.7497333333333, 200.0, 305.0, 266.75]","[(5, 0.00011666666666666667, 0.006344444444444445), (13, 0.0, 0.0024000000000000002), (2, 0.0, 0.0009055555555555556), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.09988333333332, 10.103655555555555), (16092, 51.900000000000006, 6.1876), (32210, 58.2, 11.639094444444444), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
16,"[43.857036485480265, 40.96519377931375, 38.22853950716901, 0.0, 0.0, 0.0]","[3, 3, 3, 0, 0, 0]","[881.7586017171716, 1099.2829774177326, 5386.464500135509, 0, 0, 0]","[3147.2413982828284, 7002.717022582267, 10724.53549986449, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1767, 3319, 6159, 0, 0, 0]","[1254.792, 2413.1218666666664, 46.1364, 0, 0, 0]","[9.653866666666667, 0.009333333333333334, 0.018266666666666667, 0, 0, 0]","[0.06466666666666668, 0.004, 0.0006666666666666668, 0, 0, 0]","[3040.208, 14766.878133333334, 34313.8636, 4295, 17180, 34360]","[362.34613333333334, 359.99066666666664, 376.5217333333334, 372.0, 360.0, 376.54]","[199.93533333333335, 304.996, 266.7493333333333, 200.0, 305.0, 266.75]","[(6, 0.0, 0.01256111111111111), (8, 0.0, 0.0010888888888888888), (7, 0.0, 0.0028666666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.097438888888888), (16097, 51.900000000000006, 6.188911111111111), (32205, 58.2, 11.637133333333333), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
17,"[41.72251178952593, 28.659590224635895, 68.50598969648067, 0.0, 0.0, 0.0]","[3, 2, 5, 0, 0, 0]","[1051.689887692539, 538.4606800435287, 9093.294237618034, 0, 0, 0]","[2977.310112307461, 7563.539319956471, 7017.7057623819655, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1681, 2322, 11037, 0, 0, 0]","[795.3433333333334, 100.6632, 6997.495333333334, 0, 0, 0]","[3.8537333333333335, 0.0092, 1.2605333333333335, 0, 0, 0]","[0.05773333333333333, 0.002, 0.08706666666666665, 0, 0, 0]","[3499.6566666666668, 17079.3368, 27362.504666666668, 4295, 17180, 34360]","[368.1462666666667, 359.9908, 375.2794666666667, 372.0, 360.0, 376.54]","[199.94226666666665, 304.998, 266.66293333333334, 200.0, 305.0, 266.75]","[(4, 0.0, 0.0051), (6, 0.0, 0.0010444444444444444), (13, 3.20315, 0.7045777777777777), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.104899999999999), (16099, 51.900000000000006, 6.188955555555555), (32199, 54.99685, 10.935422222222222), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
18,"[40.13402829486225, 30.461614416193534, 77.95295139966483, 0.0, 0.0, 0.0]","[3, 2, 6, 0, 0, 0]","[520.5595806201562, 985.1530201747586, 7648.525289341867, 0, 0, 0]","[3508.4404193798437, 7116.846979825242, 8462.474710658133, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1617, 2468, 12559, 0, 0, 0]","[1627.6491999999998, 1082.1296, 6593.444266666667, 0, 0, 0]","[10.461333333333332, 0.0008, 1.2665333333333333, 0, 0, 0]","[0.10613333333333333, 0.0026666666666666666, 0.09466666666666668, 0, 0, 0]","[2667.3508, 16097.8704, 27766.555733333335, 4295, 17180, 34360]","[361.53866666666664, 359.9992, 375.2734666666667, 372.0, 360.0, 376.54]","[199.89386666666667, 304.99733333333336, 266.6553333333333, 200.0, 305.0, 266.75]","[(3, 0.00031666666666666665, 0.014766666666666668), (5, 0.06021666666666666, 0.020316666666666667), (16, 2.814516666666667, 0.6707333333333331), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.09968333333333, 10.095233333333333), (16100, 51.83978333333334, 6.1696833333333325), (32196, 55.38548333333333, 10.969266666666666), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
19,"[27.450980392156865, 44.72969637126635, 77.15846316181491, 0.0, 0.0, 0.0]","[2, 3, 5, 0, 0, 0]","[792.6977755412074, 3018.4248989051457, 1809.1393031047937, 0, 0, 0]","[3236.302224458793, 5083.575101094854, 14301.860696895206, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1106, 3624, 12431, 0, 0, 0]","[717.9236000000001, 1941.960266666667, 8943.650399999999, 0, 0, 0]","[1.2962666666666667, 16.59146666666667, 1.2433333333333332, 0, 0, 0]","[0.007066666666666667, 1.0894666666666666, 0.10453333333333334, 0, 0, 0]","[3577.0764, 15238.039733333333, 25416.3496, 4295, 17180, 34360]","[370.70373333333333, 343.4085333333333, 375.2966666666667, 372.0, 360.0, 376.54]","[199.99293333333333, 303.9105333333333, 266.64546666666666, 200.0, 305.0, 266.75]","[(4, 0.0, 0.00030000000000000003), (5, 9.116933333333336, 3.808966666666666), (12, 2.056766666666667, 0.6724777777777778), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.1097), (16100, 42.78306666666667, 2.3810333333333333), (32200, 56.143233333333335, 10.967522222222222), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
20,"[41.25093075204765, 44.72969637126635, 16.324250512072496, 0.0, 0.0, 0.0]","[3, 3, 1, 0, 0, 0]","[797.1702480819852, 1525.7075630243467, 1749.2896693505322, 0, 0, 0]","[3231.829751918015, 6576.292436975653, 14361.710330649468, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1662, 3624, 2630, 0, 0, 0]","[671.3482666666666, 2221.5797333333335, 2304.0698666666667, 0, 0, 0]","[1.2904, 0.21866666666666668, 0.0004, 0, 0, 0]","[0.0096, 1.9947999999999997, 0.0017333333333333335, 0, 0, 0]","[3623.651733333333, 14958.420266666666, 32055.930133333335, 4295, 17180, 34360]","[370.7096, 359.78133333333335, 376.5396, 372.0, 360.0, 376.54]","[199.9904, 303.0052, 266.74826666666667, 200.0, 305.0, 266.75]","[(7, 0.0, 0.00030555555555555555), (5, 0.05858333333333333, 0.056105555555555554), (1, 0.04506666666666667, 0.01591111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.109694444444443), (16100, 51.841416666666674, 6.133894444444444), (32211, 58.15493333333334, 11.624088888888888), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
21,"[43.484735666418466, 32.152554924709946, 47.507913847681706, 0.0, 0.0, 0.0]","[3, 2, 3, 0, 0, 0]","[1032.532102935788, 1064.805751606491, 6483.182380500832, 0, 0, 0]","[2996.4678970642117, 7037.194248393509, 9627.817619499168, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1752, 2605, 7654, 0, 0, 0]","[129.14666666666668, 353.7178666666666, 11442.058266666667, 0, 0, 0]","[0.0096, 0.36946666666666667, 1.2336, 0, 0, 0]","[0.0005333333333333334, 2.594533333333333, 0.0884, 0, 0, 0]","[4165.8533333333335, 16826.282133333334, 22917.941733333333, 4295, 17180, 34360]","[371.9904, 359.63053333333335, 375.3064, 372.0, 360.0, 376.54]","[199.99946666666668, 302.40546666666665, 266.6616, 200.0, 305.0, 266.75]","[(9, 0.0, 0.0011944444444444448), (4, 0.0018833333333333334, 0.0011555555555555555), (6, 3.2031666666666667, 0.7005277777777777), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4017, 67.1, 10.108805555555556), (16101, 51.898116666666674, 6.188844444444444), (32206, 54.996833333333335, 10.939472222222221), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
22,"[41.896252171754774, 30.15304862996791, 63.83837129911241, 0.0, 0.0, 0.0]","[3, 2, 4, 0, 0, 0]","[893.2749392840005, 2305.090961598048, 3306.5231259435845, 0, 0, 0]","[3135.7250607159995, 5796.909038401952, 12804.476874056416, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1688, 2443, 10285, 0, 0, 0]","[268.4336, 1336.5825333333332, 13357.456533333334, 0, 0, 0]","[0.009066666666666666, 1.542, 1.2395999999999998, 0, 0, 0]","[0.00013333333333333337, 3.0845333333333333, 0.09866666666666668, 0, 0, 0]","[4026.5664, 15843.417466666666, 21002.543466666666, 4295, 17180, 34360]","[371.9909333333333, 358.458, 375.3004, 372.0, 360.0, 376.54]","[199.99986666666666, 301.91546666666665, 266.65133333333335, 200.0, 305.0, 266.75]","[(8, 0.0, 0.0014500000000000003), (4, 0.07585, 0.04715), (7, 2.814516666666667, 0.6666722222222221), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.10855), (16101, 51.82415, 6.142849999999999), (32205, 55.38548333333333, 10.973327777777776), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
23,"[39.637627202779846, 40.50851641569982, 30.184346098938615, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[616.0435304504223, 2013.409275058184, 0, 0, 0, 0]","[3412.956469549578, 6088.590724941816, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1597, 3282, 4863, 0, 0, 0]","[194.33506666666665, 2010.4665333333332, 5055.532666666666, 0, 0, 0]","[0.009733333333333332, 1.620666666666667, 0.0008, 0, 0, 0]","[0.00026666666666666673, 2.6028000000000002, 0.0036, 0, 0, 0]","[4100.6649333333335, 15169.533466666668, 29304.467333333334, 4295, 17180, 34360]","[371.9902666666667, 358.3793333333333, 376.5392, 372.0, 360.0, 376.54]","[199.99973333333332, 302.3972, 266.7464, 200.0, 305.0, 266.75]","[(8, 0.0, 0.0015222222222222221), (6, 0.06275, 0.015099999999999999), (3, 0.04506666666666667, 0.015966666666666664), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.108477777777777), (16099, 51.837250000000004, 6.174899999999999), (32209, 58.15493333333334, 11.624033333333331), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
24,"[41.995532390171256, 42.60676376203406, 11.011110421451182, 0.0, 0.0, 0.0]","[3, 3, 1, 0, 0, 0]","[413.8959424085754, 762.5521196399111, 1645.2825219566423, 0, 0, 0]","[3615.1040575914244, 7339.447880360089, 14465.717478043358, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1692, 3452, 1774, 0, 0, 0]","[132.64253333333335, 1831.5099999999998, 111.848, 0, 0, 0]","[0.0, 1.4283999999999997, 0.0092, 0, 0, 0]","[0.0, 2.6702666666666666, 0.00013333333333333337, 0, 0, 0]","[4162.357466666666, 15348.49, 34248.152, 4295, 17180, 34360]","[372.0, 358.5716, 376.5308, 372.0, 360.0, 376.54]","[200.0, 302.3297333333333, 266.74986666666666, 200.0, 305.0, 266.75]","[(8, 0.0, 3.888888888888889e-05), (4, 0.30534999999999995, 0.07726666666666668), (1, 0.0, 0.0010999999999999998), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.10996111111111), (16101, 51.59465000000001, 6.112733333333333), (32211, 58.2, 11.6389), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
25,"[31.14916852817076, 38.175759071834115, 43.603748991372356, 0.0, 0.0, 0.0]","[2, 3, 3, 0, 0, 0]","[1009.0970356422961, 2211.703974056485, 3644.027263293733, 0, 0, 0]","[3019.902964357704, 5890.296025943515, 12466.972736706266, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1255, 3093, 7025, 0, 0, 0]","[102.75906666666667, 1207.9576, 1023.4091999999999, 0, 0, 0]","[0.009333333333333334, 0.0224, 0.5445333333333333, 0, 0, 0]","[0.00013333333333333337, 0.41919999999999996, 0.019733333333333335, 0, 0, 0]","[4192.2409333333335, 15972.0424, 33336.5908, 4295, 17180, 34360]","[371.99066666666664, 359.9776, 375.9954666666667, 372.0, 360.0, 376.54]","[199.99986666666666, 304.5808, 266.7302666666667, 200.0, 305.0, 266.75]","[(4, 0.0, 0.0011777777777777778), (6, 0.21003333333333332, 0.11960555555555558), (5, 0.0, 0.011822222222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.108822222222221), (16099, 51.68996666666667, 6.070394444444444), (32207, 58.2, 11.628177777777777), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
26,"[46.28940183668404, 38.175759071834115, 30.30227794674446, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[837.5012906632492, 1007.7389936476189, 3107.803144105226, 0, 0, 0]","[3191.498709336751, 7094.261006352381, 13003.196855894774, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1865, 3093, 4882, 0, 0, 0]","[465.2168, 1314.2133333333334, 178.9568, 0, 0, 0]","[0.009866666666666668, 0.06426666666666667, 0.018266666666666667, 0, 0, 0]","[0.00013333333333333337, 0.40426666666666666, 0.00013333333333333337, 0, 0, 0]","[3829.7832, 15865.786666666667, 34181.0432, 4295, 17180, 34360]","[371.99013333333335, 359.93573333333336, 376.5217333333334, 372.0, 360.0, 376.54]","[199.99986666666666, 304.5957333333333, 266.74986666666666, 200.0, 305.0, 266.75]","[(5, 0.0, 0.007427777777777778), (6, 0.05966666666666666, 0.05332777777777778), (3, 0.0, 0.002161111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.102572222222221), (16099, 51.84033333333334, 6.136672222222222), (32209, 58.2, 11.637838888888888), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
27,"[41.87143211715066, 27.919032337694393, 43.05753832785054, 0.0, 0.0, 0.0]","[3, 2, 3, 0, 0, 0]","[819.9442844457524, 1482.2775298515726, 2427.4980049666706, 0, 0, 0]","[3209.0557155542474, 6619.722470148427, 13683.50199503333, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1687, 2262, 6937, 0, 0, 0]","[469.7605333333334, 285.2124, 4719.989066666667, 0, 0, 0]","[0.009733333333333332, 0.0132, 0.009733333333333333, 0, 0, 0]","[0.00026666666666666673, 0.009466666666666667, 0.004133333333333334, 0, 0, 0]","[3825.2394666666664, 16894.7876, 29640.01093333333, 4295, 17180, 34360]","[371.9902666666667, 359.9868, 376.5302666666667, 372.0, 360.0, 376.54]","[199.99973333333332, 304.99053333333336, 266.74586666666664, 200.0, 305.0, 266.75]","[(5, 0.0, 0.048466666666666665), (6, 0.0, 0.002138888888888889), (7, 0.04916666666666667, 0.01852222222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.061533333333333), (16099, 51.900000000000006, 6.18786111111111), (32205, 58.15083333333334, 11.621477777777777), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
28,"[41.052370315214695, 43.59417427795606, 23.76637080255726, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[924.4676773331557, 1120.000055532975, 3509.3361871326288, 0, 0, 0]","[3104.5323226668443, 6981.999944467025, 12601.663812867371, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1654, 3532, 3829, 0, 0, 0]","[75.49680000000001, 383.77733333333333, 3970.6056, 0, 0, 0]","[0.018533333333333332, 0.0132, 0.00013333333333333337, 0, 0, 0]","[0.00026666666666666673, 0.009333333333333334, 0.003333333333333333, 0, 0, 0]","[4219.5032, 16796.22266666667, 30389.3944, 4295, 17180, 34360]","[371.9814666666667, 359.9868, 376.5398666666667, 372.0, 360.0, 376.54]","[199.99973333333332, 304.99066666666664, 266.74666666666667, 200.0, 305.0, 266.75]","[(5, 0.0, 0.002188888888888889), (9, 0.0, 0.001327777777777778), (5, 0.0, 0.00022777777777777778), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.107811111111111), (16096, 51.900000000000006, 6.1886722222222215), (32207, 58.2, 11.639772222222222), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
29,"[38.81856540084388, 28.820044433473218, 50.152070014275964, 0.0, 0.0, 0.0]","[3, 2, 4, 0, 0, 0]","[759.9064624413783, 1567.238783156354, 3481.089149224832, 0, 0, 0]","[3269.093537558622, 6534.761216843646, 12629.910850775168, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1564, 2335, 8080, 0, 0, 0]","[146.09933333333333, 123.90480000000004, 6680.474800000001, 0, 0, 0]","[0.010133333333333333, 0.008933333333333333, 0.10453333333333334, 0, 0, 0]","[0.0006666666666666668, 0.0016, 0.11519999999999998, 0, 0, 0]","[4148.900666666666, 17056.0952, 27679.5252, 4295, 17180, 34360]","[371.98986666666667, 359.99106666666665, 376.4354666666667, 372.0, 360.0, 376.54]","[199.99933333333334, 304.9984, 266.6348, 200.0, 305.0, 266.75]","[(5, 0.00065, 0.0016833333333333331), (6, 0.0, 0.0017666666666666666), (10, 0.0032, 0.002077777777777778), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.09935, 10.108316666666665), (16099, 51.900000000000006, 6.188233333333333), (32202, 58.1968, 11.63792222222222), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
30,"[38.843385455448, 48.25968896568749, 26.3856992117187, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[555.426975916416, 3910.526280947778, 0, 0, 0, 0]","[3473.5730240835837, 4191.473719052222, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1565, 3910, 4251, 0, 0, 0]","[503.3149333333333, 2192.4828, 2020.6038666666666, 0, 0, 0]","[0.0112, 0.012133333333333335, 0.09746666666666666, 0, 0, 0]","[0.0013333333333333333, 0.0028, 0.10560000000000001, 0, 0, 0]","[3791.685066666667, 14987.5172, 32339.39613333333, 4295, 17180, 34360]","[371.9888, 359.98786666666666, 376.44253333333336, 372.0, 360.0, 376.54]","[199.99866666666668, 304.9972, 266.6444, 200.0, 305.0, 266.75]","[(3, 0.0, 0.030105555555555556), (8, 0.0, 0.0018944444444444445), (5, 0.0, 0.000561111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.079894444444443), (16097, 51.900000000000006, 6.188105555555555), (32207, 58.2, 11.639438888888888), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
31,"[23.802432365351205, 71.89582819057023, 0.0, 0.0, 0.0, 0.0]","[2, 5, 0, 0, 0, 0]","[815.5069866983383, 2875.279949081185, 0, 0, 0, 0]","[3213.4930133016614, 5226.720050918815, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[959, 5825, 0, 0, 0, 0]","[271.9288, 4904.2724, 0, 0, 0, 0]","[0.023333333333333338, 0.010133333333333333, 0, 0, 0, 0]","[0.02386666666666666, 0.006266666666666667, 0, 0, 0, 0]","[4023.0712, 12275.7276, 34360, 4295, 17180, 34360]","[371.9766666666667, 359.98986666666667, 376.54, 372.0, 360.0, 376.54]","[199.97613333333334, 304.99373333333335, 266.75, 200.0, 305.0, 266.75]","[(2, 0.0, 0.0024000000000000002), (11, 0.0, 0.0021833333333333336), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4024, 67.1, 10.1076), (16094, 51.900000000000006, 6.1878166666666665), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
