interval,totalcontainers,newcontainers,deployed,migrations,inqueue
445,1326,3,3,3,0
446,1329,3,3,3,0
447,1331,2,2,2,0
448,1333,2,2,2,0
449,1337,4,4,4,0
450,1343,6,6,6,0
451,1345,2,2,2,0
452,1347,2,2,2,0
453,1350,3,3,3,0
454,1353,3,3,3,0
455,1356,3,3,3,0
456,1359,3,3,3,0
457,1362,3,3,3,0
458,1366,4,4,4,0
459,1369,3,3,3,0
460,1372,3,3,3,0
461,1374,2,2,2,0
462,1378,4,4,4,0
463,1381,3,3,3,0
464,1384,3,3,3,0
465,1386,2,2,2,0
466,1389,3,3,3,0
467,1394,5,5,5,0
468,1395,1,1,1,0
469,1399,4,4,4,0
470,1402,3,3,3,0
471,1404,2,2,2,0
472,1407,3,3,3,0
473,1410,3,3,3,0
474,1413,3,3,3,0
475,1416,3,3,3,0
476,1419,3,3,3,0
477,1422,3,3,3,0
478,1426,4,4,4,0
479,1429,3,3,3,0
480,1430,1,1,1,0
481,1434,4,4,4,0
482,1438,4,4,4,0
483,1441,3,3,3,0
484,1443,2,2,2,0
485,1447,4,4,4,0
486,1450,3,3,3,0
487,1451,1,1,1,0
488,1455,4,4,4,0
489,1458,3,3,3,0
490,1460,2,2,2,0
491,1465,5,5,5,0
492,1467,2,2,2,0
493,1468,1,1,1,0
494,1474,6,6,6,0
495,1476,2,2,2,0
496,1479,3,3,3,0
497,1482,3,3,3,0
498,1484,2,2,2,0
499,1489,5,5,5,0
500,1491,2,2,2,0
501,1493,2,2,2,0
502,1499,6,6,6,0
503,1500,1,1,1,0
504,1505,5,5,5,0
505,1507,2,2,2,0
506,1510,3,3,3,0
507,1512,2,2,2,0
508,1515,3,3,3,0
509,1519,4,4,4,0
510,1522,3,3,3,0
511,1524,2,2,2,0
512,1527,3,3,3,0
513,1531,4,4,4,0
514,1533,2,2,2,0
515,1537,4,4,4,0
516,1540,3,3,3,0
517,1544,4,4,4,0
518,1546,2,2,2,0
519,1548,2,2,2,0
520,1552,4,4,4,0
521,1555,3,3,3,0
522,1557,2,2,2,0
523,1563,6,6,6,0
524,1565,2,2,2,0
525,1568,3,3,3,0
526,1570,2,2,2,0
527,1572,2,2,2,0
528,1575,3,3,3,0
529,1578,3,3,3,0
530,1580,2,2,2,0
531,1585,5,5,5,0
532,1587,2,2,2,0
533,1591,4,4,4,0
534,1592,1,1,1,0
535,1597,5,5,5,0
536,1598,1,1,1,0
537,1602,4,4,4,0
538,1605,3,3,3,0
539,1607,2,2,2,0
540,1612,5,5,5,0
541,1615,3,3,3,0
542,1616,1,1,1,0
543,1620,4,4,4,0
544,1623,3,3,3,0
545,1627,4,4,4,0
546,1630,3,3,3,0
547,1633,3,3,3,0
548,1636,3,3,3,0
549,1639,3,3,3,0
550,1643,4,4,4,0
551,1645,2,2,2,0
552,1648,3,3,3,0
553,1651,3,3,3,0
554,1655,4,4,4,0
555,1657,2,2,2,0
556,1660,3,3,3,0
557,1663,3,3,3,0
558,1665,2,2,2,0
559,1669,4,4,4,0
560,1672,3,3,3,0
561,1674,2,2,2,0
562,1676,2,2,2,0
563,1680,4,4,4,0
564,1682,2,2,2,0
565,1686,4,4,4,0
566,1690,4,4,4,0
567,1693,3,3,3,0
568,1697,4,4,4,0
569,1699,2,2,2,0
570,1702,3,3,3,0
571,1704,2,2,2,0
572,1706,2,2,2,0
573,1709,3,3,3,0
574,1712,3,3,3,0
575,1717,5,5,5,0
576,1719,2,2,2,0
577,1724,5,5,5,0
578,1725,1,1,1,0
579,1728,3,3,3,0
580,1732,4,4,4,0
581,1734,2,2,2,0
582,1737,3,3,3,0
583,1740,3,3,3,0
584,1745,5,5,5,0
585,1747,2,2,2,0
586,1749,2,2,2,0
587,1752,3,3,3,0
588,1754,2,2,2,0
589,1758,4,4,4,0
590,1759,1,1,1,0
591,1763,4,4,4,0
592,1766,3,3,3,0
593,1770,4,4,4,0
594,1774,4,4,4,0
595,1777,3,3,3,0
596,1781,4,4,4,0
597,1783,2,2,2,0
598,1787,4,4,4,0
599,1788,1,1,1,0
600,1791,3,3,3,0
601,1793,2,2,2,0
602,1797,4,4,4,0
603,1799,2,2,2,0
604,1803,4,4,4,0
605,1805,2,2,2,0
606,1809,4,4,4,0
607,1812,3,3,3,0
608,1816,4,4,4,0
609,1819,3,3,3,0
610,1821,2,2,2,0
611,1825,4,4,4,0
612,1827,2,2,2,0
613,1830,3,3,3,0
614,1833,3,3,3,0
615,1836,3,3,3,0
616,1839,3,3,3,0
617,1842,3,3,3,0
618,1845,3,3,3,0
619,1849,4,4,4,0
620,1851,2,2,2,0
621,1855,4,4,4,0
622,1858,3,3,3,0
623,1860,2,2,2,0
624,1863,3,3,3,0
625,1867,4,4,4,0
626,1870,3,3,3,0
627,1874,4,4,4,0
628,1876,2,2,2,0
629,1881,5,5,5,0
630,1882,1,1,1,0
631,1886,4,4,4,0
632,1888,2,2,2,0
633,1890,2,2,2,0
634,1893,3,3,3,0
635,1897,4,4,4,0
636,1901,4,4,4,0
637,1903,2,2,2,0
638,1906,3,3,3,0
639,1909,3,3,3,0
640,1912,3,3,3,0
641,1913,1,1,1,0
642,1917,4,4,4,0
643,1920,3,3,3,0
644,1923,3,3,3,0
645,1926,3,3,3,0
646,1928,2,2,2,0
647,1932,4,4,4,0
648,1936,4,4,4,0
649,1938,2,2,2,0
650,1941,3,3,3,0
651,1944,3,3,3,0
652,1948,4,4,4,0
653,1951,3,3,3,0
654,1954,3,3,3,0
655,1958,4,4,4,0
656,1959,1,1,1,0
657,1962,3,3,3,0
658,1966,4,4,4,0
659,1968,2,2,2,0
660,1973,5,5,5,0
661,1975,2,2,2,0
662,1979,4,4,4,0
663,1981,2,2,2,0
664,1985,4,4,4,0
665,1987,2,2,2,0
666,1990,3,3,3,0
667,1993,3,3,3,0
668,1995,2,2,2,0
669,1998,3,3,3,0
670,2001,3,3,3,0
671,2004,3,3,3,0
672,2008,4,4,4,0
673,2010,2,2,2,0
674,2012,2,2,2,0
675,2017,5,5,5,0
676,2020,3,3,3,0
677,2022,2,2,2,0
678,2025,3,3,3,0
679,2028,3,3,3,0
680,2031,3,3,3,0
681,2034,3,3,3,0
682,2037,3,3,3,0
683,2041,4,4,4,0
684,2043,2,2,2,0
685,2045,2,2,2,0
686,2049,4,4,4,0
687,2052,3,3,3,0
688,2054,2,2,2,0
689,2058,4,4,4,0
690,2062,4,4,4,0
