interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ram_s,ram_r,ram_w,ramavailable_s,ramavailable_r,ramavailable_w,disk,diskavailable,cpufailures,ramfailures
11,"[40.680069496152896, 57.40557886941497, 11.011110421451182, 0.0, 0.0, 0.0]","[3, 5, 1, 0, 0, 0]","[1337.5172287771404, 2045.439620225834, 1756.2428877318737, 0, 0, 0]","[2691.48277122286, 6056.560379774166, 14354.757112268126, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1639, 4651, 1774, 0, 0, 0]","[4.19911835467598, 20.86367093519597, 0.14648311990686844, 0.0, 0.0, 0.0]","[180.3521333333333, 3584.3786666666674, 50.3316, 0, 0, 0]","[0.05066666666666668, 0.18919999999999998, 0.0092, 0, 0, 0]","[0.050533333333333326, 0.011066666666666666, 0.0, 0, 0, 0]","[4114.647866666666, 13595.621333333333, 34309.6684, 4295, 17180, 34360]","[371.94933333333336, 359.8108, 376.5308, 372.0, 360.0, 376.54]","[199.94946666666667, 304.9889333333333, 266.75, 200.0, 305.0, 266.75]","[(7, 0.05158333333333333, 0.018344444444444444), (11, 0.0, 0.004933333333333333), (1, 0.0, 0.0010222222222222221), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.04841666666665, 10.091655555555555), (16094, 51.900000000000006, 6.185066666666666), (32211, 58.2, 11.638977777777777), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
12,"[52.22139488706875, 32.720315971365096, 36.70783936440941, 0.0, 0.0, 0.0]","[4, 3, 3, 0, 0, 0]","[653.9736030088983, 616.5740950097975, 1076.6868189637923, 0, 0, 0]","[3375.0263969911016, 7485.425904990203, 15034.313181036208, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2104, 2651, 5914, 0, 0, 0]","[4.49208226620101, 17.10597982149787, 1.3508998835855646, 0.0, 0.0, 0.0]","[192.93493333333333, 2938.8073333333336, 464.1692, 0, 0, 0]","[0.05786666666666668, 0.006666666666666667, 1.0805333333333333, 0, 0, 0]","[0.05693333333333333, 0.0092, 0.8751999999999998, 0, 0, 0]","[4102.065066666667, 14241.192666666666, 33895.8308, 4295, 17180, 34360]","[371.94213333333335, 359.99333333333334, 375.4594666666667, 372.0, 360.0, 376.54]","[199.94306666666665, 304.9908, 265.8748, 200.0, 305.0, 266.75]","[(10, 0.0, 0.00012777777777777776), (6, 0.0, 0.0031722222222222212), (3, 0.0, 0.0036833333333333327), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4016, 67.1, 10.109872222222222), (16099, 51.900000000000006, 6.186827777777777), (32209, 58.2, 11.636316666666666), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
13,"[34.00347480764458, 35.75660330782523, 35.55955558314196, 0.0, 0.0, 0.0]","[3, 3, 3, 0, 0, 0]","[928.6864437174024, 2023.8001849100424, 3329.130050390932, 0, 0, 0]","[3100.3135562825973, 6078.199815089958, 12781.869949609068, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1370, 2897, 5729, 0, 0, 0]","[1.273524253007373, 15.803907644547923, 0.7324148234381063, 0.0, 0.0, 0.0]","[54.69786666666666, 2715.1113333333333, 251.65773333333334, 0, 0, 0]","[0.0038666666666666663, 0.0005333333333333334, 0.6138666666666667, 0, 0, 0]","[0.0037333333333333333, 0.0036, 0.003999999999999999, 0, 0, 0]","[4240.302133333334, 14464.888666666666, 34108.34226666667, 4295, 17180, 34360]","[371.9961333333333, 359.99946666666665, 375.9261333333333, 372.0, 360.0, 376.54]","[199.99626666666666, 304.9964, 266.746, 200.0, 305.0, 266.75]","[(6, 0.0, 1.6666666666666667e-05), (8, 0.0, 0.0018333333333333333), (5, 0.003, 0.06310555555555555), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.109983333333332), (16097, 51.900000000000006, 6.188166666666667), (32207, 58.197, 11.576894444444443), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
14,"[49.739389426656736, 25.08022710441866, 42.48649990689591, 0.0, 0.0, 0.0]","[4, 2, 3, 0, 0, 0]","[326.6969582117346, 1629.1971492765197, 4171.039612597239, 0, 0, 0]","[3702.3030417882655, 6472.80285072348, 11939.96038740276, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2004, 2032, 6845, 0, 0, 0]","[2.8197004268529295, 0.9277237097400076, 0.8382068296468761, 0.0, 0.0, 0.0]","[121.10613333333333, 159.3829333333333, 288.0078666666666, 0, 0, 0]","[0.019333333333333334, 0.0002666666666666667, 0.4517333333333333, 0, 0, 0]","[0.013866666666666666, 0.0021333333333333334, 0.0096, 0, 0, 0]","[4173.893866666666, 17020.617066666666, 34071.99213333333, 4295, 17180, 34360]","[371.98066666666665, 359.9997333333333, 376.0882666666667, 372.0, 360.0, 376.54]","[199.98613333333333, 304.99786666666665, 266.7404, 200.0, 305.0, 266.75]","[(7, 0.0009166666666666666, 0.004794444444444444), (5, 0.0, 0.0011666666666666668), (6, 0.0002833333333333333, 0.09671666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.09908333333333, 10.105205555555555), (16100, 51.900000000000006, 6.188833333333333), (32206, 58.19971666666667, 11.543283333333331), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
15,"[30.032266070985358, 66.92174771661318, 42.48649990689591, 0.0, 0.0, 0.0]","[2, 5, 3, 0, 0, 0]","[264.8407372849268, 2345.436150059203, 3107.803144105226, 0, 0, 0]","[3764.159262715073, 5756.563849940797, 13003.196855894774, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1210, 5422, 6845, 0, 0, 0]","[2.9865890570430733, 14.981970508343032, 0.4964148234381063, 0.0, 0.0, 0.0]","[128.274, 2573.902533333333, 170.56813333333332, 0, 0, 0]","[0.014133333333333333, 0.005733333333333333, 0.4537333333333333, 0, 0, 0]","[0.0108, 0.0108, 0.003466666666666667, 0, 0, 0]","[4166.726, 14606.097466666666, 34189.431866666666, 4295, 17180, 34360]","[371.98586666666665, 359.99426666666665, 376.0862666666667, 372.0, 360.0, 376.54]","[199.9892, 304.9892, 266.74653333333333, 200.0, 305.0, 266.75]","[(3, 0.0, 0.0037722222222222224), (10, 0.0, 0.00471111111111111), (6, 0.0, 0.055827777777777775), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.106227777777777), (16095, 51.900000000000006, 6.185288888888889), (32206, 58.2, 11.584172222222222), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
16,"[27.450980392156865, 55.82572204393976, 43.66581838495438, 0.0, 0.0, 0.0]","[2, 4, 3, 0, 0, 0]","[262.61535995470337, 3611.1639047098233, 2662.560339570872, 0, 0, 0]","[3766.3846400452967, 4490.836095290177, 13448.439660429129, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1106, 4523, 7035, 0, 0, 0]","[1.0985828482731859, 17.63494838960031, 0.3255180442374854, 0.0, 0.0, 0.0]","[47.18413333333333, 3029.684133333333, 111.848, 0, 0, 0]","[0.0002666666666666667, 0.016, 0.018000000000000002, 0, 0, 0]","[0.0002666666666666667, 0.0104, 0.0002666666666666667, 0, 0, 0]","[4247.815866666667, 14150.315866666668, 34248.152, 4295, 17180, 34360]","[371.9997333333333, 359.984, 376.52200000000005, 372.0, 360.0, 376.54]","[199.99973333333332, 304.9896, 266.7497333333333, 200.0, 305.0, 266.75]","[(5, 0.0, 6.111111111111112e-05), (7, 0.037733333333333334, 0.01928888888888889), (6, 0.0, 0.002105555555555556), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.109938888888887), (16098, 51.86226666666667, 6.17071111111111), (32206, 58.2, 11.637894444444443), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
17,"[30.206006453214197, 68.1683534929647, 24.374650859661102, 0.0, 0.0, 0.0]","[2, 5, 2, 0, 0, 0]","[1018.1957745835718, 1010.2298734214519, 0, 0, 0, 0]","[3010.8042254164284, 7091.770126578548, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1217, 5523, 3927, 0, 0, 0]","[1.0863764066744277, 14.697135428793167, 0.2034481955762515, 0.0, 0.0, 0.0]","[46.659866666666666, 2524.9678666666664, 69.90480000000001, 0, 0, 0]","[0.00013333333333333337, 0.016, 0.009333333333333334, 0, 0, 0]","[0.00013333333333333337, 0.010133333333333333, 0.00013333333333333337, 0, 0, 0]","[4248.340133333333, 14655.032133333334, 34290.0952, 4295, 17180, 34360]","[371.99986666666666, 359.984, 376.53066666666666, 372.0, 360.0, 376.54]","[199.99986666666666, 304.98986666666667, 266.74986666666666, 200.0, 305.0, 266.75]","[(4, 0.0, 6.666666666666667e-05), (10, 0.00875, 0.009227777777777776), (4, 0.0, 0.0010833333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.109933333333332), (16095, 51.89125000000001, 6.180772222222222), (32208, 58.2, 11.638916666666665), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
18,"[40.92827004219409, 13.046161441619352, 51.37483706784185, 0.0, 0.0, 0.0]","[3, 1, 4, 0, 0, 0]","[1119.0152991358664, 1057.0143914888952, 5956.302240915645, 0, 0, 0]","[2909.9847008641336, 7044.985608511105, 10154.697759084356, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1649, 1057, 8277, 0, 0, 0]","[2.231779588668995, 0.6306852929763291, 1.1764392704695381, 0.0, 0.0, 0.0]","[95.85493333333334, 108.35173333333334, 404.2245333333333, 0, 0, 0]","[0.0002666666666666667, 0.0, 0.05053333333333333, 0, 0, 0]","[0.00013333333333333337, 0.0002666666666666667, 0.04479999999999999, 0, 0, 0]","[4199.145066666667, 17071.648266666667, 33955.775466666666, 4295, 17180, 34360]","[371.9997333333333, 360.0, 376.4894666666667, 372.0, 360.0, 376.54]","[199.99986666666666, 304.9997333333333, 266.7052, 200.0, 305.0, 266.75]","[(5, 0.0, 7.777777777777777e-05), (3, 0.0, 0.0005777777777777778), (7, 0.0, 0.0026888888888888895), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.109922222222222), (16102, 51.900000000000006, 6.1894222222222215), (32205, 58.2, 11.63731111111111), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
19,"[38.14842392653264, 25.512219205134535, 51.37483706784185, 0.0, 0.0, 0.0]","[3, 2, 4, 0, 0, 0]","[739.5767533640046, 1001.7714058927403, 4442.062007114318, 0, 0, 0]","[3289.4232466359954, 7100.22859410726, 11668.937992885683, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1537, 2067, 8277, 0, 0, 0]","[3.0699976717112927, 1.790342258440047, 1.2222149786573533, 0.0, 0.0, 0.0]","[131.8564, 307.58080000000007, 419.9530666666666, 0, 0, 0]","[0.009333333333333334, 0.00013333333333333337, 0.043733333333333325, 0, 0, 0]","[0.00013333333333333337, 0.0014666666666666667, 0.0352, 0, 0, 0]","[4163.1436, 16872.4192, 33940.04693333333, 4295, 17180, 34360]","[371.99066666666664, 359.99986666666666, 376.4962666666667, 372.0, 360.0, 376.54]","[199.99986666666666, 304.99853333333334, 266.7148, 200.0, 305.0, 266.75]","[(4, 0.0, 0.0011166666666666664), (6, 0.0, 0.002494444444444444), (7, 0.0, 0.0020999999999999994), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.108883333333333), (16099, 51.900000000000006, 6.187505555555555), (32205, 58.2, 11.637899999999998), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
20,"[33.85455448001986, 31.905702295729448, 53.280367450810004, 0.0, 0.0, 0.0]","[3, 2, 4, 0, 0, 0]","[766.3493822783569, 2585.1369581007957, 1061.4250322148832, 0, 0, 0]","[3262.6506177216434, 5516.863041899204, 15049.574967785116, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1364, 2585, 8584, 0, 0, 0]","[2.3599596429957317, 12.90679394644936, 1.6311424136592936, 0.0, 0.0, 0.0]","[101.36026666666667, 2217.3872, 560.4605333333333, 0, 0, 0]","[0.009466666666666667, 0.0036000000000000003, 0.03666666666666667, 0, 0, 0]","[0.00013333333333333337, 0.0013333333333333333, 0.03746666666666667, 0, 0, 0]","[4193.639733333333, 14962.612799999999, 33799.53946666667, 4295, 17180, 34360]","[371.99053333333336, 359.9964, 376.50333333333333, 372.0, 360.0, 376.54]","[199.99986666666666, 304.9986666666667, 266.71253333333334, 200.0, 305.0, 266.75]","[(4, 0.0, 0.001172222222222222), (5, 0.0, 0.0012222222222222224), (8, 0.0021000000000000003, 0.002172222222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.108827777777778), (16100, 51.900000000000006, 6.188777777777777), (32204, 58.197900000000004, 11.637827777777776), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
