interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable,numfailures
1,"[11.54132539091586, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[245.54319931548474, 0, 0, 0, 0, 0]","[3783.456800684515, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[465, 0, 0, 0, 0, 0]","[(5.5922, 0.0003333333333333333, 6.666666666666668e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4289.4078, 1859.9996666666666, 999.9999333333334), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
2,"[21.543807396376273, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[397.33107594720565, 0, 0, 0, 0, 0]","[3631.6689240527944, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[868, 0, 0, 0, 0, 0]","[(294.29933333333327, 0.5272666666666668, 0.15786666666666668), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4000.7006666666666, 1859.4727333333333, 999.8421333333333), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.004022222222222221), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.105977777777778), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
3,"[21.618267560188634, 10.614663046161441, 0.0, 0.0, 0.0, 0.0]","[2, 1, 0, 0, 0, 0]","[675.5943261116532, 860.8075397068225, 0, 0, 0, 0]","[3353.405673888347, 7241.192460293178, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[871, 860, 0, 0, 0, 0]","[(348.8254, 0.008199999999999999, 0.02853333333333333), (3.4076, 0.020733333333333333, 0.020399999999999998), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3946.1746, 1859.9918, 999.9714666666666), (17176.5924, 1799.9792666666667, 1524.9796), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.0038388888888888886), (3, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.10616111111111), (16102, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
4,"[34.35095557210226, 10.614663046161441, 0.0, 0.0, 0.0, 0.0]","[3, 1, 0, 0, 0, 0]","[790.4160850572894, 0, 0, 0, 0, 0]","[3238.5839149427106, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1384, 860, 0, 0, 0, 0]","[(313.8728, 0.0064666666666666674, 0.02153333333333333), (4.456, 0.019066666666666666, 0.018533333333333332), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3981.1272, 1859.9935333333333, 999.9784666666667), (17175.544, 1799.9809333333333, 1524.9814666666666), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.0037777777777777775), (3, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.106222222222222), (16102, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
5,"[42.14445271779598, 15.41594667983214, 15.604245546521012, 0.0, 0.0, 0.0]","[3, 1, 1, 0, 0, 0]","[1228.4971194605773, 762.5521196399111, 1547.3700596382855, 0, 0, 0]","[2800.5028805394227, 7339.447880360089, 14563.629940361714, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1698, 1249, 2514, 0, 0, 0]","[(339.0386, 0.0062, 0.017266666666666666), (121.63446666666664, 0.017466666666666665, 0.003533333333333333), (33.5544, 0.004733333333333333, 6.666666666666668e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3955.9614, 1859.9938, 999.9827333333334), (17058.365533333334, 1799.9825333333333, 1524.9964666666667), (34326.4456, 1882.6952666666666, 1333.7499333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.003361111111111111), (1, 0.0032333333333333337, 0.00037777777777777777), (2, 0.0, 0.0010999999999999998), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.106638888888888), (16104, 51.89676666666667, 6.189622222222222), (32210, 58.2, 11.6389), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
6,"[48.746587242491934, 31.597136509503827, 15.604245546521012, 0.0, 0.0, 0.0]","[3, 2, 1, 0, 0, 0]","[1450.5634121700095, 1593.9618807855886, 1451.4337628278006, 0, 0, 0]","[2578.4365878299905, 6508.038119214411, 14659.5662371722, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1964, 2560, 2514, 0, 0, 0]","[(397.0598, 0.008933333333333333, 0.024866666666666665), (173.364, 0.1148, 0.10779999999999999), (41.943, 0.004666666666666667, 6.666666666666668e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3897.9402, 1859.9910666666667, 999.9751333333334), (17006.636, 1799.8852, 1524.8922), (34318.057, 1882.6953333333333, 1333.7499333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.0036611111111111106), (2, 1.666666666666667e-05, 0.003227777777777778), (2, 0.0, 0.0010388888888888889), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.106338888888889), (16103, 51.89998333333334, 6.1867722222222215), (32210, 58.2, 11.63896111111111), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
7,"[50.78183172002978, 45.5936805726981, 15.604245546521012, 0.0, 0.0, 0.0]","[3, 3, 1, 0, 0, 0]","[911.753130593263, 1074.8969040677582, 0, 0, 0, 0]","[3117.246869406737, 7027.103095932242, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2046, 3694, 2514, 0, 0, 0]","[(487.2366, 0.008666666666666666, 0.024399999999999998), (517.2966666666666, 7.686933333333332, 2.497133333333333), (41.943, 0.0046, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3807.7634, 1859.9913333333334, 999.9756), (16662.703333333335, 1792.3130666666666, 1522.5028666666667), (34318.057, 1882.6954, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.0038777777777777777), (4, 0.0014333333333333331, 0.01988888888888889), (2, 0.0, 0.0010722222222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.106122222222222), (16101, 51.898566666666675, 6.170111111111111), (32210, 58.2, 11.638927777777777), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
8,"[49.88830975428146, 27.326586028141197, 26.422940847867913, 0.0, 0.0, 0.0]","[3, 2, 2, 0, 0, 0]","[1009.9275302389879, 2199.410968788524, 1673.4969398612147, 0, 0, 0]","[3019.072469761012, 5902.589031211476, 14437.503060138784, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2010, 2214, 4257, 0, 0, 0]","[(3612.692866666666, 0.0037999999999999996, 0.0074), (721.4191333333333, 19.08366666666667, 2.5539333333333336), (113.24600000000001, 0.006533333333333334, 0.002333333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(682.3071333333341, 1859.9962, 999.9926), (16458.580866666667, 1780.9163333333333, 1522.4460666666666), (34246.754, 1882.6934666666666, 1333.7476666666666), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(8, 0.0, 0.0014944444444444443), (5, 0.0018666666666666669, 0.006233333333333334), (4, 0.0, 0.002033333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.108505555555555), (16100, 51.89813333333334, 6.183766666666666), (32208, 58.2, 11.637966666666665), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
9,"[43.31099528418962, 43.56948901505801, 26.422940847867913, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[948.1796127727748, 2259.8670305091036, 1451.4337628278006, 0, 0, 0]","[3080.820387227225, 5842.132969490896, 14659.5662371722, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1745, 3530, 4257, 0, 0, 0]","[(2368.4697333333334, 0.0002666666666666667, 0.0008666666666666666), (492.78566666666666, 16.194466666666667, 2.6527999999999996), (150.9946, 0.006066666666666667, 0.0020666666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(1926.5302666666666, 1859.9997333333333, 999.9991333333334), (16687.214333333333, 1783.8055333333334, 1522.3472), (34209.0054, 1882.6939333333335, 1333.7479333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(8, 0.0, 0.0004944444444444444), (7, 0.0, 0.0024166666666666664), (4, 0.0, 0.0016388888888888887), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.109505555555556), (16098, 51.900000000000006, 6.1875833333333325), (32208, 58.2, 11.63836111111111), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
10,"[41.474311243484735, 44.42113058504073, 31.21469803240022, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[421.13663538143993, 1854.6903317647366, 1547.3700596382855, 0, 0, 0]","[3607.86336461856, 6247.309668235263, 14563.629940361714, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1671, 3599, 5029, 0, 0, 0]","[(1593.7471333333335, 0.0, 0.0006666666666666666), (83.01133333333331, 0.08626666666666669, 0.07526666666666666), (75.4974, 0.009333333333333332, 6.666666666666668e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(2701.2528666666667, 1860.0, 999.9993333333333), (17096.988666666668, 1799.9137333333333, 1524.9247333333333), (34284.5026, 1882.6906666666666, 1333.7499333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(8, 0.0, 7.222222222222223e-05), (8, 0.0, 0.0001277777777777778), (4, 0.0, 0.002172222222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.109927777777777), (16097, 51.900000000000006, 6.189872222222221), (32208, 58.2, 11.637827777777776), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
