interval,totalcontainers,newcontainers,deployed,migrations,inqueue
1,1,1,1,1,0
2,3,2,2,2,0
3,4,1,1,1,0
4,6,2,2,2,0
5,14,8,8,8,0
6,19,5,5,5,0
7,23,4,4,4,0
8,29,6,6,6,0
9,47,18,18,18,0
10,60,13,13,13,0
11,68,8,8,8,0
12,82,14,14,14,0
13,92,10,10,10,0
14,102,10,10,10,0
15,114,12,12,12,0
16,117,3,3,3,0
17,130,13,13,13,0
18,138,8,8,8,0
19,152,14,14,14,0
20,167,15,15,15,0
21,183,16,16,16,0
22,190,7,7,7,0
23,195,5,5,5,0
24,212,17,17,17,0
25,215,3,3,3,0
26,224,9,9,9,0
27,234,10,10,10,0
28,244,10,10,10,0
29,249,5,5,5,0
30,258,9,9,9,0
31,275,17,17,17,0
32,280,5,5,5,0
33,291,11,11,11,0
34,300,9,9,9,0
35,314,14,14,14,0
36,318,4,4,4,0
37,325,7,7,7,0
38,329,4,4,4,0
39,336,7,7,7,0
40,347,11,11,11,0
41,351,4,4,4,0
42,359,8,8,8,0
43,370,11,11,11,0
44,377,7,7,7,0
45,385,8,8,8,0
46,402,17,17,17,0
47,416,14,14,14,0
48,423,7,7,7,0
49,436,13,13,13,0
50,450,14,14,14,0
51,458,8,8,8,0
52,461,3,3,3,0
53,463,2,2,2,0
54,468,5,5,5,0
55,478,10,10,10,0
56,488,10,10,10,0
57,497,9,9,9,0
58,506,9,9,9,0
59,516,10,10,10,0
60,528,12,12,12,0
61,540,12,12,12,0
62,549,9,9,9,0
63,563,14,14,14,0
64,569,6,6,6,0
65,574,5,5,5,0
66,593,19,19,19,0
67,599,6,6,6,0
68,606,7,7,7,0
69,617,11,11,11,0
70,629,12,12,12,0
71,636,7,7,7,0
72,646,10,10,10,0
73,652,6,6,6,0
74,660,8,8,8,0
75,671,11,11,11,0
76,681,10,10,10,0
77,685,4,4,4,0
78,700,15,15,15,0
79,715,15,15,15,0
80,726,11,11,11,0
81,734,8,8,8,0
82,739,5,5,5,0
83,747,8,8,8,0
84,753,6,6,6,0
85,761,8,8,8,0
86,769,8,8,8,0
87,778,9,9,9,0
88,788,10,10,10,0
89,800,12,12,12,0
90,811,11,11,11,0
91,820,9,9,9,0
92,832,12,12,12,0
93,849,17,17,17,0
94,861,12,12,12,0
95,873,12,12,12,0
96,897,24,24,24,0
97,906,9,9,9,0
98,914,8,8,8,0
99,936,22,22,22,0
100,940,4,4,4,0
101,952,12,12,12,0
102,963,11,11,11,0
103,979,16,16,16,0
104,990,11,11,11,0
105,998,8,8,8,0
106,1011,13,13,13,0
107,1016,5,5,5,0
108,1029,13,13,13,0
109,1039,10,10,10,0
110,1050,11,11,11,0
111,1061,11,11,11,0
112,1066,5,5,5,0
113,1071,5,5,5,0
114,1083,12,12,12,0
115,1090,7,7,7,0
116,1095,5,5,5,0
117,1105,10,10,10,0
118,1114,9,9,9,0
119,1125,11,11,11,0
120,1129,4,4,4,0
121,1136,7,7,7,0
122,1154,18,18,18,0
123,1162,8,8,8,0
124,1168,6,6,6,0
125,1175,7,7,7,0
126,1183,8,8,8,0
127,1193,10,10,10,0
128,1210,17,17,17,0
129,1223,13,13,13,0
130,1230,7,7,7,0
131,1241,11,11,11,0
132,1248,7,7,7,0
133,1252,4,4,4,0
134,1260,8,8,8,0
135,1272,12,12,12,0
136,1282,10,10,10,0
137,1286,4,4,4,0
138,1288,2,2,2,0
139,1299,11,11,11,0
140,1301,2,2,2,0
141,1306,5,5,5,0
142,1310,4,4,4,0
143,1320,10,10,10,0
144,1327,7,7,7,0
145,1332,5,5,5,0
146,1341,9,9,9,0
147,1344,3,3,3,0
148,1352,8,8,8,0
149,1361,9,9,9,0
150,1366,5,5,5,0
151,1376,10,10,10,0
152,1383,7,7,7,0
153,1393,10,10,10,0
154,1399,6,6,6,0
155,1401,2,2,2,0
156,1406,5,5,5,0
157,1417,11,11,11,0
158,1426,9,9,9,0
159,1432,6,6,6,0
160,1437,5,5,5,0
161,1441,4,4,4,0
162,1452,11,11,11,0
163,1459,7,7,7,0
164,1473,14,14,14,0
165,1481,8,8,8,0
166,1488,7,7,7,0
167,1500,12,12,12,0
168,1510,10,10,10,0
169,1525,15,15,15,0
170,1540,15,15,15,0
171,1547,7,7,7,0
172,1564,17,17,17,0
173,1574,10,10,10,0
174,1583,9,9,9,0
175,1594,11,11,11,0
176,1606,12,12,12,0
177,1616,10,10,10,0
178,1620,4,4,4,0
179,1635,15,15,15,0
180,1647,12,12,12,0
181,1657,10,10,10,0
182,1666,9,9,9,0
183,1676,10,10,10,0
184,1685,9,9,9,0
185,1701,16,16,16,0
186,1702,1,1,1,0
187,1708,6,6,6,0
188,1722,14,14,14,0
189,1729,7,7,7,0
190,1739,10,10,10,0
191,1750,11,11,11,0
192,1756,6,6,6,0
193,1771,15,15,15,0
194,1782,11,11,11,0
195,1795,13,13,13,0
196,1806,11,11,11,0
197,1814,8,8,8,0
198,1821,7,7,7,0
199,1828,7,7,7,0
200,1838,10,10,10,0
201,1846,8,8,8,0
202,1853,7,7,7,0
203,1858,5,5,5,0
204,1867,9,9,9,0
205,1870,3,3,3,0
206,1877,7,7,7,0
207,1884,7,7,7,0
208,1888,4,4,4,0
209,1895,7,7,7,0
210,1908,13,13,13,0
211,1914,6,6,6,0
212,1921,7,7,7,0
213,1939,18,18,18,0
214,1945,6,6,6,0
215,1957,12,12,12,0
216,1966,9,9,9,0
217,1976,10,10,10,0
218,1982,6,6,6,0
219,1988,6,6,6,0
220,1993,5,5,5,0
221,2012,19,19,19,0
222,2014,2,2,2,0
223,2024,10,10,10,0
224,2033,9,9,9,0
225,2038,5,5,5,0
226,2057,19,19,19,0
227,2063,6,6,6,0
228,2079,16,16,16,0
229,2094,15,15,15,0
230,2104,10,10,10,0
231,2110,6,6,6,0
232,2121,11,11,11,0
233,2141,20,20,20,0
234,2150,9,9,9,0
235,2156,6,6,6,0
236,2171,15,15,15,0
237,2182,11,11,11,0
238,2193,11,11,11,0
239,2207,14,14,14,0
240,2217,10,10,10,0
241,2221,4,4,4,0
242,2229,8,8,8,0
243,2234,5,5,5,0
244,2246,12,12,12,0
245,2264,18,18,18,0
246,2271,7,7,7,0
247,2288,17,17,17,0
248,2302,14,14,14,0
249,2308,6,6,6,0
250,2316,8,8,8,0
251,2324,8,8,8,0
252,2341,17,17,17,0
253,2354,13,13,13,0
254,2358,4,4,4,0
255,2372,14,14,14,0
256,2381,9,9,9,0
257,2396,15,15,15,0
258,2407,11,11,11,0
259,2424,17,17,17,0
260,2437,13,13,13,0
261,2444,7,7,7,0
262,2452,8,8,8,0
263,2460,8,8,8,0
264,2474,14,14,14,0
265,2480,6,6,6,0
266,2491,11,11,11,0
267,2500,9,9,9,0
268,2503,3,3,3,0
269,2513,10,10,10,0
