interval,numdestroyed,nummigrations,responsetime,avgresponsetime,migrationtime,avgmigrationtime,slaviolations,slaviolationspercentage,waittime
1,0,1,[],0.0,[],0.0,1,0.0,[]
2,0,2,[],0.0,[],0.0,1,0.0,[]
3,0,1,[],0.0,[],0.0,1,0.0,[]
4,1,2,[467.16327749141243],467.16327749141243,[0.1439528],0.1439528,1,100.0,[1]
5,1,8,[1159.9076578865263],1159.9076578865263,[0.07872293333333333],0.07872293333333333,1,100.0,[1]
6,3,5,"[1171.257161093531, 726.0471894370286, 544.9143617155128]",814.0729040820241,"[0.23797533333333337, 0.4169326, 0.093971]",0.24962631111111114,1,33.333333333333336,"[1, 1, 1]"
7,2,4,"[801.1936963255376, 533.9308415308909]",667.5622689282143,"[0.08483541333333333, 0.07780333333333334]",0.08131937333333333,1,50.0,"[1, 1]"
8,2,6,"[840.7379814289649, 668.8594213084885]",754.7987013687267,"[0.16037833333333334, 0.10947866666666667]",0.1349285,1,50.0,"[1, 1]"
9,8,18,"[1130.3470575440476, 881.2006536658101, 716.8189630991462, 694.2643574307161, 989.6710605023374, 1146.7709318933194, 946.899879616678, 526.6109456065776]",879.0729811698291,"[0.17232192, 0.06744586666666666, 0.12171026666666666, 0.33282333333333325, 0.10297522666666664, 0.073, 0.149894, 0.6084719999999999]",0.20358032666666664,1,12.5,"[1, 1, 1, 1, 1, 1, 1, 1]"
10,8,13,"[842.3552068441385, 1481.106649138385, 463.0699405611057, 759.8029725680171, 193.8364227423947, 928.9693760600949, 1011.8626042823299, 841.3843178664865]",815.2984362578691,"[0.07158208, 0.07948688, 0.24561616666666664, 0.23635440000000002, 0.06039648, 0.06805773333333333, 0.1348654, 0.11144693333333333]",0.12597575916666665,1,12.5,"[1, 1, 1, 1, 1, 1, 1, 1]"
11,3,8,"[868.8632204392198, 638.1303953143141, 635.9141239375368]",714.3025798970235,"[0.22202283333333328, 0.7061165, 0.3931647333333333]",0.44043468888888887,1,33.333333333333336,"[1, 1, 1]"
12,12,14,"[764.5928823835252, 878.2823940315407, 591.9249088232557, 491.56038461321896, 921.7021097712121, 526.6530273873931, 497.0275011641175, 558.7818498146509, 1030.6609156341901, 703.018879921884, 822.4689593055193, 647.6482487987357]",702.8601718041036,"[0.05585112, 0.51002496, 0.03187328, 0.0374836, 0.09007699999999999, 0.02254293333333333, 0.01062464, 0.05368704, 0.06211516666666666, 0.018348533333333333, 0.12590316666666668, 0.0969846]",0.09295967,1,8.333333333333334,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
13,14,10,"[703.7018960066449, 1018.8440625874637, 1040.7292568482944, 1162.6714681439776, 658.2029957227236, 539.6606191467281, 1053.2143006189822, 983.1097711167386, 1025.0326608875778, 868.7381822058865, 669.8486164930247, 300.39692237310277, 546.5026114204087, 544.9772747155127]",793.9736170205048,"[0.03225768, 0.036696, 0.029305466666666672, 0.005764, 0.10737408, 0.012162560000000001, 0.30198959999999997, 0.09968966666666665, 0.07697, 0.0969846, 0.2585962, 0.1636528, 0.1652728, 0.156884]",0.1102571038095238,1,7.142857142857143,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
14,14,10,"[1243.8641489646673, 569.9431536784055, 550.4183851955129, 1473.4236805066696, 927.6994900077048, 831.5892414742445, 511.5393724261719, 680.5455062318044, 477.2551553905908, 1409.027033508557, 1481.1105636183845, 1410.6969557638704, 1430.1614186910454, 1143.8613076880515]",1010.0811009389772,"[0.32212224, 0.03155973333333334, 5.59799448, 0.08147216, 1.1022612000000003, 0.20356186666666673, 0.11953608, 0.10737312, 0.0713784, 0.11192213333333334, 0.08340136, 0.18205179999999999, 0.12752419999999998, 2.628506]",0.7693331980952379,1,7.142857142857143,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
