interval,ips,create,start,destroy,apparentips,ram,disk,hostalloc,active
1,[131.24220712583005],[0],[1],[-1],[131.84221070443155],"[(0.0, 0.0, 0.0)]","[(2, 0.0, 0.0)]",[0],[True]
2,"[128.55765694863516, 21.873100409556606]","[0, 1]","[1, 2]","[-1, -1]","[131.84221070443155, 55.12099918188638]","[(0.0, 0.0, 0.0), (5.592, 0.00013333333333333337, 0.0002666666666666667)]","[(2, 0.0, 2.7777777777777776e-05), (2, 0.0, 0.0004111111111111111)]","[0, 0]","[True, True]"
3,"[129.412290438935, 0, 21.873100409556606]","[0, 1, 2]","[1, 2, 3]","[-1, -1, -1]","[131.84221070443155, 55.12099918188638, 55.12099918188638]","[(8.388399999999999, 0.0, 0.0), (16.077533333333328, 0.0, 0.0), (5.592, 0.00013333333333333337, 0.0002666666666666667)]","[(2, 0.0, 0.0), (2, 0.0, 1.6666666666666667e-05), (2, 0.0, 0.0004111111111111111)]","[0, 0, 0]","[True, True, True]"
4,"[0, 0, 0, 113.99788045894081, 57.3693958799516, 132.91689204923733, 72.23967576394642]","[0, 1, 2, 3, 3, 3, 3]","[1, 2, 3, 4, 4, 4, 4]","[-1, 3, -1, -1, -1, -1, -1]","[131.84221070443155, 0, 55.12099918188638, 115.92559436225002, 122.01125179176118, 176.36069905260857, 102.43643698574813]","[(4.1941999999999995, 0.0, 0.0), 0, (16.077533333333328, 0.0, 0.0), (5.329666666666667, 0.0, 0.0005333333333333334), (33.5544, 0.009333333333333334, 0.00013333333333333337), (7.1646, 0.0, 0.0061333333333333335), (66.40913333333332, 0.0036, 0.016)]","[(2, 0.0, 0.0), 0, (2, 0.0, 1.6666666666666667e-05), (2, 0.0, 0.00021666666666666668), (3, 0.0, 0.0010888888888888888), (1, 0.0006000000000000001, 0.0001777777777777778), (2, 0.0002833333333333333, 0.0007333333333333333)]","[0, -1, 0, 1, 0, 0, 0]","[True, False, True, True, True, True, True]"
5,"[0, 0, 0, 115.0341534520716, 57.243632363980254, 123.507573527288, 75.68978819604087, 101.29682559076329, 106.92593345429792, 58.828625558638436, 137.51959499269037]","[0, 1, 2, 3, 3, 3, 3, 4, 4, 4, 4]","[1, 2, 3, 4, 4, 4, 4, 5, 5, 5, 5]","[4, 3, 4, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 115.92559436225002, 122.01125179176118, 176.36069905260857, 102.43643698574813, 103.00976357054209, 169.66267620820324, 103.15890381333142, 140.9767114868116]","[0, 0, 0, (5.155266666666666, 0.0, 0.0005333333333333334), (64.3126, 0.009333333333333334, 0.0), (7.164933333333332, 0.0, 0.0028), (79.69139999999999, 0.002, 0.0041333333333333335), (9.917266666666666, 0.0, 0.0), (23.24273333333333, 0.0, 0.0), (3.2328, 0.030133333333333328, 0.029466666666666665), (10.8784, 0.0, 0.0)]","[0, 0, 0, (2, 0.0, 0.0002222222222222222), (3, 0.0, 0.0010277777777777776), (1, 0.0002333333333333333, 0.00028333333333333335), (2, 6.666666666666667e-05, 0.0008444444444444444), (1, 0.0, 1.6666666666666667e-05), (1, 0.0, 1.1111111111111112e-05), (2, 0.0, 0.0), (2, 0.0, 1.6666666666666667e-05)]","[-1, -1, -1, 1, 0, 0, 0, 1, 1, 0, 0]","[False, False, False, True, True, True, True, True, True, True, True]"
6,"[0, 0, 0, 115.92559436225002, 0, 0, 73.1800169404638, 102.21764240092666, 94.99104959322763, 58.76597011848104, 139.0625056017579, 72.23967576394642, 48.63540619973121, 29.47349645235561]","[0, 1, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5]","[1, 2, 3, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6]","[4, 3, 4, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 115.92559436225002, 122.01125179176118, 176.36069905260857, 102.43643698574813, 103.00976357054209, 169.66267620820324, 103.15890381333142, 140.9767114868116, 102.43643698574813, 95.22550721597905, 53.83550970583867]","[0, 0, 0, (3.844133333333333, 0.0, 0.0009333333333333333), (27.962, 0.009333333333333334, 0.0), (6.290866666666668, 0.0, 0.0032), (66.05980000000001, 0.002, 0.003466666666666667), (8.737733333333331, 0.0, 0.0), (22.368866666666666, 0.0, 0.0), (2.7958000000000003, 0.026266666666666667, 0.02586666666666667), (10.6164, 0.0, 0.0), (66.40913333333332, 0.0036, 0.016), (64.3126, 0.009333333333333334, 0.00013333333333333337), (55.224599999999995, 0.0, 0.0)]","[0, 0, 0, (2, 0.0, 0.00020555555555555556), (3, 0.0, 0.0010611111111111112), (1, 0.00031666666666666665, 0.00015555555555555556), (2, 1.666666666666667e-05, 0.0006222222222222223), (1, 0.0, 2.2222222222222223e-05), (1, 0.0, 2.2222222222222223e-05), (2, 0.0, 0.0), (2, 0.0, 1.6666666666666667e-05), (2, 0.0002833333333333333, 0.0007333333333333333), (3, 0.0, 0.0010999999999999998), (1, 3.3333333333333335e-05, 7.222222222222222e-05)]","[-1, -1, -1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]","[False, False, False, True, True, True, True, True, True, True, True, True, True, True]"
7,"[0, 0, 0, 112.48931251033672, 0, 0, 75.49221677214949, 103.00976357054209, 126.07330169628015, 0, 0, 75.68978819604087, 95.22550721597905, 36.59396896217232, 145.5846233456841, 106.2285682985163, 206.63880185239503, 40.454889187971915]","[0, 1, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6]","[1, 2, 3, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 7, 7, 7, 7]","[4, 3, 4, -1, 6, 6, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 115.92559436225002, 0, 0, 102.43643698574813, 103.00976357054209, 169.66267620820324, 103.15890381333142, 140.9767114868116, 102.43643698574813, 95.22550721597905, 53.83550970583867, 152.1861444556328, 204.7180567601499, 216.05211915323915, 142.07611842757387]","[0, 0, 0, (4.892600000000001, 0.0, 0.0004), 0, 0, (82.83693333333332, 0.002, 0.0032), (9.6554, 0.0, 0.0), (20.88366666666667, 0.0, 0.0), (2.5336, 0.026, 0.025066666666666668), (9.5678, 0.0, 0.0), (79.69139999999999, 0.002, 0.0041333333333333335), (55.924, 0.0092, 0.0), (37.748599999999996, 0.0, 0.0), (82.48766666666668, 0.0092, 0.004666666666666666), (6.203399999999999, 0.0, 0.0), (27.962, 0.009066666666666666, 0.0002666666666666667), (343.9326, 0.017733333333333334, 0.010533333333333334)]","[0, 0, 0, (2, 0.0, 0.00024444444444444443), 0, 0, (2, 5e-05, 0.0006722222222222222), (1, 0.0, 2.2222222222222223e-05), (1, 0.0, 1.6666666666666667e-05), (2, 0.0, 0.0), (2, 0.0, 1.6666666666666667e-05), (2, 6.666666666666667e-05, 0.0008444444444444444), (3, 0.0, 0.0010277777777777776), (1, 0.0, 5.555555555555557e-06), (1, 0.008966666666666666, 0.004444444444444445), (3, 0.0, 6.666666666666667e-05), (3, 0.0, 0.0010722222222222222), (2, 0.0, 0.0010333333333333334)]","[-1, -1, -1, 1, -1, -1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0]","[False, False, False, True, False, False, True, True, True, True, True, True, True, True, True, True, True, True]"
8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 149.97794644332248, 204.7180567601499, 140.25356314290968, 0, 63.62996163918966, 75.9535652871588, 86.12158825274172]","[0, 1, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7]","[1, 2, 3, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 7, 7, 7, 7, 8, 8, 8]","[4, 3, 4, -1, 6, 6, -1, -1, -1, 7, 7, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 115.92559436225002, 0, 0, 102.43643698574813, 103.00976357054209, 169.66267620820324, 0, 0, 102.43643698574813, 95.22550721597905, 53.83550970583867, 152.1861444556328, 204.7180567601499, 216.05211915323915, 142.07611842757387, 108.8527138534084, 133.78936083474358, 90.90663910523058]","[0, 0, 0, (7.514266666666666, 0.0, 0.0004), 0, 0, (59.7682, 0.002, 0.0032), (9.524066666666668, 0.0, 0.0), (19.835066666666666, 0.0, 0.0), 0, 0, (66.05980000000001, 0.002, 0.003466666666666667), (2.7962, 0.0092, 0.0), (56.6224, 0.0, 0.0), (67.1082, 0.00013333333333333337, 0.00013333333333333337), (7.4268, 0.0, 0.0), (19.573400000000003, 0.008933333333333333, 0.0), (218.1036, 0.0176, 0.0104), (41.943, 0.009466666666666667, 0.00013333333333333337), (41.94266666666665, 0.0, 0.0016), (97.867, 0.008933333333333333, 0.00013333333333333337)]","[0, 0, 0, (2, 0.0, 0.00020555555555555556), 0, 0, (2, 6.666666666666667e-05, 0.000611111111111111), (1, 0.0, 1.6666666666666667e-05), (1, 0.0, 1.6666666666666667e-05), 0, 0, (2, 1.666666666666667e-05, 0.0006222222222222223), (3, 0.0, 0.0010388888888888889), (1, 0.0487, 0.017150000000000002), (1, 0.0, 0.0006055555555555556), (3, 0.0, 0.0), (3, 0.0, 0.0010055555555555553), (2, 0.0, 0.0013611111111111111), (1, 0.0, 0.0011222222222222222), (3, 0.00015, 0.00018888888888888888), (2, 0.0, 0.003)]","[-1, -1, -1, 1, -1, -1, 0, 1, 1, -1, -1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0]","[False, False, False, True, False, False, True, True, True, False, False, True, True, True, True, True, True, True, True, True, True]"
9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 146.29426897009057, 0, 0, 0, 63.27356208177461, 99.97915129156432, 90.69647641754213, 170.97950477199316, 293.02646480815076, 193.94793484929372, 143.42285443630317, 58.828625558638436, 194.7741713414602, 101.56249348995242, 143.45269677632993, 72.23967576394642]","[0, 1, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8]","[1, 2, 3, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 7, 7, 7, 7, 8, 8, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9]","[4, 3, 4, 8, 6, 6, 8, 8, 8, 7, 7, 8, 8, 8, -1, -1, -1, 8, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 152.1861444556328, 204.7180567601499, 216.05211915323915, 0, 108.8527138534084, 133.78936083474358, 90.90663910523058, 312.0169173320378, 304.8057494372274, 202.24376437255512, 158.32954759028465, 103.15890381333142, 194.7741713414602, 110.1000965495443, 272.1528715976721, 102.43643698574813]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (46.137, 0.0, 0.0), (4.98, 0.0, 0.0), (41.943, 0.008933333333333333, 0.00013333333333333337), 0, (27.962, 0.009333333333333334, 0.0), (33.55413333333333, 0.0, 0.0017333333333333335), (97.867, 0.0088, 0.0), (79.69139999999999, 0.16893333333333332, 0.009466666666666667), (3.1454, 0.0002666666666666667, 0.0002666666666666667), (32.855133333333335, 0.004666666666666666, 0.008), (17.475666666666672, 0.0, 0.0), (3.2328, 0.030133333333333328, 0.029466666666666665), (267.736, 0.5745333333333333, 0.1008), (5.548, 0.0018666666666666664, 0.0017333333333333335), (5.5922, 0.0006666666666666666, 0.00013333333333333337), (66.40913333333332, 0.0036, 0.016)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (1, 0.0, 0.0007111111111111111), (3, 0.0, 1.1111111111111112e-05), (3, 0.0, 0.0010444444444444446), 0, (1, 0.0, 0.0010277777777777776), (3, 0.0, 0.0002111111111111111), (2, 0.0, 0.0036611111111111115), (2, 0.0, 0.08105555555555555), (2, 0.0, 1.1111111111111112e-05), (2, 0.0, 0.0008444444444444444), (1, 0.0, 0.00015000000000000001), (2, 0.0, 0.0), (1, 0.0, 0.0011611111111111112), (2, 0.0, 3.888888888888889e-05), (3, 0.0, 0.0), (2, 0.0002833333333333333, 0.0007333333333333333)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 0, -1, 1, 1, 0, 2, 2, 2, 1, 1, 1, 1, 1, 0]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True]"
10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90.90663910523058, 0, 164.50734232362322, 170.83019929554214, 158.32954759028465, 0, 69.22741674099356, 106.84084649193346, 0, 75.68978819604087, 277.23800227118755, 40.454889187971915, 95.8498587780224]","[0, 1, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 9, 9]","[1, 2, 3, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 7, 7, 7, 7, 8, 8, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 10]","[4, 3, 4, 8, 6, 6, 8, 8, 8, 7, 7, 8, 8, 8, -1, 9, 9, 8, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 152.1861444556328, 0, 0, 0, 108.8527138534084, 133.78936083474358, 90.90663910523058, 312.0169173320378, 304.8057494372274, 202.24376437255512, 158.32954759028465, 103.15890381333142, 194.7741713414602, 110.1000965495443, 272.1528715976721, 102.43643698574813, 280.5703657284766, 142.07611842757387, 143.9937140582496]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (67.10839999999999, 0.00013333333333333337, 0.0002666666666666667), 0, 0, 0, (25.1658, 0.0092, 0.0), (50.33126666666667, 0.0, 0.0013333333333333333), (83.886, 0.008666666666666666, 0.0), (59.419, 0.16906666666666667, 0.008400000000000001), (2.7958000000000003, 0.0, 0.0), (36.35026666666667, 0.004666666666666666, 0.008), (18.8738, 0.0, 0.0), (2.7958000000000003, 0.026266666666666667, 0.02586666666666667), (279.6198, 0.5902666666666666, 0.10413333333333334), (3.5385999999999997, 0.0017333333333333335, 0.0017333333333333335), (6.291, 0.0, 0.0), (79.69139999999999, 0.002, 0.0041333333333333335), (13.4562, 0.0, 0.0), (343.9326, 0.017733333333333334, 0.010533333333333334), (14.6794, 0.00013333333333333337, 0.0002666666666666667)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (1, 0.0004833333333333333, 0.0006444444444444443), 0, 0, 0, (1, 0.0, 0.0010333333333333334), (3, 0.0, 0.00017777777777777779), (2, 8.333333333333333e-05, 0.002494444444444444), (2, 0.0, 0.07536666666666667), (2, 0.0, 2.7777777777777776e-05), (2, 0.0, 0.0008388888888888889), (1, 0.0, 0.00016666666666666666), (2, 0.0, 0.0), (1, 0.0, 0.0009000000000000001), (2, 0.0, 5.555555555555555e-05), (3, 0.0, 0.0), (2, 6.666666666666667e-05, 0.0008444444444444444), (3, 0.0, 0.0007), (2, 0.0, 0.0010333333333333334), (2, 0.0, 0.0008222222222222222)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, 1, 1, 0, 2, 2, 2, 1, 1, 1, 1, 1, 0, 2, 1, 0]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
