interval,totalcontainers,newcontainers,deployed,migrations,inqueue
1,1,1,1,1,0
2,2,1,1,1,0
3,3,1,1,1,0
4,7,4,4,4,0
5,11,4,4,4,0
6,14,3,3,3,0
7,18,4,4,4,0
8,21,3,3,3,0
9,30,9,9,9,0
10,33,3,3,3,0
11,40,7,7,7,0
12,43,3,3,3,0
13,45,2,2,2,0
14,53,8,8,8,0
15,59,6,6,6,0
16,65,6,6,6,0
17,72,7,7,7,0
18,77,5,5,5,0
19,84,7,7,7,0
20,94,10,10,10,0
21,99,5,5,5,0
22,107,8,8,8,0
23,115,8,8,8,0
24,125,10,10,10,0
25,130,5,5,5,0
26,136,6,6,6,0
27,146,10,10,10,0
28,149,3,3,3,0
29,154,5,5,5,0
30,159,5,5,5,0
31,171,12,12,12,0
32,178,7,7,7,0
33,184,6,6,6,0
34,190,6,6,6,0
35,194,4,4,4,0
36,205,11,11,11,0
37,212,7,7,7,0
38,222,10,10,10,0
39,229,7,7,7,0
40,237,8,8,8,0
41,249,12,12,12,0
42,261,12,12,12,0
43,267,6,6,6,0
44,275,8,8,8,0
45,288,13,13,13,0
46,300,12,12,12,0
47,309,9,9,9,0
48,315,6,6,6,0
49,320,5,5,5,0
50,325,5,5,5,0
51,333,8,8,8,0
52,341,8,8,8,0
53,346,5,5,5,0
54,349,3,3,3,0
55,355,6,6,6,0
56,362,7,7,7,0
57,368,6,6,6,0
58,375,7,7,7,0
59,381,6,6,6,0
60,387,6,6,6,0
61,391,4,4,4,0
62,399,8,8,8,0
63,406,7,7,7,0
64,413,7,7,7,0
65,418,5,5,5,0
66,423,5,5,5,0
67,432,9,9,9,0
68,435,3,3,3,0
69,441,6,6,6,0
70,446,5,5,5,0
71,451,5,5,5,0
72,458,7,7,7,0
73,464,6,6,6,0
74,473,9,9,9,0
75,482,9,9,9,0
76,485,3,3,3,0
77,493,8,8,8,0
78,499,6,6,6,0
79,508,9,9,9,0
80,511,3,3,3,0
81,515,4,4,4,0
82,519,4,4,4,0
83,524,5,5,5,0
84,528,4,4,4,0
85,534,6,6,6,0
86,541,7,7,7,0
87,543,2,2,2,0
88,549,6,6,6,0
89,555,6,6,6,0
90,559,4,4,4,0
91,568,9,9,9,0
92,572,4,4,4,0
93,578,6,6,6,0
94,584,6,6,6,0
95,587,3,3,3,0
96,593,6,6,6,0
97,598,5,5,5,0
98,607,9,9,9,0
99,616,9,9,9,0
100,624,8,8,8,0
101,633,9,9,9,0
