criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,score,total time
gini, None, None, 20, 10, 200, 0.560 , 1.1min
gini, None, None, 20, 10, 1000, 0.557 , 5.4min
gini, None, None, 50, 2, 500, 0.523 , 2.6min
gini, None, None, 50, 5, 500, 0.531 , 2.6min
gini, None, None, 50, 10, 200, 0.523 , 1.0min
gini, None, None, 50, 10, 1000, 0.531 , 5.0min
gini, None, None, 100, 2, 1000, 0.496 , 4.8min
gini, None, None, 100, 10, 500, 0.469 , 2.4min
gini, None, None, 100, 20, 500, 0.494 , 2.4min
gini, None, sqrt, 1, 2, 200, 0.609 ,  31.0s
gini, None, sqrt, 1, 5, 200, 0.652 ,  36.4s
gini, None, sqrt, 1, 5, 200, 0.588 ,  35.8s
gini, None, sqrt, 1, 5, 500, 0.613 , 1.4min
gini, None, sqrt, 1, 10, 500, 0.644 , 1.3min
gini, None, sqrt, 1, 20, 200, 0.575 ,  33.3s
gini, None, sqrt, 1, 20, 500, 0.604 , 1.3min
gini, None, sqrt, 5, 2, 1000, 0.569 , 2.5min
gini, None, sqrt, 5, 10, 500, 0.568 , 1.3min
gini, None, sqrt, 5, 20, 200, 0.552 ,  28.3s
gini, None, sqrt, 5, 20, 1000, 0.557 , 2.5min
gini, None, sqrt, 20, 5, 1000, 0.534 , 2.3min
gini, None, sqrt, 20, 20, 500, 0.527 , 1.2min
gini, None, sqrt, 50, 2, 500, 0.437 , 1.1min
gini, None, sqrt, 50, 5, 200, 0.447 ,  25.4s
gini, None, sqrt, 50, 10, 200, 0.461 ,  30.4s
gini, None, sqrt, 50, 10, 200, 0.462 ,  26.1s
gini, None, sqrt, 50, 10, 1000, 0.443 , 2.1min
gini, None, sqrt, 100, 2, 500, 0.329 , 1.0min
gini, None, sqrt, 100, 5, 500, 0.335 , 1.0min
gini, None, sqrt, 100, 10, 200, 0.345 ,  23.5s
gini, None, sqrt, 100, 10, 1000, 0.338 , 2.0min
gini, None, log2, 1, 2, 1000, 0.643 , 2.7min
gini, None, log2, 1, 10, 500, 0.592 , 1.3min
gini, None, log2, 1, 20, 500, 0.555 , 1.3min
gini, None, log2, 5, 2, 200, 0.577 ,  28.5s
gini, None, log2, 5, 2, 1000, 0.574 , 2.5min
gini, None, None, 1, 2, 200, 0.645 , 1.2min
gini, None, None, 1, 5, 200, 0.683 , 1.3min
gini, None, None, 1, 5, 1000, 0.674 , 6.2min
gini, None, None, 1, 20, 200, 0.672 , 1.2min
gini, None, None, 1, 20, 1000, 0.690 , 5.8min
gini, None, None, 5, 5, 1000, 0.656 , 5.8min
gini, None, None, 5, 20, 500, 0.607 , 2.9min
gini, None, None, 20, 2, 200, 0.558 , 1.1min
gini, None, None, 20, 5, 200, 0.561 , 1.2min
gini, None, None, 20, 5, 200, 0.559 , 1.1min
gini, None, None, 20, 5, 1000, 0.553 , 5.4min
