criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,score,total time
gini, 5, None, 100, 10, 1000, 0.394 , 2.9min
gini, 5, sqrt, 1, 2, 1000, 0.236 , 1.4min
gini, 5, sqrt, 1, 10, 200, 0.245 ,  13.8s
gini, 5, sqrt, 1, 10, 1000, 0.238 , 1.3min
gini, 5, sqrt, 5, 2, 500, 0.236 ,  39.2s
gini, 5, sqrt, 5, 5, 200, 0.240 ,  15.4s
gini, 5, sqrt, 5, 5, 1000, 0.236 , 1.3min
gini, 5, sqrt, 5, 20, 1000, 0.238 , 1.3min
gini, 5, sqrt, 20, 5, 200, 0.238 ,  15.7s
gini, 5, sqrt, 20, 10, 200, 0.234 ,  18.1s
gini, 5, sqrt, 20, 10, 200, 0.236 ,  14.9s
gini, 5, sqrt, 20, 10, 1000, 0.236 , 1.3min
gini, 5, sqrt, 50, 2, 500, 0.239 ,  38.8s
gini, 5, sqrt, 50, 5, 500, 0.234 ,  39.4s
gini, 5, sqrt, 50, 10, 200, 0.239 ,  15.1s
gini, 5, sqrt, 50, 20, 200, 0.237 ,  18.0s
gini, 5, sqrt, 50, 20, 200, 0.236 ,  16.2s
gini, 5, sqrt, 50, 20, 1000, 0.234 , 1.3min
gini, 5, sqrt, 100, 5, 500, 0.237 ,  38.6s
gini, 5, sqrt, 100, 10, 200, 0.235 ,  15.0s
gini, 5, sqrt, 100, 20, 200, 0.234 ,  17.9s
gini, 5, sqrt, 100, 20, 200, 0.234 ,  15.8s
gini, 5, sqrt, 100, 20, 1000, 0.234 , 1.2min
gini, None, log2, 20, 2, 200, 0.530 ,  28.8s
gini, None, log2, 20, 2, 1000, 0.539 , 2.3min
gini, None, log2, 20, 10, 200, 0.519 ,  26.2s
gini, None, log2, 20, 10, 1000, 0.528 , 2.3min
gini, None, log2, 50, 2, 1000, 0.470 , 2.1min
gini, None, log2, 50, 10, 500, 0.465 , 1.1min
gini, None, log2, 50, 20, 200, 0.452 ,  25.2s
gini, None, log2, 50, 20, 1000, 0.453 , 2.1min
gini, None, log2, 100, 5, 1000, 0.344 , 2.0min
gini, None, log2, 100, 20, 500, 0.341 , 1.0min
gini, 5, None, 1, 2, 500, 0.421 , 1.4min
gini, 5, None, 1, 5, 500, 0.429 , 1.5min
gini, 5, None, 1, 10, 200, 0.476 ,  37.1s
gini, 5, None, 1, 10, 1000, 0.476 , 2.9min
gini, 5, None, 5, 2, 1000, 0.434 , 2.9min
gini, 5, None, 5, 10, 500, 0.462 , 1.5min
gini, 5, None, 5, 20, 200, 0.435 ,  35.7s
gini, 5, None, 5, 20, 1000, 0.477 , 2.9min
gini, 5, None, 20, 5, 1000, 0.416 , 2.9min
gini, 5, None, 20, 20, 500, 0.431 , 1.5min
gini, 5, None, 50, 2, 500, 0.423 , 1.5min
gini, 5, None, 50, 5, 500, 0.414 , 1.5min
gini, 5, None, 50, 10, 200, 0.417 ,  33.5s
gini, 5, None, 50, 10, 1000, 0.426 , 2.9min
gini, 5, None, 100, 2, 1000, 0.394 , 2.9min
gini, 5, None, 100, 10, 500, 0.400 , 1.5min
gini, 5, None, 100, 20, 500, 0.406 , 1.4min
gini, 5, sqrt, 1, 2, 200, 0.234 ,  16.0s
gini, 5, sqrt, 1, 2, 1000, 0.236 , 1.3min
gini, 5, sqrt, 1, 10, 200, 0.238 ,  14.5s
gini, 5, sqrt, 1, 10, 1000, 0.234 , 1.3min
gini, 5, sqrt, 5, 2, 500, 0.238 ,  40.0s
gini, 5, sqrt, 5, 5, 500, 0.236 ,  39.1s
gini, 5, sqrt, 5, 10, 200, 0.244 ,  14.8s
gini, 5, sqrt, 5, 20, 200, 0.238 ,  18.7s
gini, 5, sqrt, 5, 20, 200, 0.236 ,  16.0s
gini, 5, sqrt, 5, 20, 1000, 0.236 , 1.3min
gini, 5, sqrt, 20, 5, 500, 0.234 ,  40.0s
gini, 5, sqrt, 20, 10, 500, 0.234 ,  40.0s
gini, 5, sqrt, 20, 20, 500, 0.236 ,  40.1s
gini, 5, sqrt, 50, 2, 500, 0.236 ,  39.3s
gini, 5, sqrt, 50, 5, 500, 0.236 ,  37.5s
gini, 5, sqrt, 50, 10, 200, 0.234 ,  15.3s
gini, 5, sqrt, 50, 10, 1000, 0.234 , 1.3min
gini, 5, sqrt, 100, 2, 1000, 0.234 , 1.3min
gini, 5, sqrt, 100, 10, 500, 0.234 ,  37.6s
gini, 5, sqrt, 100, 20, 500, 0.234 ,  39.0s
gini, 5, log2, 1, 2, 200, 0.236 ,  14.5s
gini, None, log2, 20, 20, 200, 0.533 ,  27.6s
gini, None, log2, 20, 20, 1000, 0.540 , 2.3min
gini, None, log2, 50, 5, 500, 0.449 , 1.1min
gini, None, log2, 50, 10, 200, 0.428 ,  24.2s
gini, None, log2, 50, 20, 200, 0.464 ,  28.9s
gini, None, log2, 50, 20, 200, 0.467 ,  28.2s
gini, None, log2, 50, 20, 500, 0.432 , 1.1min
gini, None, log2, 100, 2, 1000, 0.331 , 2.0min
gini, None, log2, 100, 10, 200, 0.330 ,  22.7s
gini, None, log2, 100, 10, 1000, 0.342 , 2.0min
gini, 5, None, 1, 2, 1000, 0.460 , 2.9min
gini, 5, None, 1, 10, 500, 0.419 , 1.5min
gini, 5, None, 1, 20, 500, 0.435 , 1.5min
gini, 5, None, 5, 2, 200, 0.434 ,  33.9s
gini, 5, None, 5, 2, 1000, 0.476 , 2.9min
gini, 5, None, 5, 10, 1000, 0.461 , 2.9min
gini, 5, None, 20, 2, 500, 0.431 , 1.5min
gini, 5, None, 20, 5, 500, 0.432 , 1.5min
gini, 5, None, 20, 10, 200, 0.419 ,  35.3s
gini, 5, None, 20, 10, 1000, 0.433 , 2.9min
gini, 5, None, 50, 2, 1000, 0.426 , 2.9min
gini, 5, None, 50, 10, 500, 0.425 , 1.5min
gini, 5, None, 50, 20, 200, 0.421 ,  36.7s
gini, 5, None, 100, 2, 200, 0.403 ,  39.6s
gini, 5, None, 100, 2, 200, 0.395 ,  36.8s
gini, 5, None, 100, 2, 1000, 0.394 , 2.9min
gini, 5, None, 100, 10, 500, 0.386 , 1.5min
gini, 5, None, 100, 20, 500, 0.398 , 1.5min
gini, 5, sqrt, 1, 2, 200, 0.242 ,  16.8s
gini, 5, sqrt, 1, 2, 1000, 0.234 , 1.3min
gini, 5, sqrt, 1, 10, 200, 0.244 ,  15.6s
gini, 5, sqrt, 1, 20, 200, 0.239 ,  17.5s
gini, 5, sqrt, 1, 20, 200, 0.234 ,  16.6s
gini, 5, sqrt, 1, 20, 500, 0.234 ,  39.6s
gini, 5, sqrt, 5, 2, 1000, 0.238 , 1.3min
gini, 5, sqrt, 5, 10, 200, 0.234 ,  15.1s
gini, 5, sqrt, 5, 10, 1000, 0.239 , 1.2min
gini, 5, sqrt, 20, 2, 1000, 0.236 , 1.3min
gini, 5, sqrt, 20, 10, 500, 0.236 ,  38.2s
gini, 5, sqrt, 20, 20, 200, 0.236 ,  15.0s
gini, 5, sqrt, 20, 20, 1000, 0.234 , 1.2min
gini, 5, sqrt, 50, 5, 1000, 0.236 , 1.2min
gini, 5, sqrt, 50, 20, 200, 0.234 ,  14.3s
gini, 5, sqrt, 50, 20, 1000, 0.234 , 1.2min
gini, 5, sqrt, 100, 5, 1000, 0.234 , 1.2min
gini, 5, sqrt, 100, 20, 200, 0.234 ,  14.8s
gini, 5, sqrt, 100, 20, 1000, 0.235 , 1.2min
gini, 5, log2, 1, 5, 1000, 0.238 , 1.3min
gini, None, log2, 50, 5, 200, 0.472 ,  30.2s
gini, None, log2, 50, 5, 200, 0.474 ,  27.8s
gini, None, log2, 50, 5, 1000, 0.471 , 2.2min
gini, None, log2, 50, 20, 500, 0.441 , 1.1min
gini, None, log2, 100, 2, 500, 0.334 , 1.1min
gini, None, log2, 100, 5, 500, 0.325 , 1.0min
gini, None, log2, 100, 10, 200, 0.327 ,  23.3s
gini, None, log2, 100, 20, 200, 0.335 ,  29.3s
gini, None, log2, 100, 20, 200, 0.347 ,  25.7s
gini, None, log2, 100, 20, 1000, 0.335 , 2.1min
gini, 5, None, 1, 5, 200, 0.475 ,  35.5s
gini, 5, None, 1, 10, 200, 0.461 ,  39.8s
gini, 5, None, 1, 10, 200, 0.436 ,  37.7s
gini, 5, None, 1, 10, 500, 0.472 , 1.5min
gini, 5, None, 1, 20, 500, 0.435 , 1.5min
gini, 5, None, 5, 2, 500, 0.461 , 1.5min
gini, 5, None, 5, 5, 200, 0.419 ,  34.2s
gini, 5, None, 5, 5, 1000, 0.435 , 2.9min
gini, 5, None, 5, 20, 1000, 0.435 , 2.9min
gini, 5, None, 20, 5, 500, 0.430 , 1.5min
gini, 5, None, 20, 10, 500, 0.433 , 1.5min
gini, 5, None, 20, 20, 200, 0.416 ,  33.7s
gini, 5, None, 20, 20, 1000, 0.431 , 2.9min
gini, 5, None, 50, 5, 1000, 0.417 , 2.9min
gini, 5, None, 50, 20, 500, 0.421 , 1.5min
gini, 5, None, 100, 2, 500, 0.396 , 1.5min
gini, 5, None, 100, 5, 200, 0.399 ,  33.1s
gini, 5, None, 100, 5, 1000, 0.399 , 2.9min
gini, 5, None, 100, 20, 1000, 0.394 , 2.8min
gini, 5, sqrt, 1, 10, 200, 0.234 ,  14.3s
gini, 5, sqrt, 1, 10, 1000, 0.236 , 1.3min
gini, 5, sqrt, 5, 2, 500, 0.234 ,  39.3s
gini, 5, sqrt, 5, 5, 500, 0.238 ,  38.3s
gini, 5, sqrt, 5, 10, 200, 0.236 ,  14.9s
gini, 5, sqrt, 5, 10, 1000, 0.234 , 1.3min
gini, 5, sqrt, 20, 2, 1000, 0.238 , 1.3min
gini, 5, sqrt, 20, 10, 200, 0.246 ,  14.2s
gini, 5, sqrt, 20, 20, 200, 0.238 ,  17.7s
gini, 5, sqrt, 20, 20, 200, 0.236 ,  16.7s
gini, 5, sqrt, 20, 20, 1000, 0.236 , 1.3min
gini, 5, sqrt, 50, 5, 500, 0.234 ,  38.6s
gini, 5, sqrt, 50, 10, 500, 0.236 ,  38.3s
gini, 5, sqrt, 50, 20, 200, 0.234 ,  14.7s
gini, 5, sqrt, 50, 20, 1000, 0.239 , 1.2min
gini, 5, sqrt, 100, 5, 1000, 0.234 , 1.2min
gini, 5, sqrt, 100, 20, 200, 0.234 ,  14.5s
gini, 5, sqrt, 100, 20, 1000, 0.234 , 1.3min
gini, 5, log2, 1, 5, 1000, 0.236 , 1.3min
gini, None, log2, 50, 2, 1000, 0.450 , 2.1min
gini, None, log2, 50, 10, 1000, 0.465 , 2.1min
gini, None, log2, 100, 2, 200, 0.329 ,  22.6s
gini, None, log2, 100, 2, 1000, 0.338 , 2.0min
gini, None, log2, 100, 10, 1000, 0.328 , 2.0min
gini, 5, None, 1, 2, 500, 0.461 , 1.4min
gini, 5, None, 1, 5, 500, 0.417 , 1.5min
gini, 5, None, 1, 10, 200, 0.430 ,  36.2s
gini, 5, None, 1, 10, 1000, 0.432 , 2.9min
gini, 5, None, 5, 2, 500, 0.472 , 1.5min
gini, 5, None, 5, 5, 500, 0.477 , 1.5min
gini, 5, None, 5, 10, 500, 0.475 , 1.5min
gini, 5, None, 5, 20, 500, 0.474 , 1.5min
gini, 5, None, 20, 2, 500, 0.434 , 1.5min
gini, 5, None, 20, 5, 200, 0.418 ,  34.5s
gini, 5, None, 20, 5, 1000, 0.434 , 2.9min
gini, 5, None, 20, 20, 1000, 0.434 , 2.9min
gini, 5, None, 50, 5, 500, 0.420 , 1.5min
gini, 5, None, 50, 10, 200, 0.413 ,  34.0s
gini, 5, None, 50, 10, 1000, 0.422 , 2.9min
gini, 5, None, 100, 2, 1000, 0.406 , 2.9min
gini, 5, None, 100, 10, 200, 0.391 ,  33.3s
gini, 5, None, 100, 20, 200, 0.401 ,  39.4s
gini, 5, None, 100, 20, 200, 0.396 ,  35.0s
gini, 5, None, 100, 20, 1000, 0.395 , 2.8min
gini, 5, sqrt, 1, 10, 200, 0.234 ,  14.8s
gini, 5, sqrt, 1, 10, 1000, 0.241 , 1.2min
gini, 5, sqrt, 5, 2, 500, 0.240 ,  38.4s
gini, 5, sqrt, 5, 5, 200, 0.236 ,  16.1s
gini, 5, sqrt, 5, 10, 200, 0.245 ,  17.7s
gini, 5, sqrt, 5, 10, 200, 0.238 ,  16.0s
gini, 5, sqrt, 5, 10, 1000, 0.236 , 1.3min
gini, 5, sqrt, 20, 2, 500, 0.234 ,  39.3s
gini, 5, sqrt, 20, 5, 500, 0.238 ,  38.5s
gini, 5, sqrt, 20, 10, 200, 0.234 ,  14.5s
gini, 5, sqrt, 20, 10, 1000, 0.234 , 1.3min
gini, 5, sqrt, 50, 2, 1000, 0.236 , 1.3min
gini, 5, sqrt, 50, 10, 500, 0.236 ,  38.9s
gini, 5, sqrt, 50, 20, 200, 0.243 ,  14.9s
gini, 5, sqrt, 100, 2, 200, 0.234 ,  18.9s
gini, 5, sqrt, 100, 2, 200, 0.234 ,  15.7s
gini, 5, sqrt, 100, 2, 1000, 0.234 , 1.3min
gini, 5, sqrt, 100, 10, 500, 0.235 ,  38.8s
gini, 5, sqrt, 100, 20, 500, 0.234 ,  39.6s
gini, 5, log2, 1, 2, 500, 0.236 ,  38.5s
gini, 5, log2, 1, 5, 200, 0.234 ,  14.1s
gini, 5, log2, 1, 5, 1000, 0.234 , 1.2min
gini, 5, log2, 1, 20, 1000, 0.243 , 1.2min
gini, None, log2, 20, 5, 1000, 0.539 , 2.3min
gini, None, log2, 20, 20, 500, 0.527 , 1.2min
gini, None, log2, 50, 2, 500, 0.453 , 1.1min
gini, None, log2, 50, 5, 500, 0.467 , 1.1min
gini, None, log2, 50, 10, 200, 0.449 ,  25.1s
gini, None, log2, 50, 10, 1000, 0.435 , 2.2min
gini, None, log2, 100, 2, 1000, 0.328 , 2.0min
gini, None, log2, 100, 10, 500, 0.328 , 1.0min
gini, None, log2, 100, 20, 500, 0.335 , 1.0min
gini, 5, None, 1, 2, 200, 0.423 ,  35.7s
gini, 5, None, 1, 2, 1000, 0.419 , 2.9min
gini, 5, None, 1, 10, 1000, 0.420 , 2.9min
gini, 5, None, 5, 2, 1000, 0.460 , 2.9min
gini, 5, None, 5, 10, 500, 0.438 , 1.5min
gini, 5, None, 5, 20, 500, 0.461 , 1.5min
gini, 5, None, 20, 2, 500, 0.432 , 1.5min
gini, 5, None, 20, 5, 200, 0.432 ,  36.0s
gini, 5, None, 20, 10, 200, 0.433 ,  40.9s
gini, 5, None, 20, 10, 200, 0.435 ,  36.5s
gini, 5, None, 20, 10, 1000, 0.435 , 2.9min
gini, 5, None, 50, 2, 500, 0.421 , 1.5min
gini, 5, None, 50, 5, 500, 0.425 , 1.5min
gini, 5, None, 50, 10, 200, 0.425 ,  34.1s
gini, 5, None, 50, 20, 200, 0.426 ,  39.6s
gini, 5, None, 50, 20, 200, 0.422 ,  36.5s
gini, 5, None, 50, 20, 1000, 0.419 , 2.9min
gini, 5, None, 100, 5, 500, 0.398 , 1.5min
gini, 5, None, 100, 10, 500, 0.405 , 1.5min
gini, 5, None, 100, 20, 200, 0.392 ,  35.4s
gini, 5, None, 100, 20, 1000, 0.385 , 2.7min
gini, 5, sqrt, 1, 10, 1000, 0.236 , 1.3min
gini, 5, sqrt, 5, 2, 500, 0.236 ,  39.4s
gini, 5, sqrt, 5, 5, 200, 0.241 ,  15.0s
gini, 5, sqrt, 5, 5, 1000, 0.243 , 1.3min
gini, 5, sqrt, 5, 20, 1000, 0.236 , 1.3min
gini, 5, sqrt, 20, 5, 500, 0.241 ,  38.3s
gini, 5, sqrt, 20, 10, 500, 0.234 ,  38.8s
gini, 5, sqrt, 20, 20, 200, 0.234 ,  14.6s
gini, 5, sqrt, 20, 20, 1000, 0.239 , 1.3min
gini, 5, sqrt, 50, 5, 1000, 0.234 , 1.3min
gini, 5, sqrt, 50, 20, 500, 0.234 ,  38.4s
gini, 5, sqrt, 100, 2, 200, 0.234 ,  14.5s
gini, 5, sqrt, 100, 2, 1000, 0.234 , 1.2min
gini, 5, sqrt, 100, 10, 1000, 0.234 , 1.3min
gini, 5, log2, 1, 2, 500, 0.240 ,  39.3s
gini, 5, log2, 1, 5, 500, 0.234 ,  38.3s
gini, 5, log2, 1, 10, 200, 0.234 ,  14.9s
gini, 5, log2, 1, 10, 1000, 0.234 , 1.3min
gini, None, log2, 50, 2, 1000, 0.468 , 2.1min
gini, None, log2, 50, 10, 500, 0.474 , 1.1min
gini, None, log2, 50, 20, 200, 0.448 ,  24.8s
gini, None, log2, 50, 20, 1000, 0.438 , 2.1min
gini, None, log2, 100, 5, 1000, 0.330 , 2.0min
gini, None, log2, 100, 20, 200, 0.330 ,  23.0s
gini, None, log2, 100, 20, 1000, 0.329 , 2.0min
gini, 5, None, 1, 5, 500, 0.462 , 1.5min
gini, 5, None, 1, 10, 200, 0.419 ,  37.1s
gini, 5, None, 1, 10, 1000, 0.460 , 2.9min
gini, 5, None, 5, 2, 500, 0.435 , 1.5min
gini, 5, None, 5, 5, 500, 0.437 , 1.5min
gini, 5, None, 5, 10, 500, 0.432 , 1.5min
gini, 5, None, 5, 20, 500, 0.415 , 1.5min
gini, 5, None, 20, 2, 200, 0.416 ,  35.8s
gini, 5, None, 20, 5, 200, 0.433 ,  39.0s
gini, 5, None, 20, 5, 200, 0.434 ,  36.8s
gini, 5, None, 20, 5, 1000, 0.436 , 3.0min
gini, 5, None, 20, 20, 200, 0.437 ,  33.3s
gini, 5, None, 20, 20, 1000, 0.432 , 2.9min
gini, 5, None, 50, 5, 1000, 0.413 , 2.9min
gini, 5, None, 50, 20, 500, 0.429 , 1.5min
gini, 5, None, 100, 2, 500, 0.394 , 1.5min
gini, 5, None, 100, 5, 200, 0.401 ,  34.0s
gini, 5, None, 100, 5, 1000, 0.390 , 2.9min
gini, 5, None, 100, 20, 1000, 0.405 , 2.8min
gini, 5, sqrt, 1, 5, 1000, 0.239 , 1.2min
gini, 5, sqrt, 1, 20, 1000, 0.239 , 1.3min
gini, 5, sqrt, 5, 5, 1000, 0.234 , 1.3min
gini, 5, sqrt, 5, 20, 500, 0.239 ,  39.6s
gini, 5, sqrt, 20, 2, 500, 0.244 ,  38.6s
gini, 5, sqrt, 20, 5, 500, 0.236 ,  40.0s
gini, 5, sqrt, 20, 10, 500, 0.236 ,  39.5s
gini, 5, sqrt, 20, 20, 200, 0.242 ,  14.9s
gini, 5, sqrt, 50, 2, 200, 0.238 ,  18.7s
gini, 5, sqrt, 50, 2, 200, 0.234 ,  15.4s
gini, 5, sqrt, 50, 2, 1000, 0.236 , 1.3min
gini, 5, sqrt, 50, 10, 500, 0.239 ,  39.3s
gini, 5, sqrt, 50, 20, 500, 0.234 ,  39.9s
gini, 5, sqrt, 100, 2, 500, 0.234 ,  39.3s
gini, 5, sqrt, 100, 5, 200, 0.234 ,  14.2s
gini, 5, sqrt, 100, 5, 1000, 0.234 , 1.3min
gini, 5, sqrt, 100, 20, 1000, 0.234 , 1.2min
gini, 5, log2, 1, 5, 500, 0.240 ,  38.4s
gini, 5, log2, 1, 10, 200, 0.238 ,  14.5s
gini, 5, log2, 1, 20, 200, 0.277 ,  18.6s
gini, 5, log2, 1, 20, 200, 0.240 ,  16.8s
gini, 5, log2, 1, 20, 1000, 0.236 , 1.3min
gini, None, log2, 20, 10, 200, 0.519 ,  26.6s
gini, None, log2, 20, 10, 1000, 0.529 , 2.3min
gini, None, log2, 50, 2, 1000, 0.441 , 2.2min
gini, None, log2, 50, 10, 500, 0.435 , 1.2min
gini, None, log2, 50, 20, 500, 0.468 , 1.1min
gini, None, log2, 100, 2, 500, 0.328 , 1.0min
gini, None, log2, 100, 5, 200, 0.350 ,  22.4s
gini, None, log2, 100, 5, 1000, 0.341 , 2.0min
gini, None, log2, 100, 20, 1000, 0.335 , 2.0min
gini, 5, None, 1, 5, 200, 0.432 ,  34.6s
gini, 5, None, 1, 5, 1000, 0.419 , 2.9min
gini, 5, None, 1, 20, 500, 0.472 , 1.5min
gini, 5, None, 5, 2, 500, 0.436 , 1.5min
gini, 5, None, 5, 5, 500, 0.434 , 1.5min
gini, 5, None, 5, 10, 200, 0.431 ,  33.7s
gini, 5, None, 5, 10, 1000, 0.475 , 2.9min
gini, 5, None, 20, 2, 1000, 0.417 , 2.9min
gini, 5, None, 20, 10, 500, 0.434 , 1.5min
gini, 5, None, 20, 20, 500, 0.434 , 1.5min
gini, 5, None, 50, 2, 200, 0.423 ,  34.0s
gini, 5, None, 50, 2, 1000, 0.423 , 2.9min
gini, 5, None, 50, 10, 1000, 0.414 , 2.9min
gini, 5, None, 100, 2, 500, 0.388 , 1.5min
gini, 5, None, 100, 5, 500, 0.395 , 1.5min
gini, 5, None, 100, 10, 500, 0.394 , 1.5min
gini, 5, None, 100, 20, 200, 0.399 ,  34.1s
gini, 5, None, 100, 20, 1000, 0.399 , 2.7min
gini, 5, sqrt, 1, 10, 500, 0.239 ,  38.8s
gini, 5, sqrt, 1, 20, 500, 0.236 ,  39.3s
gini, 5, sqrt, 5, 2, 200, 0.250 ,  14.5s
gini, 5, sqrt, 5, 2, 1000, 0.239 , 1.3min
gini, 5, sqrt, 5, 10, 1000, 0.238 , 1.3min
gini, 5, sqrt, 20, 2, 500, 0.234 ,  38.9s
gini, 5, sqrt, 20, 5, 500, 0.236 ,  37.5s
gini, 5, sqrt, 20, 10, 200, 0.234 ,  15.0s
gini, 5, sqrt, 20, 10, 1000, 0.244 , 1.3min
gini, 5, sqrt, 50, 2, 1000, 0.234 , 1.3min
gini, 5, sqrt, 50, 10, 500, 0.234 ,  38.5s
gini, 5, sqrt, 50, 20, 500, 0.238 ,  39.0s
gini, 5, sqrt, 100, 2, 200, 0.234 ,  14.6s
gini, 5, sqrt, 100, 2, 1000, 0.234 , 1.3min
gini, 5, sqrt, 100, 10, 1000, 0.234 , 1.2min
gini, 5, log2, 1, 2, 500, 0.234 ,  39.0s
gini, 5, log2, 1, 5, 500, 0.238 ,  37.9s
gini, 5, log2, 1, 10, 200, 0.234 ,  15.2s
gini, 5, log2, 1, 10, 1000, 0.239 , 1.3min
gini, 5, log2, 5, 2, 1000, 0.238 , 1.3min
gini, 5, log2, 5, 10, 500, 0.238 ,  37.0s
gini, None, log2, 20, 5, 500, 0.532 , 1.2min
gini, None, log2, 20, 10, 1000, 0.541 , 2.3min
gini, None, log2, 50, 2, 200, 0.437 ,  25.0s
gini, None, log2, 50, 2, 1000, 0.433 , 2.2min
gini, None, log2, 50, 10, 1000, 0.449 , 2.2min
gini, None, log2, 100, 2, 500, 0.333 , 1.0min
gini, None, log2, 100, 5, 200, 0.343 ,  23.3s
gini, None, log2, 100, 5, 1000, 0.331 , 2.0min
gini, None, log2, 100, 20, 1000, 0.330 , 2.1min
gini, 5, None, 1, 5, 200, 0.428 ,  34.4s
gini, 5, None, 1, 5, 1000, 0.433 , 2.9min
gini, 5, None, 1, 20, 1000, 0.417 , 2.9min
gini, 5, None, 5, 5, 200, 0.434 ,  34.3s
gini, 5, None, 5, 5, 1000, 0.473 , 2.9min
gini, 5, None, 5, 20, 1000, 0.419 , 2.9min
gini, 5, None, 20, 5, 500, 0.430 , 1.5min
gini, 5, None, 20, 10, 500, 0.431 , 1.5min
gini, 5, None, 20, 20, 500, 0.431 , 1.5min
gini, 5, None, 50, 2, 200, 0.413 ,  34.7s
gini, 5, None, 50, 2, 1000, 0.421 , 2.8min
gini, 5, None, 50, 10, 1000, 0.426 , 2.9min
gini, 5, None, 100, 2, 200, 0.394 ,  32.5s
gini, 5, None, 100, 2, 1000, 0.399 , 2.8min
gini, 5, None, 100, 10, 1000, 0.395 , 2.8min
gini, 5, sqrt, 1, 2, 500, 0.242 ,  39.5s
gini, 5, sqrt, 1, 5, 500, 0.239 ,  44.3s
gini, 5, sqrt, 1, 5, 1000, 0.236 , 1.2min
gini, 5, sqrt, 1, 20, 1000, 0.234 , 1.2min
gini, 5, sqrt, 5, 5, 1000, 0.236 , 1.2min
gini, 5, sqrt, 5, 20, 500, 0.238 ,  38.6s
gini, 5, sqrt, 20, 2, 200, 0.239 ,  13.4s
gini, 5, sqrt, 20, 2, 1000, 0.239 , 1.3min
gini, 5, sqrt, 20, 10, 1000, 0.236 , 1.3min
gini, 5, sqrt, 50, 2, 500, 0.234 ,  37.4s
gini, 5, sqrt, 50, 5, 200, 0.236 ,  15.9s
gini, 5, sqrt, 50, 5, 1000, 0.239 , 1.3min
gini, 5, sqrt, 50, 20, 1000, 0.234 , 1.3min
gini, 5, sqrt, 100, 5, 500, 0.234 ,  38.6s
gini, 5, sqrt, 100, 10, 500, 0.236 ,  37.9s
gini, 5, sqrt, 100, 20, 200, 0.234 ,  16.3s
gini, 5, log2, 1, 2, 200, 0.238 ,  18.5s
gini, 5, log2, 1, 2, 200, 0.236 ,  15.8s
gini, 5, log2, 1, 2, 1000, 0.236 , 1.3min
gini, 5, log2, 1, 10, 500, 0.239 ,  38.6s
gini, 5, log2, 1, 20, 500, 0.236 ,  37.3s
gini, 5, log2, 5, 2, 200, 0.234 ,  15.1s
gini, 5, log2, 5, 2, 1000, 0.243 , 1.3min
gini, 5, log2, 5, 10, 1000, 0.236 , 1.3min
gini, 5, sqrt, 50, 10, 200, 0.234 ,  15.5s
gini, 5, sqrt, 50, 10, 1000, 0.240 , 1.2min
gini, 5, sqrt, 100, 2, 1000, 0.234 , 1.2min
gini, 5, sqrt, 100, 10, 500, 0.234 ,  39.2s
gini, 5, sqrt, 100, 20, 500, 0.234 ,  39.8s
gini, 5, log2, 1, 2, 200, 0.236 ,  15.6s
gini, 5, log2, 1, 5, 200, 0.241 ,  18.1s
gini, 5, log2, 1, 5, 200, 0.238 ,  15.3s
gini, 5, log2, 1, 5, 1000, 0.236 , 1.3min
gini, 5, log2, 1, 20, 500, 0.239 ,  39.2s
gini, 5, log2, 5, 2, 500, 0.234 ,  38.7s
gini, 5, log2, 5, 5, 500, 0.239 ,  38.4s
gini, 5, log2, 5, 10, 200, 0.234 ,  15.3s
gini, 5, log2, 5, 10, 1000, 0.234 , 1.2min
gini, 5, log2, 20, 2, 1000, 0.238 , 1.3min
gini, 5, log2, 20, 10, 200, 0.236 ,  15.6s
gini, 5, log2, 20, 20, 200, 0.255 ,  18.4s
gini, 5, log2, 20, 20, 200, 0.238 ,  15.0s
gini, 5, log2, 20, 20, 1000, 0.236 , 1.3min
gini, 5, log2, 50, 5, 500, 0.241 ,  39.9s
gini, 5, log2, 50, 10, 500, 0.234 ,  39.2s
gini, 5, log2, 50, 20, 500, 0.234 ,  39.3s
gini, 5, log2, 100, 2, 500, 0.234 ,  39.0s
gini, 5, log2, 100, 5, 200, 0.234 ,  14.1s
gini, 5, log2, 100, 5, 1000, 0.234 , 1.3min
gini, 5, log2, 100, 20, 1000, 0.234 , 1.4min
gini, 10, None, 1, 2, 1000, 0.643 , 4.9min
gini, 10, None, 1, 10, 1000, 0.661 , 4.9min
gini, 10, None, 5, 2, 1000, 0.589 , 4.9min
gini, 10, None, 5, 10, 500, 0.629 , 2.5min
gini, 10, None, 5, 20, 500, 0.674 , 2.5min
gini, 10, None, 20, 2, 500, 0.553 , 2.5min
gini, 10, None, 20, 5, 500, 0.558 , 2.4min
gini, 10, None, 20, 10, 200, 0.552 ,  56.0s
gini, 10, None, 20, 10, 1000, 0.552 , 4.8min
gini, 10, None, 50, 2, 1000, 0.527 , 4.7min
gini, 10, None, 50, 10, 500, 0.522 , 2.4min
gini, 10, None, 50, 20, 500, 0.526 , 2.4min
gini, 10, None, 100, 2, 200, 0.478 ,  52.5s
gini, 10, None, 100, 2, 1000, 0.468 , 4.4min
gini, 10, None, 100, 10, 1000, 0.476 , 4.4min
gini, 10, sqrt, 1, 2, 500, 0.557 , 1.1min
