interval,ips,create,start,destroy,apparentips,ram,disk,hostalloc,active
12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4442.116739200141, 2327.8664038117226]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[3, 4, 5, 9, 6, 8, 10, 10, 11, 12, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4107.999450555, 8215.999072276667]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (313.1741333333334, 0.2986666666666667, 0.020266666666666665), (335.544, 0.016466666666666664, 0.009866666666666668)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (3, 0.10841666666666665, 0.0281), (3, 0.0, 0.015905555555555555)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, 0]","[False, False, False, False, False, False, False, False, False, False, True, True]"
13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3143.9889128247596, 2503.141050686958, 685.3513090824399]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[3, 4, 5, 9, 6, 8, 10, 10, 11, 12, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4107.999450555, 8215.999072276667, 8900.66635172]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (205.5204, 0.03793333333333333, 0.025266666666666666), (427.8186, 0.011466666666666667, 0.006066666666666666), (232.08433333333338, 0.9976, 0.007)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (3, 0.00125, 0.027633333333333336), (3, 1.666666666666667e-05, 0.017866666666666666), (3, 0.0, 0.0005111111111111112)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, 0, 1]","[False, False, False, False, False, False, False, False, False, False, True, True, True]"
14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3601.3461849865503, 2497.663717972107, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[3, 4, 5, 9, 6, 8, 10, 10, 11, 12, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4107.999450555, 8215.999072276667, 8900.66635172]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (130.0228, 0.042466666666666666, 0.027733333333333332), (419.43, 0.0086, 0.004933333333333334), (264.24086666666665, 0.7731333333333333, 0.0056)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (3, 0.0008, 0.02777777777777778), (3, 0.0, 0.021744444444444445), (3, 0.0, 0.0006277777777777777)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, 0, 1]","[False, False, False, False, False, False, False, False, False, False, True, True, True]"
15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3261.75156374067, 2664.722365775066, 0, 628.9803113908888]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15]","[3, 4, 5, 9, 6, 8, 10, 10, 11, 12, -1, -1, 15, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4107.999450555, 8215.999072276667, 0, 8900.664783833332]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (110.44946666666665, 0.04046666666666667, 0.026666666666666672), (455.7806, 0.011333333333333336, 0.005066666666666666), 0, (320.1647333333333, 0.0011333333333333332, 0.0015333333333333334)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (3, 0.00011666666666666667, 0.02971666666666667), (3, 0.0, 0.016805555555555553), 0, (2, 0.0037166666666666667, 0.0028777777777777777)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, 0, -1, 1]","[False, False, False, False, False, False, False, False, False, False, True, True, False, True]"
16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3502.7541981732297, 2478.4930534701275, 0, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15]","[3, 4, 5, 9, 6, 8, 10, 10, 11, 12, -1, -1, 15, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4107.999450555, 8215.999072276667, 0, 8900.664783833332]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (119.5372, 0.03373333333333333, 0.02686666666666667), (332.7478, 0.012333333333333335, 0.0056), 0, (300.59133333333324, 0.0011333333333333332, 0.0015333333333333334)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (3, 0.0013666666666666669, 0.04000555555555556), (3, 0.0, 0.02114444444444444), 0, (2, 0.0004, 0.0023666666666666667)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, 0, -1, 1]","[False, False, False, False, False, False, False, False, False, False, True, True, False, True]"
17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2935.85027399664, 2629.1197031285333, 0, 0, 1763.7010974382797]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 17]","[3, 4, 5, 9, 6, 8, 10, 10, 11, 12, -1, -1, 15, 17, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4107.999450555, 8215.999072276667, 0, 0, 30000.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (105.55626666666666, 0.03646666666666667, 0.024466666666666664), (377.487, 0.011333333333333336, 0.0054), 0, 0, (39.146666666666654, 0.29753333333333337, 0.0019333333333333331)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (3, 0.0, 0.024422222222222224), (3, 0.0, 0.030616666666666664), 0, 0, (1, 0.003, 0.06097777777777777)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, 0, -1, -1, 1]","[False, False, False, False, False, False, False, False, False, False, True, True, False, False, True]"
18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2837.2582871833197, 0, 0, 0, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 17]","[3, 4, 5, 9, 6, 8, 10, 10, 11, 12, -1, -1, 15, 17, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4107.999450555, 8215.999072276667, 0, 0, 18581.37085640834]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (111.8476, 0.035666666666666666, 0.024), (321.563, 0.0134, 0.007933333333333334), 0, 0, (65.71033333333331, 0.2166, 0.004533333333333333)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (3, 0.0, 0.028383333333333337), (3, 0.0, 0.01774444444444444), 0, 0, (1, 0.0002833333333333333, 0.09404444444444444)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, 0, -1, -1, 2]","[False, False, False, False, False, False, False, False, False, False, True, True, False, False, True]"
19,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2777.0076285751793, 0, 0, 0, 0, 0, 1071.7839430047102]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 17, 19, 19]","[3, 4, 5, 9, 6, 8, 10, 10, 11, 12, -1, 19, 15, 17, 19, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4107.999450555, 0, 0, 0, 0, 20000.0, 20033.34472906]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (115.3428, 0.03426666666666667, 0.023266666666666665), 0, 0, 0, 0, (125.829, 0.003333333333333333, 0.0012666666666666666), (125.829, 0.003333333333333333, 0.0012666666666666666)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (3, 0.0, 0.027411111111111112), 0, 0, 0, 0, (3, 0.0, 0.0006444444444444443), (3, 0.0, 0.0006444444444444443)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, 0, 1]","[False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, True, True]"
20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3089.2155868173595, 0, 0, 0, 0, 0, 0, 2240.395480738335]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 17, 19, 19, 20]","[3, 4, 5, 9, 6, 8, 10, 10, 11, 12, -1, 19, 15, 17, 19, 20, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4107.999450555, 0, 0, 0, 0, 0, 20033.34472906, 20000.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (111.1486, 0.03153333333333333, 0.0434), 0, 0, 0, 0, 0, (170.56820000000002, 0.0034, 0.0014666666666666665), (973.0777333333333, 0.10640000000000001, 0.744)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (3, 0.0009, 0.029877777777777774), 0, 0, 0, 0, 0, (3, 0.0, 0.0005666666666666666), (3, 0.0, 0.025061111111111114)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, 1, 0]","[False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, True, True]"
21,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2842.73561978406, 0, 0, 0, 0, 0, 0, 0, 1155.2559781834066]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 17, 19, 19, 20, 21]","[3, 4, 5, 9, 6, 8, 10, 10, 11, 12, -1, 19, 15, 17, 19, 20, 21, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4107.999450555, 0, 0, 0, 0, 0, 0, 20033.342599746666, 5008.335165535]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (97.86666666666669, 0.0338, 0.023066666666666666), 0, 0, 0, 0, 0, 0, (805.3058666666667, 0.081, 0.38946666666666657), (67.10839999999999, 0.00013333333333333334, 0.001)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (3, 0.0, 0.029477777777777773), 0, 0, 0, 0, 0, 0, (3, 0.0, 0.023311111111111112), (1, 0.0, 0.0005722222222222222)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1, 1, 2]","[False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, True, True]"
