cpu_0,ram_0,disk_0,cpu_1,ram_1,disk_1,cpu_2,ram_2,disk_2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.040000000000003,267.736,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25.040000000000003,279.6198,1.0,100.0,0.0,1.0,0.0,0.0,0.0
25.040000000000003,271.93059999999997,1.0,33.38666666666666,184.549,1.0,0.0,0.0,0.0
25.040000000000003,277.5227333333333,1.0,33.38666666666666,225.0938,1.0,41.0775,386.924,1.0
25.040000000000003,304.0866,1.0,100.0,0.0,2.0,41.0775,349.1754,1.0
25.040000000000003,292.20259999999996,1.0,33.38666666666666,184.549,1.0,0.0,0.0,0.0
25.040000000000003,29.621666666666673,3.0,33.38666666666666,225.0938,1.0,0.0,0.0,0.0
25.040000000000003,29.53446666666667,3.0,66.77666666666666,265.6387333333333,3.0,0.0,0.0,0.0
25.040000000000003,31.3258,3.0,66.77666666666666,125.829,3.0,0.0,0.0,0.0
25.040000000000003,31.238400000000002,3.0,66.77666666666666,170.56820000000002,3.0,25.040000000000003,499.1218,2.0
25.040000000000003,30.75773333333333,3.0,100.0,39.146666666666654,1.0,25.040000000000003,553.6476,2.0
100.0,65.71033333333331,1.0,0.0,0.0,0.0,69.545,589.9976666666666,4.0
41.075,335.544,3.0,0.0,0.0,0.0,44.5025,120.23626666666664,2.0
41.075,427.8186,3.0,100.0,473.9556,1.0,0.0,0.0,0.0
86.31,685.0687333333333,6.0,0.0,0.0,0.0,89.005,384.4776,1.0
100.0,272.62933333333325,3.0,27.383333333333333,455.7806,3.0,25.040000000000003,258.64820000000003,3.0
50.080000000000005,178.9568,1.0,27.383333333333333,332.7478,3.0,25.040000000000003,328.5534,3.0
50.080000000000005,192.93779999999998,1.0,27.383333333333333,377.487,3.0,25.040000000000003,298.49406666666664,3.0
50.080000000000005,499.1218,2.0,27.383333333333333,321.563,3.0,25.040000000000003,294.3,3.0
50.080000000000005,455.08166666666676,2.0,27.383333333333333,343.9326,3.0,25.040000000000003,234.18133333333338,3.0
91.06,1426.063,3.0,33.38666666666666,306.18366666666674,3.0,25.040000000000003,242.57,3.0
