interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable,numfailures
1,"[17.696698932737654, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[340.1411929264844, 0, 0, 0, 0, 0]","[3688.8588070735154, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[713, 0, 0, 0, 0, 0]","[(15.494357142857144, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4279.505642857142, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(1, 0.0, 1.1904761904761903e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4025, 67.1, 10.109988095238094), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
2,"[33.730454206999255, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[724.6026997029135, 0, 0, 0, 0, 0]","[3304.3973002970865, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1359, 0, 0, 0, 0, 0]","[(276.79796666666675, 0.5536, 0.16226666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018.202033333333, 1859.4464, 999.8377333333333), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(2, 0.0, 0.0038738095238095246), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4024, 67.1, 10.10612619047619), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
3,"[49.91312980888558, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, 0, 0, 0, 0, 0]","[782.5096378372655, 0, 0, 0, 0, 0]","[3246.4903621627345, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2011, 0, 0, 0, 0, 0]","[(453.7258, 0.019333333333333327, 0.026666666666666672), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3841.2742, 1859.9806666666666, 999.9733333333334), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.00345), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.106549999999999), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
4,"[44.13005708612559, 10.577635151814366, 0.0, 0.0, 0.0, 0.0]","[3, 1, 0, 0, 0, 0]","[1029.5459735675008, 454.65570876498435, 0, 0, 0, 0]","[2999.454026432499, 7647.344291235016, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1778, 857, 0, 0, 0, 0]","[(340.3048000000001, 4.135533333333333, 4.159133333333334), (34.25326666666667, 0.0028, 0.0036), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3954.6952, 1855.8644666666667, 995.8408666666667), (17145.746733333333, 1799.9972, 1524.9964), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.0036555555555555556), (2, 0.0, 0.0031666666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.106344444444444), (16103, 51.900000000000006, 6.1868333333333325), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
5,"[41.7969719533383, 22.192051345346826, 0.0, 0.0, 0.0, 0.0]","[3, 2, 0, 0, 0, 0]","[632.1533006584452, 1102.0392847499438, 0, 0, 0, 0]","[3396.846699341555, 6999.960715250056, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1684, 1798, 0, 0, 0, 0]","[(292.9010666666667, 12.114600000000005, 12.161999999999997), (32.46153333333333, 0.0028666666666666667, 0.003733333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4002.098933333333, 1847.8854, 987.838), (17147.538466666665, 1799.9971333333333, 1524.9962666666668), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.0035166666666666666), (4, 0.0, 0.0031055555555555554), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.106483333333333), (16101, 51.900000000000006, 6.186894444444444), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
6,"[36.28691983122363, 39.286595902246354, 0.0, 0.0, 0.0, 0.0]","[3, 3, 0, 0, 0, 0]","[412.8830870829142, 1782.2646305952067, 0, 0, 0, 0]","[3616.1169129170858, 6319.735369404793, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1462, 3183, 0, 0, 0, 0]","[(44.9566, 10.272866666666667, 10.3004), (61.73353333333333, 0.003666666666666667, 0.0038), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4250.0434, 1849.7271333333333, 989.6996), (17118.266466666668, 1799.9963333333333, 1524.9962), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.00014444444444444444), (6, 0.0, 0.0036944444444444433), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.109855555555555), (16099, 51.900000000000006, 6.186305555555555), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
7,"[23.653512037726482, 48.642310540607255, 10.812488361988704, 0.0, 0.0, 0.0]","[2, 4, 1, 0, 0, 0]","[678.7563853359644, 1218.770210936362, 126.12688022292923, 0, 0, 0]","[3350.2436146640357, 6883.229789063638, 15984.87311977707, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[953, 3941, 1742, 0, 0, 0]","[(29.00973333333333, 0.00013333333333333334, 0.00013333333333333334), (118.61866666666668, 0.0016666666666666666, 0.0031333333333333335), (79.69160000000001, 0.0018, 0.0022666666666666664), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4265.990266666667, 1859.9998666666668, 999.9998666666667), (17061.381333333335, 1799.9983333333332, 1524.9968666666666), (34280.3084, 1882.6982, 1333.7477333333334), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.00010555555555555555), (6, 0.0, 0.0034333333333333334), (2, 0.0, 0.0009333333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.109894444444445), (16099, 51.900000000000006, 6.186566666666666), (32210, 58.2, 11.639066666666665), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
8,"[34.35095557210226, 19.933349790175264, 45.987213704922105, 0.0, 0.0, 0.0]","[3, 2, 3, 0, 0, 0]","[845.4803375210752, 1392.5786500109893, 3699.7965723928605, 0, 0, 0]","[3183.519662478925, 6709.42134998901, 12411.203427607139, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1384, 1615, 7409, 0, 0, 0]","[(41.15553333333334, 6.666666666666668e-05, 6.666666666666668e-05), (56.97206666666667, 0.0007333333333333332, 0.0012666666666666666), (416.2838, 0.004866666666666667, 0.0034000000000000002), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4253.844466666666, 1859.9999333333333, 999.9999333333334), (17123.027933333335, 1799.9992666666667, 1524.9987333333333), (33943.7162, 1882.6951333333334, 1333.7466), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 8.333333333333334e-05), (2, 0.0, 3.888888888888889e-05), (8, 0.05556666666666666, 0.027922222222222216), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.109916666666667), (16103, 51.900000000000006, 6.189961111111111), (32204, 58.14443333333334, 11.612077777777776), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
9,"[43.6584760486473, 35.31226857566033, 35.1685184035752, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[1126.9879270427155, 628.7750658402916, 1699.2180341187577, 0, 0, 0]","[2902.0120729572845, 7473.224934159708, 14411.781965881242, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1759, 2861, 5666, 0, 0, 0]","[(39.276399999999995, 0.0005333333333333334, 0.0004), (305.13466666666665, 0.001, 0.0016666666666666668), (329.9514666666667, 0.003533333333333333, 0.0015333333333333332), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4255.7236, 1859.9994666666666, 999.9996), (16874.865333333335, 1799.999, 1524.9983333333332), (34030.048533333334, 1882.6964666666668, 1333.7484666666667), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.00015555555555555554), (5, 0.0, 0.0043777777777777764), (6, 0.01295, 0.008194444444444443), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.109844444444445), (16100, 51.900000000000006, 6.1856222222222215), (32206, 58.187050000000006, 11.631805555555554), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
10,"[55.15016133035493, 44.24833374475438, 54.621066352181735, 0.0, 0.0, 0.0]","[3, 2, 3, 0, 0, 0]","[699.7916360761188, 2003.8680770039152, 2803.202808376181, 0, 0, 0]","[3329.2083639238813, 6098.1319229960845, 13307.797191623818, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2222, 3585, 8800, 0, 0, 0]","[(30.145066666666665, 0.028399999999999998, 0.028466666666666664), (118.83813333333332, 0.0, 0.0014), (336.942, 0.023933333333333334, 0.02353333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4264.854933333333, 1859.9716, 999.9715333333334), (17061.161866666665, 1800.0, 1524.9986), (34023.058, 1882.6760666666667, 1333.7264666666667), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.0002111111111111111), (4, 0.0, 0.0038166666666666666), (8, 0.0, 0.001977777777777778), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.109788888888888), (16101, 51.900000000000006, 6.186183333333333), (32204, 58.2, 11.63802222222222), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[1, 1, 1, 0, 0, 0]"
