interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable,numfailures
1,"[10.945644080416978, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[354.7662454720879, 0, 0, 0, 0, 0]","[3674.233754527912, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[441, 0, 0, 0, 0, 0]","[(306.18366666666674, 0.5942000000000001, 0.19193333333333332), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3988.816333333333, 1859.4058, 999.8080666666667), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.011550000000000001, 0.43049444444444446), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.08845, 9.679505555555554), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
2,"[29.163564159841155, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[855.1786708350666, 0, 0, 0, 0, 0]","[3173.8213291649336, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1175, 0, 0, 0, 0, 0]","[(285.12466666666666, 0.42160000000000003, 0.13533333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4009.8753333333334, 1859.5784, 999.8646666666667), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 1.666666666666667e-05, 0.2272388888888889), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.09998333333333, 9.88276111111111), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
3,"[40.10920824025813, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, 0, 0, 0, 0, 0]","[354.7662454720879, 0, 0, 0, 0, 0]","[3674.233754527912, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1616, 0, 0, 0, 0, 0]","[(565.8798000000002, 1.0863333333333334, 0.35146666666666665), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3729.1202, 1858.9136666666666, 999.6485333333334), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(9, 0.011633333333333334, 0.7166722222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4017, 67.08836666666666, 9.393327777777777), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
4,"[27.674360883593945, 23.79659343372007, 0.0, 0.0, 0.0, 0.0]","[2, 2, 0, 0, 0, 0]","[887.5675782138537, 1916.7203078070604, 0, 0, 0, 0]","[3141.4324217861463, 6185.279692192939, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1115, 1928, 0, 0, 0, 0]","[(326.1065333333333, 0.42460000000000003, 0.13566666666666666), (24.465600000000002, 0.00013333333333333334, 0.0036666666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3968.893466666667, 1859.5754, 999.8643333333333), (17155.5344, 1799.9998666666668, 1524.9963333333333), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 3.333333333333334e-05, 0.2274388888888889), (5, 0.0, 0.00015000000000000001), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.09996666666666, 9.88256111111111), (16100, 51.900000000000006, 6.18985), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
5,"[37.676842889054356, 23.79659343372007, 0.0, 0.0, 0.0, 0.0]","[3, 2, 0, 0, 0, 0]","[1427.0328174413296, 782.6690916395479, 0, 0, 0, 0]","[2601.96718255867, 7319.330908360452, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1518, 1928, 0, 0, 0, 0]","[(599.4343333333333, 1.0194, 0.3174), (19.3976, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3695.565666666667, 1858.9806, 999.6826), (17160.6024, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(8, 8.333333333333333e-05, 0.2902833333333333), (5, 0.0, 2.777777777777778e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.09991666666666, 9.819716666666666), (16100, 51.900000000000006, 6.189972222222222), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
6,"[47.77860511293125, 12.56479881510738, 14.021476010179382, 0.0, 0.0, 0.0]","[4, 1, 1, 0, 0, 0]","[970.9981599129933, 0, 2086.322616089701, 0, 0, 0]","[3058.0018400870067, 8102, 14024.677383910299, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1925, 1018, 2259, 0, 0, 0]","[(691.0098666666665, 0.6128666666666667, 0.22426666666666667), (10.135666666666664, 0.0, 0.0), (92.2746, 0.0002, 0.0003333333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3603.9901333333337, 1859.3871333333334, 999.7757333333333), (17169.864333333335, 1800.0, 1525.0), (34267.7254, 1882.6998, 1333.7496666666666), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(11, 0.05175, 0.3966277777777778), (3, 0.0, 1.6666666666666667e-05), (1, 0.0, 0.005855555555555556), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4015, 67.04825, 9.713372222222223), (16102, 51.900000000000006, 6.189983333333333), (32211, 58.2, 11.634144444444443), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
7,"[56.21742367833209, 12.56479881510738, 24.579479858481783, 0.0, 0.0, 0.0]","[4, 1, 2, 0, 0, 0]","[908.5669180321177, 1006.9845423014142, 1397.7390594094966, 0, 0, 0]","[3120.4330819678826, 7095.015457698586, 14713.260940590504, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2265, 1018, 3960, 0, 0, 0]","[(451.23586666666665, 0.0494, 0.022799999999999997), (11.184266666666664, 0.00013333333333333334, 0.0036666666666666666), (148.1986, 0.00013333333333333334, 0.0006666666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3843.764133333333, 1859.9506, 999.9772), (17168.815733333333, 1799.9998666666668, 1524.9963333333333), (34211.8014, 1882.6998666666668, 1333.7493333333334), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(11, 0.0, 0.012483333333333336), (3, 0.0, 0.00013333333333333334), (3, 1.666666666666667e-05, 0.0024555555555555554), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4015, 67.1, 10.097516666666666), (16102, 51.900000000000006, 6.189866666666666), (32209, 58.199983333333336, 11.637544444444444), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
8,"[41.17647058823529, 35.04073068378178, 10.5517969089442, 0.0, 0.0, 0.0]","[3, 3, 1, 0, 0, 0]","[923.8263843003224, 2350.6031496320406, 1700.3789519328436, 0, 0, 0]","[3105.1736156996776, 5751.396850367959, 14410.621048067156, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1659, 2839, 1700, 0, 0, 0]","[(95.81273333333336, 0.042600000000000006, 0.0012666666666666666), (208.84033333333335, 0.0008, 0.013533333333333333), (1.398, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4199.187266666667, 1859.9574, 999.9987333333333), (16971.159666666666, 1799.9992, 1524.9864666666667), (34358.602, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.0016833333333333336), (8, 0.06103333333333333, 0.012905555555555556), (2, 0.0, 5.555555555555555e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.108316666666665), (16097, 51.83896666666667, 6.177094444444444), (32210, 58.2, 11.639944444444444), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
9,"[44.70091834202035, 47.50678844729697, 10.5517969089442, 0.0, 0.0, 0.0]","[3, 4, 1, 0, 0, 0]","[520.5595806201562, 2390.5927549125563, 0, 0, 0, 0]","[3508.4404193798437, 5711.407245087444, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1801, 3849, 1700, 0, 0, 0]","[(449.4444, 1.4331333333333331, 0.0068), (298.14333333333326, 0.0066, 0.005799999999999999), (15.37853333333333, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3845.5556, 1858.5668666666666, 999.9932), (16881.856666666667, 1799.9934, 1524.9942), (34344.621466666664, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.010305555555555556), (11, 0.29986666666666667, 0.013238888888888887), (2, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.099694444444443), (16094, 51.60013333333334, 6.1767611111111105), (32210, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
10,"[37.155621742367835, 69.72352505554184, 24.529824343616163, 0.0, 0.0, 0.0]","[2, 5, 1, 0, 0, 0]","[740.7157926535887, 2682.3840132231567, 2232.9787954473054, 0, 0, 0]","[3288.284207346411, 5419.615986776844, 13878.021204552695, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1497, 5649, 3952, 0, 0, 0]","[(352.9762, 0.6504, 0.005600000000000001), (1244.6571999999999, 0.005266666666666667, 0.005333333333333333), (1034.5942666666667, 0.0003333333333333333, 0.0007333333333333332), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3942.0238, 1859.3496, 999.9944), (15935.3428, 1799.9947333333334, 1524.9946666666667), (33325.40573333333, 1882.6996666666666, 1333.7492666666667), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(2, 0.0, 0.00023333333333333333), (11, 0.043399999999999994, 0.011116666666666667), (2, 1.666666666666667e-05, 8.333333333333333e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4024, 67.1, 10.109766666666665), (16094, 51.85660000000001, 6.178883333333332), (32210, 58.199983333333336, 11.639916666666666), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[1, 1, 1, 0, 0, 0]"
