interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable,numfailures
1,"[13.030528667163068, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[502.70379551894536, 0, 0, 0, 0, 0]","[3526.2962044810547, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[525, 0, 0, 0, 0, 0]","[(473.9556, 4.806, 0.02386666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3821.0443999999998, 1855.194, 999.9761333333333), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(1, 0.0, 0.005094444444444444), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4025, 67.1, 10.104905555555556), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
2,"[26.458178207992056, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[868.8932133220468, 0, 0, 0, 0, 0]","[3160.106786677953, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1066, 0, 0, 0, 0, 0]","[(384.4776, 1.923, 0.02493333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3910.5224, 1858.077, 999.9750666666666), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.0, 0.005027777777777778), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.104972222222221), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
3,"[40.77934971456937, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, 0, 0, 0, 0, 0]","[980.1148939333293, 0, 0, 0, 0, 0]","[3048.8851060666707, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1643, 0, 0, 0, 0, 0]","[(455.0814, 3.8394, 0.04646666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3839.9186, 1856.1606, 999.9535333333333), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.00031666666666666665, 0.006105555555555556), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.09968333333333, 10.103894444444444), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
4,"[41.37503102506825, 18.87188348555912, 0.0, 0.0, 0.0, 0.0]","[3, 1, 0, 0, 0, 0]","[927.8549120110538, 956.2374912637823, 0, 0, 0, 0]","[3101.145087988946, 7145.762508736218, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1667, 1529, 0, 0, 0, 0]","[(395.3126, 1.3995999999999997, 0.0056), (1001.0402666666668, 0.0002666666666666667, 0.0008), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3899.6874, 1858.6004, 999.9944), (16178.959733333333, 1799.9997333333333, 1524.9992), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.011161111111111111), (2, 0.0, 6.666666666666667e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.098838888888888), (16103, 51.900000000000006, 6.189933333333332), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
5,"[38.37180441796972, 34.06566279930881, 0.0, 0.0, 0.0, 0.0]","[3, 2, 0, 0, 0, 0]","[870.19749979067, 2068.2706934464, 0, 0, 0, 0]","[3158.80250020933, 6033.7293065536, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1546, 2760, 0, 0, 0, 0]","[(418.77406666666667, 0.6527333333333334, 0.003466666666666667), (871.016, 0.004533333333333333, 0.0008666666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3876.225933333333, 1859.3472666666667, 999.9965333333333), (16308.984, 1799.9954666666667, 1524.9991333333332), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 5e-05, 0.0014333333333333331), (4, 0.0, 0.000977777777777778), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.09994999999999, 10.108566666666666), (16101, 51.900000000000006, 6.1890222222222215), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
6,"[41.3005708612559, 45.08763268328808, 0.0, 0.0, 0.0, 0.0]","[3, 3, 0, 0, 0, 0]","[1611.861651650865, 2124.01965305807, 0, 0, 0, 0]","[2417.138348349135, 5977.980346941929, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1664, 3653, 0, 0, 0, 0]","[(340.3050666666667, 0.6452, 0.0048), (1007.3301333333333, 0.0044, 0.0008), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3954.694933333333, 1859.3548, 999.9952), (16172.669866666667, 1799.9956, 1524.9992), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0005388888888888889), (7, 1.666666666666667e-05, 0.0008722222222222223), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.109461111111111), (16098, 51.89998333333334, 6.189127777777777), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
7,"[55.47282204020849, 26.215749197728954, 10.117311153870027, 0.0, 0.0, 0.0]","[4, 2, 1, 0, 0, 0]","[431.82754378726725, 0, 1630.8020564194846, 0, 0, 0]","[3597.172456212733, 8102, 14480.197943580515, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2235, 2124, 1630, 0, 0, 0]","[(331.6974, 0.6531333333333333, 0.0322), (17.038399999999996, 0.004266666666666667, 0.0), (1241.5137333333334, 0.0002, 0.0008), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3963.3026, 1859.3468666666668, 999.9678), (17162.9616, 1799.9957333333334, 1525.0), (33118.48626666667, 1882.6998, 1333.7492), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.0011055555555555556), (5, 0.0, 0.0008222222222222222), (2, 0.0, 6.111111111111111e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.108894444444443), (16100, 51.900000000000006, 6.189177777777777), (32210, 58.2, 11.639938888888887), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
8,"[26.061057334326136, 38.780548012836334, 33.3995406864875, 0.0, 0.0, 0.0]","[2, 3, 3, 0, 0, 0]","[968.5564771615077, 2379.62035994267, 4149.266593969123, 0, 0, 0]","[3060.4435228384923, 5722.37964005733, 11961.733406030877, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1050, 3142, 5381, 0, 0, 0]","[(53.12726666666667, 0.004933333333333334, 0.005666666666666666), (455.78059999999994, 7.668066666666666, 2.493), (1270.8735333333334, 0.004866666666666666, 0.0044666666666666665), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4241.872733333334, 1859.9950666666666, 999.9943333333333), (16724.2194, 1792.3319333333334, 1522.507), (33089.12646666667, 1882.6951333333334, 1333.7455333333332), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(2, 0.0, 0.0012277777777777777), (8, 0.0, 0.01750555555555556), (4, 0.0, 0.0027777777777777775), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4024, 67.1, 10.108772222222221), (16097, 51.900000000000006, 6.172494444444444), (32208, 58.2, 11.63722222222222), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
9,"[36.06353933978655, 38.780548012836334, 33.3995406864875, 0.0, 0.0, 0.0]","[3, 3, 3, 0, 0, 0]","[801.116343834783, 749.9511828834871, 0, 0, 0, 0]","[3227.883656165217, 7352.0488171165125, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1453, 3142, 5381, 0, 0, 0]","[(348.8252666666666, 0.5324000000000001, 0.16360000000000002), (727.012, 19.009133333333335, 2.4873333333333334), (1214.9489999999998, 0.0051333333333333335, 0.004733333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3946.1747333333333, 1859.4676, 999.8364), (16452.988, 1780.9908666666668, 1522.5126666666667), (33145.051, 1882.6948666666667, 1333.7452666666666), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.005288888888888888), (8, 0.04748333333333333, 0.023005555555555557), (4, 0.0, 0.0025333333333333328), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.104711111111111), (16097, 51.85251666666667, 6.166994444444444), (32208, 58.2, 11.637466666666665), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
10,"[47.00918342020353, 34.11503332510491, 37.48370678418472, 0.0, 0.0, 0.0]","[3, 2, 2, 0, 0, 0]","[754.152298838717, 1811.9019477359548, 3139.2896954688035, 0, 0, 0]","[3274.847701161283, 6290.098052264046, 12971.710304531196, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1894, 2764, 6039, 0, 0, 0]","[(373.9038, 0.016666666666666663, 0.032466666666666665), (55.924, 0.0046, 0.001), (1068.1486666666667, 0.005133333333333333, 0.004200000000000001), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3921.0962, 1859.9833333333333, 999.9675333333333), (17124.076, 1799.9954, 1524.999), (33291.85133333333, 1882.6948666666667, 1333.7458), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.004972222222222222), (5, 0.0, 0.0010444444444444446), (3, 1.666666666666667e-05, 0.0024), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.105027777777778), (16100, 51.900000000000006, 6.188955555555555), (32209, 58.199983333333336, 11.637599999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[1, 1, 1, 0, 0, 0]"
