interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable,numfailures
1,"[17.051377513030527, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[604.1926300925959, 0, 0, 0, 0, 0]","[3424.807369907404, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[687, 0, 0, 0, 0, 0]","[(6.159933333333332, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4288.840066666667, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(1, 0.0, 5.555555555555557e-06), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4025, 67.1, 10.109994444444444), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
2,"[31.025068255150163, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[166.15920635027632, 0, 0, 0, 0, 0]","[3862.8407936497238, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1250, 0, 0, 0, 0, 0]","[(35.431999999999995, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4259.568, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 3.3333333333333335e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.109966666666667), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
3,"[33.33333333333333, 10.528264626018267, 0.0, 0.0, 0.0, 0.0]","[2, 1, 0, 0, 0, 0]","[620.8906222193348, 329.4707641769164, 0, 0, 0, 0]","[3408.1093777806655, 7772.529235823084, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1343, 853, 0, 0, 0, 0]","[(53.30200000000001, 0.038266666666666664, 0.0012666666666666666), (11.883466666666667, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4241.698, 1859.9617333333333, 999.9987333333333), (17168.116533333334, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.007644444444444446), (3, 0.0, 0.00018888888888888888), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.102355555555555), (16102, 51.900000000000006, 6.18981111111111), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
4,"[29.808885579548278, 25.067884472969638, 0.0, 0.0, 0.0, 0.0]","[2, 2, 0, 0, 0, 0]","[1052.8513383413317, 1275.9843557233391, 0, 0, 0, 0]","[2976.148661658668, 6826.015644276661, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1201, 2031, 0, 0, 0, 0]","[(109.44413333333335, 0.03806666666666667, 0.0012), (932.5324666666667, 0.0002, 0.001), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4185.555866666667, 1859.9619333333333, 999.9988), (16247.467533333333, 1799.9998, 1524.999), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 5e-05, 0.0006555555555555557), (6, 0.0, 0.00014444444444444444), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.09994999999999, 10.109344444444444), (16099, 51.900000000000006, 6.189855555555555), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
5,"[42.516753536857784, 25.067884472969638, 0.0, 0.0, 0.0, 0.0]","[3, 2, 0, 0, 0, 0]","[1377.2292814960565, 710.2431664739623, 0, 0, 0, 0]","[2651.7707185039435, 7391.756833526038, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1713, 2031, 0, 0, 0, 0]","[(79.55926666666664, 0.038266666666666664, 0.0012), (1245.7074, 0.0, 0.0009333333333333332), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4215.440733333333, 1859.9617333333333, 999.9988), (15934.2926, 1800.0, 1524.9990666666667), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(8, 0.0, 0.0007333333333333333), (6, 0.0, 0.00013333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.109266666666667), (16099, 51.900000000000006, 6.189866666666666), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
6,"[52.767436088359396, 14.539619846951371, 11.023524300167589, 0.0, 0.0, 0.0]","[4, 1, 1, 0, 0, 0]","[1453.2220311420137, 0, 1774.594981083238, 0, 0, 0]","[2575.7779688579863, 8102, 14336.405018916761, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2126, 1178, 1776, 0, 0, 0]","[(780.8375333333333, 3.326133333333333, 0.6304000000000001), (1167.4141333333332, 0.0, 0.0009333333333333332), (50.3316, 0.004666666666666667, 6.666666666666668e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3514.1624666666667, 1856.6738666666668, 999.3696), (16012.585866666666, 1800.0, 1524.9990666666667), (34309.6684, 1882.6953333333333, 1333.7499333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(9, 0.0, 0.012316666666666667), (3, 0.0, 4.9999999999999996e-05), (3, 0.0, 0.0011111111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4017, 67.1, 10.097683333333332), (16102, 51.900000000000006, 6.18995), (32209, 58.2, 11.638888888888888), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
7,"[52.519235542318185, 10.639348309059491, 24.32499534479548, 0.0, 0.0, 0.0]","[4, 1, 2, 0, 0, 0]","[895.003157159333, 277.9961214515266, 2568.9539043455256, 0, 0, 0]","[3133.996842840667, 7824.003878548473, 13542.046095654474, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2116, 862, 3919, 0, 0, 0]","[(367.2624666666667, 0.6494666666666666, 0.004866666666666667), (55.574, 0.0027333333333333333, 0.021466666666666665), (492.1312, 0.2677333333333333, 0.009800000000000001), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3927.7375333333334, 1859.3505333333333, 999.9951333333333), (17124.426, 1799.9972666666667, 1524.9785333333334), (33867.8688, 1882.4322666666667, 1333.7402), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(9, 0.0, 0.00040555555555555554), (1, 0.00075, 0.0005888888888888889), (5, 0.0, 0.010711111111111112), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4017, 67.1, 10.109594444444443), (16104, 51.89925000000001, 6.18941111111111), (32207, 58.2, 11.629288888888889), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
8,"[45.12285927029039, 31.918044927178475, 24.32499534479548, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[1055.8235469272463, 2302.417304091307, 1529.8737087128266, 0, 0, 0]","[2973.1764530727537, 5799.5826959086935, 14581.126291287173, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1818, 2586, 3919, 0, 0, 0]","[(336.76619999999997, 0.6452, 0.0048), (68.94233333333332, 0.0226, 0.03306666666666667), (355.11740000000003, 0.02146666666666667, 0.001066666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3958.2338, 1859.3548, 999.9952), (17111.057666666668, 1799.9774, 1524.9669333333334), (34004.8826, 1882.6785333333335, 1333.7489333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.00039444444444444444), (5, 0.0001, 0.0007333333333333332), (5, 0.0, 0.0012833333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.109605555555556), (16100, 51.8999, 6.189266666666666), (32207, 58.2, 11.638716666666665), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
9,"[45.296599652519234, 45.45791162675882, 13.301471044627894, 0.0, 0.0, 0.0]","[3, 4, 1, 0, 0, 0]","[1793.0705313032204, 1219.6564253889214, 2143.2883599075767, 0, 0, 0]","[2235.9294686967796, 6882.343574611079, 13967.711640092424, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1825, 3683, 2143, 0, 0, 0]","[(161.95966666666664, 0.0007333333333333332, 0.0006), (130.80813333333333, 0.0208, 0.030999999999999996), (369.0984, 0.0174, 0.0011333333333333332), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4133.040333333333, 1859.9992666666667, 999.9994), (17049.191866666668, 1799.9792, 1524.969), (33990.9016, 1882.6826, 1333.7488666666666), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.029016666666666666), (6, 0.003933333333333334, 0.0035722222222222214), (2, 0.0, 0.00023888888888888888), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.080983333333332), (16099, 51.89606666666667, 6.186427777777777), (32210, 58.2, 11.63976111111111), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
10,"[66.69148672127079, 36.65761540360405, 48.345850661039044, 0.0, 0.0, 0.0]","[4, 2, 3, 0, 0, 0]","[707.5459687449122, 0, 2991.9316081732886, 0, 0, 0]","[3321.454031255088, 8102, 13119.068391826711, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2687, 2970, 7789, 0, 0, 0]","[(128.4048666666667, 0.0007333333333333332, 0.0002666666666666667), (69.904, 0.0005333333333333334, 0.0002666666666666667), (1694.4979333333335, 0.020666666666666667, 0.004066666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4166.595133333333, 1859.9992666666667, 999.9997333333333), (17110.096, 1799.9994666666666, 1524.9997333333333), (32665.502066666668, 1882.6793333333335, 1333.7459333333334), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(8, 0.0, 0.0018555555555555556), (2, 0.0039, 0.002866666666666667), (6, 0.04596666666666667, 0.01647222222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.108144444444443), (16103, 51.896100000000004, 6.187133333333333), (32206, 58.15403333333334, 11.623527777777777), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[1, 1, 1, 0, 0, 0]"
