interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable,numfailures
1,"[12.931248448746588, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[501.5636322632847, 0, 0, 0, 0, 0]","[3527.4363677367155, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[521, 0, 0, 0, 0, 0]","[(3.1454, 0.00013333333333333334, 0.00013333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4291.8546, 1859.9998666666668, 999.9998666666667), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(2, 0.0, 1.1111111111111112e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4024, 67.1, 10.10998888888889), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
2,"[28.096301811863988, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[605.6585649572476, 0, 0, 0, 0, 0]","[3423.3414350427524, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1132, 0, 0, 0, 0, 0]","[(178.9562, 0.0002666666666666667, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4116.0438, 1859.9997333333333, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.0, 0.006388888888888889), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.10361111111111), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
3,"[43.6584760486473, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, 0, 0, 0, 0, 0]","[807.846802425385, 0, 0, 0, 0, 0]","[3221.1531975746148, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1759, 0, 0, 0, 0, 0]","[(365.6021333333333, 0.0002666666666666667, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3929.3978666666667, 1859.9997333333333, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.04758888888888889), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.06241111111111), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
4,"[49.6897493174485, 13.033818810170327, 0.0, 0.0, 0.0, 0.0]","[3, 1, 0, 0, 0, 0]","[1105.4503820410641, 835.6545807750889, 0, 0, 0, 0]","[2923.549617958936, 7266.345419224911, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2002, 1056, 0, 0, 0, 0]","[(416.6332, 0.005, 6.666666666666668e-05), (81.0898, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3878.3668, 1859.995, 999.9999333333334), (17098.9102, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.0, 0.020444444444444442), (2, 0.0, 0.0002611111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.089555555555554), (16103, 51.900000000000006, 6.189738888888888), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
5,"[54.35591958302308, 32.43643544803752, 0.0, 0.0, 0.0, 0.0]","[3, 2, 0, 0, 0, 0]","[1157.120963703072, 1521.9636309878945, 0, 0, 0, 0]","[2871.879036296928, 6580.036369012106, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2190, 2628, 0, 0, 0, 0]","[(221.46679999999998, 0.0051333333333333335, 0.0003333333333333333), (517.2968666666667, 0.002333333333333333, 0.0036), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4073.5332, 1859.9948666666667, 999.9996666666667), (16662.703133333333, 1799.9976666666666, 1524.9964), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 1.666666666666667e-05, 0.00185), (3, 0.011300000000000001, 0.0014666666666666665), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.09998333333333, 10.10815), (16102, 51.88870000000001, 6.188533333333333), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
6,"[50.28543062794738, 38.26215749197729, 15.722177394326858, 0.0, 0.0, 0.0]","[3, 2, 1, 0, 0, 0]","[1788.5790336691316, 2527.4842973195305, 1061.4250322148832, 0, 0, 0]","[2240.4209663308684, 5574.51570268047, 15049.574967785116, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2026, 3100, 2533, 0, 0, 0]","[(141.94993333333332, 0.033466666666666665, 0.0312), (1399.4986666666668, 0.0019333333333333333, 0.0011333333333333334), (6.291, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4153.050066666667, 1859.9665333333332, 999.9688), (15780.501333333334, 1799.9980666666668, 1524.9988666666666), (34353.709, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0004166666666666667, 0.0019722222222222224), (3, 0.015133333333333334, 0.0010444444444444444), (3, 0.0, 0.00029444444444444445), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.09958333333333, 10.108027777777778), (16102, 51.884866666666674, 6.188955555555555), (32209, 58.2, 11.639705555555555), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
7,"[62.2735170017374, 38.26215749197729, 15.722177394326858, 0.0, 0.0, 0.0]","[4, 2, 1, 0, 0, 0]","[1740.7667697708857, 1810.7899359732032, 0, 0, 0, 0]","[2288.2332302291143, 6291.210064026796, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2509, 3100, 2533, 0, 0, 0]","[(205.65073333333333, 0.089, 0.08353333333333335), (1188.3847333333333, 0.0024, 0.0038), (8.388, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4089.3492666666666, 1859.911, 999.9164666666667), (15991.615266666668, 1799.9976, 1524.9962), (34351.612, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.0025833333333333333), (3, 0.01145, 0.0011111111111111113), (3, 0.0, 0.00014444444444444444), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.107416666666666), (16102, 51.88855, 6.188888888888888), (32209, 58.2, 11.639855555555554), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
8,"[59.49367088607595, 50.3455936805727, 0.0, 0.0, 0.0, 0.0]","[4, 3, 0, 0, 0, 0]","[1220.0161338053472, 925.3237311832575, 0, 0, 0, 0]","[2808.983866194653, 7176.676268816743, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2397, 4079, 0, 0, 0, 0]","[(151.21166666666667, 6.140133333333334, 6.116133333333335), (1467.6554666666666, 0.0017333333333333335, 0.0011333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4143.788333333333, 1853.8598666666667, 993.8838666666667), (15712.344533333333, 1799.9982666666667, 1524.9988666666666), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0004166666666666667, 0.0015166666666666666), (5, 0.015350000000000003, 0.001388888888888889), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.09958333333333, 10.108483333333332), (16100, 51.88465000000001, 6.18861111111111), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
9,"[45.19731943410276, 41.86620587509257, 26.05673142573397, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[1663.9502355393777, 2446.283268377095, 2707.2483616109394, 0, 0, 0]","[2365.049764460622, 5655.716731622905, 13403.751638389062, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1821, 3392, 4198, 0, 0, 0]","[(93.32220000000001, 0.005866666666666668, 0.0002666666666666667), (63.306533333333334, 0.0, 0.00013333333333333337), (33.5544, 0.0092, 0.00020000000000000004), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4201.6778, 1859.9941333333334, 999.9997333333333), (17116.693466666668, 1800.0, 1524.9998666666668), (34326.4456, 1882.6908, 1333.7498), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.0017277777777777777), (5, 0.003833333333333334, 0.0033888888888888883), (4, 0.0, 0.0020055555555555556), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.108272222222222), (16100, 51.89616666666667, 6.186611111111111), (32208, 58.2, 11.637994444444443), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
10,"[66.64184661206255, 54.91236731671192, 36.47197566879772, 0.0, 0.0, 0.0]","[4, 3, 2, 0, 0, 0]","[433.1775814580644, 0, 2612.6727953723575, 0, 0, 0]","[3595.822418541936, 8102, 13498.327204627643, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2685, 4449, 5876, 0, 0, 0]","[(87.6422, 0.007733333333333333, 0.0020666666666666667), (72.78726666666667, 0.0, 0.00013333333333333337), (41.943, 0.008933333333333335, 0.00013333333333333337), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4207.3578, 1859.9922666666666, 999.9979333333333), (17107.212733333334, 1800.0, 1524.9998666666668), (34318.057, 1882.6910666666668, 1333.7498666666668), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.00165), (5, 0.0039, 0.0030833333333333338), (4, 0.0, 0.0018944444444444445), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.10835), (16100, 51.896100000000004, 6.186916666666666), (32208, 58.2, 11.638105555555555), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[1, 1, 1, 0, 0, 0]"
