interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable,numfailures
11,"[47.43112434847357, 21.908170822019255, 69.93979268822544, 0.0, 0.0, 0.0]","[3, 1, 5, 0, 0, 0]","[248.71930150793688, 717.3496681211327, 7543.41121297204, 0, 0, 0]","[3780.280698492063, 7384.650331878867, 8567.58878702796, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1911, 1775, 11268, 0, 0, 0]","[(236.27859999999998, 0.009666666666666667, 6.666666666666668e-05), (9.785933333333332, 0.0, 0.0), (2513.0860666666667, 0.024333333333333332, 0.0034666666666666665), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4058.7214, 1859.9903333333334, 999.9999333333334), (17170.214066666667, 1800.0, 1525.0), (31846.913933333333, 1882.6756666666668, 1333.7465333333334), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.021194444444444443), (3, 0.0, 0.0007611111111111111), (11, 0.05115, 0.03845), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.088805555555554), (16102, 51.900000000000006, 6.189238888888888), (32201, 58.14885, 11.60155), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[1, 1, 1, 0, 0, 0]"
12,"[46.9843633655994, 54.73957047642557, 71.41083731611943, 0.0, 0.0, 0.0]","[2, 3, 4, 0, 0, 0]","[829.0315817395236, 2035.5926127877187, 1700.3789519328436, 0, 0, 0]","[3199.9684182604765, 6066.407387212281, 14410.621048067156, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1893, 4435, 11505, 0, 0, 0]","[(109.0518, 0.009266666666666666, 6.666666666666668e-05), (119.18666666666667, 0.0046, 6.666666666666668e-05), (1294.6407333333336, 0.005266666666666667, 0.0015333333333333332), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4185.9482, 1859.9907333333333, 999.9999333333334), (17060.81333333333, 1799.9954, 1524.9999333333333), (33065.35926666667, 1882.6947333333335, 1333.7484666666667), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.00215), (6, 0.0, 0.0024555555555555554), (10, 0.06125, 0.026927777777777776), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.10785), (16099, 51.900000000000006, 6.187544444444444), (32202, 58.13875, 11.613072222222222), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[2, 2, 2, 0, 0, 0]"
13,"[63.73790022338049, 54.73957047642557, 33.20712556638322, 0.0, 0.0, 0.0]","[3, 3, 1, 0, 0, 0]","[986.625506876886, 1409.8869463340948, 0, 0, 0, 0]","[3042.374493123114, 6692.113053665906, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2568, 4435, 5350, 0, 0, 0]","[(101.01253333333332, 0.012133333333333333, 0.0004666666666666667), (67.8068, 0.0046, 0.0), (15.37853333333333, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4193.9874666666665, 1859.9878666666666, 999.9995333333334), (17112.1932, 1799.9954, 1525.0), (34344.621466666664, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(8, 1.666666666666667e-05, 0.0022944444444444444), (6, 0.0, 0.002322222222222222), (2, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.09998333333333, 10.107705555555555), (16099, 51.900000000000006, 6.187677777777777), (32210, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[2, 2, 2, 0, 0, 0]"
14,"[86.74609084139985, 68.52628980498642, 47.241015455279, 0.0, 0.0, 0.0]","[3, 3, 1, 0, 0, 0]","[1150.397525818256, 1035.9607076495156, 2086.917422091666, 0, 0, 0]","[2878.6024741817437, 7066.039292350484, 14024.082577908333, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[3495, 5552, 7611, 0, 0, 0]","[(94.7208, 0.008933333333333333, 0.00020000000000000004), (1471.5010000000002, 0.14733333333333334, 0.5943999999999999), (968.1848666666667, 0.0, 0.0008666666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4200.2792, 1859.9910666666667, 999.9998), (15708.499, 1799.8526666666667, 1524.4056), (33391.81513333333, 1882.7, 1333.7491333333332), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(8, 0.0, 0.0022), (6, 0.005116666666666666, 0.18861111111111112), (2, 0.0, 0.00011666666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.1078), (16099, 51.89488333333334, 6.001388888888888), (32210, 58.2, 11.639883333333332), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[3, 3, 3, 0, 0, 0]"
15,"[91.51154132539091, 61.29350777585781, 77.57432809881448, 0.0, 0.0, 0.0]","[3, 2, 3, 0, 0, 0]","[478.11857075076193, 1076.7326721057477, 5762.713910826139, 0, 0, 0]","[3550.881429249238, 7025.267327894252, 10348.28608917386, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[3687, 4966, 12498, 0, 0, 0]","[(161.13066666666666, 0.009266666666666666, 0.0004000000000000001), (2536.1553333333336, 0.1964, 0.7412666666666667), (4607.441333333334, 0.6174000000000001, 0.046066666666666665), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4133.869333333333, 1859.9907333333333, 999.9996), (14643.844666666666, 1799.8036, 1524.2587333333333), (29752.558666666664, 1882.0826, 1333.7039333333332), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.05158333333333333, 0.020455555555555553), (4, 0.0006, 0.11317777777777778), (8, 3.647783333333333, 0.7044833333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.04841666666665, 10.089544444444444), (16101, 51.89940000000001, 6.076822222222222), (32204, 54.552216666666666, 10.935516666666665), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[3, 3, 3, 0, 0, 0]"
16,"[88.58277488210474, 88.10170328313997, 100.0, 0.0, 0.0, 0.0]","[2, 3, 4, 0, 0, 0]","[927.916457652347, 1889.7332505421343, 7693.109380863767, 0, 0, 0]","[3101.083542347653, 6212.266749457865, 8417.890619136233, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[3569, 7138, 16111, 0, 0, 0]","[(47.535399999999996, 0.009266666666666666, 0.00013333333333333334), (1436.8970666666667, 0.9978, 0.008), (4514.9914, 1.4127999999999998, 0.07033333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4247.4646, 1859.9907333333333, 999.9998666666667), (15743.102933333334, 1799.0022, 1524.992), (29845.0086, 1881.2872, 1333.6796666666667), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.0025722222222222223), (6, 1.666666666666667e-05, 0.0011222222222222224), (11, 3.603766666666667, 0.6780388888888887), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.107427777777778), (16099, 51.89998333333334, 6.188877777777777), (32201, 54.59623333333334, 10.96196111111111), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[4, 4, 4, 0, 0, 0]"
17,"[83.39538346984364, 76.01826709454456, 100.0, 15.884834946636882, 0.0, 17.323567748743095]","[2, 2, 4, 1, 0, 1]","[1038.9682664647482, 0, 4006.5453421286875, 640.1184615181913, 0, 0]","[2990.031733535252, 8102, 12104.454657871313, 3388.8815384818085, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[3360, 6159, 16111, 640, 0, 2791]","[(50.8992, 0.004666666666666667, 0.0), (1282.057933333333, 0.7731333333333333, 0.006533333333333333), (1749.9842666666668, 0.09353333333333332, 0.0048), (67.1088, 0.004533333333333333, 6.666666666666668e-05), (0, 0, 0), (3372.2202, 0.6171333333333333, 0.0514)]","[(4244.1008, 1859.9953333333333, 1000.0), (15897.942066666667, 1799.2268666666666, 1524.9934666666666), (32610.015733333334, 1882.6064666666666, 1333.7452), (4227.8912, 1859.9954666666667, 999.9999333333334), (17180, 1800.0, 1525.0), (30987.7798, 1882.0828666666666, 1333.6986)]","[(2, 0.0, 0.0010666666666666665), (4, 0.04548333333333333, 0.01672777777777778), (11, 0.7182166666666667, 0.012394444444444444), (3, 0.0, 0.001027777777777778), (0, 0, 0), (3, 2.056766666666667, 0.670838888888889)]","[(4024, 67.1, 10.108933333333333), (16101, 51.85451666666667, 6.173272222222222), (32201, 57.48178333333334, 11.627605555555554), (4023, 67.1, 10.108972222222222), (16105, 51.900000000000006, 6.1899999999999995), (32209, 56.143233333333335, 10.96916111111111)]","[4, 4, 4, 0, 0, 0]"
18,"[92.40506329113924, 62.749938286842756, 100.0, 34.84735666418466, 0.0, 0.0]","[2, 0, 4, 2, 0, 0]","[1116.0287759884268, 0, 3478.236375965438, 484.6152228317239, 0, 0]","[2912.971224011573, 8102, 12632.763624034562, 3544.3847771682763, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[3723, 5084, 16111, 1404, 0, 0]","[(18.654733333333333, 0.0, 0.0), (0, 0, 0), (489.7715333333333, 0.019066666666666662, 0.012933333333333335), (92.27459999999999, 0.0092, 6.666666666666668e-05), (0, 0, 0), (0, 0, 0)]","[(4276.345266666666, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (33870.22846666667, 1882.6809333333333, 1333.7370666666666), (4202.7254, 1859.9908, 999.9999333333334), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.0, 0.00013888888888888892), (0, 0, 0), (11, 0.0, 0.01683888888888889), (4, 0.0, 0.0025277777777777777), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.10986111111111), (16105, 51.900000000000006, 6.1899999999999995), (32201, 58.2, 11.62316111111111), (4022, 67.1, 10.107472222222222), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[5, 5, 5, 0, 0, 0]"
19,"[92.97592454703401, 77.52406813132559, 86.59301098628266, 33.10995284189625, 0.0, 10.992489603376574]","[2, 1, 2, 2, 0, 1]","[716.0861910784583, 1193.8774572874102, 0, 630.6083617488752, 0, 1771.6346260561663]","[3312.9138089215417, 6908.12254271259, 16111, 3398.3916382511247, 8102, 14339.365373943834]","[4029, 8102, 16111, 4029, 8102, 16111]","[3746, 6281, 13951, 1334, 0, 1771]","[(349.17459999999994, 0.0062, 0.017266666666666666), (5.2421999999999995, 0.0, 0.0), (201.32600000000002, 0.0014, 0.002), (37.748200000000004, 0.0046, 6.666666666666668e-05), (0, 0, 0), (427.8186, 0.011466666666666667, 0.006066666666666666)]","[(3945.8254, 1859.9938, 999.9827333333334), (17174.7578, 1800.0, 1525.0), (34158.674, 1882.6986, 1333.748), (4257.2518, 1859.9954, 999.9999333333334), (17180, 1800.0, 1525.0), (33932.1814, 1882.6885333333335, 1333.7439333333334)]","[(2, 0.0, 0.0033666666666666667), (2, 0.0, 0.005655555555555555), (5, 1.666666666666667e-05, 0.000872222222222222), (5, 0.0, 0.0011722222222222223), (0, 0, 0), (3, 1.666666666666667e-05, 0.017866666666666666)]","[(4024, 67.1, 10.106633333333333), (16103, 51.900000000000006, 6.184344444444444), (32207, 58.199983333333336, 11.639127777777777), (4021, 67.1, 10.108827777777778), (16105, 51.900000000000006, 6.1899999999999995), (32209, 58.199983333333336, 11.622133333333332)]","[5, 5, 5, 0, 0, 0]"
20,"[14.643832216430877, 38.941002221673656, 0.0, 35.0210970464135, 0.0, 10.992489603376574]","[1, 3, 0, 2, 0, 1]","[526.216990066169, 2893.6753015083605, 0, 715.2526857377704, 0, 0]","[3502.7830099338307, 5208.3246984916395, 16111, 3313.7473142622293, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[590, 3155, 0, 1411, 0, 1771]","[(0.0, 0.0, 0.0), (17.7812, 0.006266666666666667, 0.0016666666666666668), (0, 0, 0), (353.7187333333333, 0.005866666666666666, 0.0174), (0, 0, 0), (419.43, 0.0086, 0.004933333333333334)]","[(4295.0, 1860.0, 1000.0), (17162.2188, 1799.9937333333332, 1524.9983333333332), (34360, 1882.7, 1333.75), (3941.281266666667, 1859.9941333333334, 999.9826), (17180, 1800.0, 1525.0), (33940.57, 1882.6914000000002, 1333.7450666666666)]","[(3, 0.0, 1.6666666666666667e-05), (6, 0.0, 0.001805555555555556), (0, 0, 0), (3, 0.0, 0.0018166666666666665), (0, 0, 0), (3, 0.0, 0.021744444444444445)]","[(4023, 67.1, 10.109983333333332), (16099, 51.900000000000006, 6.188194444444444), (32212, 58.2, 11.639999999999999), (4023, 67.1, 10.108183333333333), (16105, 51.900000000000006, 6.1899999999999995), (32209, 58.2, 11.618255555555555)]","[0, 0, 0, 0, 0, 0]"
