interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable,numfailures
1,"[11.36758500868702, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[458.24219408979775, 0, 0, 0, 0, 0]","[3570.7578059102025, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[458, 0, 0, 0, 0, 0]","[(8.2134, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4286.7866, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(1, 0.0, 0.000988888888888889), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4025, 67.1, 10.10901111111111), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
2,"[22.065028543062795, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[786.711634070005, 0, 0, 0, 0, 0]","[3242.288365929995, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[889, 0, 0, 0, 0, 0]","[(38.446866666666665, 6.666666666666668e-05, 0.0002), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4256.553133333333, 1859.9999333333333, 999.9998), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(2, 0.00065, 0.000811111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4024, 67.09935, 10.109188888888887), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
3,"[32.06751054852321, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, 0, 0, 0, 0, 0]","[641.3613033419053, 0, 0, 0, 0, 0]","[3387.638696658095, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1292, 0, 0, 0, 0, 0]","[(120.75973333333332, 0.011133333333333335, 0.01173333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4174.240266666667, 1859.9888666666666, 999.9882666666666), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.0, 0.0017388888888888888), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.10826111111111), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
4,"[32.19161082154381, 13.095531967415452, 0.0, 0.0, 0.0, 0.0]","[3, 1, 0, 0, 0, 0]","[463.43512885869814, 553.644077674176, 0, 0, 0, 0]","[3565.564871141302, 7548.355922325824, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1297, 1061, 0, 0, 0, 0]","[(188.39266666666666, 0.010733333333333333, 0.0132), (0.0, 0.0, 0.001), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4106.607333333333, 1859.9892666666667, 999.9868), (17180.0, 1800.0, 1524.999), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.0010666666666666667, 0.00175), (1, 0.0, 7.777777777777777e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.09893333333332, 10.10825), (16104, 51.900000000000006, 6.189922222222222), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
5,"[28.716803176966987, 41.60701061466305, 0.0, 0.0, 0.0, 0.0]","[2, 3, 0, 0, 0, 0]","[1066.0961094042345, 2895.1841762180884, 0, 0, 0, 0]","[2962.9038905957655, 5206.815823781912, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1157, 3371, 0, 0, 0, 0]","[(126.52693333333333, 0.0, 0.0), (19.659799999999997, 0.0002, 0.0015999999999999999), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4168.473066666666, 1860.0, 1000.0), (17160.3402, 1799.9998, 1524.9984), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.0, 0.00095), (4, 0.0, 0.0010666666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.10905), (16101, 51.900000000000006, 6.188933333333333), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
6,"[38.79374534623976, 41.60701061466305, 0.0, 0.0, 0.0, 0.0]","[3, 3, 0, 0, 0, 0]","[630.6083617488752, 2227.5438040002264, 0, 0, 0, 0]","[3398.3916382511247, 5874.456195999774, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1563, 3371, 0, 0, 0, 0]","[(119.53639999999999, 0.00046666666666666666, 0.0027333333333333333), (99.56986666666667, 0.0, 0.0014), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4175.4636, 1859.9995333333334, 999.9972666666666), (17080.430133333335, 1800.0, 1524.9986), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0004166666666666667, 0.0009555555555555555), (4, 0.0, 0.0007277777777777778), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.09958333333333, 10.109044444444445), (16101, 51.900000000000006, 6.189272222222222), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
7,"[27.724000992802182, 56.50456677363614, 16.42976848116194, 0.0, 0.0, 0.0]","[2, 4, 1, 0, 0, 0]","[995.2561141768119, 2023.9040395446882, 2647.7836930219532, 0, 0, 0]","[3033.743885823188, 6078.095960455312, 13463.216306978047, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1117, 4578, 2647, 0, 0, 0]","[(16.776333333333334, 0.00013333333333333334, 0.00013333333333333334), (85.45686666666666, 0.0015999999999999999, 0.006066666666666666), (7.1647333333333325, 0.0514, 0.054666666666666655), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4278.223666666667, 1859.9998666666668, 999.9998666666667), (17094.543133333333, 1799.9984, 1524.9939333333334), (34352.83526666667, 1882.6486, 1333.6953333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.0, 0.00021666666666666666), (8, 0.0007666666666666667, 0.0010222222222222221), (2, 0.0, 0.0004388888888888889), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.109783333333333), (16097, 51.89923333333334, 6.188977777777778), (32210, 58.2, 11.63956111111111), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
8,"[40.87862993298585, 27.993088126388542, 44.174787412326985, 0.0, 0.0, 0.0]","[3, 2, 3, 0, 0, 0]","[678.7563853359644, 1319.7662997972957, 5215.286233779272, 0, 0, 0]","[3350.2436146640357, 6782.233700202704, 10895.713766220728, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1647, 2268, 7117, 0, 0, 0]","[(34.95133333333333, 0.00013333333333333334, 0.00013333333333333334), (53.52019999999999, 0.0006000000000000001, 0.0029333333333333334), (145.57586666666666, 0.06706666666666666, 0.05806666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4260.048666666667, 1859.9998666666668, 999.9998666666667), (17126.4798, 1799.9994, 1524.9970666666666), (34214.424133333334, 1882.6329333333333, 1333.6919333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.00021666666666666666), (5, 3.3333333333333335e-05, 0.00041666666666666664), (6, 0.11005, 0.05148888888888889), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.109783333333333), (16100, 51.89996666666667, 6.189583333333333), (32206, 58.08995, 11.58851111111111), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
9,"[40.40704889550757, 28.980498642310543, 55.82521258767302, 0.0, 0.0, 0.0]","[3, 2, 4, 0, 0, 0]","[630.8641912186804, 1001.7714058927403, 6051.658099126937, 0, 0, 0]","[3398.1358087813196, 7100.22859410726, 10059.341900873063, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1628, 2348, 8994, 0, 0, 0]","[(58.76299999999999, 0.0009999999999999998, 0.00013333333333333337), (170.91720000000004, 0.0004666666666666667, 0.0031333333333333335), (149.24599999999998, 0.07613333333333333, 0.060999999999999985), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4236.237, 1859.999, 999.9998666666667), (17009.0828, 1799.9995333333334, 1524.9968666666666), (34210.754, 1882.6238666666668, 1333.689), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0007055555555555557), (5, 0.06351666666666665, 0.01586111111111111), (8, 0.00315, 0.003516666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.109294444444444), (16100, 51.83648333333334, 6.174138888888888), (32204, 58.196850000000005, 11.636483333333333), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
10,"[40.38222884090345, 47.88941002221674, 72.0998075848799, 0.0, 0.0, 0.0]","[2, 3, 4, 0, 0, 0]","[1096.8226672676808, 2496.572718193096, 3970.4040566986882, 0, 0, 0]","[2932.177332732319, 5605.427281806904, 12140.595943301312, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1627, 3880, 11616, 0, 0, 0]","[(35.6514, 0.001, 0.0), (532.6758666666666, 7.664466666666666, 2.4938), (276.2986, 0.08159999999999999, 0.0626), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4259.3486, 1859.999, 1000.0), (16647.32413333333, 1792.3355333333334, 1522.5062), (34083.7014, 1882.6184, 1333.6874), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.0006277777777777778), (6, 0.0, 0.017666666666666667), (6, 0.0056500000000000005, 0.032094444444444446), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.109372222222222), (16099, 51.900000000000006, 6.172333333333333), (32206, 58.19435, 11.607905555555554), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[1, 1, 1, 0, 0, 0]"
