interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ram_s,ram_r,ram_w,ramavailable_s,ramavailable_r,ramavailable_w,disk,diskavailable,cpufailures,ramfailures
1,"[16.182675601886324, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[356.21520181969316, 0, 0, 0, 0, 0]","[3672.784798180307, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[652, 0, 0, 0, 0, 0]","[0.1627287543655413, 0.0, 0.0, 0.0, 0.0, 0.0]","[6.989199999999999, 0, 0, 0, 0, 0]","[0.0, 0, 0, 0, 0, 0]","[0.0, 0, 0, 0, 0, 0]","[4288.0108, 17180, 34360, 4295, 17180, 34360]","[372.0, 360.0, 376.54, 372.0, 360.0, 376.54]","[200.0, 305.0, 266.75, 200.0, 305.0, 266.75]","[(3, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
2,"[34.32613551749814, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[961.5181150883013, 0, 0, 0, 0, 0]","[3067.4818849116987, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1383, 0, 0, 0, 0, 0]","[2.6834582848273185, 0.0, 0.0, 0.0, 0.0, 0.0]","[115.25453333333334, 0, 0, 0, 0, 0]","[0.0036, 0, 0, 0, 0, 0]","[0.0004, 0, 0, 0, 0, 0]","[4179.745466666666, 17180, 34360, 4295, 17180, 34360]","[371.9964, 360.0, 376.54, 372.0, 360.0, 376.54]","[199.9996, 305.0, 266.75, 200.0, 305.0, 266.75]","[(6, 0.0, 0.00043333333333333337), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.109566666666666), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
3,"[50.5584512285927, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, 0, 0, 0, 0, 0]","[708.6017624472393, 0, 0, 0, 0, 0]","[3320.3982375527607, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2037, 0, 0, 0, 0, 0]","[2.9886255335661622, 0.0, 0.0, 0.0, 0.0, 0.0]","[128.36146666666667, 0, 0, 0, 0, 0]","[0.0036, 0, 0, 0, 0, 0]","[0.0004, 0, 0, 0, 0, 0]","[4166.638533333334, 17180, 34360, 4295, 17180, 34360]","[371.9964, 360.0, 376.54, 372.0, 360.0, 376.54]","[199.9996, 305.0, 266.75, 200.0, 305.0, 266.75]","[(7, 0.042083333333333334, 0.015144444444444446), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.05791666666666, 10.094855555555554), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
4,"[48.99478778853313, 16.16884719822266, 0.0, 0.0, 0.0, 0.0]","[3, 1, 0, 0, 0, 0]","[1009.429519209592, 673.2621285693309, 0, 0, 0, 0]","[3019.570480790408, 7428.737871430669, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1974, 1310, 0, 0, 0, 0]","[5.859306169965076, 0.0, 0.0, 0.0, 0.0, 0.0]","[251.6572, 0.0, 0, 0, 0, 0]","[0.013066666666666667, 0.2296, 0, 0, 0, 0]","[0.0006666666666666668, 0.21546666666666664, 0, 0, 0, 0]","[4043.3428, 17180.0, 34360, 4295, 17180, 34360]","[371.98693333333335, 359.7704, 376.54, 372.0, 360.0, 376.54]","[199.99933333333334, 304.78453333333334, 266.75, 200.0, 305.0, 266.75]","[(6, 0.0, 0.0015833333333333333), (1, 0.0, 0.002944444444444445), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.108416666666667), (16104, 51.900000000000006, 6.187055555555555), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
5,"[44.10523703152147, 28.313996544063198, 0.0, 0.0, 0.0, 0.0]","[3, 2, 0, 0, 0, 0]","[292.65991900139494, 1279.9846781115757, 0, 0, 0, 0]","[3736.340080998605, 6822.015321888424, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1777, 2294, 0, 0, 0, 0]","[6.380122623205277, 0.8788987194412108, 0.0, 0.0, 0.0, 0.0]","[274.02626666666663, 150.9948, 0, 0, 0, 0]","[0.1784, 0.031733333333333336, 0, 0, 0, 0]","[0.009466666666666667, 0.027466666666666667, 0, 0, 0, 0]","[4020.9737333333333, 17029.0052, 34360, 4295, 17180, 34360]","[371.8216, 359.9682666666667, 376.54, 372.0, 360.0, 376.54]","[199.99053333333333, 304.97253333333333, 266.75, 200.0, 305.0, 266.75]","[(5, 0.0, 0.08217222222222222), (4, 1.666666666666667e-05, 0.003633333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.027827777777777), (16101, 51.89998333333334, 6.186366666666666), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
6,"[26.160337552742618, 51.62922735127129, 0.0, 0.0, 0.0, 0.0]","[2, 4, 0, 0, 0, 0]","[421.13663538143993, 2819.029577104331, 0, 0, 0, 0]","[3607.86336461856, 5282.970422895669, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1054, 4183, 0, 0, 0, 0]","[2.766891734575087, 1.5828187815289096, 0.0, 0.0, 0.0, 0.0]","[118.838, 271.9282666666667, 0, 0, 0, 0]","[0.16906666666666667, 0.029199999999999997, 0, 0, 0, 0]","[0.008400000000000001, 0.024933333333333328, 0, 0, 0, 0]","[4176.162, 16908.071733333334, 34360, 4295, 17180, 34360]","[371.83093333333335, 359.9708, 376.54, 372.0, 360.0, 376.54]","[199.9916, 304.9750666666667, 266.75, 200.0, 305.0, 266.75]","[(5, 0.0, 0.07537222222222222), (8, 1.666666666666667e-05, 0.0036055555555555554), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.034627777777777), (16097, 51.89998333333334, 6.186394444444444), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
7,"[24.298833457433606, 50.91335472722784, 10.812488361988704, 0.0, 0.0, 0.0]","[2, 4, 1, 0, 0, 0]","[279.90489652563247, 1422.9576997533982, 126.12688022292923, 0, 0, 0]","[3749.0951034743675, 6679.042300246601, 15984.87311977707, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[979, 4125, 1742, 0, 0, 0]","[2.734351571594878, 2.78825378346915, 0.46386263096623986, 0.0, 0.0, 0.0]","[117.4404, 479.02199999999993, 159.38320000000002, 0, 0, 0]","[0.009466666666666667, 0.022133333333333335, 0.0036, 0, 0, 0]","[0.0002666666666666667, 0.0312, 0.004533333333333333, 0, 0, 0]","[4177.5596, 16700.978, 34200.6168, 4295, 17180, 34360]","[371.99053333333336, 359.97786666666667, 376.5364, 372.0, 360.0, 376.54]","[199.99973333333332, 304.9688, 266.7454666666667, 200.0, 305.0, 266.75]","[(5, 0.0, 0.0010944444444444443), (10, 0.0, 0.0017111111111111112), (2, 0.0, 0.0009333333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.108905555555555), (16095, 51.900000000000006, 6.188288888888889), (32210, 58.2, 11.639066666666665), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
8,"[26.160337552742618, 40.0024685262898, 44.29271926013283, 0.0, 0.0, 0.0]","[2, 3, 3, 0, 0, 0]","[887.6859639514914, 1001.7714058927403, 4129.87003351081, 0, 0, 0]","[3141.3140360485086, 7100.22859410726, 11981.12996648919, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1054, 3241, 7136, 0, 0, 0]","[6.2499464493597205, 2.574637951105937, 0.9277252619324796, 0.0, 0.0, 0.0]","[268.4352, 442.32280000000003, 318.7664, 0, 0, 0]","[0.018533333333333332, 0.0041333333333333335, 0.0212, 0, 0, 0]","[0.0004000000000000001, 0.0096, 0.004266666666666667, 0, 0, 0]","[4026.5648, 16737.6772, 34041.2336, 4295, 17180, 34360]","[371.9814666666667, 359.99586666666664, 376.5188, 372.0, 360.0, 376.54]","[199.9996, 304.9904, 266.7457333333333, 200.0, 305.0, 266.75]","[(5, 0.0, 0.0021444444444444445), (8, 0.0, 0.0024666666666666665), (7, 0.0, 0.0028111111111111106), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.107855555555554), (16097, 51.900000000000006, 6.187533333333333), (32205, 58.2, 11.637188888888888), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
9,"[43.88185654008439, 12.466057763515181, 62.74594997206877, 0.0, 0.0, 0.0]","[3, 1, 4, 0, 0, 0]","[513.0313782311925, 1010.1074178279766, 5732.202950595742, 0, 0, 0]","[3515.9686217688077, 7091.892582172023, 10378.797049404258, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1768, 1010, 10109, 0, 0, 0]","[5.929795443206387, 0.9277237097400076, 6.4544124951493975, 0.0, 0.0, 0.0]","[254.6847142857143, 159.3829333333333, 2217.736133333333, 0, 0, 0]","[0.018533333333333332, 0.0002666666666666667, 0.12093333333333334, 0, 0, 0]","[0.0002666666666666667, 0.00013333333333333337, 0.11106666666666665, 0, 0, 0]","[4040.315285714286, 17020.617066666666, 32142.263866666668, 4295, 17180, 34360]","[371.9814666666667, 359.9997333333333, 376.4190666666667, 372.0, 360.0, 376.54]","[199.99973333333332, 304.99986666666666, 266.63893333333334, 200.0, 305.0, 266.75]","[(6, 0.0, 0.0021841269841269837), (3, 0.0, 0.0011666666666666668), (8, 0.0, 0.0025722222222222223), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.107815873015872), (16102, 51.900000000000006, 6.188833333333333), (32204, 58.2, 11.637427777777777), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
10,"[25.16753536857781, 38.60775117254999, 46.638942337533365, 0.0, 0.0, 0.0]","[2, 3, 3, 0, 0, 0]","[408.1113784619685, 1552.5954545506506, 2618.4381573543565, 0, 0, 0]","[3620.8886215380317, 6549.40454544935, 13492.561842645644, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1014, 3128, 7514, 0, 0, 0]","[0.309209157935584, 1.4322731858750486, 6.857240977881257, 0.0, 0.0, 0.0]","[13.280533333333333, 246.06453333333334, 2356.148, 0, 0, 0]","[0.0092, 0.010266666666666667, 0.10666666666666666, 0, 0, 0]","[0.0, 0.0009333333333333333, 0.10586666666666668, 0, 0, 0]","[4281.719466666666, 16933.935466666666, 32003.852, 4295, 17180, 34360]","[371.9908, 359.98973333333333, 376.43333333333334, 372.0, 360.0, 376.54]","[200.0, 304.9990666666667, 266.64413333333334, 200.0, 305.0, 266.75]","[(6, 0.0, 0.0010444444444444444), (9, 0.0, 0.002461111111111111), (6, 0.04506666666666667, 0.01739444444444444), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.108955555555555), (16096, 51.900000000000006, 6.187538888888889), (32206, 58.15493333333334, 11.622605555555554), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
