interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ram_s,ram_r,ram_w,ramavailable_s,ramavailable_r,ramavailable_w,disk,diskavailable,cpufailures,ramfailures
1,"[10.573343261355175, 0.0, 0.0, 0.0, 0.0, 0.0]","[4, 0, 0, 0, 0, 0]","[316.55479491013284, 0, 0, 0, 0, 0]","[3712.445205089867, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[426, 0, 0, 0, 0, 0]","[2.5868094683740783, 0.0, 0.0, 0.0, 0.0, 0.0]","[111.10346666666666, 0, 0, 0, 0, 0]","[0.0, 0, 0, 0, 0, 0]","[0.0, 0, 0, 0, 0, 0]","[4183.8965333333335, 17180, 34360, 4295, 17180, 34360]","[372.0, 360.0, 376.54, 372.0, 360.0, 376.54]","[200.0, 305.0, 266.75, 200.0, 305.0, 266.75]","[(8, 0.0, 0.000538888888888889), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.109461111111111), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
2,"[15.611814345991561, 0.0, 0.0, 0.0, 0.0, 0.0]","[6, 0, 0, 0, 0, 0]","[429.86045138003055, 0, 0, 0, 0, 0]","[3599.1395486199694, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[629, 0, 0, 0, 0, 0]","[2.3996010865347297, 0.0, 0.0, 0.0, 0.0, 0.0]","[103.06286666666665, 0, 0, 0, 0, 0]","[0.0, 0, 0, 0, 0, 0]","[0.0, 0, 0, 0, 0, 0]","[4191.937133333333, 17180, 34360, 4295, 17180, 34360]","[372.0, 360.0, 376.54, 372.0, 360.0, 376.54]","[200.0, 305.0, 266.75, 200.0, 305.0, 266.75]","[(11, 0.0, 0.0005111111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4015, 67.1, 10.109488888888889), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
3,"[23.52941176470588, 0.0, 0.0, 0.0, 0.0, 0.0]","[9, 0, 0, 0, 0, 0]","[397.99710130303447, 0, 0, 0, 0, 0]","[3631.0028986969655, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[948, 0, 0, 0, 0, 0]","[4.9467706635622815, 0.0, 0.0, 0.0, 0.0, 0.0]","[212.4638, 0, 0, 0, 0, 0]","[1.157333333333333, 0, 0, 0, 0, 0]","[1.1484, 0, 0, 0, 0, 0]","[4082.5362, 17180, 34360, 4295, 17180, 34360]","[370.8426666666667, 360.0, 376.54, 372.0, 360.0, 376.54]","[198.8516, 305.0, 266.75, 200.0, 305.0, 266.75]","[(16, 0.0, 0.0036888888888888887), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4010, 67.1, 10.106311111111111), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
4,"[21.22114668652271, 16.008392989385335, 0.0, 0.0, 0.0, 0.0]","[7, 5, 0, 0, 0, 0]","[675.0149316078057, 760.723154648437, 0, 0, 0, 0]","[3353.985068392194, 7341.276845351563, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[855, 1297, 0, 0, 0, 0]","[4.3242731858750485, 2.326681800543268, 0.0, 0.0, 0.0, 0.0]","[185.72753333333333, 399.7239333333334, 0, 0, 0, 0]","[0.04426666666666667, 0.0092, 0, 0, 0, 0]","[0.019466666666666667, 0.020399999999999998, 0, 0, 0, 0]","[4109.272466666666, 16780.276066666665, 34360, 4295, 17180, 34360]","[371.95573333333334, 359.9908, 376.54, 372.0, 360.0, 376.54]","[199.98053333333334, 304.9796, 266.75, 200.0, 305.0, 266.75]","[(13, 0.0, 0.005955555555555556), (8, 0.0, 0.004527777777777778), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4013, 67.1, 10.104044444444444), (16097, 51.900000000000006, 6.185472222222222), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
5,"[20.724745594440307, 17.19328560849173, 0.0, 0.0, 0.0, 0.0]","[7, 6, 0, 0, 0, 0]","[720.6543334185619, 750.994768847973, 0, 0, 0, 0]","[3308.3456665814383, 7351.005231152027, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[835, 1393, 0, 0, 0, 0]","[7.3007388436166085, 2.3777978269305398, 0.0, 0.0, 0.0, 0.0]","[313.56673333333333, 408.5056666666667, 0, 0, 0, 0]","[0.038000000000000006, 0.0208, 0, 0, 0, 0]","[0.012666666666666666, 0.022533333333333332, 0, 0, 0, 0]","[3981.433266666667, 16771.494333333332, 34360, 4295, 17180, 34360]","[371.962, 359.9792, 376.54, 372.0, 360.0, 376.54]","[199.98733333333334, 304.97746666666666, 266.75, 200.0, 305.0, 266.75]","[(13, 8.333333333333333e-05, 0.008899999999999998), (11, 0.0, 0.005438888888888889), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4013, 67.09991666666666, 10.101099999999999), (16094, 51.900000000000006, 6.184561111111111), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
6,"[33.15959295110449, 13.53986669958035, 1.6572528086400595, 0.0, 0.0, 0.0]","[10, 5, 1, 0, 0, 0]","[833.1476431325095, 95.22550721597905, 161.99356734770964, 0, 0, 0]","[3195.8523568674905, 8006.774492784021, 15949.00643265229, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1336, 1097, 267, 0, 0, 0]","[12.170255335661622, 2.1387481567714395, 0.7568294528521538, 0.0, 0.0, 0.0]","[522.7124666666666, 367.4369333333333, 260.0466, 0, 0, 0]","[0.04533333333333333, 0.019066666666666666, 0.0026666666666666666, 0, 0, 0]","[0.015733333333333332, 0.020666666666666667, 0.013733333333333332, 0, 0, 0]","[3772.287533333333, 16812.563066666666, 34099.9534, 4295, 17180, 34360]","[371.95466666666664, 359.9809333333333, 376.5373333333334, 372.0, 360.0, 376.54]","[199.98426666666666, 304.97933333333333, 266.73626666666667, 200.0, 305.0, 266.75]","[(19, 0.47065, 0.029594444444444444), (10, 0.0, 0.005211111111111111), (1, 0.0, 0.0005611111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4007, 66.62934999999999, 10.080405555555554), (16095, 51.900000000000006, 6.184788888888888), (32211, 58.2, 11.639438888888888), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
7,"[38.049143708116155, 8.146136756356455, 8.702128980199863, 0.0, 0.0, 0.0]","[10, 4, 5, 0, 0, 0]","[970.1658922249042, 543.0154927775673, 707.904776394738, 0, 0, 0]","[3058.8341077750956, 7558.9845072224325, 15403.095223605262, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1533, 660, 1402, 0, 0, 0]","[9.639341870391927, 0.5777896779200622, 1.431512999611952, 0.0, 0.0, 0.0]","[414.00973333333326, 99.26426666666669, 491.8678666666667, 0, 0, 0]","[0.045733333333333334, 0.031733333333333336, 1.1916000000000002, 0, 0, 0]","[0.0136, 0.009333333333333334, 0.39786666666666665, 0, 0, 0]","[3880.9902666666667, 17080.735733333335, 33868.13213333333, 4295, 17180, 34360]","[371.9542666666667, 359.9682666666667, 375.3484, 372.0, 360.0, 376.54]","[199.9864, 304.99066666666664, 266.3521333333333, 200.0, 305.0, 266.75]","[(20, 0.0, 0.006344444444444444), (7, 0.0, 0.025631349206349203), (13, 0.011550000000000001, 0.43146666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4006, 67.1, 10.103655555555555), (16098, 51.900000000000006, 6.164368650793651), (32199, 58.18845, 11.208533333333332), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
8,"[31.546289401836685, 13.330041964946926, 8.931785736453355, 0.0, 0.0, 0.0]","[9, 5, 5, 0, 0, 0]","[924.0700182033161, 866.262736034483, 1131.4026347565714, 0, 0, 0]","[3104.929981796684, 7235.737263965517, 14979.59736524343, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1271, 1080, 1439, 0, 0, 0]","[8.802145129996118, 0.9358587504850601, 0.8598218859138532, 0.0, 0.0, 0.0]","[378.0521333333333, 160.78053333333332, 295.4348, 0, 0, 0]","[0.035866666666666665, 0.0228, 0.8436, 0, 0, 0]","[0.012933333333333331, 0.008133333333333333, 0.27093333333333336, 0, 0, 0]","[3916.947866666667, 17019.219466666666, 34064.5652, 4295, 17180, 34360]","[371.96413333333334, 359.9772, 375.69640000000004, 372.0, 360.0, 376.54]","[199.98706666666666, 304.9918666666667, 266.47906666666665, 200.0, 305.0, 266.75]","[(17, 0.06446666666666667, 0.02760555555555556), (10, 0.0, 0.025477777777777783), (14, 1.666666666666667e-05, 0.22725), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4009, 67.03553333333333, 10.082394444444445), (16095, 51.900000000000006, 6.164522222222222), (32198, 58.199983333333336, 11.412749999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
9,"[32.266070985356166, 15.391261416934091, 8.931785736453355, 0.0, 0.0, 0.0]","[10, 6, 5, 0, 0, 0]","[377.86404509836433, 1015.0239816611288, 676.1558358727526, 0, 0, 0]","[3651.1359549016356, 7086.976018338872, 15434.844164127247, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1300, 1247, 1439, 0, 0, 0]","[10.315802871556071, 1.3956472642607682, 0.7779324796274738, 0.0, 0.0, 0.0]","[443.0637333333333, 239.7722, 267.2976, 0, 0, 0]","[0.0288, 0.0224, 0.9843999999999998, 0, 0, 0]","[0.016533333333333334, 0.010266666666666667, 0.31906666666666667, 0, 0, 0]","[3851.9362666666666, 16940.2278, 34092.7024, 4295, 17180, 34360]","[371.9712, 359.9776, 375.5556, 372.0, 360.0, 376.54]","[199.98346666666666, 304.98973333333333, 266.4309333333333, 200.0, 305.0, 266.75]","[(21, 0.0012833333333333334, 0.00615), (11, 0.0, 0.0269468253968254), (14, 8.333333333333333e-05, 0.2862388888888889), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4005, 67.09871666666666, 10.10385), (16094, 51.900000000000006, 6.163053174603174), (32198, 58.19991666666667, 11.35376111111111), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
10,"[15.388433854554481, 30.00493705257961, 5.623487058531438, 0.0, 0.0, 0.0]","[5, 12, 3, 0, 0, 0]","[418.59470545441116, 1620.156101489642, 0, 0, 0, 0]","[3610.4052945455887, 6481.8438985103585, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[620, 2431, 906, 0, 0, 0]","[8.109428017074118, 4.21238183934808, 0.6693436166084593, 0.0, 0.0, 0.0]","[348.29993333333334, 723.6872000000001, 229.98646666666664, 0, 0, 0]","[0.006933333333333334, 1.2128, 1.2, 0, 0, 0]","[0.0332, 0.39999999999999997, 0.39080000000000004, 0, 0, 0]","[3946.7000666666668, 16456.3128, 34130.01353333333, 4295, 17180, 34360]","[371.99306666666666, 358.7872, 375.34000000000003, 372.0, 360.0, 376.54]","[199.9668, 304.6, 266.3592, 200.0, 305.0, 266.75]","[(10, 0.0001666666666666667, 0.0035555555555555557), (24, 0.011550000000000001, 0.4610910256410256), (8, 0.00016666666666666666, 0.3734), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4016, 67.09983333333332, 10.106444444444444), (16081, 51.888450000000006, 5.728908974358974), (32204, 58.19983333333334, 11.266599999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
