interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable,numfailures
11,"[43.63365599404319, 12.132806714391508, 49.481720563590095, 0.0, 0.0, 0.0]","[3, 1, 4, 0, 0, 0]","[1413.4963875421963, 559.2500165593077, 3996.9256817403366, 0, 0, 0]","[2615.5036124578037, 7542.749983440693, 12114.074318259663, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1758, 983, 7972, 0, 0, 0]","[(314.572, 0.008799999999999999, 0.008933333333333333), (75.4974, 0.0092, 0.0114), (1988.7982666666667, 1.600333333333333, 0.0332), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3980.428, 1859.9912, 999.9910666666667), (17104.5026, 1799.9908, 1524.9886), (32371.201733333335, 1881.0996666666667, 1333.7168), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.00043333333333333337, 0.002927777777777778), (3, 1.666666666666667e-05, 0.00046666666666666666), (5, 0.11005, 0.05279444444444445), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.09956666666666, 10.107072222222222), (16102, 51.89998333333334, 6.189533333333332), (32207, 58.08995, 11.587205555555554), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
12,"[57.4584264085381, 12.132806714391508, 38.53267953572094, 0.0, 0.0, 0.0]","[4, 1, 3, 0, 0, 0]","[1534.6768200172141, 983.9700804154276, 1657.7193600048747, 0, 0, 0]","[2494.323179982786, 7118.029919584573, 14453.280639995126, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2315, 983, 6208, 0, 0, 0]","[(522.8883999999999, 0.009066666666666667, 0.0068), (109.0518, 0.008866666666666667, 0.011066666666666664), (130.0232, 0.027333333333333338, 0.009666666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3772.1116, 1859.9909333333333, 999.9932), (17070.9482, 1799.9911333333334, 1524.9889333333333), (34229.9768, 1882.6726666666666, 1333.7403333333334), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.031188888888888888), (3, 1.666666666666667e-05, 0.00032777777777777775), (4, 0.00315, 0.002794444444444444), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.078811111111111), (16102, 51.89998333333334, 6.189672222222222), (32208, 58.196850000000005, 11.637205555555555), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
13,"[59.07172995780591, 28.659590224635895, 12.010427658121781, 0.0, 0.0, 0.0]","[4, 2, 1, 0, 0, 0]","[1103.8861205053486, 1334.8952441792542, 0, 0, 0, 0]","[2925.1138794946514, 6767.104755820746, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2380, 2322, 1935, 0, 0, 0]","[(439.7015999999999, 0.02233333333333333, 0.019533333333333333), (159.2082, 0.009466666666666667, 0.015333333333333334), (134.21720000000002, 0.027066666666666666, 0.008733333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3855.2984, 1859.9776666666667, 999.9804666666666), (17020.7918, 1799.9905333333334, 1524.9846666666667), (34225.7828, 1882.6729333333333, 1333.7412666666667), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0005166666666666667, 0.016288888888888887), (5, 0.0007666666666666667, 0.0004777777777777778), (1, 0.0056500000000000005, 0.024716666666666668), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.09948333333332, 10.09371111111111), (16100, 51.89923333333334, 6.189522222222222), (32211, 58.19435, 11.615283333333332), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
14,"[41.27575080665177, 38.15107380893606, 13.853888647507913, 0.0, 0.0, 0.0]","[3, 3, 1, 0, 0, 0]","[1083.0202766863201, 2714.2542050518705, 2232.9787954473054, 0, 0, 0]","[2945.9797233136796, 5387.7457949481295, 13878.021204552695, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1663, 3091, 2232, 0, 0, 0]","[(314.9208, 0.02146666666666667, 0.014533333333333336), (1715.6000666666669, 0.7868, 0.012933333333333335), (1034.5942666666667, 0.0003333333333333333, 0.0007333333333333332), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3980.0792, 1859.9785333333334, 999.9854666666666), (15464.399933333334, 1799.2132, 1524.9870666666666), (33325.40573333333, 1882.6996666666666, 1333.7492666666667), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.008799999999999999), (6, 3.3333333333333335e-05, 0.0005111111111111111), (2, 1.666666666666667e-05, 8.333333333333333e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.101199999999999), (16099, 51.89996666666667, 6.189488888888889), (32210, 58.199983333333336, 11.639916666666666), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
15,"[38.19806403574088, 49.46926684769193, 13.853888647507913, 0.0, 0.0, 0.0]","[3, 4, 1, 0, 0, 0]","[1455.3101036765017, 2930.766632428318, 0, 0, 0, 0]","[2573.689896323498, 5171.233367571682, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1539, 4008, 2232, 0, 0, 0]","[(198.0916666666666, 0.017533333333333335, 0.0102), (1676.8021333333336, 0.09326666666666665, 0.006), (1398.101, 0.0, 0.0006666666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4096.908333333334, 1859.9824666666666, 999.9898), (15503.197866666666, 1799.9067333333332, 1524.994), (32961.899, 1882.7, 1333.7493333333334), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.00011666666666666667, 0.006394444444444445), (8, 0.06351666666666665, 0.016583333333333332), (2, 0.0, 5.555555555555555e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.09988333333332, 10.103605555555555), (16097, 51.83648333333334, 6.173416666666666), (32210, 58.2, 11.639944444444444), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
16,"[50.98039215686274, 49.46926684769193, 0.0, 0.0, 0.0, 0.0]","[4, 4, 0, 0, 0, 0]","[0, 616.5740950097975, 0, 0, 0, 0]","[4029, 7485.425904990203, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2054, 4008, 0, 0, 0, 0]","[(192.5862, 0.022866666666666667, 0.010400000000000001), (1601.8726666666669, 0.0012666666666666666, 0.004533333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4102.4138, 1859.9771333333333, 999.9896), (15578.127333333334, 1799.9987333333333, 1524.9954666666667), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(8, 0.0, 0.007549999999999999), (8, 5e-05, 0.002827777777777778), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.10245), (16097, 51.899950000000004, 6.187172222222221), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
17,"[16.778356912385206, 57.10935571463837, 47.32170566693563, 0.0, 0.0, 0.0]","[1, 5, 3, 0, 0, 0]","[674.467370947671, 3416.968522238457, 4918.441202740286, 0, 0, 0]","[3354.532629052329, 4685.031477761543, 11192.558797259713, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[676, 4627, 7624, 0, 0, 0]","[(51.3798, 6.666666666666668e-05, 0.00013333333333333334), (1417.2796, 0.018866666666666664, 0.008533333333333332), (1110.0916666666667, 0.009666666666666667, 0.0008666666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4243.6202, 1859.9999333333333, 999.9998666666667), (15762.7204, 1799.9811333333334, 1524.9914666666666), (33249.90833333333, 1882.6903333333335, 1333.7491333333332), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(1, 0.0, 0.0006666666666666666), (13, 0.0, 0.0032111111111111116), (5, 1.666666666666667e-05, 0.0022944444444444444), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4025, 67.1, 10.109333333333332), (16092, 51.900000000000006, 6.186788888888889), (32207, 58.199983333333336, 11.637705555555554), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
18,"[45.02357905187392, 62.6758824981486, 71.41704425547762, 0.0, 0.0, 0.0]","[2, 4, 4, 0, 0, 0]","[918.3131047471937, 1522.741596161838, 6120.808383988485, 0, 0, 0]","[3110.686895252806, 6579.258403838162, 9990.191616011514, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1814, 5078, 11506, 0, 0, 0]","[(89.82759999999999, 0.004666666666666667, 6.666666666666668e-05), (191.84433333333334, 0.018666666666666665, 0.008), (1839.9006, 0.025866666666666663, 0.010600000000000002), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4205.1724, 1859.9953333333333, 999.9999333333334), (16988.155666666666, 1799.9813333333334, 1524.992), (32520.0994, 1882.6741333333334, 1333.7394), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.00165), (10, 0.0, 0.002372222222222222), (8, 0.0, 0.01848333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.10835), (16095, 51.900000000000006, 6.187627777777777), (32204, 58.2, 11.621516666666665), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[1, 1, 1, 0, 0, 0]"
19,"[60.26309257880368, 38.29918538632436, 81.6522872571535, 0.0, 0.0, 0.0]","[3, 2, 5, 0, 0, 0]","[351.85819874000236, 0, 4200.166267363963, 0, 0, 0]","[3677.1418012599975, 8102, 11910.833732636038, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2428, 3103, 13155, 0, 0, 0]","[(80.04013333333333, 0.004666666666666667, 0.0), (70.86546666666666, 0.0072, 0.0058), (3049.2578, 0.020866666666666665, 0.007733333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4214.959866666667, 1859.9953333333333, 1000.0), (17109.134533333334, 1799.9928, 1524.9942), (31310.7422, 1882.6791333333333, 1333.7422666666666), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.0015944444444444443), (6, 0.0, 0.0012277777777777777), (8, 1.666666666666667e-05, 0.020194444444444445), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.108405555555555), (16099, 51.900000000000006, 6.188772222222222), (32204, 58.199983333333336, 11.619805555555555), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[1, 1, 1, 0, 0, 0]"
20,"[62.745098039215684, 53.3201678597877, 81.51573459127304, 0.0, 0.0, 0.0]","[2, 2, 5, 0, 0, 0]","[923.3849081173325, 1345.9436465449617, 4609.31849494501, 0, 0, 0]","[3105.6150918826675, 6756.056353455038, 11501.68150505499, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2528, 4320, 13133, 0, 0, 0]","[(11.358133333333335, 6.0545333333333335, 6.029066666666668), (169.16986666666665, 0.017466666666666665, 0.0036), (2803.1916666666666, 0.013533333333333333, 0.006666666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4283.641866666667, 1853.9454666666666, 993.9709333333333), (17010.830133333333, 1799.9825333333333, 1524.9964), (31556.808333333334, 1882.6864666666668, 1333.7433333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.0, 0.0), (3, 0.0032333333333333337, 0.0006), (9, 0.0, 0.023644444444444444), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.11), (16102, 51.89676666666667, 6.189399999999999), (32203, 58.2, 11.616355555555554), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[2, 2, 2, 0, 0, 0]"
