interval,totalcontainers,newcontainers,deployed,migrations,inqueue
1,1,1,1,1,0
2,2,1,1,1,0
3,3,1,1,1,0
4,5,2,2,2,0
5,8,3,3,3,0
6,10,2,2,2,0
7,13,3,3,3,0
8,17,4,4,4,0
9,19,2,2,2,0
10,22,3,3,3,0
11,26,4,4,4,0
12,27,1,1,1,0
13,29,2,2,2,0
14,33,4,4,4,0
15,35,2,2,2,0
16,36,1,1,1,0
17,44,8,8,8,0
18,46,2,2,2,0
19,49,3,3,3,0
20,54,5,5,5,0
21,55,1,1,1,0
22,59,4,4,4,0
23,61,2,2,2,0
24,64,3,3,3,0
25,66,2,2,2,0
26,70,4,4,4,0
27,72,2,2,2,0
28,74,2,2,2,0
29,78,4,4,4,0
30,80,2,2,2,0
31,84,4,4,4,0
32,87,3,3,3,0
33,91,4,4,4,0
34,92,1,1,1,0
35,95,3,3,3,0
36,100,5,5,5,0
37,103,3,3,3,0
38,106,3,3,3,0
39,110,4,4,4,0
40,113,3,3,2,1
41,115,2,3,2,1
42,117,2,3,2,1
43,119,2,3,3,0
44,122,3,3,3,0
45,125,3,3,3,0
46,128,3,3,3,0
47,130,2,2,4,0
48,134,4,4,4,0
49,138,4,4,4,0
50,141,3,3,3,0
51,144,3,3,3,0
52,149,5,5,5,0
53,150,1,1,1,0
54,154,4,4,4,0
55,158,4,4,4,0
56,160,2,2,2,0
57,164,4,4,4,0
58,166,2,2,2,0
59,170,4,4,4,0
60,171,1,1,1,0
61,174,3,3,3,0
62,178,4,4,4,0
63,181,3,3,3,0
64,183,2,2,2,0
65,185,2,2,2,0
66,189,4,4,4,0
67,192,3,3,3,0
68,195,3,3,3,0
69,198,3,3,3,0
70,201,3,3,3,0
71,204,3,3,4,0
72,209,5,5,5,0
73,211,2,2,2,0
74,212,1,1,1,0
75,216,4,4,4,0
76,219,3,3,3,0
77,222,3,3,3,0
78,225,3,3,3,0
79,229,4,4,4,0
80,232,3,3,3,0
81,236,4,4,4,0
82,238,2,2,2,0
83,239,1,1,1,0
84,242,3,3,3,0
85,245,3,3,3,0
86,249,4,4,4,0
87,251,2,2,2,0
88,254,3,3,3,0
89,258,4,4,4,0
90,260,2,2,2,0
91,264,4,4,4,0
92,267,3,3,3,0
93,271,4,4,4,0
94,274,3,3,3,0
95,278,4,4,4,0
96,280,2,2,2,0
97,283,3,3,3,0
98,286,3,3,3,0
99,290,4,4,4,0
100,292,2,2,2,0
101,295,3,3,3,0
102,297,2,2,2,0
103,300,3,3,3,0
104,304,4,4,4,0
105,307,3,3,3,0
106,308,1,1,1,0
107,312,4,4,4,0
108,314,2,2,2,0
109,317,3,3,3,0
110,321,4,4,4,0
111,324,3,3,3,0
112,327,3,3,3,0
113,331,4,4,4,0
114,334,3,3,3,0
115,338,4,4,4,0
116,340,2,2,2,0
117,342,2,2,2,0
118,347,5,5,5,0
119,349,2,2,3,0
120,351,2,2,2,0
