interval,numdestroyed,nummigrations,responsetime,avgresponsetime,migrationtime,avgmigrationtime,slaviolations,slaviolationspercentage,waittime
1,0,1,[],0.0,[],0.0,1,0.0,[]
2,0,1,[],0.0,[],0.0,1,0.0,[]
3,0,1,[],0.0,[],0.0,1,0.0,[]
4,1,2,[707.2715547079662],707.2715547079662,[0.09327193333333333],0.09327193333333333,1,100.0,[1]
5,2,3,"[894.1492669866873, 576.5887244670794]",735.3689957268833,"[0.1254282, 0.07431]",0.09986909999999999,1,50.0,"[1, 1]"
6,1,2,[481.7797667349665],481.7797667349665,[0.055999999999999994],0.055999999999999994,1,100.0,[1]
7,2,3,"[481.3548073092362, 683.0237493974515]",582.1892783533439,"[0.10423413333333333, 0.08977679999999999]",0.09700546666666665,1,50.0,"[1, 1]"
8,4,4,"[889.0038031846854, 2.9290912631710313, 683.0237493974515, 383.0237493974515]",489.49509831068985,"[0.057677679999999995, 0.1174404, 0.08977679999999999, 0.08977679999999999]",0.08866792,1,25.0,"[1, 1, 1, 1]"
9,2,2,"[811.2968458287241, 295.91657194559804]",553.6067088871611,"[0.018454560000000002, 0.12590453333333335]",0.07217954666666668,1,50.0,"[1, 1]"
10,2,3,"[648.0466215598931, 821.3710551572075]",734.7088383585503,"[0.055999999999999994, 0.073]",0.0645,1,50.0,"[1, 1]"
11,4,4,"[352.31182927116237, 626.0160918947532, 862.7400141439775, 262.96584631471734]",526.0084454061526,"[0.06375328000000001, 0.055999999999999994, 0.07431, 0.21482410666666665]",0.10222184666666667,1,25.0,"[1, 1, 1, 1]"
12,1,1,[911.4870232813763],911.4870232813763,[1.82312352],1.82312352,1,100.0,[1]
13,3,2,"[608.0804816400969, 1119.1212628520357, 543.7852789258836]",756.995674472672,"[0.0335544, 0.2841128, 0.017895679999999997]",0.11185429333333334,1,33.333333333333336,"[1, 1, 1]"
14,4,4,"[764.784654364308, 642.0494060357094, 721.0456987848299, 903.3133458063012]",757.798276247787,"[0.2080368, 0.14659687999999998, 0.1736628, 0.0925734]",0.15521747,1,25.0,"[1, 1, 1, 1]"
15,1,2,[894.4073537221971],894.4073537221971,[0.21560586666666665],0.21560586666666665,1,100.0,[1]
16,1,1,[502.8283972378178],502.8283972378178,[1.6553508266666668],1.6553508266666668,1,100.0,[1]
17,7,8,"[275.71791540686894, 395.82440648711867, 726.5877153493543, 1189.9581664062891, 1113.810701544463, 882.7206275706807, 582.9459741750968]",738.2236438485531,"[0.09178633333333333, 0.13764885333333332, 0.06181895999999999, 0.09388816, 0.2673357333333333, 0.09152426666666666, 0.08479586666666666]",0.11839973904761905,1,14.285714285714286,"[1, 1, 1, 1, 1, 1, 1]"
18,1,2,[922.3075681363719],922.3075681363719,[1.716244866666667],1.716244866666667,1,100.0,[1]
19,3,3,"[357.8426124141283, 571.6647457595222, 349.70343588613946]",426.40359801993003,"[0.0671088, 0.1454784, 0.1000392]",0.10420879999999999,1,33.333333333333336,"[1, 1, 1]"
20,6,5,"[687.795467718784, 646.103041711907, 702.3000234550308, 882.8305050373473, 896.5693056159084, 394.88319114688886]",701.7469224476445,"[0.09612415999999999, 0.11744039999999999, 2.48302624, 0.20140173333333336, 0.1243798, 0.11773919999999999]",0.5233519222222222,1,16.666666666666668,"[1, 1, 1, 1, 1, 1]"
