interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable,cpufailures
1,"[11.839166046165301, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[470.43961153182295, 0, 0, 0, 0, 0]","[3558.560388468177, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[477, 0, 0, 0, 0, 0]","[(18.52426666666667, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4276.475733333334, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(2, 0.0, 4.4444444444444447e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4024, 67.1, 10.109955555555555), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
2,"[29.13874410523703, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[1066.2039816406182, 0, 0, 0, 0, 0]","[2962.796018359382, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1174, 0, 0, 0, 0, 0]","[(240.82213333333334, 0.0, 0.0022), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4054.177866666667, 1860.0, 999.9978), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.0012666666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.108733333333333), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
3,"[48.62248696947133, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, 0, 0, 0, 0, 0]","[1835.6263169735532, 0, 0, 0, 0, 0]","[2193.373683026447, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1959, 0, 0, 0, 0, 0]","[(207.6171333333333, 0.00046666666666666666, 0.0034666666666666665), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4087.382866666667, 1859.9995333333334, 999.9965333333333), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.07851666666666667, 0.027094444444444442), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.02148333333332, 10.082905555555556), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
4,"[63.46487962273517, 0.0, 0.0, 0.0, 0.0, 0.0]","[4, 0, 0, 0, 0, 0]","[1104.9379438955636, 0, 0, 0, 0, 0]","[2924.062056104436, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2557, 0, 0, 0, 0, 0]","[(250.78279999999995, 0.0006666666666666668, 0.007733333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4044.2172, 1859.9993333333334, 999.9922666666666), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 1.666666666666667e-05, 0.0019055555555555557), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.09998333333333, 10.108094444444443), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
5,"[48.15090593199305, 25.413478153542336, 0.0, 0.0, 0.0, 0.0]","[3, 2, 0, 0, 0, 0]","[555.426975916416, 1569.7539342789116, 0, 0, 0, 0]","[3473.5730240835837, 6532.246065721089, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1940, 2059, 0, 0, 0, 0]","[(218.88866666666667, 0.0007999999999999999, 0.0021333333333333334), (141.55686666666665, 0.017666666666666664, 0.0036666666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4076.1113333333333, 1859.9992, 999.9978666666667), (17038.443133333334, 1799.9823333333334, 1524.9963333333333), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.029405555555555556), (2, 0.0032333333333333337, 0.0007999999999999999), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.080594444444444), (16103, 51.89676666666667, 6.1892), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
6,"[28.56788284934227, 48.93853369538385, 0.0, 0.0, 0.0, 0.0]","[2, 4, 0, 0, 0, 0]","[1151.1671005503013, 3395.0720412320725, 0, 0, 0, 0]","[2877.8328994496987, 4706.9279587679275, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1151, 3965, 0, 0, 0, 0]","[(150.9938666666667, 0.0009333333333333332, 0.0004), (347.7761333333333, 0.005533333333333332, 0.004133333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4144.006133333333, 1859.9990666666667, 999.9996), (16832.223866666667, 1799.9944666666668, 1524.9958666666666), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.002461111111111111), (7, 1.666666666666667e-05, 0.0021000000000000003), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.107538888888888), (16098, 51.89998333333334, 6.187899999999999), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
7,"[43.31099528418962, 48.93853369538385, 0.0, 0.0, 0.0, 0.0]","[3, 4, 0, 0, 0, 0]","[953.0817618030536, 2438.956746400494, 0, 0, 0, 0]","[3075.9182381969463, 5663.043253599506, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1745, 3965, 0, 0, 0, 0]","[(214.607, 0.0007333333333333333, 0.0003333333333333334), (306.5321333333334, 0.022466666666666666, 0.0078), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4080.393, 1859.9992666666667, 999.9996666666667), (16873.467866666666, 1799.9775333333334, 1524.9922), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.0027277777777777778), (7, 0.0014333333333333331, 0.0015944444444444443), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.107272222222221), (16098, 51.898566666666675, 6.188405555555555), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
8,"[43.78257632166791, 43.72994322389533, 10.5517969089442, 0.0, 0.0, 0.0]","[3, 4, 1, 0, 0, 0]","[623.7884099061382, 708.4974841067566, 1397.7390594094966, 0, 0, 0]","[3405.2115900938616, 7393.502515893243, 14713.260940590504, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1764, 3543, 1700, 0, 0, 0]","[(109.57480000000001, 0.0002666666666666667, 0.0002), (417.3317333333333, 0.008199999999999999, 0.0296), (0.0, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4185.4252, 1859.9997333333333, 999.9998), (16762.668266666667, 1799.9918, 1524.9704), (34360.0, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(8, 0.0, 0.0010388888888888887), (9, 0.05313333333333333, 0.015922222222222223), (2, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.10896111111111), (16096, 51.84686666666667, 6.174077777777777), (32210, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
9,"[41.84661206254654, 20.106146630461613, 47.830674694308236, 0.0, 0.0, 0.0]","[3, 2, 4, 0, 0, 0]","[703.411296338258, 1522.4370543393966, 4205.940719797151, 0, 0, 0]","[3325.588703661742, 6579.562945660604, 11905.059280202848, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1686, 1629, 7706, 0, 0, 0]","[(86.41879999999999, 0.0002666666666666667, 0.0002), (479.5478666666667, 0.0022666666666666664, 0.014199999999999999), (343.233, 0.016466666666666664, 0.009866666666666668), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4208.5812, 1859.9997333333333, 999.9998), (16700.452133333332, 1799.9977333333334, 1524.9858), (34016.767, 1882.6835333333333, 1333.7401333333332), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.00047777777777777776), (6, 0.06325, 0.014305555555555554), (10, 0.0, 0.016255555555555554), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.109522222222221), (16099, 51.83675000000001, 6.175694444444444), (32202, 58.2, 11.623744444444442), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
10,"[42.69049391908662, 33.21402122932609, 37.27267084600584, 0.0, 0.0, 0.0]","[3, 3, 3, 0, 0, 0]","[786.2798248848885, 553.644077674176, 3472.0135779890097, 0, 0, 0]","[3242.7201751151115, 7548.355922325824, 12638.98642201099, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1720, 2691, 6005, 0, 0, 0]","[(217.6655333333333, 0.016466666666666664, 0.016533333333333334), (427.818, 0.002533333333333333, 0.016466666666666668), (437.6046, 0.011466666666666667, 0.006066666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4077.3344666666667, 1859.9835333333333, 999.9834666666667), (16752.182, 1799.9974666666667, 1524.9835333333333), (33922.3954, 1882.6885333333335, 1333.7439333333334), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0001, 0.01286111111111111), (7, 0.08965000000000001, 0.01257222222222222), (8, 1.666666666666667e-05, 0.018066666666666665), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.09989999999999, 10.097138888888889), (16098, 51.81035000000001, 6.177427777777777), (32204, 58.199983333333336, 11.621933333333333), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
