interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable,cpufailures
1,"[15.165053363117398, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[611.3363067526898, 0, 0, 0, 0, 0]","[3417.66369324731, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[611, 0, 0, 0, 0, 0]","[(4.2812, 0.0009333333333333332, 0.001), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4290.7188, 1859.9990666666667, 999.999), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.0, 8.333333333333333e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.109916666666667), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
2,"[28.319682303301068, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[563.391711105075, 0, 0, 0, 0, 0]","[3465.608288894925, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1141, 0, 0, 0, 0, 0]","[(21.232733333333332, 0.0010666666666666665, 0.0011333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4273.767266666667, 1859.9989333333333, 999.9988666666667), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.00012777777777777776), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.109872222222222), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
3,"[43.13725490196079, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, 0, 0, 0, 0, 0]","[733.3178693758431, 0, 0, 0, 0, 0]","[3295.682130624157, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1738, 0, 0, 0, 0, 0]","[(25.121000000000002, 0.0016, 0.004999999999999999), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4269.879, 1859.9984, 999.995), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.00014444444444444444), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.109855555555555), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
4,"[41.39985107967237, 9.923475685016045, 0.0, 0.0, 0.0, 0.0]","[3, 1, 0, 0, 0, 0]","[760.7406628461821, 766.2627758313829, 0, 0, 0, 0]","[3268.259337153818, 7335.737224168617, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1668, 804, 0, 0, 0, 0]","[(21.5386, 0.00013333333333333334, 6.666666666666668e-05), (53.1278, 0.004666666666666667, 0.00013333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4273.4614, 1859.9998666666668, 999.9999333333334), (17126.8722, 1799.9953333333333, 1524.9998666666668), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 6.666666666666667e-05), (3, 0.0, 0.00115), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.109933333333332), (16102, 51.900000000000006, 6.1888499999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
5,"[40.95309009679821, 20.859047148852135, 0.0, 0.0, 0.0, 0.0]","[3, 2, 0, 0, 0, 0]","[890.1323548676313, 1635.7350301684223, 0, 0, 0, 0]","[3138.8676451323686, 6466.264969831578, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1650, 1690, 0, 0, 0, 0]","[(9.611066666666666, 0.0, 0.0), (67.1088, 0.009266666666666666, 0.00020000000000000004), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4285.388933333334, 1860.0, 1000.0), (17112.8912, 1799.9907333333333, 1524.9998), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 1.6666666666666667e-05), (5, 0.0, 0.002161111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.109983333333332), (16100, 51.900000000000006, 6.187838888888888), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
6,"[38.024323653512035, 31.819303875586275, 0.0, 0.0, 0.0, 0.0]","[3, 3, 0, 0, 0, 0]","[951.4986242023048, 1680.9601449507102, 0, 0, 0, 0]","[3077.5013757976953, 6421.03985504929, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1532, 2578, 0, 0, 0, 0]","[(39.8456, 0.004666666666666667, 6.666666666666668e-05), (60.773133333333334, 0.01, 0.0008), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4255.1544, 1859.9953333333333, 999.9999333333334), (17119.226866666668, 1799.99, 1524.9992), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.0011166666666666666), (6, 0.0, 0.002122222222222223), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.108883333333333), (16099, 51.900000000000006, 6.187877777777778), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
7,"[40.60560933234053, 33.59664280424586, 17.851157594190305, 0.0, 0.0, 0.0]","[3, 3, 1, 0, 0, 0]","[855.8071119895292, 575.6752832482554, 1138.092347654695, 0, 0, 0]","[3173.1928880104706, 7526.324716751745, 14972.907652345304, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1636, 2722, 2876, 0, 0, 0]","[(297.79506666666674, 0.5582666666666667, 0.16226666666666667), (98.69646666666667, 0.010133333333333334, 0.001), (41.943, 0.0046, 6.666666666666668e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3997.2049333333334, 1859.4417333333333, 999.8377333333333), (17081.303533333332, 1799.9898666666666, 1524.999), (34318.057, 1882.6954, 1333.7499333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.004883333333333334), (4, 0.0, 0.002205555555555556), (1, 0.0, 0.0011111111111111113), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.105116666666666), (16101, 51.900000000000006, 6.187794444444444), (32211, 58.2, 11.638888888888888), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
8,"[42.913874410523704, 24.006418168353495, 42.443051331388496, 0.0, 0.0, 0.0]","[3, 2, 3, 0, 0, 0]","[605.2074355786712, 1469.511802866482, 6570.624710287379, 0, 0, 0]","[3423.7925644213287, 6632.488197133518, 9540.375289712621, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1729, 1945, 6838, 0, 0, 0]","[(466.615, 0.02593333333333333, 0.027666666666666673), (279.6197333333334, 1.0022, 0.007), (1053.4684666666667, 0.009133333333333334, 0.0008666666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3828.385, 1859.9740666666667, 999.9723333333334), (16900.380266666667, 1798.9978, 1524.993), (33306.531533333335, 1882.6908666666668, 1333.7491333333332), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.0, 0.004855555555555556), (4, 0.0, 0.0015388888888888887), (4, 0.0, 0.002455555555555556), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.105144444444443), (16101, 51.900000000000006, 6.188461111111111), (32208, 58.2, 11.637544444444444), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
9,"[25.515016133035495, 47.074796346581095, 42.443051331388496, 0.0, 0.0, 0.0]","[2, 4, 3, 0, 0, 0]","[412.8830870829142, 1120.6149797849898, 3922.085410890176, 0, 0, 0]","[3616.1169129170858, 6981.38502021501, 12188.914589109823, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1028, 3814, 6838, 0, 0, 0]","[(31.10673333333333, 0.0021333333333333334, 0.0011333333333333334), (498.3782, 0.8301333333333333, 0.03186666666666667), (1044.380666666667, 0.008933333333333333, 0.0009333333333333332), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4263.893266666667, 1859.9978666666666, 999.9988666666667), (16681.6218, 1799.1698666666666, 1524.9681333333333), (33315.619333333336, 1882.6910666666668, 1333.7490666666667), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(2, 0.0, 0.00047222222222222224), (9, 0.0, 0.006227777777777778), (4, 0.0, 0.002033333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4024, 67.1, 10.109527777777776), (16096, 51.900000000000006, 6.183772222222221), (32208, 58.2, 11.637966666666665), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
10,"[24.323653512037726, 32.94248333744754, 46.167214946309976, 0.0, 0.0, 0.0]","[2, 3, 4, 0, 0, 0]","[971.568001297677, 1641.166051541798, 6915.519666637733, 0, 0, 0]","[3057.4319987023227, 6460.833948458202, 9195.480333362266, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[980, 2669, 7438, 0, 0, 0]","[(154.8388, 0.0007333333333333332, 0.0006), (127.48806666666664, 0.05193333333333333, 0.02586666666666667), (1149.2384, 0.7989333333333334, 0.018466666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4140.1612000000005, 1859.9992666666667, 999.9994), (17052.511933333335, 1799.9480666666666, 1524.9741333333334), (33210.7616, 1881.9010666666668, 1333.7315333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(2, 0.0, 0.028900000000000002), (6, 0.0, 0.0010067460317460318), (8, 0.0, 0.002061111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4024, 67.1, 10.0811), (16099, 51.900000000000006, 6.1889932539682535), (32204, 58.2, 11.637938888888888), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
