interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable,cpufailures
1,"[16.406056093323404, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[383.59399772098897, 0, 0, 0, 0, 0]","[3645.406002279011, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[661, 0, 0, 0, 0, 0]","[(8.7374, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4286.2626, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(1, 0.0, 0.0012000000000000001), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4025, 67.1, 10.108799999999999), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
2,"[33.15959295110449, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[1032.1538716658406, 0, 0, 0, 0, 0]","[2996.8461283341594, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1336, 0, 0, 0, 0, 0]","[(49.282199999999996, 0.0009333333333333332, 6.666666666666668e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4245.7178, 1859.9990666666667, 999.9999333333334), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(2, 0.0, 0.0019611111111111114), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4024, 67.1, 10.108038888888888), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
3,"[46.31422189128816, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, 0, 0, 0, 0, 0]","[938.3013918409442, 0, 0, 0, 0, 0]","[3090.6986081590558, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1866, 0, 0, 0, 0, 0]","[(75.4964, 0.0011333333333333334, 0.00013333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4219.5036, 1859.9988666666666, 999.9998666666667), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.002038888888888889), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.107961111111111), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
4,"[41.59841151650534, 19.464329795112317, 0.0, 0.0, 0.0, 0.0]","[3, 1, 0, 0, 0, 0]","[1350.9950778024909, 564.628609551674, 0, 0, 0, 0]","[2678.004922197509, 7537.371390448326, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1676, 1577, 0, 0, 0, 0]","[(71.03966666666666, 0.0011333333333333336, 6.666666666666668e-05), (1101.0043333333333, 0.0002, 0.0009333333333333332), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4223.960333333333, 1859.9988666666666, 999.9999333333334), (16078.995666666666, 1799.9998, 1524.9990666666667), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0007888888888888888), (3, 0.0, 0.0007777777777777778), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.10921111111111), (16102, 51.900000000000006, 6.189222222222222), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
5,"[56.21742367833209, 19.464329795112317, 0.0, 0.0, 0.0, 0.0]","[4, 1, 0, 0, 0, 0]","[439.38745374493504, 0, 0, 0, 0, 0]","[3589.612546255065, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2265, 1577, 0, 0, 0, 0]","[(105.643, 0.005733333333333333, 0.0002666666666666667), (1516.9397333333334, 0.7900666666666667, 0.0178), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4189.357, 1859.9942666666666, 999.9997333333333), (15663.060266666667, 1799.2099333333333, 1524.9822), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.0018555555555555556), (3, 0.0, 9.999999999999999e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.108144444444443), (16102, 51.900000000000006, 6.1899), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
6,"[24.72077438570365, 35.978770673907675, 10.446278939854757, 0.0, 0.0, 0.0]","[2, 3, 1, 0, 0, 0]","[603.8409717497394, 2750.4066961795215, 1159.8783019726538, 0, 0, 0]","[3425.1590282502607, 5351.5933038204785, 14951.121698027346, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[996, 2915, 1683, 0, 0, 0]","[(75.4974, 0.0094, 6.666666666666668e-05), (80.04026666666667, 0.0046, 6.666666666666668e-05), (0.0, 0.0044666666666666665, 0.00013333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4219.5026, 1859.9906, 999.9999333333334), (17099.959733333333, 1799.9954, 1524.9999333333333), (34360.0, 1882.6955333333333, 1333.7498666666668), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.002111111111111111), (5, 0.0, 0.0013055555555555557), (2, 0.0, 0.0009055555555555556), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.107888888888889), (16100, 51.900000000000006, 6.188694444444444), (32210, 58.2, 11.639094444444444), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
7,"[36.26209977661951, 35.978770673907675, 10.446278939854757, 0.0, 0.0, 0.0]","[3, 3, 1, 0, 0, 0]","[438.82270636743755, 2121.436980966344, 1161.2390325445572, 0, 0, 0]","[3590.1772936325624, 5980.563019033656, 14949.760967455442, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1461, 2915, 1683, 0, 0, 0]","[(118.7504, 0.009466666666666667, 0.00013333333333333334), (33.99053333333333, 0.0046, 0.0), (0.0, 0.004266666666666667, 6.666666666666668e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4176.2496, 1859.9905333333334, 999.9998666666667), (17146.009466666666, 1799.9954, 1525.0), (34360.0, 1882.6957333333335, 1333.7499333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(8, 0.0, 0.0025444444444444442), (5, 0.0, 0.0011444444444444445), (2, 0.0, 0.0008555555555555556), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.107455555555555), (16100, 51.900000000000006, 6.188855555555555), (32210, 58.2, 11.639144444444444), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
8,"[22.884090344998757, 59.837077264872875, 10.446278939854757, 0.0, 0.0, 0.0]","[2, 5, 1, 0, 0, 0]","[898.1987278934894, 2804.264733003948, 0, 0, 0, 0]","[3130.8012721065106, 5297.735266996052, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[922, 4848, 1683, 0, 0, 0]","[(56.972, 0.004733333333333333, 0.0002), (458.7074666666666, 7.672466666666666, 2.4919333333333333), (0.0, 0.0044, 6.666666666666668e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4238.028, 1859.9952666666666, 999.9998), (16721.292533333333, 1792.3275333333333, 1522.5080666666668), (34360.0, 1882.6956, 1333.7499333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.0011333333333333332), (10, 0.0, 0.018644444444444446), (2, 0.0, 0.0008444444444444444), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.108866666666666), (16095, 51.900000000000006, 6.1713555555555555), (32210, 58.2, 11.639155555555554), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
9,"[34.251675353685776, 36.8797827696865, 28.51467941158215, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[887.0950161161652, 2142.3442108296517, 3121.8530729513477, 0, 0, 0]","[3141.9049838838346, 5959.655789170349, 12989.146927048652, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1380, 2988, 4594, 0, 0, 0]","[(65.9722, 0.009333333333333332, 0.0002), (743.7891999999999, 19.013733333333334, 2.486266666666667), (45.43766666666666, 0.29753333333333337, 0.0019333333333333331), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4229.0278, 1859.9906666666666, 999.9998), (16436.2108, 1780.9862666666668, 1522.5137333333332), (34314.562333333335, 1882.4024666666667, 1333.7480666666668), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(9, 0.0, 0.0021666666666666666), (6, 0.0, 0.007344444444444445), (4, 0.003, 0.061272222222222214), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4017, 67.1, 10.107833333333332), (16099, 51.900000000000006, 6.182655555555555), (32208, 58.197, 11.578727777777777), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
10,"[39.14122611069744, 37.13897803011602, 42.33753336229905, 0.0, 0.0, 0.0]","[3, 3, 3, 0, 0, 0]","[843.9061365135948, 579.1568428921917, 2304.700256254938, 0, 0, 0]","[3185.093863486405, 7522.843157107808, 13806.299743745061, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1577, 3009, 6821, 0, 0, 0]","[(24.116799999999998, 0.0046, 0.0), (2071.286266666667, 16.8996, 2.589066666666666), (96.46793333333332, 0.22126666666666667, 0.004666666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4270.8832, 1859.9954, 1000.0), (15108.713733333334, 1783.1004, 1522.4109333333333), (34263.53206666667, 1882.4787333333334, 1333.7453333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.042083333333333334, 0.015966666666666667), (8, 0.0, 0.003427777777777778), (6, 0.0002833333333333333, 0.09526111111111112), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.05791666666666, 10.094033333333332), (16097, 51.900000000000006, 6.186572222222222), (32206, 58.19971666666667, 11.544738888888888), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
