interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable,cpufailures
1,"[13.973690742119633, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[166.15920635027632, 0, 0, 0, 0, 0]","[3862.8407936497238, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[563, 0, 0, 0, 0, 0]","[(20.00973333333333, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4274.990266666667, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.0, 2.2222222222222223e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.109977777777777), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
2,"[30.72722759990072, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[630.8641912186804, 0, 0, 0, 0, 0]","[3398.1358087813196, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1238, 0, 0, 0, 0, 0]","[(49.806799999999996, 0.0009333333333333332, 6.666666666666668e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4245.1932, 1859.9990666666667, 999.9999333333334), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.0006611111111111112), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.109338888888889), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
3,"[32.34053114916853, 16.16884719822266, 0.0, 0.0, 0.0, 0.0]","[2, 1, 0, 0, 0, 0]","[424.2092031852845, 673.2621285693309, 0, 0, 0, 0]","[3604.7907968147156, 7428.737871430669, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1303, 1310, 0, 0, 0, 0]","[(220.2004, 0.001, 0.0), (0.0, 0.1148, 0.10773333333333332), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4074.7996, 1859.999, 1000.0), (17180.0, 1799.8852, 1524.8922666666667), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(2, 0.0, 0.0009166666666666668), (1, 0.0, 0.002944444444444445), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4024, 67.1, 10.109083333333333), (16104, 51.900000000000006, 6.187055555555555), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
4,"[31.12434847356664, 33.26339175512219, 0.0, 0.0, 0.0, 0.0]","[2, 2, 0, 0, 0, 0]","[1051.5410144755865, 1114.1609034516462, 0, 0, 0, 0]","[2977.4589855244135, 6987.839096548354, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1254, 2695, 0, 0, 0, 0]","[(409.64279999999997, 0.0, 0.0), (25.1654, 0.007133333333333334, 0.0024666666666666665), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3885.3572, 1860.0, 1000.0), (17154.8346, 1799.9928666666667, 1524.9975333333334), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(2, 0.0, 0.0005777777777777778), (3, 0.0, 0.0037666666666666664), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4024, 67.1, 10.109422222222221), (16102, 51.900000000000006, 6.186233333333333), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
5,"[42.81459419210722, 17.09454455689953, 12.699397926882256, 0.0, 0.0, 0.0]","[3, 1, 1, 0, 0, 0]","[894.936829387947, 1184.3731806464255, 2046.8749041745743, 0, 0, 0]","[3134.063170612053, 6917.626819353574, 14064.125095825426, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1725, 1385, 2046, 0, 0, 0]","[(424.4096666666667, 0.0, 0.0), (27.2626, 0.0005333333333333334, 0.0011333333333333332), (79.69153333333334, 6.666666666666668e-05, 6.666666666666668e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3870.5903333333335, 1860.0, 1000.0), (17152.7374, 1799.9994666666666, 1524.9988666666666), (34280.30846666667, 1882.6999333333333, 1333.7499333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 1.666666666666667e-05, 0.0005444444444444444), (2, 0.0, 0.0027833333333333334), (1, 0.0, 0.001694444444444444), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.09998333333333, 10.109455555555556), (16103, 51.900000000000006, 6.187216666666666), (32211, 58.2, 11.638305555555554), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
6,"[41.07719036981881, 27.511725499876572, 12.699397926882256, 0.0, 0.0, 0.0]","[3, 2, 1, 0, 0, 0]","[807.1954909600947, 844.2204475370198, 1791.9824020518593, 0, 0, 0]","[3221.8045090399055, 7257.77955246298, 14319.017597948141, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1655, 2229, 2046, 0, 0, 0]","[(341.0478, 0.0007333333333333332, 0.0006), (83.18633333333332, 0.004933333333333333, 6.666666666666668e-05), (50.331333333333326, 0.00013333333333333334, 6.666666666666668e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3953.9522, 1859.9992666666667, 999.9994), (17096.813666666665, 1799.9950666666666, 1524.9999333333333), (34309.668666666665, 1882.6998666666668, 1333.7499333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 1.666666666666667e-05, 0.0291), (3, 0.0, 0.0017222222222222224), (1, 0.0, 0.0011611111111111112), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.09998333333333, 10.0809), (16102, 51.900000000000006, 6.1882777777777775), (32211, 58.2, 11.638838888888888), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
7,"[38.69446512782328, 24.240928165884966, 25.181552976227422, 0.0, 0.0, 0.0]","[3, 2, 2, 0, 0, 0]","[956.0159934715826, 1914.550330523924, 2960.8273520326075, 0, 0, 0]","[3072.9840065284175, 6187.449669476076, 13150.172647967393, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1559, 1964, 4057, 0, 0, 0]","[(107.5650666666667, 0.0298, 0.029133333333333337), (47.5354, 0.0092, 0.00013333333333333334), (61.51613333333333, 0.04126666666666667, 0.0015333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4187.434933333333, 1859.9702, 999.9708666666667), (17132.4646, 1799.9908, 1524.9998666666668), (34298.48386666667, 1882.6587333333334, 1333.7484666666667), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.001688888888888889), (2, 0.0, 0.002172222222222222), (3, 0.0, 0.0013166666666666665), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.10831111111111), (16103, 51.900000000000006, 6.187827777777778), (32209, 58.2, 11.638683333333333), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
8,"[38.91784561926036, 34.83090594914836, 25.181552976227422, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[868.7074784147239, 2008.4320589679448, 2010.2595573766505, 0, 0, 0]","[3160.292521585276, 6093.567941032055, 14100.74044262335, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1568, 2822, 4057, 0, 0, 0]","[(139.02233333333334, 0.024200000000000006, 0.023599999999999996), (56.62286666666667, 0.011933333333333334, 0.0036666666666666666), (119.537, 0.040999999999999995, 0.0015333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4155.977666666667, 1859.9758, 999.9764), (17123.37713333333, 1799.9880666666666, 1524.9963333333333), (34240.463, 1882.659, 1333.7484666666667), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.002261111111111111), (4, 0.0, 0.005233333333333333), (3, 0.0, 0.0013666666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.107738888888889), (16101, 51.900000000000006, 6.1847666666666665), (32209, 58.2, 11.638633333333333), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
9,"[36.48548026805659, 44.766724265613426, 12.475948109986966, 0.0, 0.0, 0.0]","[3, 4, 1, 0, 0, 0]","[1207.2828967545893, 1699.6055698482069, 0, 0, 0, 0]","[2821.7171032454107, 6402.394430151793, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1470, 3627, 2010, 0, 0, 0]","[(34.907666666666664, 0.026733333333333338, 0.026533333333333332), (102.76006666666666, 0.013, 0.005666666666666666), (31.457, 0.041133333333333334, 0.0016), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4260.092333333333, 1859.9732666666666, 999.9734666666667), (17077.239933333334, 1799.987, 1524.9943333333333), (34328.543, 1882.6588666666667, 1333.7484), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(9, 0.0, 0.0007999999999999999), (5, 0.0, 0.005244444444444445), (2, 0.0, 0.00015555555555555556), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4017, 67.1, 10.1092), (16100, 51.900000000000006, 6.184755555555555), (32210, 58.2, 11.639844444444444), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
10,"[47.20774385703649, 30.942977042705504, 11.290422692570294, 0.0, 0.0, 0.0]","[4, 3, 1, 0, 0, 0]","[902.9269689053044, 589.9122177697102, 1819.471380528662, 0, 0, 0]","[3126.0730310946956, 7512.08778223029, 14291.528619471337, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1902, 2507, 1819, 0, 0, 0]","[(45.2178, 0.0238, 0.023600000000000003), (90.87620000000001, 0.008533333333333334, 0.004933333333333333), (0.0, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4249.7822, 1859.9762, 999.9764), (17089.1238, 1799.9914666666666, 1524.9950666666666), (34360.0, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(10, 0.0, 0.0008277777777777776), (4, 0.0, 0.004044444444444443), (1, 0.0, 5.555555555555555e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4016, 67.1, 10.109172222222222), (16101, 51.900000000000006, 6.185955555555555), (32211, 58.2, 11.639944444444444), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
