interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable,cpufailures
1,"[10.052122114668652, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[150.5129573764532, 0, 0, 0, 0, 0]","[3878.4870426235466, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[405, 0, 0, 0, 0, 0]","[(7.6892, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4287.3108, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(1, 0.0, 1.6666666666666667e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4025, 67.1, 10.109983333333332), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
2,"[21.990568379250433, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[384.2661505437094, 0, 0, 0, 0, 0]","[3644.7338494562905, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[886, 0, 0, 0, 0, 0]","[(29.621666666666673, 4.1293999999999995, 4.1416), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4265.378333333333, 1855.8706, 995.8584), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 1.6666666666666667e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.109983333333332), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
3,"[21.990568379250433, 13.3176993334979, 0.0, 0.0, 0.0, 0.0]","[2, 1, 0, 0, 0, 0]","[150.5129573764532, 1064.805751606491, 0, 0, 0, 0]","[3878.4870426235466, 7037.194248393509, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[886, 1079, 0, 0, 0, 0]","[(37.223666666666674, 12.107333333333337, 12.139266666666664), (69.90453333333333, 0.07913333333333333, 0.06766666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4257.776333333333, 1847.8926666666666, 987.8607333333333), (17110.095466666666, 1799.9208666666666, 1524.9323333333334), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 3.3333333333333335e-05), (3, 0.0018666666666666669, 0.0009333333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.109966666666667), (16102, 51.89813333333334, 6.189066666666666), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
4,"[25.24199553239017, 23.426314490249318, 0.0, 0.0, 0.0, 0.0]","[2, 2, 0, 0, 0, 0]","[611.3363067526898, 1353.5859920612288, 0, 0, 0, 0]","[3417.66369324731, 6748.414007938771, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1017, 1898, 0, 0, 0, 0]","[(4.2812, 0.0009333333333333332, 0.001), (160.78026666666662, 0.08486666666666666, 0.07306666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4290.7188, 1859.9990666666667, 999.999), (17019.219733333335, 1799.9151333333334, 1524.9269333333334), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 8.333333333333333e-05), (5, 0.0, 0.0009722222222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.109916666666667), (16100, 51.900000000000006, 6.189027777777778), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
5,"[30.72722759990072, 38.80523327573439, 0.0, 0.0, 0.0, 0.0]","[2, 3, 0, 0, 0, 0]","[724.9855543356562, 2132.2773523712594, 0, 0, 0, 0]","[3304.014445664344, 5969.722647628741, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1238, 3144, 0, 0, 0, 0]","[(189.00493333333333, 0.0009333333333333332, 0.001), (267.036, 0.08626666666666669, 0.07446666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4105.995066666666, 1859.9990666666667, 999.999), (16912.964, 1799.9137333333333, 1524.9255333333333), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.00037777777777777777), (8, 0.0, 0.005116666666666665), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.109622222222221), (16097, 51.900000000000006, 6.184883333333333), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
6,"[45.56962025316456, 38.80523327573439, 0.0, 0.0, 0.0, 0.0]","[3, 3, 0, 0, 0, 0]","[946.6465361751691, 0, 0, 0, 0, 0]","[3082.353463824831, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1836, 3144, 0, 0, 0, 0]","[(233.04479999999998, 0.0015333333333333334, 0.004933333333333333), (213.90819999999997, 0.08846666666666668, 0.07653333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4061.9552, 1859.9984666666667, 999.9950666666666), (16966.0918, 1799.9115333333334, 1524.9234666666666), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0003666666666666666), (8, 0.0017333333333333335, 0.004716666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.109633333333333), (16097, 51.89826666666667, 6.185283333333333), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
7,"[42.591213700670146, 14.379165638114047, 44.4789274408789, 0.0, 0.0, 0.0]","[3, 1, 3, 0, 0, 0]","[654.6491584236215, 426.392095219676, 5731.462723335002, 0, 0, 0]","[3374.3508415763786, 7675.607904780324, 10379.537276664998, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1716, 1165, 7166, 0, 0, 0]","[(239.8602, 0.0, 0.0), (18.873866666666665, 6.666666666666668e-05, 6.666666666666668e-05), (127.05166666666668, 0.0073999999999999995, 0.002866666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4055.1398, 1860.0, 1000.0), (17161.126133333335, 1799.9999333333333, 1524.9999333333333), (34232.948333333334, 1882.6926, 1333.7471333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 1.666666666666667e-05, 0.0006833333333333333), (3, 0.0, 0.0004111111111111111), (6, 0.0, 0.006955555555555555), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.09998333333333, 10.109316666666667), (16102, 51.900000000000006, 6.189588888888888), (32206, 58.2, 11.633044444444444), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
8,"[40.655249441548776, 29.80745494939521, 44.4789274408789, 0.0, 0.0, 0.0]","[3, 2, 3, 0, 0, 0]","[891.0599117550937, 676.3704021294876, 2392.1417097460635, 0, 0, 0]","[3137.9400882449063, 7425.629597870512, 13718.858290253937, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1638, 2415, 7166, 0, 0, 0]","[(429.39079999999996, 1.3948666666666665, 0.0056), (1292.5437333333334, 0.0006666666666666666, 0.001), (191.10226666666665, 0.005466666666666667, 0.0014), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3865.6092, 1858.6051333333332, 999.9944), (15887.456266666666, 1799.9993333333334, 1524.999), (34168.89773333333, 1882.6945333333333, 1333.7486), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.0097), (4, 0.0, 0.00018333333333333334), (6, 1.666666666666667e-05, 0.003494444444444444), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.100299999999999), (16101, 51.900000000000006, 6.189816666666666), (32206, 58.199983333333336, 11.636505555555555), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
9,"[38.76892529163564, 26.35151814366823, 27.205015207001427, 0.0, 0.0, 0.0]","[3, 2, 2, 0, 0, 0]","[498.3846518486158, 885.7838472849353, 1076.6868189637923, 0, 0, 0]","[3530.6153481513843, 7216.216152715065, 15034.313181036208, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1562, 2135, 4383, 0, 0, 0]","[(452.6344, 0.6527333333333334, 0.0035333333333333336), (1214.9497333333331, 0.005066666666666667, 0.0011333333333333334), (81.52646666666666, 0.005466666666666667, 0.0008666666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3842.3656, 1859.3472666666667, 999.9964666666667), (15965.050266666667, 1799.9949333333334, 1524.9988666666666), (34278.47353333333, 1882.6945333333333, 1333.7491333333332), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.00145), (3, 0.0, 0.0012166666666666665), (4, 0.0, 0.0011055555555555554), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.10855), (16102, 51.900000000000006, 6.188783333333332), (32208, 58.2, 11.638894444444443), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
10,"[27.575080665177467, 41.150333251049126, 28.793991682701257, 0.0, 0.0, 0.0]","[2, 3, 2, 0, 0, 0]","[1039.641450049439, 2870.051172316403, 2647.7836930219532, 0, 0, 0]","[2989.3585499505607, 5231.948827683596, 13463.216306978047, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1111, 3334, 4639, 0, 0, 0]","[(53.1278, 0.004666666666666667, 6.666666666666668e-05), (88.07960000000001, 0.009066666666666667, 0.0), (54.70013333333333, 0.05606666666666667, 0.054666666666666655), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4241.8722, 1859.9953333333333, 999.9999333333334), (17091.9204, 1799.9909333333333, 1525.0), (34305.29986666667, 1882.6439333333333, 1333.6953333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.0010833333333333333), (5, 0.0, 0.0019000000000000002), (3, 0.0, 0.00145), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.108916666666666), (16100, 51.900000000000006, 6.1880999999999995), (32209, 58.2, 11.638549999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
