interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable,cpufailures
1,"[11.888806155373542, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[439.0876958201859, 0, 0, 0, 0, 0]","[3589.912304179814, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[479, 0, 0, 0, 0, 0]","[(36.3506, 0.004666666666666667, 6.666666666666668e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4258.6494, 1859.9953333333333, 999.9999333333334), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(1, 0.0, 0.0011111111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4025, 67.1, 10.108888888888888), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
2,"[27.773641102010426, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[879.877251629227, 0, 0, 0, 0, 0]","[3149.122748370773, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1119, 0, 0, 0, 0, 0]","[(61.516400000000004, 0.0092, 0.00013333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4233.4836, 1859.9908, 999.9998666666667), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.0021111111111111113), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.107888888888889), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
3,"[40.92827004219409, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, 0, 0, 0, 0, 0]","[1091.951053336531, 0, 0, 0, 0, 0]","[2937.048946663469, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1649, 0, 0, 0, 0, 0]","[(294.99879999999996, 0.012866666666666667, 0.006333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4000.0012, 1859.9871333333333, 999.9936666666666), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0030777777777777782), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.106922222222222), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
4,"[39.76172747580045, 13.132559861762527, 0.0, 0.0, 0.0, 0.0]","[3, 1, 0, 0, 0, 0]","[962.0852066394532, 1023.2367773203464, 0, 0, 0, 0]","[3066.914793360547, 7078.763222679654, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1602, 1064, 0, 0, 0, 0]","[(250.82713333333334, 0.008199999999999999, 0.0062), (58.020866666666684, 0.0044666666666666665, 0.0008), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4044.172866666667, 1859.9918, 999.9938), (17121.979133333334, 1799.9955333333332, 1524.9992), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0021), (3, 0.0, 0.0017666666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.107899999999999), (16102, 51.900000000000006, 6.188233333333333), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
5,"[37.3541821792008, 26.672426561342878, 0.0, 0.0, 0.0, 0.0]","[3, 2, 0, 0, 0, 0]","[964.9157079189308, 1433.835406115618, 0, 0, 0, 0]","[3064.084292081069, 6668.164593884382, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1505, 2161, 0, 0, 0, 0]","[(280.7986, 0.0041333333333333335, 0.0066), (104.15793333333333, 0.0044, 0.0008666666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4014.2014, 1859.9958666666666, 999.9934), (17075.842066666668, 1799.9956, 1524.9991333333332), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 1.666666666666667e-05, 0.0012722222222222223), (4, 0.003833333333333334, 0.004811111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.09998333333333, 10.108727777777776), (16101, 51.89616666666667, 6.185188888888888), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
6,"[37.9746835443038, 41.446556405825724, 0.0, 0.0, 0.0, 0.0]","[3, 3, 0, 0, 0, 0]","[811.5954551841753, 2194.5272716258655, 0, 0, 0, 0]","[3217.404544815825, 5907.472728374134, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1530, 3358, 0, 0, 0, 0]","[(71.47626666666667, 6.0545333333333335, 6.029066666666668), (110.0988, 0.004333333333333333, 0.0013333333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4223.523733333333, 1853.9454666666666, 993.9709333333333), (17069.9012, 1799.9956666666667, 1524.9986666666666), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.00012222222222222221), (6, 0.0039, 0.010233333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.109877777777777), (16099, 51.896100000000004, 6.179766666666666), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
7,"[41.449491188880614, 39.89138484324858, 12.947675501210353, 0.0, 0.0, 0.0]","[3, 3, 1, 0, 0, 0]","[987.0034417599754, 2156.9447538611603, 2086.9171845041096, 0, 0, 0]","[3041.9965582400246, 5945.05524613884, 14024.08281549589, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1670, 3232, 2086, 0, 0, 0]","[(69.55426666666668, 0.0007999999999999999, 0.005999999999999999), (87.03026666666666, 0.004533333333333333, 0.0014), (0.0, 0.004733333333333333, 0.00013333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4225.445733333333, 1859.9992, 999.994), (17092.96973333333, 1799.9954666666667, 1524.9986), (34360.0, 1882.6952666666666, 1333.7498666666668), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0007611111111111112), (6, 1.666666666666667e-05, 0.0035055555555555556), (3, 0.0, 0.0014222222222222223), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.109238888888889), (16099, 51.89998333333334, 6.186494444444444), (32209, 58.2, 11.638577777777776), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
8,"[43.33581533879374, 39.052085904714886, 31.30780212277326, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[1028.7600294949987, 1853.0261885693133, 3038.4056207616704, 0, 0, 0]","[3000.239970505001, 6248.9738114306865, 13072.59437923833, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1746, 3164, 5044, 0, 0, 0]","[(31.805266666666668, 0.0006666666666666668, 0.006), (280.14340000000004, 0.9976, 0.0074), (181.4032, 0.0048000000000000004, 0.00020000000000000004), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4263.194733333334, 1859.9993333333334, 999.994), (16899.8566, 1799.0024, 1524.9926), (34178.5968, 1882.6952, 1333.7498), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.0, 0.00011666666666666667), (6, 0.0, 0.0018777777777777777), (6, 0.05556666666666666, 0.028338888888888882), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.109883333333332), (16099, 51.900000000000006, 6.188122222222222), (32206, 58.14443333333334, 11.61166111111111), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
9,"[41.424671134276494, 39.138484324858055, 45.16789770963938, 0.0, 0.0, 0.0]","[3, 3, 3, 0, 0, 0]","[1057.531424963429, 538.4606800435287, 4311.203078842518, 0, 0, 0]","[2971.468575036571, 7563.539319956471, 11799.796921157482, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1669, 3171, 7277, 0, 0, 0]","[(89.47766666666666, 0.0051333333333333335, 0.005799999999999999), (307.58166666666665, 0.7733333333333333, 0.007333333333333333), (1193.9775333333334, 0.004999999999999999, 0.0007999999999999999), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4205.522333333333, 1859.9948666666667, 999.9942), (16872.418333333335, 1799.2266666666667, 1524.9926666666668), (33166.02246666667, 1882.695, 1333.7492), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.0, 0.0013444444444444445), (7, 0.0, 0.0012555555555555553), (8, 0.012966666666666666, 0.009005555555555555), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.108655555555554), (16098, 51.900000000000006, 6.188744444444444), (32204, 58.18703333333334, 11.630994444444443), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
10,"[39.116406056093325, 24.784003949642063, 48.705853143814785, 0.0, 0.0, 0.0]","[3, 2, 4, 0, 0, 0]","[842.8729637077633, 411.5683962973614, 4078.2622627370993, 0, 0, 0]","[3186.127036292237, 7690.431603702638, 12032.737737262902, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1576, 2008, 7847, 0, 0, 0]","[(97.8664, 0.009333333333333334, 6.666666666666668e-05), (106.2556, 0.0009333333333333332, 0.0028666666666666667), (3890.915, 0.004866666666666667, 0.0022), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4197.1336, 1859.9906666666666, 999.9999333333334), (17073.7444, 1799.9990666666667, 1524.9971333333333), (30469.085, 1882.6951333333334, 1333.7478), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.0, 0.0021444444444444445), (4, 0.04748333333333333, 0.016794444444444445), (7, 0.0, 0.0014388888888888893), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.107855555555554), (16101, 51.85251666666667, 6.173205555555555), (32205, 58.2, 11.63856111111111), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
