interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable,cpufailures
1,"[12.186646810622983, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[253.15647776580917, 0, 0, 0, 0, 0]","[3775.843522234191, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[491, 0, 0, 0, 0, 0]","[(44.738800000000005, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4250.2612, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(2, 0.0, 0.0004222222222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4024, 67.1, 10.109577777777778), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
2,"[26.97939935467858, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[934.4397932099564, 0, 0, 0, 0, 0]","[3094.5602067900436, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1087, 0, 0, 0, 0, 0]","[(125.12973333333332, 0.0046, 6.666666666666668e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4169.870266666667, 1859.9954, 999.9999333333334), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0011055555555555554), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.108894444444443), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
3,"[38.52072474559444, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, 0, 0, 0, 0, 0]","[951.8540845986302, 0, 0, 0, 0, 0]","[3077.14591540137, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1552, 0, 0, 0, 0, 0]","[(121.5462, 0.004866666666666667, 0.00013333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4173.4538, 1859.9951333333333, 999.9998666666667), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(8, 0.0, 0.0010888888888888888), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.10891111111111), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
4,"[44.60163812360387, 13.255986176252776, 0.0, 0.0, 0.0, 0.0]","[3, 1, 0, 0, 0, 0]","[705.6589118573598, 954.6312914962789, 0, 0, 0, 0]","[3323.3410881426403, 7147.368708503721, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1797, 1074, 0, 0, 0, 0]","[(59.7682, 0.009333333333333332, 6.666666666666668e-05), (27.962, 0.0, 0.001), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4235.2318, 1859.9906666666666, 999.9999333333334), (17152.038, 1800.0, 1524.999), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.002127777777777778), (3, 0.04601666666666666, 0.016216666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.107872222222221), (16102, 51.85398333333334, 6.173783333333333), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
5,"[41.74733184413006, 23.882991853863246, 0.0, 0.0, 0.0, 0.0]","[3, 2, 0, 0, 0, 0]","[827.666203167005, 1927.8679926662107, 0, 0, 0, 0]","[3201.333796832995, 6174.132007333789, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1682, 1935, 0, 0, 0, 0]","[(48.058466666666675, 4.134066666666667, 4.1416666666666675), (67.7202, 0.020733333333333333, 0.0214), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4246.941533333334, 1855.8659333333333, 995.8583333333333), (17112.2798, 1799.9792666666667, 1524.9786), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.0010444444444444442), (6, 0.0, 1.1111111111111112e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.108955555555555), (16099, 51.900000000000006, 6.189988888888888), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
6,"[35.09555721022586, 35.213527524068134, 0.0, 0.0, 0.0, 0.0]","[3, 3, 0, 0, 0, 0]","[841.6737558190719, 1687.3648088454192, 0, 0, 0, 0]","[3187.3262441809284, 6414.635191154581, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1414, 2853, 0, 0, 0, 0]","[(36.17486666666667, 12.107333333333337, 12.139266666666664), (14.241933333333332, 0.019066666666666666, 0.019533333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4258.825133333334, 1847.8926666666666, 987.8607333333333), (17165.758066666665, 1799.9809333333333, 1524.9804666666666), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(8, 0.0, 5e-05), (9, 0.0, 0.0007611111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.10995), (16096, 51.900000000000006, 6.189238888888888), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
7,"[38.57036485480268, 37.3734880276475, 18.353919682204705, 0.0, 0.0, 0.0]","[3, 3, 1, 0, 0, 0]","[1046.4112353733549, 1953.705651264688, 0, 0, 0, 0]","[2982.588764626645, 6148.294348735312, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1554, 3028, 2957, 0, 0, 0]","[(44.9566, 10.274666666666667, 10.301266666666665), (1440.3928666666668, 0.14286666666666667, 0.5953999999999999), (181.4032, 0.00013333333333333334, 0.00013333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4250.0434, 1849.7253333333333, 989.6987333333333), (15739.607133333333, 1799.8571333333334, 1524.4046), (34178.5968, 1882.6998666666668, 1333.7498666666668), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.0004444444444444444), (9, 0.005116666666666666, 0.1874888888888889), (3, 0.05556666666666666, 0.026677777777777772), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.109555555555556), (16096, 51.89488333333334, 6.002511111111111), (32209, 58.14443333333334, 11.613322222222221), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
8,"[39.68726731198808, 36.6823006665021, 13.605611073179816, 0.0, 0.0, 0.0]","[3, 3, 1, 0, 0, 0]","[502.70379551894536, 1758.731395761482, 1492.620801770176, 0, 0, 0]","[3526.2962044810547, 6343.268604238518, 14618.379198229824, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1599, 2972, 2192, 0, 0, 0]","[(495.27613333333335, 4.808, 0.024866666666666672), (1337.2824666666668, 0.19573333333333334, 0.7438666666666668), (7.776466666666666, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3799.7238666666667, 1855.192, 999.9751333333334), (15842.717533333333, 1799.8042666666668, 1524.2561333333333), (34352.22353333333, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.005483333333333333), (9, 0.0006, 0.1137888888888889), (2, 0.0, 7.777777777777777e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.104516666666665), (16096, 51.89940000000001, 6.07621111111111), (32210, 58.2, 11.639922222222221), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
9,"[23.777612310747084, 50.72821525549247, 26.311215939420272, 0.0, 0.0, 0.0]","[2, 4, 2, 0, 0, 0]","[433.1775814580644, 2778.789429716895, 3635.8340456751616, 0, 0, 0]","[3595.822418541936, 5323.210570283105, 12475.165954324839, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[958, 4110, 4239, 0, 0, 0]","[(396.27346666666665, 1.9246666666666667, 0.026533333333333332), (1321.0296666666668, 0.13453333333333334, 0.46480000000000005), (88.34186666666668, 6.666666666666668e-05, 6.666666666666668e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3898.7265333333335, 1858.0753333333334, 999.9734666666667), (15858.970333333333, 1799.8654666666666, 1524.5352), (34271.65813333333, 1882.6999333333333, 1333.7499333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(2, 0.0, 0.005022222222222222), (12, 1.666666666666667e-05, 0.12256666666666668), (3, 0.0, 0.001705555555555555), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4024, 67.1, 10.104977777777778), (16093, 51.89998333333334, 6.067433333333333), (32209, 58.2, 11.638294444444444), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
10,"[22.933730454206998, 51.20957788200444, 42.74719135994041, 0.0, 0.0, 0.0]","[2, 4, 3, 0, 0, 0]","[839.6311980140448, 2680.465853894449, 6632.74483344622, 0, 0, 0]","[3189.368801985955, 5421.5341461055505, 9478.25516655378, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[924, 4149, 6887, 0, 0, 0]","[(21.888133333333336, 0.0019333333333333331, 0.0019333333333333331), (106.95346666666666, 0.0006, 0.0015333333333333334), (71.38906666666665, 0.051533333333333334, 0.05473333333333332), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4273.111866666667, 1859.9980666666668, 999.9980666666667), (17073.046533333334, 1799.9994, 1524.9984666666667), (34288.61093333333, 1882.6484666666668, 1333.6952666666666), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(2, 0.0, 4.4444444444444447e-05), (12, 0.04601666666666666, 0.016950000000000003), (5, 0.0, 0.0017055555555555556), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4024, 67.1, 10.109955555555555), (16093, 51.85398333333334, 6.17305), (32207, 58.2, 11.638294444444444), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
