interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable,cpufailures
1,"[13.229089103996028, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[292.65991900139494, 0, 0, 0, 0, 0]","[3736.340080998605, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[533, 0, 0, 0, 0, 0]","[(79.69139999999999, 0.08446666666666666, 0.004733333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4215.3086, 1859.9155333333333, 999.9952666666667), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(2, 0.0, 0.08105555555555555), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4024, 67.1, 10.028944444444443), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
2,"[27.997021593447506, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[905.8896524003461, 0, 0, 0, 0, 0]","[3123.110347599654, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1128, 0, 0, 0, 0, 0]","[(111.84719999999999, 0.08473333333333334, 0.004333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4183.1528, 1859.9152666666666, 999.9956666666667), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.07616111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.033838888888889), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
3,"[43.23653512037727, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, 0, 0, 0, 0, 0]","[710.8058713612138, 0, 0, 0, 0, 0]","[3318.1941286387864, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1742, 0, 0, 0, 0, 0]","[(96.81693333333334, 0.08413333333333334, 0.004066666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4198.1830666666665, 1859.9158666666667, 999.9959333333334), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.07073333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.039266666666666), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
4,"[41.6728716803177, 11.318193038755862, 0.0, 0.0, 0.0, 0.0]","[3, 1, 0, 0, 0, 0]","[646.6598242958711, 717.3496681211327, 0, 0, 0, 0]","[3382.340175704129, 7384.650331878867, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1679, 917, 0, 0, 0, 0]","[(76.63193333333334, 0.0002666666666666667, 0.0002), (9.785933333333332, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4218.368066666667, 1859.9997333333333, 999.9998), (17170.214066666667, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.0004444444444444444), (3, 0.0, 0.0007611111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.109555555555556), (16102, 51.900000000000006, 6.189238888888888), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
5,"[46.28940183668404, 26.9316218217724, 0.0, 0.0, 0.0, 0.0]","[3, 2, 0, 0, 0, 0]","[620.8906222193348, 1902.897963789931, 0, 0, 0, 0]","[3408.1093777806655, 6199.102036210069, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1865, 2182, 0, 0, 0, 0]","[(43.95166666666667, 0.038266666666666664, 0.0012666666666666666), (513.4516666666667, 0.0004, 0.0003333333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4251.048333333333, 1859.9617333333333, 999.9987333333333), (16666.548333333332, 1799.9996, 1524.9996666666666), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.007622222222222224), (5, 0.012733333333333334, 0.004244444444444445), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.102377777777777), (16100, 51.88726666666667, 6.185755555555555), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
6,"[30.330106726234796, 52.80177733892866, 0.0, 0.0, 0.0, 0.0]","[2, 4, 0, 0, 0, 0]","[1010.98758028263, 2083.717214407162, 0, 0, 0, 0]","[3018.01241971737, 6018.282785592838, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1222, 4278, 0, 0, 0, 0]","[(379.58353333333343, 0.6322666666666668, 0.19313333333333332), (1705.6818666666668, 0.013466666666666667, 0.19379999999999997), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3915.4164666666666, 1859.3677333333333, 999.8068666666667), (15474.318133333334, 1799.9865333333332, 1524.8062), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.011550000000000001, 0.43105), (9, 0.0002833333333333333, 0.00383888888888889), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.08845, 9.678949999999999), (16096, 51.89971666666667, 6.186161111111111), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
7,"[42.21891288160834, 25.857812885707233, 24.188442678915028, 0.0, 0.0, 0.0]","[3, 2, 2, 0, 0, 0]","[880.370424246677, 1727.153756143775, 2634.2523031496976, 0, 0, 0]","[3148.629575753323, 6374.846243856226, 13476.747696850303, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1701, 2095, 3897, 0, 0, 0]","[(376.08833333333325, 0.46453333333333335, 0.1366), (1197.9969333333333, 0.0002, 0.001), (163.57760000000002, 0.020733333333333333, 0.02553333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3918.911666666667, 1859.5354666666667, 999.8634), (15982.003066666666, 1799.9998, 1524.999), (34196.4224, 1882.6792666666668, 1333.7244666666666), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 1.666666666666667e-05, 0.22888333333333336), (4, 1.666666666666667e-05, 0.00018333333333333334), (3, 0.0, 0.0023388888888888886), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.09998333333333, 9.881116666666665), (16101, 51.89998333333334, 6.189816666666666), (32209, 58.2, 11.63766111111111), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
8,"[38.39662447257383, 36.27499382868427, 24.188442678915028, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[827.9944710728619, 2648.848692421524, 1865.571789951444, 0, 0, 0]","[3201.005528927138, 5453.151307578476, 14245.428210048556, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1547, 2939, 3897, 0, 0, 0]","[(476.75160000000005, 0.4967999999999999, 0.15953333333333333), (1095.061533333333, 0.0046, 0.0009999999999999998), (318.76660000000004, 0.017666666666666664, 0.021400000000000002), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3818.2484, 1859.5032, 999.8404666666667), (16084.938466666666, 1799.9954, 1524.999), (34041.2334, 1882.6823333333334, 1333.7286), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 8.333333333333333e-05, 0.2875055555555555), (5, 0.04548333333333333, 0.01718888888888889), (3, 0.0, 0.0024611111111111105), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.09991666666666, 9.822494444444445), (16100, 51.85451666666667, 6.172811111111111), (32209, 58.2, 11.637538888888887), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
9,"[41.25093075204765, 47.75364107627746, 13.518713922164979, 0.0, 0.0, 0.0]","[3, 4, 1, 0, 0, 0]","[1171.6619132094083, 1483.2066281141633, 0, 0, 0, 0]","[2857.3380867905917, 6618.793371885837, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1662, 3869, 2178, 0, 0, 0]","[(245.19086666666666, 6.0591333333333335, 6.029066666666668), (1133.9023333333334, 0.0054666666666666665, 0.0017333333333333333), (195.73366666666664, 0.0136, 0.018666666666666668), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4049.809133333333, 1853.9408666666666, 993.9709333333333), (16046.097666666667, 1799.9945333333333, 1524.9982666666667), (34164.26633333333, 1882.6864, 1333.7313333333334), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.0, 0.0013277777777777778), (8, 0.0, 0.0011888888888888889), (2, 0.0021000000000000003, 0.00030555555555555555), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.108672222222221), (16097, 51.900000000000006, 6.188811111111111), (32210, 58.197900000000004, 11.639694444444443), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
10,"[48.870687515512536, 33.12762280918292, 24.85258519024269, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[555.1758979727082, 1142.2729357333765, 3979.7554236200767, 0, 0, 0]","[3473.8241020272917, 6959.7270642666235, 12131.244576379922, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1969, 2684, 4004, 0, 0, 0]","[(277.87106666666665, 0.006466666666666666, 0.004999999999999999), (30.27646666666667, 0.004666666666666666, 0.00013333333333333334), (1370.1382666666668, 0.0168, 0.010600000000000002), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4017.1289333333334, 1859.9935333333333, 999.995), (17149.723533333334, 1799.9953333333333, 1524.9998666666668), (32989.86173333333, 1882.6832, 1333.7394), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 1.666666666666667e-05, 0.0005055555555555555), (6, 0.0, 0.0011666666666666665), (5, 1.666666666666667e-05, 0.01598888888888889), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.09998333333333, 10.109494444444444), (16099, 51.900000000000006, 6.188833333333333), (32207, 58.199983333333336, 11.624011111111109), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
