interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable,cpufailures
1,"[14.296351451973194, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[264.8407372849268, 0, 0, 0, 0, 0]","[3764.159262715073, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[576, 0, 0, 0, 0, 0]","[(8.2132, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4286.7868, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(2, 0.0, 0.00019999999999999998), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4024, 67.1, 10.1098), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
2,"[24.99379498634897, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[821.6722260343238, 0, 0, 0, 0, 0]","[3207.327773965676, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1007, 0, 0, 0, 0, 0]","[(40.019733333333335, 6.666666666666668e-05, 0.0002), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4254.9802666666665, 1859.9999333333333, 999.9998), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.00065, 0.0002), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.09935, 10.1098), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
3,"[36.38620004964011, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, 0, 0, 0, 0, 0]","[662.7922245376585, 0, 0, 0, 0, 0]","[3366.2077754623415, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1466, 0, 0, 0, 0, 0]","[(140.33346666666665, 0.004933333333333333, 0.00020000000000000004), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4154.666533333333, 1859.9950666666666, 999.9998), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0012944444444444444), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.108705555555556), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
4,"[36.06353933978655, 15.675141940261664, 0.0, 0.0, 0.0, 0.0]","[3, 1, 0, 0, 0, 0]","[489.90570822674886, 1120.000055532975, 0, 0, 0, 0]","[3539.094291773251, 6981.999944467025, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1453, 1270, 0, 0, 0, 0]","[(109.48786666666666, 0.004666666666666667, 0.0004), (7.339466666666667, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4185.512133333334, 1859.9953333333333, 999.9996), (17172.660533333332, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.00065, 0.0012444444444444447), (3, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.09935, 10.108755555555556), (16102, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
5,"[44.72573839662447, 28.968156010861517, 0.0, 0.0, 0.0, 0.0]","[3, 2, 0, 0, 0, 0]","[620.8906222193348, 1076.7326721057477, 0, 0, 0, 0]","[3408.1093777806655, 7025.267327894252, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1802, 2347, 0, 0, 0, 0]","[(100.8374, 0.0428, 0.0014), (1228.6680666666668, 0.0008, 0.001066666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4194.1626, 1859.9572, 999.9986), (15951.331933333333, 1799.9992, 1524.9989333333333), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(8, 0.0, 0.00876666666666667), (4, 0.0, 0.00013333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.101233333333333), (16101, 51.900000000000006, 6.189866666666666), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
6,"[32.29089103996029, 37.1760059244631, 13.822853950716901, 0.0, 0.0, 0.0]","[2, 3, 1, 0, 0, 0]","[1154.605986659158, 2029.249622660262, 1264.8212801613754, 0, 0, 0]","[2874.3940133408423, 6072.750377339738, 14846.178719838625, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1301, 3012, 2227, 0, 0, 0]","[(120.93526666666668, 0.04273333333333334, 0.0012666666666666666), (1197.4288666666666, 0.0002, 0.002), (22.3696, 0.004666666666666667, 0.00013333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4174.064733333334, 1859.9572666666666, 999.9987333333333), (15982.571133333333, 1799.9998, 1524.998), (34337.6304, 1882.6953333333333, 1333.7498666666668), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.0017333333333333335), (5, 1.666666666666667e-05, 0.00024444444444444443), (2, 0.0, 0.0010722222222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.108266666666665), (16100, 51.89998333333334, 6.189755555555555), (32210, 58.2, 11.638927777777777), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
7,"[43.01315462894018, 37.1760059244631, 13.822853950716901, 0.0, 0.0, 0.0]","[3, 3, 1, 0, 0, 0]","[944.9016530133691, 1669.2976990579161, 0, 0, 0, 0]","[3084.098346986631, 6432.702300942084, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1733, 3012, 2227, 0, 0, 0]","[(126.39613333333332, 0.04293333333333333, 0.0012666666666666666), (1020.8750666666665, 0.0, 0.0019333333333333333), (33.5544, 0.004666666666666667, 6.666666666666668e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4168.603866666666, 1859.9570666666666, 999.9987333333333), (16159.124933333333, 1800.0, 1524.9980666666668), (34326.4456, 1882.6953333333333, 1333.7499333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0016166666666666666), (5, 0.04548333333333333, 0.016183333333333334), (2, 0.0, 0.0010277777777777776), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.108383333333332), (16100, 51.85451666666667, 6.173816666666666), (32210, 58.2, 11.638972222222222), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
8,"[39.513526929759244, 38.373241175018514, 10.086276457079014, 0.0, 0.0, 0.0]","[3, 3, 1, 0, 0, 0]","[897.7834209919906, 960.3441183327393, 1184.2313299584257, 0, 0, 0]","[3131.2165790080094, 7141.6558816672605, 14926.768670041574, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1592, 3109, 1625, 0, 0, 0]","[(86.4632, 0.009066666666666666, 0.00020000000000000004), (1154.1312666666668, 0.0002666666666666667, 0.002533333333333333), (13.981, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4208.5368, 1859.9909333333333, 999.9998), (16025.868733333333, 1799.9997333333333, 1524.9974666666667), (34346.019, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0021944444444444446), (3, 0.0, 0.0011166666666666668), (2, 0.0, 9.999999999999999e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.107805555555554), (16102, 51.900000000000006, 6.188883333333333), (32210, 58.2, 11.639899999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
9,"[39.488706875155124, 23.586768699086647, 42.896157904537276, 0.0, 0.0, 0.0]","[3, 2, 3, 0, 0, 0]","[1479.654335677852, 1486.9816520796153, 4825.967268485979, 0, 0, 0]","[2549.345664322148, 6615.018347920384, 11285.03273151402, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1591, 1911, 6911, 0, 0, 0]","[(80.7398, 0.004533333333333333, 6.666666666666668e-05), (48.53966666666667, 0.0, 0.0004), (188.7434, 0.020466666666666668, 0.02213333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4214.2602, 1859.9954666666667, 999.9999333333334), (17131.460333333333, 1800.0, 1524.9996), (34171.2566, 1882.6795333333334, 1333.7278666666666), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.0010555555555555559), (3, 0.0, 0.000738888888888889), (6, 0.0, 0.0012444444444444445), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.108944444444443), (16102, 51.900000000000006, 6.189261111111111), (32206, 58.2, 11.638755555555555), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
10,"[55.075701166542565, 23.586768699086647, 42.896157904537276, 0.0, 0.0, 0.0]","[4, 2, 3, 0, 0, 0]","[808.0702780157038, 668.1037271435606, 4973.37493405667, 0, 0, 0]","[3220.929721984296, 7433.896272856439, 11137.62506594333, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2219, 1911, 6911, 0, 0, 0]","[(249.8222, 0.004533333333333333, 6.666666666666668e-05), (36.568133333333336, 0.0002, 0.0007333333333333332), (170.56799999999998, 0.017333333333333333, 0.017533333333333335), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4045.1778, 1859.9954666666667, 999.9999333333334), (17143.431866666666, 1799.9998, 1524.9992666666667), (34189.432, 1882.6826666666668, 1333.7324666666666), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(8, 0.0, 0.0018166666666666665), (3, 0.0, 0.0007166666666666666), (6, 0.0, 0.0011944444444444444), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.108183333333333), (16102, 51.900000000000006, 6.189283333333333), (32206, 58.2, 11.638805555555555), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
