interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable,cpufailures
1,"[15.884834946636882, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[476.0919837416496, 0, 0, 0, 0, 0]","[3552.9080162583505, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[640, 0, 0, 0, 0, 0]","[(25.1658, 0.004533333333333333, 0.00013333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4269.8342, 1859.9954666666667, 999.9998666666667), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.0, 0.001077777777777778), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.10892222222222), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
2,"[28.66716306775875, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[234.3502013544148, 0, 0, 0, 0, 0]","[3794.649798645585, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1155, 0, 0, 0, 0, 0]","[(85.89513333333333, 0.004533333333333333, 6.666666666666668e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4209.104866666667, 1859.9954666666667, 999.9999333333334), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0010444444444444446), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.108955555555555), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
3,"[28.74162323157111, 16.82300666502098, 0.0, 0.0, 0.0, 0.0]","[2, 1, 0, 0, 0, 0]","[485.97200743316597, 1225.132191172346, 0, 0, 0, 0]","[3543.027992566834, 6876.867808827654, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1158, 1363, 0, 0, 0, 0]","[(22.80573333333333, 0.0, 0.0), (545.259, 0.6861333333333334, 1.4692), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4272.194266666666, 1860.0, 1000.0), (16634.741, 1799.3138666666666, 1523.5308), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 5e-05, 0.34747222222222224), (1, 0.07585, 0.04698333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.09994999999999, 9.762527777777777), (16104, 51.82415, 6.143016666666666), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
4,"[27.823281211218664, 30.819550728215255, 0.0, 0.0, 0.0, 0.0]","[2, 2, 0, 0, 0, 0]","[1066.2955504211502, 2411.957606498861, 0, 0, 0, 0]","[2962.7044495788496, 5690.042393501139, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1121, 2497, 0, 0, 0, 0]","[(20.62126666666667, 0.0, 0.0), (796.917, 0.7279333333333334, 1.2137333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4274.378733333333, 1860.0, 1000.0), (16383.083, 1799.2720666666667, 1523.7862666666667), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.00012222222222222221), (3, 0.0017166666666666665, 0.0035444444444444447), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.109877777777777), (16102, 51.89828333333334, 6.186455555555555), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
5,"[44.22933730454207, 30.819550728215255, 0.0, 0.0, 0.0, 0.0]","[3, 2, 0, 0, 0, 0]","[861.4230654245456, 1363.0685776325743, 0, 0, 0, 0]","[3167.5769345754543, 6738.9314223674255, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1782, 2497, 0, 0, 0, 0]","[(37.04773333333333, 0.0, 0.0), (592.7944, 0.6993333333333333, 1.3259333333333332), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4257.952266666666, 1860.0, 1000.0), (16587.2056, 1799.3006666666668, 1523.6740666666667), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.001327777777777778), (3, 0.00225, 0.06624444444444445), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.108672222222221), (16102, 51.89775000000001, 6.123755555555555), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
6,"[42.913874410523704, 30.819550728215255, 13.878716404940725, 0.0, 0.0, 0.0]","[3, 2, 1, 0, 0, 0]","[927.5066705133294, 1134.0075608188852, 1075.2614052479814, 0, 0, 0]","[3101.4933294866705, 6967.992439181115, 15035.738594752018, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1729, 2497, 2236, 0, 0, 0]","[(34.60180000000001, 0.0, 0.0), (1073.7413999999999, 0.7183999999999999, 1.3978000000000004), (36.3506, 0.004666666666666667, 6.666666666666668e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4260.3982, 1860.0, 1000.0), (16106.258600000001, 1799.2816, 1523.6022), (34323.6494, 1882.6953333333333, 1333.7499333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.0013888888888888887), (3, 1.0436000000000003, 0.5162555555555556), (3, 0.0, 0.0011166666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.108611111111111), (16102, 50.85640000000001, 5.673744444444444), (32209, 58.2, 11.638883333333332), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
7,"[47.828245222139486, 27.0303628733646, 27.180187449568617, 0.0, 0.0, 0.0]","[3, 2, 2, 0, 0, 0]","[1095.573323049155, 1541.4030778313754, 2786.0307970825943, 0, 0, 0]","[2933.426676950845, 6560.596922168625, 13324.969202917406, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1927, 2190, 4379, 0, 0, 0]","[(74.44800000000001, 6.666666666666668e-05, 0.00013333333333333334), (109.0518, 0.0046, 6.666666666666668e-05), (469.7616, 0.2676, 0.009800000000000001), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4220.552, 1859.9999333333333, 999.9998666666667), (17070.9482, 1799.9954, 1524.9999333333333), (33890.2384, 1882.4324000000001, 1333.7402), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0020388888888888887), (4, 0.0, 0.0013444444444444443), (5, 0.0, 0.010722222222222223), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.107961111111111), (16101, 51.900000000000006, 6.188655555555555), (32207, 58.2, 11.629277777777776), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
8,"[48.49838669645074, 37.83016539126142, 27.180187449568617, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[1033.25209020504, 1317.7559694965737, 1529.8737087128266, 0, 0, 0]","[2995.74790979496, 6784.244030503426, 14581.126291287173, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1954, 3065, 4379, 0, 0, 0]","[(51.248333333333335, 0.0, 0.0), (185.2039333333333, 0.004533333333333333, 0.0006000000000000001), (343.93260000000004, 0.021333333333333336, 0.001066666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4243.751666666667, 1860.0, 1000.0), (16994.796066666666, 1799.9954666666667, 1524.9994), (34016.0674, 1882.6786666666667, 1333.7489333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0005611111111111112), (7, 0.0, 0.001472222222222222), (5, 0.0, 0.001261111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.109438888888889), (16098, 51.900000000000006, 6.188527777777777), (32207, 58.2, 11.638738888888888), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
9,"[48.49838669645074, 40.928165884966674, 23.356712804915897, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[1362.0054770534384, 1988.5293766890554, 1614.403632382624, 0, 0, 0]","[2666.9945229465616, 6113.470623310945, 14496.596367617376, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1954, 3316, 3763, 0, 0, 0]","[(66.80206666666666, 6.666666666666668e-05, 0.00013333333333333334), (168.0334, 0.00046666666666666666, 0.00013333333333333334), (528.4814666666667, 0.0174, 0.0011333333333333332), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4228.197933333333, 1859.9999333333333, 999.9998666666667), (17011.9666, 1799.9995333333334, 1524.9998666666668), (33831.518533333336, 1882.6826, 1333.7488666666666), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0006777777777777778), (7, 0.0, 0.003288888888888889), (5, 0.0, 0.0005888888888888889), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.109322222222222), (16098, 51.900000000000006, 6.18671111111111), (32207, 58.2, 11.63941111111111), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
10,"[50.90593199305038, 40.989879042211804, 22.15877350878282, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[1273.7864333318528, 553.644077674176, 2825.754085006324, 0, 0, 0]","[2755.213566668147, 7548.355922325824, 13285.245914993677, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2051, 3321, 3570, 0, 0, 0]","[(69.86013333333334, 0.0, 0.0), (38.53426666666667, 0.0005333333333333334, 0.0021333333333333334), (90.74506666666666, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4225.139866666666, 1860.0, 1000.0), (17141.465733333334, 1799.9994666666666, 1524.9978666666666), (34269.25493333333, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.0, 0.0005611111111111112), (6, 0.0, 0.002872222222222222), (5, 0.0, 2.2222222222222223e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.109438888888889), (16099, 51.900000000000006, 6.187127777777778), (32207, 58.2, 11.639977777777776), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
