interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable,cpufailures
1,"[17.696698932737654, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[340.1411929264844, 0, 0, 0, 0, 0]","[3688.8588070735154, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[713, 0, 0, 0, 0, 0]","[(15.494357142857144, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4279.505642857142, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(1, 0.0, 1.1904761904761903e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4025, 67.1, 10.109988095238094), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
2,"[30.627947381484237, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[498.3846518486158, 0, 0, 0, 0, 0]","[3530.6153481513843, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1234, 0, 0, 0, 0, 0]","[(62.88890000000001, 0.004666666666666667, 6.666666666666668e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4232.1111, 1859.9953333333333, 999.9999333333334), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(2, 0.0, 0.0012015873015873016), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4024, 67.1, 10.108798412698413), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
3,"[25.961777115909655, 10.355467785731918, 0.0, 0.0, 0.0, 0.0]","[2, 1, 0, 0, 0, 0]","[502.70379551894536, 735.4592293782081, 0, 0, 0, 0]","[3526.2962044810547, 7366.540770621792, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1046, 839, 0, 0, 0, 0]","[(527.0834, 4.810666666666667, 0.023933333333333338), (198.53013333333334, 0.0008, 0.013533333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3767.9166, 1855.1893333333333, 999.9760666666666), (16981.469866666666, 1799.9992, 1524.9864666666667), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(2, 0.0, 0.00616111111111111), (2, 0.06103333333333333, 0.012594444444444445), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4024, 67.1, 10.103838888888887), (16103, 51.83896666666667, 6.177405555555555), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
4,"[29.287664432861753, 26.536657615403602, 0.0, 0.0, 0.0, 0.0]","[2, 2, 0, 0, 0, 0]","[906.1608066654496, 673.2621285693309, 0, 0, 0, 0]","[3122.83919333455, 7428.737871430669, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1180, 2150, 0, 0, 0, 0]","[(397.0604, 1.923, 0.02493333333333333), (229.28813333333326, 0.1168, 0.11346666666666665), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3897.9396, 1858.077, 999.9750666666666), (16950.71186666667, 1799.8832, 1524.8865333333333), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(2, 0.042083333333333334, 0.019911111111111112), (3, 0.29986666666666667, 0.014672222222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4024, 67.05791666666666, 10.090088888888888), (16102, 51.60013333333334, 6.1753277777777775), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
5,"[44.527177959791516, 16.16884719822266, 14.846998944820308, 0.0, 0.0, 0.0]","[3, 1, 1, 0, 0, 0]","[1447.4622709648054, 0, 2097.770047607016, 0, 0, 0]","[2581.5377290351944, 8102, 14013.229952392983, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1794, 1310, 2392, 0, 0, 0]","[(449.1385333333333, 3.8347333333333333, 0.0464), (0.0, 0.006666666666666668, 0.002333333333333333), (1.2226666666666668, 0.002466666666666667, 0.002466666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3845.8614666666667, 1856.1652666666666, 999.9536), (17180.0, 1799.9933333333333, 1524.9976666666666), (34358.77733333333, 1882.6975333333335, 1333.7475333333334), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.00031666666666666665, 0.005138888888888889), (1, 0.0, 0.0031666666666666666), (3, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.09968333333333, 10.104861111111111), (16104, 51.900000000000006, 6.1868333333333325), (32209, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
6,"[57.78108711839166, 0.0, 28.365712866985287, 0.0, 0.0, 0.0]","[4, 0, 2, 0, 0, 0]","[671.7147251996212, 0, 4120.083112874263, 0, 0, 0]","[3357.285274800379, 8102, 11990.916887125737, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2328, 0, 4570, 0, 0, 0]","[(556.7916666666667, 3.1284666666666667, 0.06006666666666668), (0, 0, 0), (130.98386666666667, 0.0166, 0.02273333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3738.208333333333, 1856.8715333333334, 999.9399333333333), (17180, 1800.0, 1525.0), (34229.01613333333, 1882.6834000000001, 1333.7272666666668), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.08612777777777778), (0, 0, 0), (5, 0.0, 2.2222222222222223e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.023872222222222), (16105, 51.900000000000006, 6.1899999999999995), (32207, 58.2, 11.639977777777776), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
7,"[43.509555721022586, 24.413725006171315, 28.365712866985287, 0.0, 0.0, 0.0]","[3, 2, 2, 0, 0, 0]","[916.962998797175, 1509.1292035705994, 1865.571789951444, 0, 0, 0]","[3112.037001202825, 6592.870796429401, 14245.428210048556, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1753, 1978, 4570, 0, 0, 0]","[(74.44766666666666, 0.08653333333333334, 0.005200000000000001), (1593.1355333333336, 0.005933333333333332, 0.004933333333333333), (134.65406666666667, 0.013466666666666665, 0.018333333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4220.552333333333, 1859.9134666666666, 999.9948), (15586.864466666666, 1799.9940666666666, 1524.9950666666666), (34225.34593333333, 1882.6865333333333, 1333.7316666666666), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.07575), (5, 0.0, 0.001644444444444445), (5, 0.0, 3.3333333333333335e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.03425), (16100, 51.900000000000006, 6.188355555555555), (32207, 58.2, 11.639966666666666), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
8,"[42.56639364606602, 37.200691187361144, 13.518713922164979, 0.0, 0.0, 0.0]","[3, 3, 1, 0, 0, 0]","[571.3448714312985, 2659.3893079444674, 0, 0, 0, 0]","[3457.6551285687015, 5442.610692055532, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1715, 3014, 2178, 0, 0, 0]","[(77.06893333333332, 0.08613333333333334, 0.005066666666666666), (2685.052, 0.14833333333333334, 0.5992), (195.73366666666664, 0.0136, 0.018666666666666668), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4217.931066666667, 1859.9138666666668, 999.9949333333333), (14494.948, 1799.8516666666667, 1524.4008), (34164.26633333333, 1882.6864, 1333.7313333333334), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.07091111111111112), (8, 0.005116666666666666, 0.18779444444444446), (2, 0.0021000000000000003, 0.00030555555555555555), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.03908888888889), (16097, 51.89488333333334, 6.002205555555555), (32210, 58.197900000000004, 11.639694444444443), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
9,"[43.11243484735666, 48.67933843495433, 0.0, 0.0, 0.0, 0.0]","[3, 4, 0, 0, 0, 0]","[1013.3911969029496, 2253.901299481377, 0, 0, 0, 0]","[3015.6088030970504, 5848.098700518623, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1737, 3944, 0, 0, 0, 0]","[(29.35846666666666, 6.056533333333333, 6.030066666666668), (2371.397, 0.20193333333333333, 0.7458000000000001), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4265.641533333333, 1853.9434666666666, 993.9699333333333), (14808.603, 1799.7980666666667, 1524.2542), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.00037777777777777777), (11, 0.0038, 0.11580555555555556), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.109622222222221), (16094, 51.89620000000001, 6.074194444444444), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
10,"[38.69446512782328, 50.16045420883732, 10.992489603376574, 0.0, 0.0, 0.0]","[3, 4, 1, 0, 0, 0]","[981.855031606053, 995.0892898676415, 1746.7766281727716, 0, 0, 0]","[3047.1449683939472, 7106.910710132359, 14364.22337182723, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1559, 4064, 1771, 0, 0, 0]","[(15.377266666666667, 0.003999999999999999, 0.0021333333333333334), (1461.2329333333332, 0.15713333333333332, 0.47173333333333334), (335.544, 0.016466666666666664, 0.009866666666666668), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4279.622733333334, 1859.996, 999.9978666666667), (15718.767066666667, 1799.8428666666666, 1524.5282666666667), (34024.456, 1882.6835333333333, 1333.7401333333332), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.00022222222222222223), (10, 0.0032500000000000003, 0.12309444444444446), (3, 0.0, 0.015905555555555555), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.109777777777778), (16095, 51.896750000000004, 6.066905555555555), (32209, 58.2, 11.624094444444443), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
