interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable,cpufailures
1,"[16.827997021593447, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[389.072940082895, 0, 0, 0, 0, 0]","[3639.927059917105, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[678, 0, 0, 0, 0, 0]","[(67.10839999999999, 0.00013333333333333334, 0.001), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4227.8916, 1859.9998666666668, 999.999), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(1, 0.0, 0.0005722222222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4025, 67.1, 10.109427777777777), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
2,"[28.51824274013403, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[859.2334153973293, 0, 0, 0, 0, 0]","[3169.7665846026707, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1149, 0, 0, 0, 0, 0]","[(80.47739999999999, 6.666666666666668e-05, 0.001), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4214.5226, 1859.9999333333333, 999.999), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.0, 0.0005666666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.109433333333333), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
3,"[38.52072474559444, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, 0, 0, 0, 0, 0]","[397.33107594720565, 0, 0, 0, 0, 0]","[3631.6689240527944, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1552, 0, 0, 0, 0, 0]","[(370.4080666666666, 0.5276666666666667, 0.15933333333333335), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3924.591933333333, 1859.4723333333334, 999.8406666666667), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0045722222222222214), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.105427777777777), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
4,"[29.486224869694716, 21.21698346087386, 0.0, 0.0, 0.0, 0.0]","[2, 2, 0, 0, 0, 0]","[973.0892795284428, 1719.3555905159747, 0, 0, 0, 0]","[3055.9107204715574, 6382.644409484025, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1188, 1719, 0, 0, 0, 0]","[(473.95546666666667, 0.008666666666666666, 0.02993333333333333), (92.79799999999999, 0.0204, 0.0172), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3821.044533333333, 1859.9913333333334, 999.9700666666666), (17087.202, 1799.9796, 1524.9828), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0705, 0.029438888888888886), (5, 0.0, 0.010983333333333335), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.0295, 10.08056111111111), (16100, 51.900000000000006, 6.179016666666667), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
5,"[42.44229337304542, 21.21698346087386, 0.0, 0.0, 0.0, 0.0]","[3, 2, 0, 0, 0, 0]","[1287.1868512739811, 712.8675123780805, 0, 0, 0, 0]","[2741.813148726019, 7389.13248762192, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1710, 1719, 0, 0, 0, 0]","[(430.9634666666666, 0.006600000000000001, 0.02273333333333333), (84.4092, 0.0044, 0.001066666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3864.0365333333334, 1859.9934, 999.9772666666667), (17095.5908, 1799.9956, 1524.9989333333333), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 1.666666666666667e-05, 0.004372222222222222), (5, 0.0, 0.007511111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.09998333333333, 10.105627777777777), (16100, 51.900000000000006, 6.182488888888888), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
6,"[47.45594440307769, 20.79733399160701, 12.786295077897089, 0.0, 0.0, 0.0]","[3, 2, 1, 0, 0, 0]","[886.7891698559396, 411.5683962973614, 2060.4280407364645, 0, 0, 0]","[3142.2108301440603, 7690.431603702638, 14050.571959263536, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1912, 1685, 2060, 0, 0, 0]","[(89.1274, 0.0020666666666666667, 0.0025333333333333336), (84.93393333333333, 0.0009333333333333332, 0.0018666666666666666), (39.146666666666654, 0.29753333333333337, 0.0019333333333333331), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4205.8726, 1859.9979333333333, 999.9974666666667), (17095.066066666666, 1799.9990666666667, 1524.9981333333333), (34320.85333333333, 1882.4024666666667, 1333.7480666666668), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.000977777777777778), (4, 0.0, 0.0006166666666666668), (1, 0.003, 0.06097777777777777), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.109022222222222), (16101, 51.900000000000006, 6.189383333333333), (32211, 58.197, 11.579022222222221), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
7,"[39.36460660213452, 28.770673907677118, 30.643659611445596, 0.0, 0.0, 0.0]","[3, 2, 2, 0, 0, 0]","[587.8965314442697, 2005.935864590824, 2177.9713237482574, 0, 0, 0]","[3441.10346855573, 6096.064135409176, 13933.028676251743, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1586, 2331, 4937, 0, 0, 0]","[(36.39273333333333, 0.002, 0.001), (166.37346666666667, 8.277333333333333, 0.14746666666666666), (107.65333333333331, 0.22119999999999998, 0.004599999999999999), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4258.607266666667, 1859.998, 999.999), (17013.626533333332, 1791.7226666666666, 1524.8525333333334), (34252.346666666665, 1882.4788, 1333.7454), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.00047222222222222224), (2, 8.906633333333335, 3.687822222222222), (2, 0.0002833333333333333, 0.09515555555555555), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.109527777777776), (16103, 42.993366666666674, 2.5021777777777774), (32210, 58.19971666666667, 11.544844444444443), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
8,"[37.155621742367835, 40.75536904468033, 30.643659611445596, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[698.9758524323533, 2496.7696568217575, 0, 0, 0, 0]","[3330.0241475676467, 5605.230343178242, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1497, 3302, 4937, 0, 0, 0]","[(39.31986666666666, 0.003666666666666667, 0.0026), (325.75620000000004, 0.0864, 0.6099999999999999), (104.85746666666668, 0.2222, 0.0017333333333333335), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4255.680133333333, 1859.9963333333333, 999.9974), (16854.2438, 1799.9136, 1524.39), (34255.14253333333, 1882.4778000000001, 1333.7482666666667), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0004555555555555555), (3, 0.0, 0.0009722222222222222), (2, 0.0, 0.055216666666666664), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.109544444444444), (16102, 51.900000000000006, 6.189027777777778), (32210, 58.2, 11.584783333333332), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
9,"[36.90742119632663, 44.137250061713154, 12.606293836509217, 0.0, 0.0, 0.0]","[3, 3, 1, 0, 0, 0]","[972.3698657684324, 1932.622137014465, 1750.6742626488133, 0, 0, 0]","[3056.6301342315674, 6169.377862985535, 14360.325737351186, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1487, 3576, 2031, 0, 0, 0]","[(110.0118, 0.006533333333333333, 0.0019999999999999996), (185.24726666666663, 0.18473333333333333, 1.2972666666666666), (12.582600000000001, 6.666666666666668e-05, 6.666666666666668e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4184.9882, 1859.9934666666666, 999.998), (16994.752733333335, 1799.8152666666667, 1523.7027333333333), (34347.4174, 1882.6999333333333, 1333.7499333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.0011944444444444444), (5, 0.0018833333333333334, 0.001788888888888889), (1, 0.0, 0.0004111111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.108805555555556), (16100, 51.898116666666674, 6.18821111111111), (32211, 58.2, 11.639588888888888), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
10,"[45.02357905187392, 35.59614909898791, 26.633976786046798, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[1015.6490747114317, 1455.0720993008613, 2086.322616089701, 0, 0, 0]","[3013.3509252885683, 6646.927900699138, 14024.677383910299, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1814, 2884, 4291, 0, 0, 0]","[(160.78053333333332, 0.013, 0.0067333333333333325), (513.1020666666666, 0.09153333333333333, 0.2825333333333333), (110.44953333333333, 0.0003333333333333334, 0.0004), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4134.219466666666, 1859.987, 999.9932666666666), (16666.897933333334, 1799.9084666666668, 1524.7174666666667), (34249.55046666667, 1882.6996666666666, 1333.7496), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.001311111111111111), (6, 0.21001666666666666, 0.11900555555555557), (2, 0.0, 0.005883333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.108688888888889), (16099, 51.68998333333334, 6.070994444444444), (32210, 58.2, 11.634116666666666), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
