cpu_0,ram_0,disk_0,cpu_1,ram_1,disk_1,cpu_2,ram_2,disk_2,cpu_3,ram_3,disk_3,cpu_4,ram_4,disk_4,cpu_5,ram_5,disk_5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.821543807396376,75.4974,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.75999007197816,49.195066666666676,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.60635393397865,146.97486666666668,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.07793497145693,57.53960000000001,7.0,11.009627252530239,3.4945333333333335,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.87540332588732,960.1448000000001,7.0,23.47568501604542,47.79693333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.18838421444527,1054.1674,6.0,40.261663786719325,620.7561333333333,8.0,12.947675501210353,968.1848666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.929759245470343,66.3216,4.0,59.09651937793138,824.8785333333333,9.0,12.947675501210353,964.6893333333335,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.94415487714073,108.13340000000001,2.0,59.935818316465074,720.0206666666668,9.0,26.255353485196448,1500.1618,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.10920824025813,140.85719999999998,5.0,31.967415452974574,162.8782,4.0,37.73819129787102,458.57680000000005,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.12137006701415,112.45853333333332,6.0,67.60059244630955,216.70460000000003,6.0,65.75010862143877,553.6476,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.103747828245226,17.2128,6.0,48.69168106640336,318.7666,5.0,74.53913475265347,191.5392,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.2975924547034,19.0478,4.0,76.99333497901752,399.856,7.0,82.3909130407796,40.544533333333334,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.67386448250187,11.139800000000001,4.0,78.65959022463589,1413.1295333333335,4.0,104.5248587921296,57.3218,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92.28096301811864,8.5184,7.0,97.42039002715379,1322.6025999999997,4.0,91.39718204953138,2.7962,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.947675501210353,0.0,3.0
91.56118143459916,50.1998,7.0,83.23870649222414,1117.4317999999998,2.0,92.30960213518713,159.38306666666668,5.0,0.0,0.0,0.0,0.0,0.0,0.0,32.54918999441375,8.3886,5.0
100.47158103747829,125.0418,7.0,90.17526536657616,20.62146666666667,1.0,126.31121593942028,130.0232,4.0,19.806403574087863,7.3831999999999995,3.0,0.0,0.0,0.0,10.055241760288002,74.09926666666667,3.0
102.30826507818318,84.9334,5.0,80.17773389286596,0.0,0.0,112.79250201725529,0.0,2.0,32.98585256887565,10.9218,6.0,9.997531473710195,19.922400000000003,1.0,23.573955682452983,226.4918,5.0
103.47480764457681,163.9264,2.0,146.01333004196496,107.25866666666668,8.0,139.78027434671964,444.5958,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.518713922164979,195.73366666666664,2.0
85.331347728965,14.5486,1.0,150.5430757837571,98.87000000000002,9.0,126.47880330209173,0.0,0.0,13.82477041449491,98.56566666666669,1.0,11.984695137003209,8.388333333333334,1.0,13.301471044627894,327.15540000000004,2.0
14.643832216430877,0.0,3.0,10.478894100222167,53.1276,3.0,22.18360126621563,20.971,3.0,24.52221394887069,135.3964,2.0,28.49913601579857,8.6938,3.0,13.301471044627894,369.0984,2.0
27.575080665177467,0.0,6.0,10.947914095285114,4.8491333333333335,1.0,47.315498727577435,137.71193333333332,7.0,10.697443534375775,13.631,1.0,16.51444087879536,5.0238000000000005,2.0,0.0,0.0,0.0
43.53437577562671,5.592,9.0,25.49987657368551,919.3814666666667,4.0,47.315498727577435,159.38146666666665,7.0,0.0,0.0,0.0,16.51444087879536,6.0283999999999995,2.0,0.0,0.0,0.0
44.62645817820799,35.650800000000004,7.0,36.81806961244137,1255.8424666666667,7.0,24.337409223511884,99.26466666666668,2.0,0.0,0.0,0.0,16.51444087879536,4.062733333333333,2.0,0.0,0.0,0.0
58.426408538098784,77.72433333333333,10.0,25.870155517156256,1181.744,6.0,38.9547514120787,121.6344,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.296599652519234,47.00966666666666,7.0,34.92964700074056,18.173933333333334,7.0,43.063745267208745,188.7434,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
