interval,ips,create,start,destroy,apparentips,ram,disk,hostalloc,active
1,[372.2361844474653],[0],[1],[-1],[436.7846371289756],"[(75.4974, 0.004733333333333333, 6.666666666666668e-05)]","[(1, 0.0, 0.0014555555555555554)]",[0],[True]
2,"[369.7189985325654, 384.2661505437094]","[0, 1]","[1, 2]","[-1, -1]","[436.7846371289756, 480.8401148524464]","[(19.573400000000003, 0.004733333333333333, 0.0), (29.621666666666673, 4.1293999999999995, 4.1416)]","[(1, 0.0, 0.0010555555555555557), (3, 0.0, 1.6666666666666667e-05)]","[0, 0]","[True, True]"
3,"[0, 378.1870719872736, 372.2361844474653]","[0, 1, 2]","[1, 2, 3]","[-1, -1, -1]","[436.7846371289756, 480.8401148524464, 436.7846371289756]","[(41.943, 0.004533333333333333, 0.0), (29.53446666666667, 12.107333333333337, 12.139266666666664), (75.4974, 0.004733333333333333, 6.666666666666668e-05)]","[(1, 0.0, 0.0010666666666666667), (3, 0.0, 1.6666666666666667e-05), (1, 0.0, 0.0014555555555555554)]","[0, 0, 0]","[True, True, True]"
4,"[0, 0, 369.7189985325654, 892.6565923133869, 456.3559124290045]","[0, 1, 2, 3, 3]","[1, 2, 3, 4, 4]","[3, -1, -1, -1, -1]","[0, 480.8401148524464, 436.7846371289756, 892.6565923133869, 456.3559124290045]","[0, (31.3258, 10.272666666666666, 10.300266666666666), (19.573400000000003, 0.004733333333333333, 0.0), (3.4945333333333335, 0.0, 0.0), (6.6404, 0.0, 0.0)]","[0, (3, 0.0, 4.4444444444444447e-05), (1, 0.0, 0.0010555555555555557), (3, 0.0, 0.0), (3, 0.0, 7.777777777777777e-05)]","[-1, 0, 0, 1, 0]","[False, True, True, True, True]"
5,"[0, 0, 0, 0, 0, 915.8908929650686, 609.9134904702653]","[0, 1, 2, 3, 3, 4, 4]","[1, 2, 3, 4, 4, 5, 5]","[3, 4, -1, -1, -1, -1, -1]","[0, 0, 436.7846371289756, 892.6565923133869, 456.3559124290045, 1009.7454258191793, 633.2728759387691]","[0, 0, (41.943, 0.004533333333333333, 0.0), (3.057733333333333, 0.0, 0.0), (6.640466666666666, 0.0, 0.0), (44.7392, 0.0046, 6.666666666666668e-05), (911.5613333333334, 0.0005333333333333334, 0.0009333333333333332)]","[0, 0, (1, 0.0, 0.0010666666666666667), (3, 0.0, 0.0), (3, 0.0, 2.7777777777777776e-05), (3, 0.0, 0.0011166666666666666), (3, 0.0, 6.666666666666667e-05)]","[-1, -1, 0, 1, 0, 1, 0]","[False, False, True, True, True, True, True]"
6,"[0, 0, 0, 0, 0, 1007.7389936476189, 0, 2086.917422091666, 945.2485860379074, 1256.0025722833768, 543.2242706685897]","[0, 1, 2, 3, 3, 4, 4, 5, 5, 5, 5]","[1, 2, 3, 4, 4, 5, 5, 6, 6, 6, 6]","[3, 4, 5, 5, 5, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 1009.7454258191793, 633.2728759387691, 2086.917422091666, 997.0420839671228, 1256.0025722833768, 543.2242706685897]","[0, 0, 0, 0, 0, (83.886, 0.0046, 0.0), (978.6704, 6.666666666666668e-05, 0.0008), (968.1848666666667, 0.0, 0.0008666666666666667), (232.08433333333338, 0.9976, 0.007), (304.7858, 0.0, 0.0034), (75.497, 0.00046666666666666666, 0.0004)]","[0, 0, 0, 0, 0, (3, 0.0, 0.0010166666666666666), (3, 0.0, 4.4444444444444447e-05), (2, 0.0, 0.00011666666666666667), (3, 0.0, 0.0005111111111111112), (2, 0.0, 0.0001277777777777778), (3, 0.0, 0.0006611111111111111)]","[-1, -1, -1, -1, -1, 1, 0, 2, 1, 1, 0]","[False, False, False, False, False, True, True, True, True, True, True]"
7,"[0, 0, 0, 0, 0, 956.4876339661946, 0, 2047.4687601779385, 0, 633.892881971301, 0, 1416.0236468211137, 542.0446565588619]","[0, 1, 2, 3, 3, 4, 4, 5, 5, 5, 5, 6, 6]","[1, 2, 3, 4, 4, 5, 5, 6, 6, 6, 6, 7, 7]","[3, 4, 5, 5, 5, -1, 6, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 1009.7454258191793, 0, 2086.917422091666, 997.0420839671228, 1256.0025722833768, 543.2242706685897, 1525.7075630243467, 542.0446565588619]","[0, 0, 0, 0, 0, (41.943, 0.0044, 0.0), 0, (964.6893333333335, 0.0, 0.0009333333333333332), (264.24086666666665, 0.7731333333333333, 0.0056), (388.67179999999996, 0.0, 0.003733333333333333), (54.525400000000005, 0.0, 0.0), (130.0228666666667, 8.2766, 0.1462), (11.7962, 0.0038666666666666663, 0.003933333333333333)]","[0, 0, 0, 0, 0, (3, 0.0, 0.0010333333333333334), 0, (2, 0.0, 0.00016666666666666666), (3, 0.0, 0.0006277777777777777), (2, 0.0, 6.666666666666667e-05), (3, 0.0, 9.999999999999999e-05), (1, 8.906633333333335, 3.6877999999999997), (1, 0.0, 8.88888888888889e-05)]","[-1, -1, -1, -1, -1, 1, -1, 2, 1, 1, 0, 1, 0]","[False, False, False, False, False, True, False, True, True, True, True, True, True]"
8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1525.7075630243467, 297.29676455240644, 1510.7508426135992, 1023.2367773203464, 463.43512885869814]","[0, 1, 2, 3, 3, 4, 4, 5, 5, 5, 5, 6, 6, 7, 7, 7]","[1, 2, 3, 4, 4, 5, 5, 6, 6, 6, 6, 7, 7, 8, 8, 8]","[3, 4, 5, 5, 5, -1, 6, -1, 7, -1, 7, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 1009.7454258191793, 0, 2086.917422091666, 0, 1256.0025722833768, 0, 1525.7075630243467, 542.0446565588619, 2143.2883599075767, 1064.628201689945, 463.43512885869814]","[0, 0, 0, 0, 0, (69.905, 0.0046, 0.0), 0, (1055.566, 0.7898666666666667, 0.0184), 0, (397.0604, 0.0, 0.0027333333333333333), 0, (195.0344, 0.0856, 0.6087333333333332), (7.4706, 0.001066666666666667, 0.001066666666666667), (444.5958, 0.26313333333333333, 0.009800000000000001), (58.020866666666684, 0.0044666666666666665, 0.0008), (100.6628, 0.0004, 0.0027333333333333333)]","[0, 0, 0, 0, 0, (3, 0.0, 0.0010555555555555557), 0, (2, 0.0, 0.00015000000000000001), 0, (2, 0.0, 2.7777777777777776e-05), 0, (1, 0.0, 0.00017777777777777779), (1, 0.0, 9.444444444444444e-05), (2, 0.0, 0.009683333333333334), (3, 0.0, 0.0017666666666666666), (1, 0.0004166666666666667, 0.0008333333333333334)]","[-1, -1, -1, -1, -1, 1, -1, 2, -1, 1, -1, 1, 0, 2, 1, 0]","[False, False, False, False, False, True, False, True, False, True, False, True, True, True, True, True]"
9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1426.741099033347, 0, 1529.8737087128266, 1064.628201689945, 371.75877066614885, 1268.7020096544675, 2086.322616089701, 611.3363067526898]","[0, 1, 2, 3, 3, 4, 4, 5, 5, 5, 5, 6, 6, 7, 7, 7, 8, 8, 8]","[1, 2, 3, 4, 4, 5, 5, 6, 6, 6, 6, 7, 7, 8, 8, 8, 9, 9, 9]","[3, 4, 5, 5, 5, 8, 6, 8, 7, 8, 7, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1525.7075630243467, 542.0446565588619, 2143.2883599075767, 1064.628201689945, 463.43512885869814, 1677.5071213302292, 2259.7473766264893, 611.3363067526898]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (106.95439999999999, 0.1056, 1.2295999999999998), (14.941799999999999, 0.0006, 0.0005333333333333334), (327.15540000000004, 0.016933333333333335, 0.001066666666666667), (55.9238, 0.0044, 0.0008), (121.63419999999999, 0.0, 0.0), (39.146800000000006, 0.004733333333333333, 6.666666666666668e-05), (92.2746, 0.0002, 0.0003333333333333333), (4.2812, 0.0009333333333333332, 0.001)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (1, 1.666666666666667e-05, 0.00022222222222222226), (1, 0.0, 9.999999999999999e-05), (2, 0.0, 0.00023888888888888888), (3, 0.0, 0.0018333333333333333), (1, 0.0, 0.0008222222222222222), (3, 0.0, 0.0011166666666666666), (1, 0.0, 0.005855555555555556), (3, 0.0, 8.333333333333333e-05)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 0, 2, 1, 0, 2, 2, 0]","[False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, True]"
10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1243.3762609418175, 1096.2276735558148, 300.7763511503716, 1022.0287790173022, 501.5636322632847]","[0, 1, 2, 3, 3, 4, 4, 5, 5, 5, 5, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9]","[1, 2, 3, 4, 4, 5, 5, 6, 6, 6, 6, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10]","[3, 4, 5, 5, 5, 8, 6, 8, 7, 8, 7, -1, 9, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1525.7075630243467, 0, 2143.2883599075767, 1064.628201689945, 463.43512885869814, 1677.5071213302292, 2259.7473766264893, 611.3363067526898, 1022.0287790173022, 521.7258411200543]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (169.86860000000001, 0.08973333333333332, 0.9770666666666667), 0, (369.0984, 0.0174, 0.0011333333333333332), (46.836, 0.004333333333333333, 0.0012666666666666666), (104.85719999999999, 0.00046666666666666666, 0.0027333333333333333), (36.3506, 0.004733333333333333, 0.0002), (148.1986, 0.00013333333333333334, 0.0006666666666666666), (4.455933333333333, 0.0009333333333333332, 0.001), (0.0, 0.0, 0.001), (3.1454, 0.00013333333333333334, 0.00013333333333333334)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (1, 0.0, 0.00025), 0, (2, 0.0, 0.00023888888888888888), (3, 0.0, 0.0019222222222222223), (1, 0.0004166666666666667, 0.0007999999999999999), (3, 0.0, 0.0015555555555555557), (1, 1.666666666666667e-05, 0.0024555555555555554), (3, 0.0, 8.333333333333333e-05), (2, 0.0, 0.0), (2, 0.0, 1.1111111111111112e-05)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 2, 1, 0, 2, 2, 0, 1, 0]","[False, False, False, False, False, False, False, False, False, False, False, True, False, True, True, True, True, True, True, True, True]"
