interval,totalcontainers,newcontainers,deployed,migrations,inqueue
1,1,1,1,1,0
2,2,1,1,1,0
3,3,1,1,1,0
4,5,2,2,2,0
5,7,2,2,2,0
6,11,4,4,4,0
7,13,2,2,2,0
8,16,3,3,3,0
9,19,3,3,3,0
10,21,2,2,2,0
11,25,4,4,4,0
12,27,2,2,2,0
13,32,5,5,5,0
14,33,1,1,2,0
15,37,4,4,5,0
16,39,2,2,4,0
17,40,1,1,4,0
18,46,6,6,6,0
19,48,2,2,5,0
20,51,3,3,5,0
21,55,4,4,4,0
22,57,2,2,2,0
23,59,2,2,2,0
24,62,3,3,3,0
25,66,4,4,4,0
26,69,3,3,3,0
27,72,3,3,3,0
28,77,5,5,5,0
29,80,3,3,3,0
30,82,2,2,2,0
31,85,3,3,3,0
32,88,3,3,3,0
33,91,3,3,3,0
34,93,2,2,3,0
35,97,4,4,5,0
36,101,4,4,5,0
37,103,2,2,4,0
38,107,4,4,6,0
39,109,2,2,4,0
40,112,3,3,6,0
41,115,3,3,3,0
42,117,2,2,2,0
43,120,3,3,3,0
44,122,2,2,2,0
45,125,3,3,3,0
46,128,3,3,3,0
47,131,3,3,3,0
48,135,4,4,4,0
49,137,2,2,2,0
50,141,4,4,4,0
51,143,2,2,2,0
52,146,3,3,3,0
53,151,5,5,5,0
54,154,3,3,4,0
55,156,2,2,3,0
56,161,5,5,6,0
57,164,3,3,5,0
58,167,3,3,6,0
59,169,2,2,4,0
60,172,3,3,6,0
61,176,4,4,4,0
62,178,2,2,2,0
63,181,3,3,3,0
64,183,2,2,2,0
65,187,4,4,4,0
66,189,2,2,2,0
67,192,3,3,3,0
68,195,3,3,3,0
69,198,3,3,3,0
70,201,3,3,3,0
71,204,3,3,3,0
72,206,2,2,2,0
73,210,4,4,4,0
74,212,2,2,2,0
75,215,3,3,5,0
76,219,4,4,4,0
77,222,3,3,6,0
78,225,3,3,6,0
79,228,3,3,5,0
80,231,3,3,6,0
81,235,4,4,4,0
82,237,2,2,2,0
83,240,3,3,3,0
84,243,3,3,3,0
85,248,5,5,5,0
86,249,1,1,1,0
87,253,4,4,4,0
88,255,2,2,2,0
89,259,4,4,4,0
90,262,3,3,3,0
91,264,2,2,2,0
92,268,4,4,4,0
93,271,3,3,3,0
94,272,1,1,2,0
95,276,4,4,5,0
96,280,4,4,5,0
97,282,2,2,4,0
98,284,2,2,4,0
99,288,4,4,6,0
100,292,4,4,6,0
101,295,3,3,3,0
