interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable,numfailures
1,"[10.573343261355175, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[426.67913363334486, 0, 0, 0, 0, 0]","[3602.320866366655, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[426, 0, 0, 0, 0, 0]","[(6.116, 0.0038666666666666663, 0.002), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4288.884, 1859.9961333333333, 999.998), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.0, 0.00018888888888888888), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.10981111111111), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
2,"[23.35567138247704, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[767.9360366974425, 0, 0, 0, 0, 0]","[3261.0639633025576, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[941, 0, 0, 0, 0, 0]","[(25.339333333333332, 0.004, 0.002), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4269.660666666667, 1859.996, 999.998), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.00021111111111111108), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.109788888888888), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
3,"[34.8969967733929, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, 0, 0, 0, 0, 0]","[953.3805993165947, 0, 0, 0, 0, 0]","[3075.6194006834053, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1406, 0, 0, 0, 0, 0]","[(22.979199999999995, 0.0041333333333333335, 0.0021333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4272.0208, 1859.9958666666666, 999.9978666666667), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.00020555555555555556), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.109794444444445), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
4,"[38.123603871928516, 12.268575660330782, 0.0, 0.0, 0.0, 0.0]","[3, 1, 0, 0, 0, 0]","[1009.9307403170359, 589.4940993031305, 0, 0, 0, 0]","[3019.069259682964, 7512.5059006968695, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1536, 994, 0, 0, 0, 0]","[(164.27533333333332, 0.0007333333333333332, 0.0006), (188.7434, 0.052533333333333335, 0.026266666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4130.724666666667, 1859.9992666666667, 999.9994), (16991.2566, 1799.9474666666667, 1524.9737333333333), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.02887777777777778), (2, 0.0, 0.004538888888888889), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.081122222222222), (16103, 51.900000000000006, 6.185461111111111), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
5,"[36.90742119632663, 22.85855344359417, 0.0, 0.0, 0.0, 0.0]","[3, 2, 0, 0, 0, 0]","[802.5762106839438, 1309.6355671972556, 0, 0, 0, 0]","[3226.423789316056, 6792.364432802744, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1487, 1852, 0, 0, 0, 0]","[(105.81746666666669, 0.0010666666666666665, 0.0003333333333333334), (153.0913333333333, 0.05473333333333333, 0.02946666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4189.182533333334, 1859.9989333333333, 999.9996666666667), (17026.908666666666, 1799.9452666666666, 1524.9705333333334), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.0016666666666666668), (4, 0.0, 0.00393452380952381), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.108333333333333), (16101, 51.900000000000006, 6.186065476190476), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
6,"[36.137999503598905, 34.84324858059738, 0.0, 0.0, 0.0, 0.0]","[3, 3, 0, 0, 0, 0]","[702.2810411198973, 1493.8973289991452, 0, 0, 0, 0]","[3326.718958880103, 6608.102671000855, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1456, 2823, 0, 0, 0, 0]","[(139.72126666666665, 0.0022, 0.0018000000000000002), (164.27546666666663, 0.05493333333333333, 0.02953333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4155.278733333334, 1859.9978, 999.9982), (17015.724533333334, 1799.9450666666667, 1524.9704666666667), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0015499999999999997), (5, 0.0, 0.004666666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.10845), (16100, 51.900000000000006, 6.1853333333333325), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
7,"[39.190866219905686, 37.768452234016294, 13.301471044627894, 0.0, 0.0, 0.0]","[3, 3, 1, 0, 0, 0]","[1059.41026131119, 2032.437800505871, 1510.7508426135992, 0, 0, 0]","[2969.58973868881, 6069.562199494128, 14600.2491573864, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1579, 3060, 2143, 0, 0, 0]","[(3547.4187333333325, 0.0031999999999999997, 0.0027333333333333333), (69.90413333333333, 0.007666666666666667, 0.0037333333333333333), (444.5958, 0.26313333333333333, 0.009800000000000001), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(747.5812666666675, 1859.9968, 999.9972666666666), (17110.095866666667, 1799.9923333333334, 1524.9962666666668), (33915.4042, 1882.4368666666667, 1333.7402), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 6.111111111111112e-05), (5, 0.0, 0.0045), (2, 0.0, 0.009683333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.109938888888887), (16100, 51.900000000000006, 6.185499999999999), (32210, 58.2, 11.630316666666666), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
8,"[40.431868950111685, 40.22463589237225, 25.659487306809016, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[1306.9027619874696, 2241.592934166135, 2606.560527676619, 0, 0, 0]","[2722.0972380125304, 5860.407065833865, 13504.439472323382, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1629, 3259, 4134, 0, 0, 0]","[(2331.943866666667, 0.0019333333333333331, 0.002533333333333333), (71.3022, 0.0044666666666666665, 0.0004), (408.24520000000007, 0.0216, 0.0011333333333333336), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(1963.056133333333, 1859.9980666666668, 999.9974666666667), (17108.6978, 1799.9955333333332, 1524.9996), (33951.7548, 1882.6784, 1333.7488666666666), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 8.333333333333334e-05), (6, 0.0, 0.0020555555555555553), (3, 0.0, 0.0013444444444444443), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.109916666666667), (16099, 51.900000000000006, 6.187944444444444), (32209, 58.2, 11.638655555555554), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
9,"[51.799453958798715, 28.239940755369048, 36.60852833467817, 0.0, 0.0, 0.0]","[4, 2, 3, 0, 0, 0]","[1122.5845562021527, 1057.0143914888952, 4461.918614081383, 0, 0, 0]","[2906.4154437978473, 7044.985608511105, 11649.081385918616, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2087, 2288, 5898, 0, 0, 0]","[(1626.0774666666669, 0.002466666666666667, 0.002933333333333333), (68.15653333333333, 0.004266666666666667, 0.00013333333333333334), (1769.9956000000002, 0.022066666666666665, 0.002), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(2668.9225333333334, 1859.9975333333334, 999.9970666666667), (17111.843466666665, 1799.9957333333334, 1524.9998666666668), (32590.004399999998, 1882.6779333333334, 1333.748), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.0011), (5, 0.0, 0.0014), (4, 0.0, 0.0013111111111111112), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.1089), (16100, 51.900000000000006, 6.188599999999999), (32208, 58.2, 11.638688888888888), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
10,"[40.18366840407049, 42.84127375956554, 50.425175346036866, 0.0, 0.0, 0.0]","[3, 3, 4, 0, 0, 0]","[818.3666535632336, 2310.4887696510273, 2907.7587717901924, 0, 0, 0]","[3210.6333464367663, 5791.511230348973, 13203.241228209808, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1619, 3471, 8124, 0, 0, 0]","[(2166.968266666667, 4.129466666666667, 4.142533333333334), (1289.0481333333335, 0.002466666666666667, 0.014799999999999999), (2840.9409333333333, 0.0252, 0.005066666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(2128.031733333333, 1855.8705333333332, 995.8574666666667), (15890.951866666666, 1799.9975333333334, 1524.9852), (31519.05906666667, 1882.6748, 1333.7449333333334), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.0007166666666666666), (7, 0.06103333333333333, 0.013377777777777778), (6, 0.09145, 0.03359444444444444), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.109283333333332), (16098, 51.83896666666667, 6.176622222222222), (32206, 58.10855, 11.606405555555554), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
